,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
94,T95,T95,Rod Pampling,72,61.54,251118.9,408043
95,T95,T95,Webb Simpson,94,61.54,340575.5,553380
96,T97,T97,Michael Allen,73,61.52,226373.1,367939
97,T97,T97,Johnson Wagner,81,61.52,288260.3,468560
98,99,99,Vaughn Taylor,88,61.46,306686.8,498994
99,T100,T100,Brett Quigley,92,61.44,290500.7,472809
100,T100,T100,David Toms,98,61.44,311583.2,507173
101,102,102,Rich Beem,77,61.43,224338.2,365196
102,T103,T103,Freddie Jacobson,83,61.41,284734.4,463671
103,T103,T103,Justin Rose,71,61.41,223348.0,363700
104,105,105,Kirk Triplett,60,61.37,212061.2,345525
105,106,106,Jimmy Walker,74,61.35,248455.1,405000
106,107,107,Ian Poulter,59,61.25,165090.9,269537
107,T108,T108,Brian Davis,103,61.23,352184.4,575212
108,T108,T108,David Duval,56,61.23,170998.0,279251
109,110,110,Jason Dufner,90,61.21,303227.5,495367
110,111,111,Justin Leonard,95,61.2,291729.2,476647
111,112,112,Rocco Mediate,79,61.17,255929.3,418365
112,113,113,Cameron Beckman,87,61.14,291147.9,476229
113,114,114,Jay Williamson,69,61.11,219925.9,359869
114,115,115,Todd Hamilton,83,61.09,247688.4,405429
115,116,116,Zach Johnson,94,61.04,307429.7,503660
116,117,117,Mark Wilson,99,61.03,339691.2,556571
117,T118,T118,Bob Heintz,59,60.98,196230.6,321794
118,T118,T118,Matt Kuchar,82,60.98,275334.3,451533
119,T118,T118,Billy Mayfair,83,60.98,266602.3,437181
120,121,121,Woody Austin,84,60.97,294700.2,483381
121,122,122,Steve Stricker,81,60.91,240792.3,395302
122,123,123,Steve Elkington,70,60.9,239244.5,392871
123,T124,T124,Jason Bohn,88,60.89,317016.2,520647
124,T124,T124,Ben Crane,93,60.89,309374.5,508077
125,T126,T126,Bryce Molder,69,60.86,208772.5,343024
126,T126,T126,Tim Petrovic,97,60.86,330085.2,542403
127,T128,T128,Greg Chalmers,85,60.82,271104.6,445740
128,T128,T128,Charlie Wi,92,60.82,303975.0,499821
129,T130,T130,Steve Flesch,77,60.81,241901.2,397800
130,T130,T130,Scott Verplank,88,60.81,304978.9,501547
131,132,132,Scott McCarron,91,60.8,312579.0,514085
132,133,133,Joe Durant,62,60.77,178253.7,293310
133,134,134,Jerry Kelly,90,60.74,296436.7,488058
134,135,135,Scott Sterling,51,60.72,152359.4,250920
135,136,136,Darron Stiles,52,60.68,161295.1,265795
136,137,137,Tim Clark,81,60.64,226014.8,372724
137,138,138,Patrick Sheehan,51,60.63,149485.3,246568
138,139,139,D.A. Points,99,60.59,331110.4,546437
139,T140,T140,Ken Duke,87,60.58,272531.1,449886
140,T140,T140,Mike Weir,85,60.58,259037.9,427624
141,T142,T142,Briny Baird,89,60.57,275141.1,454237
142,T142,T142,Nathan Green,104,60.57,353356.2,583423
143,144,144,Cliff Kresge,78,60.54,255675.4,422350
144,T145,T145,Lee Janzen,74,60.53,232301.6,383785
145,T145,T145,David Mathis,82,60.53,263979.0,436141
146,147,147,K.J. Choi,65,60.5,194571.8,321630
147,148,148,Chez Reavie,81,60.48,269438.1,445499
148,149,149,Alex Cejka,82,60.47,272296.3,450317
149,150,150,Eric Axley,71,60.46,225064.4,372239
150,151,151,Kevin Na,91,60.45,299360.0,495256
151,152,152,Ben Curtis,63,60.39,182576.5,302336
152,T153,T153,Ryuji Imada,85,60.37,264961.9,438918
153,T153,T153,Colt Knost,71,60.37,212334.6,351698
154,155,155,Chris DiMarco,97,60.33,331324.3,549183
155,156,156,Rick Price,54,60.32,156438.4,259368
156,T157,T157,Jim Furyk,86,60.3,250479.7,415384
157,T157,T157,Kent Jones,73,60.3,232944.6,386291
158,159,159,Parker McLachlin,71,60.27,257620.1,427469
159,160,160,Peter Lonard,86,60.26,293182.7,486493
160,161,161,Paul Goydos,79,60.24,248508.4,412555
161,162,162,Greg Kraft,51,60.21,157207.7,261092
162,163,163,Brandt Snedeker,81,60.2,249228.2,413968
163,164,164,Spencer Levin,75,60.19,253642.6,421395
164,165,165,Bob Estes,78,60.15,262386.6,436192
165,166,166,John Mallinger,90,60.12,269411.1,448130
166,167,167,Aron Price,89,60.11,291767.1,485401
167,168,168,Tom Pernice Jr.,82,60.1,285283.9,474666
168,169,169,Marc Turnesa,77,60.0,270397.1,450635
169,170,170,Jeff Klauk,97,59.92,333306.7,556271
170,171,171,Glen Day,79,59.79,240546.3,402341
171,172,172,Nick O'Hern,90,59.74,320822.3,537066
172,173,173,Tom Lehman,55,59.44,131220.2,220753
173,174,174,Luke Donald,79,59.38,232065.9,390803
174,175,175,Brendon Todd,53,59.33,176582.1,297623
175,176,176,Jeff Quinney,78,59.3,267326.4,450793
176,177,177,Chris Riley,77,59.29,251256.1,423745
177,178,178,Bart Bryant,58,59.28,195145.4,329208
178,179,179,Mark Brooks,55,59.08,148195.9,250858
179,180,180,Richard Johnson,85,59.01,277349.2,470012
180,181,181,Dean Wilson,81,58.96,261956.1,444287
181,182,182,Brian Gay,96,58.8,306285.6,520887
182,183,183,Brad Faxon,59,58.39,190306.5,325910
183,184,184,Corey Pavin,73,56.63,191664.9,338447
