,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
0,1,1,Derek Fathauer,63,3093.3,111359,36,3684,2250
1,2,2,John Senden,100,3092.9,210315,68,3741,1936
2,3,3,Scott McCarron,91,3087.3,188328,61,3744,1975
3,4,4,Bill Haas,91,3067.2,211635,69,3746,1597
4,5,5,Joe Durant,62,3053.2,112969,37,3693,2266
5,6,6,Kevin Na,91,3037.9,182275,60,3678,2149
6,7,7,Adam Scott,53,3014.6,102497,34,3740,1843
7,8,8,Greg Owen,97,3001.7,204118,68,3702,1584
8,9,9,Marc Leishman,91,2979.2,199604,67,3658,2216
9,10,10,Chris DiMarco,97,2976.8,202425,68,3662,1575
10,11,11,Luke Donald,79,2975.7,166639,56,3647,1661
11,12,12,Bob Estes,78,2968.8,195940,66,3676,1731
12,13,13,Charles Howell III,99,2967.2,231445,78,4029,1974
13,14,14,Stephen Ames,77,2964.7,171951,58,3675,2265
14,15,15,Woody Austin,84,2962.1,213272,72,3537,1971
15,16,16,Aaron Baddeley,66,2961.0,142129,48,3664,2389
16,17,17,Bryce Molder,69,2936.5,123333,42,3584,1943
17,18,18,Jim Furyk,86,2934.8,155547,53,3723,1972
18,19,19,Boo Weekley,79,2926.5,184372,63,3596,2150
19,20,20,Michael Allen,73,2923.1,108155,37,3579,2254
20,21,21,Marc Turnesa,77,2921.1,210322,72,3574,2100
21,22,22,Dean Wilson,81,2919.0,151789,52,3696,2025
22,23,23,Ricky Barnes,67,2917.6,134211,46,3743,1580
23,24,24,Nick Watney,86,2912.9,183511,63,3652,2164
24,25,25,Kevin Streelman,97,2911.3,212528,73,3664,1720
25,26,26,Ryuji Imada,85,2910.9,177565,61,3480,1896
26,27,27,Nathan Green,104,2901.8,255360,88,3675,1850
27,28,28,Martin Laird,72,2898.0,133308,46,3642,2041
28,29,29,James Nitties,86,2894.4,138929,48,3692,2125
29,30,30,Brendon de Jonge,90,2890.7,173442,60,3555,1578
30,31,31,Jonathan Byrd,89,2879.2,158355,55,3619,1597
31,32,32,Jeff Klauk,97,2869.6,229567,80,3344,2154
32,33,33,Parker McLachlin,71,2867.9,154866,54,3645,2129
33,34,34,Jason Bohn,88,2862.3,223263,78,3573,2159
34,35,35,Geoff Ogilvy,78,2854.0,179799,63,3613,2086
35,36,36,George McNeill,82,2848.3,187985,66,3721,2061
36,37,37,Charlie Wi,92,2845.8,199204,70,3694,2007
37,38,38,Jarrod Lyle,65,2835.4,127593,45,3655,2055
38,39,39,Ted Purdy,101,2830.5,203795,72,3634,1988
39,40,40,Troy Matteson,95,2829.8,217892,77,3679,1507
40,41,41,Jeff Quinney,78,2827.3,178122,63,3654,1804
41,42,42,Tag Ridings,50,2826.8,93283,33,3684,1878
42,43,43,Brian Vranesh,51,2818.6,81738,29,3662,2046
43,44,44,Steve Flesch,77,2817.9,126806,45,3597,1924
44,45,45,Todd Hamilton,83,2814.0,154770,55,3505,1906
45,46,46,Greg Chalmers,85,2811.5,160256,57,3611,1935
46,47,47,David Duval,56,2805.7,84172,30,3635,1700
47,48,48,Matt Jones,56,2803.8,89720,32,3637,1888
48,49,49,Steve Lowery,83,2802.3,162533,58,3656,1547
49,50,50,Mathew Goggin,76,2801.9,151304,54,3599,2071
50,51,51,Tiger Woods,64,2796.7,89494,32,3541,1688
51,52,52,Rod Pampling,72,2793.4,153636,55,3475,1934
52,53,53,Kris Blanks,60,2787.1,108696,39,3516,1982
53,54,54,Johnson Wagner,81,2785.0,183812,66,3522,2170
54,55,55,Robert Garrigus,83,2776.9,149952,54,3593,1855
55,56,56,Jason Dufner,90,2776.8,205485,74,3642,1914
56,57,57,Will MacKenzie,69,2770.4,157913,57,3486,1743
57,58,58,Robert Allenby,71,2769.7,116329,42,3671,1868
58,59,59,Ben Curtis,63,2768.8,113519,41,3736,2180
59,60,60,Billy Mayfair,83,2768.6,168883,61,3566,2073
60,61,61,Brendon Todd,53,2768.0,116257,42,3700,1835
61,62,62,Y.E. Yang,83,2766.0,171493,62,3687,1772
62,63,63,Sergio Garcia,59,2765.5,102324,37,3495,1688
63,64,64,Kent Jones,73,2763.9,152012,55,3520,1671
64,65,65,J.J. Henry,97,2763.6,182398,66,3572,1763
65,66,66,Mark Calcavecchia,72,2760.4,138019,50,3637,2063
66,67,67,Ken Duke,87,2754.9,129479,47,3589,2120
67,68,68,Chris Riley,77,2743.9,134451,49,3352,1989
68,69,69,Brian Bateman,55,2743.2,123445,45,3696,1835
69,70,70,Corey Pavin,73,2739.7,115067,42,3603,1604
70,71,71,Brett Quigley,92,2739.2,178050,65,3463,1965
