,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,Tom Lehman,16,"17' 6""",2378.833,136
1,2,2,Zach Johnson,26,"18' 10""",5791.25,308
2,3,3,Brian Gay,27,"19' 1""",5920.75,310
3,4,4,Jerry Kelly,26,"19' 3""",6881.8330000000005,357
4,5,5,Justin Leonard,26,"19' 4""",5993.9169999999995,310
5,6,6,Heath Slocum,30,"19' 6""",5940.5,305
6,7,7,Hunter Mahan,25,"19' 7""",6946.25,354
7,8,8,Paul Goydos,25,"19' 8""",4900.5,249
8,9,9,Jim Furyk,23,"19' 10""",4997.5,252
9,10,10,David Toms,27,"20' 0""",5769.3330000000005,288
10,11,11,Tim Clark,23,"20' 1""",4242.583,211
11,12,12,Patrick Sheehan,15,"20' 2""",3009.25,149
12,13,13,Bart Bryant,17,"20' 4""",3946.333,194
13,T14,T14,John Mallinger,27,"20' 6""",6108.4169999999995,298
14,T14,T14,Kirk Triplett,20,"20' 6""",3921.25,191
15,16,16,Tommy Armour III,19,"20' 7""",4604.25,224
16,T17,T17,Glen Day,26,"20' 8""",5391.0,261
17,T17,T17,Ian Poulter,17,"20' 8""",4043.667,196
18,19,19,Jeff Klauk,29,"20' 11""",7064.1669999999995,338
19,20,20,Kenny Perry,24,"21' 0""",6901.5830000000005,329
20,T21,T21,Corey Pavin,23,"21' 1""",4367.917,207
21,T21,T21,Scott Sterling,16,"21' 1""",4008.583,190
22,T21,T21,Scott Verplank,24,"21' 1""",6357.4169999999995,302
23,T24,T24,Mark Brooks,17,"21' 2""",3259.583,154
24,T24,T24,Ben Crane,27,"21' 2""",7212.75,341
25,T26,T26,Bob Estes,23,"21' 4""",6281.0830000000005,295
26,T26,T26,Steve Stricker,22,"21' 4""",5812.6669999999995,273
27,T28,T28,Colt Knost,24,"21' 5""",4714.333,220
28,T28,T28,Matt Kuchar,24,"21' 5""",7037.8330000000005,328
29,T28,T28,Sean O'Hair,23,"21' 5""",6477.25,303
30,31,31,Joe Durant,20,"21' 7""",3448.083,160
31,T32,T32,K.J. Choi,22,"21' 8""",4686.75,216
32,T32,T32,D.J. Trahan,30,"21' 8""",7441.5,343
33,T34,T34,Cameron Beckman,26,"21' 9""",8209.667,377
34,T34,T34,Chris Riley,22,"21' 9""",5408.5830000000005,249
35,T34,T34,Jay Williamson,22,"21' 9""",4943.083,227
36,T37,T37,Ben Curtis,18,"21' 11""",4862.5,222
37,T37,T37,Steve Lowery,27,"21' 11""",7831.5,357
38,39,39,Marc Turnesa,30,"22' 1""",6836.0,310
39,T40,T40,Jason Bohn,25,"22' 4""",7161.1669999999995,321
40,T40,T40,Brian Davis,32,"22' 4""",8819.0,395
41,T42,T42,Rocco Mediate,22,"22' 5""",7157.3330000000005,319
42,T42,T42,Kevin Na,26,"22' 5""",8280.0,369
43,T42,T42,Boo Weekley,22,"22' 5""",5984.0,267
44,T45,T45,Jason Dufner,26,"22' 6""",7460.25,331
45,T45,T45,Y.E. Yang,23,"22' 6""",8171.25,363
46,T47,T47,Chez Reavie,27,"22' 7""",6406.9169999999995,284
47,T47,T47,Darron Stiles,20,"22' 7""",3435.083,152
48,T49,T49,Jason Gore,24,"22' 10""",6351.5830000000005,278
49,T49,T49,Scott McCarron,27,"22' 10""",6475.5830000000005,284
50,T49,T49,Brandt Snedeker,26,"22' 10""",5818.25,255
51,T52,T52,Michael Allen,22,"22' 11""",5393.0,235
52,T52,T52,Briny Baird,28,"22' 11""",7021.75,306
53,T52,T52,Greg Owen,30,"22' 11""",7814.25,341
54,55,55,Robert Allenby,21,"23' 0""",5700.4169999999995,248
55,T56,T56,Ted Purdy,30,"23' 1""",9436.667,409
56,T56,T56,Jeff Quinney,26,"23' 1""",7293.75,316
57,T58,T58,D.A. Points,29,"23' 2""",8560.833,369
58,T58,T58,Mike Weir,24,"23' 2""",7828.5,338
59,60,60,Kent Jones,24,"23' 3""",5693.0,245
60,61,61,Alex Cejka,25,"23' 4""",6475.8330000000005,278
61,T62,T62,Lucas Glover,26,"23' 5""",8636.417,369
62,T62,T62,Peter Lonard,30,"23' 5""",7953.6669999999995,340
63,T62,T62,Charlie Wi,28,"23' 5""",7842.0,335
64,65,65,Cliff Kresge,28,"23' 6""",7391.0,315
65,T66,T66,Steve Elkington,23,"23' 8""",6115.4169999999995,258
66,T66,T66,Tim Petrovic,31,"23' 8""",8928.083,377
67,T68,T68,Charles Howell III,29,"23' 9""",10363.417,436
68,T68,T68,Will MacKenzie,24,"23' 9""",6489.8330000000005,273
69,T70,T70,Mathew Goggin,26,"23' 10""",6144.9169999999995,258
70,T70,T70,Spencer Levin,25,"23' 10""",7898.25,331
71,T70,T70,Nick O'Hern,27,"23' 10""",8335.75,350
72,T70,T70,Tom Pernice Jr.,26,"23' 10""",8546.833,358
73,74,74,Richard Johnson,26,"23' 11""",7457.0830000000005,312
74,T75,T75,Jeff Maggert,28,"24' 0""",7450.5830000000005,310
75,T75,T75,Rod Pampling,23,"24' 0""",7123.5830000000005,297
76,T75,T75,Pat Perez,22,"24' 0""",6941.3330000000005,289
77,T75,T75,John Rollins,27,"24' 0""",8215.75,342
78,T75,T75,Brian Vranesh,20,"24' 0""",4893.083,204
79,T80,T80,Steve Flesch,27,"24' 1""",7506.6669999999995,312
80,T80,T80,Mark Wilson,28,"24' 1""",8578.917,356
81,T82,T82,Chris DiMarco,29,"24' 2""",9174.917,380
82,T82,T82,Ken Duke,29,"24' 2""",9111.0,377
83,T82,T82,Bill Haas,29,"24' 2""",9721.667,402
84,85,85,Stephen Ames,23,"24' 3""",6094.0,251
85,T86,T86,Rick Price,21,"24' 4""",4253.417,175
86,T86,T86,Kevin Stadler,20,"24' 4""",6375.5830000000005,262
87,T86,T86,Bo Van Pelt,30,"24' 4""",9309.75,383
88,89,89,David Mathis,27,"24' 5""",8517.0,349
89,90,90,Greg Kraft,21,"24' 8""",4987.5,202
90,91,91,Steve Marino,29,"24' 9""",9764.25,394
91,T92,T92,Billy Mayfair,28,"25' 0""",6805.6669999999995,272
92,T92,T92,Aron Price,27,"25' 0""",9213.417,369
93,T92,T92,Nick Watney,24,"25' 0""",9496.083,380
94,T95,T95,Bill Lunde,27,"25' 1""",8615.333,343
95,T95,T95,Matt Weibring,22,"25' 1""",6228.1669999999995,248
96,97,97,Chad Campbell,26,"25' 2""",8479.167,337
97,T98,T98,John Senden,29,"25' 3""",10624.667,421
98,T98,T98,Peter Tomasulo,25,"25' 3""",5207.5,206
99,100,100,Kevin Streelman,29,"25' 4""",10782.583,426
100,T101,T101,J.J. Henry,28,"25' 5""",10480.917,412
101,T101,T101,Justin Rose,22,"25' 5""",6817.0830000000005,268
102,T103,T103,Nicholas Thompson,31,"25' 6""",10035.917,394
103,T103,T103,Johnson Wagner,26,"25' 6""",8620.333,338
104,T105,T105,Freddie Jacobson,25,"25' 7""",9976.083,390
105,T105,T105,Michael Letzig,28,"25' 7""",11631.833,454
106,T107,T107,Stewart Cink,22,"25' 8""",8329.083,324
107,T107,T107,Carl Pettersson,29,"25' 8""",10254.25,400
108,T107,T107,Kevin Sutherland,27,"25' 8""",9328.083,363
109,T107,T107,Vaughn Taylor,28,"25' 8""",8714.333,340
110,T111,T111,Fred Couples,16,"25' 9""",6336.75,246
111,T111,T111,James Nitties,27,"25' 9""",9609.083,373
112,T111,T111,Charles Warren,20,"25' 9""",6210.25,241
113,T114,T114,Lee Janzen,23,"25' 10""",7495.3330000000005,290
114,T114,T114,Bryce Molder,21,"25' 10""",5961.4169999999995,231
115,T114,T114,Rory Sabbatini,25,"25' 10""",9438.917,365
116,T117,T117,Ernie Els,19,"25' 11""",6534.75,252
117,T117,T117,Dean Wilson,29,"25' 11""",8497.583,328
118,T119,T119,Rich Beem,26,"26' 0""",6767.0,260
119,T119,T119,Nathan Green,30,"26' 0""",12297.083,473
120,T119,T119,Chris Stroud,28,"26' 0""",9307.0,358
121,T122,T122,Ryuji Imada,25,"26' 1""",9450.667,362
122,T122,T122,Martin Laird,24,"26' 1""",7565.25,290
123,124,124,Mark Calcavecchia,23,"26' 3""",8580.75,327
124,125,125,Kris Blanks,20,"26' 5""",5384.0,204
125,T126,T126,Sergio Garcia,17,"26' 6""",5913.0830000000005,223
126,T126,T126,Retief Goosen,20,"26' 6""",8233.583,311
127,T126,T126,Todd Hamilton,29,"26' 6""",8489.667,320
128,129,129,Camilo Villegas,21,"26' 7""",7445.9169999999995,280
129,130,130,Jarrod Lyle,21,"26' 9""",7029.5,263
130,T131,T131,Brendon de Jonge,29,"26' 10""",10339.0,385
131,T131,T131,Bob Heintz,20,"26' 10""",5895.5,220
132,T131,T131,John Merrick,28,"26' 10""",9273.0,346
133,134,134,Brad Faxon,23,"26' 11""",7501.5830000000005,279
134,T135,T135,Woody Austin,24,"27' 1""",9777.5,361
135,T135,T135,Jonathan Byrd,25,"27' 1""",9284.417,343
136,T135,T135,George McNeill,26,"27' 1""",10586.667,391
137,T135,T135,Tiger Woods,17,"27' 1""",6174.0830000000005,228
138,139,139,Greg Chalmers,26,"27' 2""",9187.75,338
139,140,140,Ricky Barnes,23,"27' 3""",7586.6669999999995,278
140,141,141,Casey Wittenberg,25,"27' 4""",7087.6669999999995,259
141,T142,T142,Brad Adamonis,25,"27' 5""",9461.0,345
142,T142,T142,Geoff Ogilvy,20,"27' 5""",8407.167,307
143,T144,T144,Davis Love III,27,"27' 6""",11249.167,409
144,T144,T144,Ryan Moore,27,"27' 6""",8862.167,322
145,146,146,Stuart Appleby,25,"27' 11""",9314.583,334
