,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Dustin Johnson,85,301.7,270931,898
1,2,2,J.B. Holmes,74,298.6,255641,856
2,3,3,Andres Romero,58,297.7,180397,606
3,4,4,Anthony Kim,76,297.2,250833,844
4,5,5,Phil Mickelson,66,296.8,199474,672
5,6,6,Bubba Watson,73,295.7,234793,794
6,7,7,Nick Watney,86,295.4,279455,946
7,8,8,Tag Ridings,50,294.5,167867,570
8,9,9,Robert Garrigus,83,294.2,295051,1003
9,10,10,Gary Woodland,53,293.9,151370,515
10,11,11,Ángel Cabrera,55,293.8,156299,532
11,12,12,Charley Hoffman,97,291.3,353095,1212
12,T13,T13,Martin Laird,72,290.8,251820,866
13,T13,T13,Sean O'Hair,80,290.8,236679,814
14,15,15,Vijay Singh,71,290.1,208307,718
15,16,16,Daniel Chopra,89,290.0,337876,1165
16,17,17,Harrison Frazar,93,289.9,338874,1169
17,T18,T18,Troy Matteson,95,289.8,354743,1224
18,T18,T18,Charles Warren,63,289.8,214437,740
19,20,20,Hunter Mahan,94,289.7,304181,1050
20,T21,T21,Fred Couples,54,288.8,169212,586
21,T21,T21,Davis Love III,89,288.8,312518,1082
22,T21,T21,Geoff Ogilvy,78,288.8,235622,816
23,24,24,Jason Day,61,288.5,201405,698
24,25,25,Marc Leishman,91,288.4,337978,1172
25,26,26,Scott Piercy,85,288.2,304874,1058
26,27,27,Camilo Villegas,76,288.0,226951,788
27,28,28,John Rollins,92,287.7,316809,1101
28,T29,T29,Sergio Garcia,59,287.5,177087,616
29,T29,T29,Rory Sabbatini,81,287.5,268513,934
30,T31,T31,Steve Marino,98,287.3,336731,1172
31,T31,T31,Kevin Streelman,97,287.3,348170,1212
32,33,33,Jeff Overton,92,286.9,304090,1060
33,T34,T34,Lucas Glover,93,286.8,316020,1102
34,T34,T34,Kenny Perry,92,286.8,293123,1022
35,T34,T34,Tiger Woods,64,286.8,192760,672
36,T37,T37,Ryan Palmer,78,286.7,280966,980
37,T37,T37,Nicholas Thompson,96,286.7,346959,1210
38,T39,T39,Jonathan Byrd,89,286.6,315583,1101
39,T39,T39,Stewart Cink,79,286.6,237900,830
40,41,41,Ted Purdy,101,286.4,356279,1244
41,42,42,Matt Bettencourt,98,286.3,346651,1211
42,43,43,Retief Goosen,74,286.2,223251,780
43,T44,T44,Matt Jones,56,286.1,179085,626
44,T44,T44,Leif Olson,51,286.1,171397,599
45,46,46,Charles Howell III,99,285.9,331124,1158
46,47,47,Bill Haas,91,285.7,325688,1140
47,48,48,Adam Scott,53,285.5,168417,590
48,T49,T49,Ryan Moore,89,285.0,297777,1045
49,T49,T49,Boo Weekley,79,285.0,259360,910
50,51,51,Michael Letzig,96,284.6,339832,1194
51,52,52,Tim Herron,87,284.5,320089,1125
52,53,53,Bo Van Pelt,100,284.4,323680,1138
53,54,54,D.J. Trahan,96,284.3,317865,1118
54,T55,T55,Ricky Barnes,67,284.1,202869,714
55,T55,T55,Peter Tomasulo,61,284.1,181566,639
56,T57,T57,Padraig Harrington,66,284.0,190815,672
57,T57,T57,Y.E. Yang,83,284.0,277706,978
58,59,59,John Merrick,91,283.9,269677,950
59,60,60,John Senden,100,283.8,364447,1284
60,T61,T61,Ernie Els,70,283.6,215561,760
61,T61,T61,Jeff Maggert,79,283.6,287852,1015
62,T63,T63,Jason Gore,74,283.4,244532,863
63,T63,T63,Kevin Stadler,65,283.4,213092,752
64,65,65,Aaron Baddeley,66,283.2,229948,812
65,66,66,Joe Ogilvie,85,283.1,302357,1068
66,67,67,Chad Campbell,90,283.0,280170,990
67,T68,T68,Robert Allenby,71,282.9,221763,784
68,T68,T68,Mathew Goggin,76,282.9,235693,833
69,T68,T68,J.J. Henry,97,282.9,331520,1172
70,71,71,James Nitties,86,282.8,300079,1061
71,72,72,George McNeill,82,282.7,298778,1057
72,73,73,Bill Lunde,83,282.6,294488,1042
73,T74,T74,Stuart Appleby,79,282.3,255780,906
74,T74,T74,Pat Perez,74,282.3,244476,866
75,T76,T76,Steve Lowery,83,282.1,302440,1072
76,T76,T76,Greg Owen,97,282.1,323013,1145
77,78,78,Kevin Sutherland,96,282.0,286561,1016
78,79,79,Will MacKenzie,69,281.8,240392,853
79,80,80,Carl Pettersson,86,281.7,292378,1038
80,81,81,Tommy Armour III,58,281.5,203492,723
81,82,82,Stephen Ames,77,281.4,222840,792
82,83,83,Brendon de Jonge,90,281.3,308344,1096
83,T84,T84,Mark Calcavecchia,72,280.9,242980,865
84,T84,T84,Rod Pampling,72,280.9,251143,894
85,86,86,Ian Poulter,59,280.8,165091,588
86,87,87,Brian Vranesh,51,280.7,168409,600
87,T88,T88,Kris Blanks,60,280.5,183136,653
88,T88,T88,Webb Simpson,94,280.5,340584,1214
89,90,90,Chris Stroud,88,280.3,296554,1058
90,91,91,Jarrod Lyle,65,280.2,195287,697
91,T92,T92,Derek Fathauer,63,279.9,198699,710
92,T92,T92,Justin Rose,71,279.9,223348,798
93,94,94,Heath Slocum,95,279.8,330222,1180
94,T95,T95,Jason Dufner,90,279.7,303236,1084
95,T95,T95,David Toms,98,279.7,311583,1114
96,T97,T97,Brad Adamonis,70,279.5,237005,848
97,T97,T97,Michael Allen,73,279.5,226393,810
98,99,99,Brian Bateman,55,279.4,186897,669
99,T100,T100,Steve Stricker,81,279.3,240793,862
100,T100,T100,Casey Wittenberg,71,279.3,209511,750
101,T102,T102,Rich Beem,77,279.1,224359,804
102,T102,T102,Brett Quigley,92,279.1,290512,1041
103,T102,T102,Johnson Wagner,81,279.1,288261,1033
104,T105,T105,David Duval,56,279.0,171023,613
105,T105,T105,Kirk Triplett,60,279.0,212061,760
106,T107,T107,Cameron Beckman,87,278.9,291182,1044
107,T107,T107,Jimmy Walker,74,278.9,248483,891
108,109,109,Rocco Mediate,79,278.8,255932,918
109,110,110,Matt Kuchar,82,278.7,275358,988
110,T111,T111,Woody Austin,84,278.6,294739,1058
111,T111,T111,Freddie Jacobson,83,278.6,284739,1022
112,T113,T113,Steve Elkington,70,278.5,239245,859
113,T113,T113,Matt Weibring,65,278.5,213868,768
114,115,115,Vaughn Taylor,88,278.3,306733,1102
115,116,116,Brian Davis,103,278.0,352189,1267
116,T117,T117,Ben Crane,93,277.8,309437,1114
117,T117,T117,Mark Wilson,99,277.8,339700,1223
118,119,119,Jason Bohn,88,277.6,317040,1142
119,T120,T120,Ben Curtis,63,277.5,182577,658
120,T120,T120,Zach Johnson,94,277.5,307430,1108
121,T120,T120,Billy Mayfair,83,277.5,266634,961
122,123,123,Todd Hamilton,83,277.4,247699,893
123,124,124,Justin Leonard,95,277.3,291741,1052
124,125,125,K.J. Choi,65,277.2,194572,702
125,T126,T126,Steve Flesch,77,277.1,241901,873
126,T126,T126,Scott McCarron,91,277.1,312585,1128
127,128,128,Jay Williamson,69,277.0,219926,794
128,129,129,Mike Weir,85,276.8,259040,936
129,T130,T130,Jim Furyk,86,276.5,250507,906
130,T130,T130,Bob Heintz,59,276.5,196293,710
131,T130,T130,Jerry Kelly,90,276.5,296457,1072
132,T133,T133,Kevin Na,91,276.4,299385,1083
133,T133,T133,Charlie Wi,92,276.4,304003,1100
134,T135,T135,Bryce Molder,69,276.2,208773,756
135,T135,T135,D.A. Points,99,276.2,331120,1199
136,T137,T137,Tim Petrovic,97,276.0,330105,1196
137,T137,T137,Scott Verplank,88,276.0,305001,1105
138,139,139,Nathan Green,104,275.9,353376,1281
139,140,140,Ken Duke,87,275.8,272533,988
140,141,141,David Mathis,82,275.6,263979,958
141,T142,T142,Parker McLachlin,71,275.2,257620,936
142,T142,T142,Darron Stiles,52,275.2,161295,586
143,144,144,Joe Durant,62,275.1,178254,648
144,T145,T145,Alex Cejka,82,275.0,272296,990
145,T145,T145,Tim Clark,81,275.0,226015,822
146,T145,T145,Scott Sterling,51,275.0,152362,554
147,148,148,Ryuji Imada,85,274.9,264982,964
148,T149,T149,Eric Axley,71,274.8,225090,819
149,T149,T149,Patrick Sheehan,51,274.8,149485,544
150,151,151,Greg Chalmers,85,274.7,271115,987
151,T152,T152,Briny Baird,89,274.6,275161,1002
152,T152,T152,Cliff Kresge,78,274.6,255683,931
153,T154,T154,Rick Price,54,274.5,156438,570
154,T154,T154,Brandt Snedeker,81,274.5,249241,908
155,156,156,Chez Reavie,81,274.4,269438,982
156,T157,T157,Lee Janzen,74,274.3,232307,847
157,T157,T157,Tom Pernice Jr.,82,274.3,285284,1040
158,159,159,Kent Jones,73,274.1,232972,850
159,160,160,John Mallinger,90,273.8,269429,984
160,T161,T161,Paul Goydos,79,273.7,248517,908
161,T161,T161,Peter Lonard,86,273.7,293183,1071
162,163,163,Chris DiMarco,97,273.4,331324,1212
163,T164,T164,Colt Knost,71,272.9,212335,778
164,T164,T164,Greg Kraft,51,272.9,157208,576
165,T166,T166,Bob Estes,78,272.8,262387,962
166,T166,T166,Jeff Klauk,97,272.8,333307,1222
167,T168,T168,Spencer Levin,75,272.7,253643,930
168,T168,T168,Aron Price,89,272.7,291787,1070
169,170,170,Marc Turnesa,77,272.6,270397,992
170,171,171,Luke Donald,79,271.7,232066,854
171,172,172,Nick O'Hern,90,271.4,320829,1182
172,173,173,Glen Day,79,270.9,240546,888
173,174,174,Jeff Quinney,78,270.3,267337,989
174,175,175,Tom Lehman,55,270.0,131220,486
175,176,176,Bart Bryant,58,269.9,195145,723
176,177,177,Brendon Todd,53,269.2,176582,656
177,T178,T178,Chris Riley,77,269.0,251256,934
178,T178,T178,Dean Wilson,81,269.0,261979,974
179,180,180,Richard Johnson,85,268.2,277350,1034
180,181,181,Brian Gay,96,267.3,306286,1146
181,182,182,Mark Brooks,55,267.0,148196,555
182,183,183,Brad Faxon,59,263.9,190307,721
183,184,184,Corey Pavin,73,255.9,191665,749
