,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,Marc Leishman,91,"120' 7""","8560' 3""",71,"166' 8""","61' 11"""
1,2,2,Jimmy Walker,74,"118' 6""","5924' 3""",50,"159' 2""","77' 2"""
2,3,3,Phil Mickelson,66,"117' 8""","5058' 6""",43,"168' 4""","75' 11"""
3,4,4,Robert Garrigus,83,"116' 11""","7014' 2""",60,"165' 5""","77' 7"""
4,5,5,Harrison Frazar,93,"116' 2""","8364' 3""",72,"155' 7""","72' 8"""
5,6,6,J.B. Holmes,74,"116' 0""",5913',51,"172' 0""","26' 8"""
6,7,7,Gary Woodland,53,"113' 4""","3399' 7""",30,"148' 6""","80' 11"""
7,8,8,Tag Ridings,50,"111' 0""","4551' 2""",41,"142' 1""","73' 8"""
8,9,9,Vijay Singh,71,"110' 5""",6626',60,"143' 11""","65' 1"""
9,10,10,Kevin Sutherland,96,"110' 3""","7057' 7""",64,"151' 6""","9' 6"""
10,11,11,Charley Hoffman,97,"109' 2""","8734' 4""",80,"152' 5""","54' 5"""
11,12,12,Jonathan Byrd,89,"107' 11""","6690' 3""",62,"154' 7""","66' 7"""
12,13,13,Bubba Watson,73,"107' 8""","5166' 2""",48,"154' 11""","56' 7"""
13,T14,T14,Brian Bateman,55,"107' 7""","5164' 3""",48,"139' 4""","68' 10"""
14,T14,T14,Davis Love III,89,"107' 7""","7097' 9""",66,"137' 6""","72' 11"""
15,16,16,John Merrick,91,"107' 5""","7413' 9""",69,"139' 7""","78' 10"""
16,17,17,Darron Stiles,52,"106' 10""","3524' 6""",33,"134' 4""","85' 11"""
17,18,18,Andres Romero,58,"106' 9""","5339' 6""",50,"141' 8""","39' 4"""
18,T19,T19,Webb Simpson,94,"106' 8""","7892' 4""",74,"133' 5""","74' 4"""
19,T19,T19,Tiger Woods,64,"106' 8""","4267' 9""",40,"148' 4""","61' 11"""
20,21,21,Steve Marino,98,"106' 7""","8737' 7""",82,"137' 8""","77' 8"""
21,22,22,Dustin Johnson,85,"106' 6""",6813',64,"142' 2""","60' 7"""
22,23,23,Ryan Palmer,78,"106' 5""","7236' 2""",68,"146' 8""","72' 4"""
23,24,24,Jason Day,61,"106' 4""","5102' 3""",48,"136' 8""","74' 8"""
24,T25,T25,Padraig Harrington,66,"106' 0""","4877' 5""",46,"155' 7""","76' 8"""
25,T25,T25,Geoff Ogilvy,78,"106' 0""","7103' 6""",67,"136' 10""","66' 4"""
26,27,27,Ted Purdy,101,"105' 11""","8369' 3""",79,"152' 8""","52' 10"""
27,28,28,Troy Matteson,95,"105' 8""","8983' 7""",85,"158' 8""","64' 4"""
28,29,29,Anthony Kim,76,"105' 5""","6007' 2""",57,"155' 1""","61' 10"""
29,30,30,Mark Wilson,99,"104' 3""","8029' 3""",77,"128' 4""","19' 0"""
30,31,31,Retief Goosen,74,"103' 10""","5607' 9""",54,"143' 8""","65' 11"""
31,32,32,Kevin Stadler,65,"103' 2""","4643' 6""",45,"136' 5""","70' 8"""
32,33,33,Billy Mayfair,83,"103' 0""","6692' 7""",65,"141' 1""","67' 7"""
33,34,34,Nicholas Thompson,96,"102' 10""","8224' 0""",80,"141' 7""","63' 5"""
34,35,35,David Duval,56,"102' 7""","3591' 8""",35,"154' 5""","58' 11"""
35,36,36,Martin Laird,72,"102' 5""","5017' 5""",49,"141' 4""","74' 6"""
36,37,37,Robert Allenby,71,"101' 8""","5593' 8""",55,"132' 8""","56' 0"""
37,38,38,Kevin Streelman,97,"101' 7""","8632' 2""",85,"132' 6""","51' 4"""
38,39,39,Charles Warren,63,"101' 5""","4767' 0""",47,"136' 5""","72' 1"""
39,40,40,Scott Piercy,85,"101' 4""","6180' 9""",61,"152' 4""","42' 5"""
40,41,41,Chris Stroud,88,"101' 2""","5663' 6""",56,"157' 0""","48' 4"""
41,T42,T42,George McNeill,82,"101' 1""","7479' 8""",74,"137' 2""","68' 11"""
42,T42,T42,Joe Ogilvie,85,"101' 1""","6569' 1""",65,"144' 1""","72' 11"""
43,44,44,Brandt Snedeker,81,"101' 0""",6160',61,"121' 10""","68' 5"""
44,45,45,Brendon Todd,53,"100' 10""",4838',48,"128' 1""","67' 6"""
45,46,46,Rick Price,54,"100' 8""","3924' 6""",39,"133' 11""","64' 6"""
46,T47,T47,Scott McCarron,91,"99' 11""","7394' 9""",74,"129' 6""","64' 1"""
47,T47,T47,Kenny Perry,92,"99' 11""","7691' 4""",77,"139' 6""","71' 2"""
48,49,49,Ernie Els,70,"99' 9""","5085' 9""",51,"138' 5""","71' 4"""
49,T50,T50,Rich Beem,77,"99' 8""","5181' 1""",52,"127' 5""","68' 5"""
50,T50,T50,Leif Olson,51,"99' 8""","3788' 6""",38,"141' 8""","65' 1"""
51,T52,T52,Bob Heintz,59,"99' 2""","4265' 3""",43,"143' 5""","68' 1"""
52,T52,T52,Bo Van Pelt,100,"99' 2""","7238' 6""",73,"132' 1""","75' 0"""
53,T52,T52,Matt Weibring,65,"99' 2""","4758' 1""",48,"131' 0""","78' 8"""
54,T55,T55,Chris DiMarco,97,"98' 10""","8005' 8""",81,"129' 2""","69' 10"""
55,T55,T55,Mathew Goggin,76,"98' 10""","5535' 2""",56,"129' 8""","64' 7"""
56,57,57,Kent Jones,73,"98' 9""","5233' 3""",53,"117' 2""","63' 8"""
57,58,58,Luke Donald,79,"98' 8""","6313' 2""",64,"122' 10""","20' 11"""
58,59,59,Vaughn Taylor,88,"98' 7""","6405' 9""",65,"133' 11""","68' 4"""
59,60,60,Matt Jones,56,"98' 5""","3839' 6""",39,"126' 7""","60' 2"""
60,61,61,Bryce Molder,69,"98' 3""","5108' 8""",52,"136' 10""","57' 11"""
61,62,62,Stewart Cink,79,"98' 1""","6279' 6""",64,"132' 0""","67' 6"""
62,63,63,Pat Perez,74,"97' 11""","6166' 8""",63,"136' 0""","65' 11"""
63,64,64,Ángel Cabrera,55,"97' 10""","3521' 1""",36,"135' 1""","54' 0"""
64,65,65,Brian Davis,103,"97' 8""","9081' 7""",93,"129' 10""","64' 7"""
65,66,66,Jason Bohn,88,"97' 7""","7905' 8""",81,"125' 0""","71' 1"""
66,T67,T67,Bill Haas,91,"97' 2""",7775',80,"131' 8""","57' 8"""
67,T67,T67,John Senden,100,"97' 2""","7576' 7""",78,"134' 4""","68' 1"""
68,69,69,Aron Price,89,"96' 5""","6845' 7""",71,"125' 4""","64' 8"""
69,T70,T70,Brendon de Jonge,90,"96' 4""","6455' 4""",67,"148' 11""","57' 5"""
70,T70,T70,David Toms,98,"96' 4""","7706' 8""",80,"122' 5""","10' 6"""
71,72,72,John Rollins,92,"96' 3""",7509',78,"130' 0""","54' 10"""
72,73,73,Fred Couples,54,"96' 2""","3942' 2""",41,"143' 10""","52' 1"""
