,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Steve Stricker,81,-.095
1,2,2,Matt Kuchar,82,-.080
2,3,3,Dustin Johnson,85,-.062
3,4,4,Tiger Woods,64,-.057
4,5,5,Fred Couples,54,-.056
5,6,6,Kevin Streelman,97,-.055
6,7,7,Ben Curtis,63,-.054
7,8,8,Kenny Perry,92,-.035
8,9,9,Andres Romero,58,-.028
9,10,10,Steve Marino,98,-.021
10,11,11,Vijay Singh,71,-.020
11,12,12,Geoff Ogilvy,78,-.019
12,13,13,Robert Garrigus,83,-.018
13,T14,T14,Robert Allenby,71,-.017
14,T14,T14,Joe Ogilvie,85,-.017
15,T16,T16,Charley Hoffman,97,-.012
16,T16,T16,Nick Watney,86,-.012
17,18,18,Sean O'Hair,80,-.008
18,T19,T19,Charles Howell III,99,E
19,T19,T19,Anthony Kim,76,E
20,T19,T19,Scott Piercy,85,E
21,T19,T19,Webb Simpson,94,E
22,T19,T19,Kirk Triplett,60,E
23,24,24,Nathan Green,104,+.006
24,T25,T25,Justin Rose,71,+.011
25,T25,T25,Adam Scott,53,+.011
26,27,27,Luke Donald,79,+.019
27,T28,T28,Sergio Garcia,59,+.022
28,T28,T28,Jarrod Lyle,65,+.022
29,T28,T28,Tag Ridings,50,+.022
30,T28,T28,Brandt Snedeker,81,+.022
31,32,32,Matt Jones,56,+.024
32,33,33,Rocco Mediate,79,+.025
33,34,34,Y.E. Yang,83,+.026
34,35,35,Rich Beem,77,+.028
35,36,36,Jonathan Byrd,89,+.029
36,37,37,Brett Quigley,92,+.032
37,38,38,Padraig Harrington,66,+.034
38,39,39,Tom Pernice Jr.,82,+.036
39,T40,T40,Spencer Levin,75,+.037
40,T40,T40,Troy Matteson,95,+.037
41,42,42,Jerry Kelly,90,+.041
42,43,43,Kris Blanks,60,+.044
43,44,44,Jeff Overton,92,+.045
44,45,45,Bill Haas,91,+.046
45,46,46,Davis Love III,89,+.049
46,47,47,Chad Campbell,90,+.050
47,T48,T48,Marc Leishman,91,+.052
48,T48,T48,Bo Van Pelt,100,+.052
49,T48,T48,Brian Vranesh,51,+.052
50,51,51,Aron Price,89,+.053
51,52,52,Bubba Watson,73,+.054
52,T53,T53,Bob Heintz,59,+.056
53,T53,T53,Jimmy Walker,74,+.056
54,55,55,Alex Cejka,82,+.059
55,56,56,Scott McCarron,91,+.060
56,57,57,Chris DiMarco,97,+.066
57,T58,T58,Aaron Baddeley,66,+.067
58,T58,T58,Greg Owen,97,+.067
59,T58,T58,Rory Sabbatini,81,+.067
60,61,61,Justin Leonard,95,+.068
61,62,62,Jason Dufner,90,+.070
62,T63,T63,Zach Johnson,94,+.071
63,T63,T63,Camilo Villegas,76,+.071
64,T65,T65,Ben Crane,93,+.073
65,T65,T65,Jason Gore,74,+.073
66,T65,T65,Charlie Wi,92,+.073
67,T68,T68,J.B. Holmes,74,+.074
68,T68,T68,Chris Stroud,88,+.074
69,70,70,John Merrick,91,+.075
70,71,71,George McNeill,82,+.078
71,72,72,Ryan Moore,89,+.079
72,73,73,Greg Chalmers,85,+.083
73,T74,T74,Freddie Jacobson,83,+.085
74,T74,T74,Jeff Klauk,97,+.085
75,T74,T74,Vaughn Taylor,88,+.085
76,77,77,Steve Flesch,77,+.088
77,T78,T78,Brian Davis,103,+.093
78,T78,T78,Phil Mickelson,66,+.093
79,T78,T78,Kevin Stadler,65,+.093
80,T78,T78,David Toms,98,+.093
81,82,82,Lucas Glover,93,+.094
82,83,83,Chris Riley,77,+.095
83,T84,T84,Ken Duke,87,+.096
84,T84,T84,Parker McLachlin,71,+.096
85,86,86,Ernie Els,70,+.098
86,87,87,Michael Allen,73,+.099
87,T88,T88,Patrick Sheehan,51,+.100
88,T88,T88,Scott Sterling,51,+.100
89,90,90,Jason Bohn,88,+.101
