,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Kirk Triplett,60,88.54,734,829
1,2,2,Tim Clark,81,87.03,946,1087
2,3,3,D.J. Trahan,96,86.88,1165,1341
3,4,4,Jeff Maggert,79,86.7,952,1098
4,5,5,Tommy Armour III,58,86.6,698,806
5,6,6,Scott McCarron,91,86.58,1097,1267
6,7,7,Jason Bohn,88,86.29,1057,1225
7,8,8,Robert Allenby,71,85.92,842,980
8,9,9,Zach Johnson,94,85.58,1104,1290
9,10,10,Hunter Mahan,94,85.31,1098,1287
10,11,11,Steve Stricker,81,84.91,934,1100
11,12,12,Boo Weekley,79,84.88,915,1078
12,13,13,Kenny Perry,92,84.76,1079,1273
13,14,14,Billy Mayfair,83,84.7,980,1157
14,15,15,Ben Crane,93,84.65,1097,1296
15,16,16,Lucas Glover,93,84.36,1095,1298
16,17,17,Steve Elkington,70,84.33,818,970
17,18,18,Sean O'Hair,80,84.23,897,1065
18,19,19,Justin Rose,71,84.08,824,980
19,20,20,Will MacKenzie,69,84.02,810,964
20,21,21,Justin Leonard,95,84.01,1072,1276
21,22,22,Woody Austin,84,83.93,982,1170
22,23,23,Charlie Wi,92,83.92,1075,1281
23,24,24,Jeff Klauk,97,83.89,1130,1347
24,T25,T25,John Senden,100,83.88,1171,1396
25,T25,T25,David Toms,98,83.88,1145,1365
26,27,27,Steve Flesch,77,83.8,895,1068
27,28,28,Marc Turnesa,77,83.72,900,1075
28,29,29,Tom Pernice Jr.,82,83.55,950,1137
29,30,30,Stephen Ames,77,83.52,872,1044
30,31,31,Jim Furyk,86,83.49,966,1157
31,32,32,Ian Poulter,59,83.42,654,784
32,33,33,Jonathan Byrd,89,83.39,1034,1240
33,34,34,Ernie Els,70,83.19,772,928
34,35,35,Tiger Woods,64,83.06,721,868
35,36,36,Rod Pampling,72,82.96,823,992
36,37,37,Ben Curtis,63,82.95,720,868
37,38,38,Matt Kuchar,82,82.91,946,1141
38,39,39,Bob Estes,78,82.89,901,1087
39,40,40,Nicholas Thompson,96,82.85,1106,1335
40,41,41,Davis Love III,89,82.72,1010,1221
41,42,42,Mathew Goggin,76,82.7,851,1029
42,43,43,Steve Lowery,83,82.6,954,1155
43,44,44,Johnson Wagner,81,82.57,933,1130
44,T45,T45,Richard Johnson,85,82.56,980,1187
45,T45,T45,Vijay Singh,71,82.56,800,969
46,47,47,Camilo Villegas,76,82.46,846,1026
47,48,48,Scott Verplank,88,82.29,1013,1231
48,49,49,Tim Petrovic,97,82.28,1110,1349
49,50,50,Heath Slocum,95,82.2,1085,1320
50,51,51,K.J. Choi,65,82.16,737,897
51,52,52,Briny Baird,89,82.02,1017,1240
52,53,53,Paul Goydos,79,81.96,904,1103
53,54,54,Kevin Sutherland,96,81.93,1084,1323
54,55,55,Charley Hoffman,97,81.87,1106,1351
55,56,56,Jeff Quinney,78,81.68,887,1086
56,57,57,Mark Calcavecchia,72,81.57,819,1004
57,58,58,Nick O'Hern,90,81.47,1020,1252
58,59,59,Chez Reavie,81,81.43,925,1136
59,60,60,Mark Wilson,99,81.4,1120,1376
60,61,61,Troy Matteson,95,81.32,1075,1322
61,62,62,Sergio Garcia,59,81.28,660,812
62,63,63,Nick Watney,86,81.2,972,1197
63,64,64,John Mallinger,90,81.1,1013,1249
64,65,65,Pat Perez,74,81.09,815,1005
65,66,66,Michael Allen,73,80.96,825,1019
66,67,67,Martin Laird,72,80.91,814,1006
67,68,68,Bill Haas,91,80.88,1024,1266
68,69,69,Stewart Cink,79,80.8,829,1026
69,70,70,Jason Dufner,90,80.74,1010,1251
70,T71,T71,Brian Davis,103,80.68,1157,1434
71,T71,T71,Ken Duke,87,80.68,977,1211
72,73,73,Bill Lunde,83,80.66,930,1153
73,74,74,Mike Weir,85,80.65,946,1173
74,75,75,Dustin Johnson,85,80.63,949,1177
75,76,76,Steve Marino,98,80.56,1102,1368
76,77,77,Daniel Chopra,89,80.53,1005,1248
77,78,78,John Rollins,92,80.51,1033,1283
78,79,79,Brandt Snedeker,81,80.46,910,1131
79,80,80,Webb Simpson,94,80.4,1054,1311
80,81,81,Ryan Palmer,78,80.38,877,1091
81,82,82,Geoff Ogilvy,78,80.34,813,1012
82,83,83,Chris Stroud,88,80.33,984,1225
83,84,84,Alex Cejka,82,80.31,918,1143
84,85,85,Brian Gay,96,80.25,1077,1342
85,86,86,Chris Riley,77,80.24,861,1073
86,87,87,Chad Campbell,90,80.02,1005,1256
87,88,88,D.A. Points,99,80.0,1104,1380
88,89,89,Andres Romero,58,79.93,641,802
89,90,90,Greg Owen,97,79.91,1082,1354
90,91,91,Brian Bateman,55,79.9,612,766
91,T92,T92,Stuart Appleby,79,79.87,869,1088
92,T92,T92,Chris DiMarco,97,79.87,1079,1351
93,94,94,Luke Donald,79,79.79,849,1064
94,95,95,Matt Bettencourt,98,79.69,1087,1364
95,96,96,Ryan Moore,89,79.52,986,1240
96,97,97,Tom Lehman,55,79.48,608,765
97,98,98,Retief Goosen,74,79.45,808,1017
98,99,99,Robert Garrigus,83,79.43,919,1157
99,100,100,Rory Sabbatini,81,79.39,886,1116
100,101,101,Kevin Streelman,97,79.35,1072,1351
101,102,102,George McNeill,82,79.33,906,1142
102,103,103,Todd Hamilton,83,79.27,918,1158
103,104,104,Vaughn Taylor,88,79.22,972,1227
104,105,105,Fred Couples,54,79.15,596,753
105,106,106,Kevin Na,91,79.11,1000,1264
106,107,107,Peter Lonard,86,79.03,946,1197
107,108,108,Carl Pettersson,86,79.02,953,1206
108,109,109,Tim Herron,87,78.97,954,1208
109,110,110,Ryuji Imada,85,78.96,938,1188
110,111,111,Adam Scott,53,78.9,576,730
111,112,112,Rocco Mediate,79,78.73,866,1100
112,113,113,Brendon de Jonge,90,78.38,979,1249
113,114,114,Darron Stiles,52,78.34,568,725
114,115,115,Cameron Beckman,87,78.3,949,1212
115,116,116,Freddie Jacobson,83,78.29,909,1161
116,117,117,Y.E. Yang,83,78.26,907,1159
117,118,118,Bubba Watson,73,78.19,796,1018
118,119,119,Ted Purdy,101,78.17,1103,1411
119,120,120,Jason Gore,74,78.06,804,1030
120,121,121,Marc Leishman,91,77.94,989,1269
121,122,122,Spencer Levin,75,77.91,811,1041
122,123,123,Joe Ogilvie,85,77.69,916,1179
123,124,124,J.J. Henry,97,77.68,1051,1353
124,125,125,Ángel Cabrera,55,77.65,587,756
125,126,126,Michael Letzig,96,77.64,1035,1333
126,127,127,Bo Van Pelt,100,77.61,1078,1389
127,T128,T128,Brad Adamonis,70,77.6,755,973
128,T128,T128,Anthony Kim,76,77.6,807,1040
129,130,130,Glen Day,79,77.58,851,1097
130,131,131,Nathan Green,104,77.57,1124,1449
131,132,132,Aaron Baddeley,66,77.47,705,910
132,133,133,Bart Bryant,58,77.45,625,807
133,134,134,Bob Heintz,59,77.22,634,821
134,135,135,Scott Piercy,85,77.03,912,1184
135,136,136,Brian Vranesh,51,76.65,545,711
136,137,137,Charles Warren,63,76.56,673,879
137,138,138,James Nitties,86,76.44,918,1201
138,139,139,Parker McLachlin,71,76.39,757,991
139,140,140,Jay Williamson,69,76.38,734,961
140,141,141,Phil Mickelson,66,76.28,672,881
141,142,142,Dean Wilson,81,76.22,859,1127
142,143,143,Kent Jones,73,76.2,775,1017
143,144,144,Greg Chalmers,85,76.14,900,1182
144,145,145,David Mathis,82,76.03,866,1139
145,146,146,Joe Durant,62,75.96,651,857
146,147,147,Padraig Harrington,66,75.8,689,909
147,148,148,Kris Blanks,60,75.78,632,834
148,149,149,Rich Beem,77,75.68,809,1069
149,150,150,Jerry Kelly,90,75.6,948,1254
150,151,151,Brendon Todd,53,75.51,558,739
151,152,152,Cliff Kresge,78,75.39,818,1085
152,153,153,Charles Howell III,99,75.38,1041,1381
153,154,154,J.B. Holmes,74,75.31,781,1037
154,155,155,Greg Kraft,51,75.24,538,715
155,156,156,Rick Price,54,75.1,564,751
156,157,157,Harrison Frazar,93,74.83,969,1295
157,158,158,Colt Knost,71,74.77,738,987
158,159,159,David Duval,56,74.74,583,780
159,160,160,Corey Pavin,73,74.65,757,1014
160,161,161,Matt Weibring,65,74.64,677,907
161,162,162,Aron Price,89,74.45,921,1237
162,163,163,Casey Wittenberg,71,74.37,734,987
163,164,164,Brad Faxon,59,74.33,608,818
164,165,165,Lee Janzen,74,74.32,764,1028
165,166,166,Peter Tomasulo,61,74.17,629,848
166,167,167,Brett Quigley,92,73.94,945,1278
167,168,168,Mark Brooks,55,73.43,561,764
168,T169,T169,John Merrick,91,73.03,929,1272
169,T169,T169,Jeff Overton,92,73.03,937,1283
170,171,171,Jarrod Lyle,65,72.52,657,906
171,172,172,Matt Jones,56,72.4,564,779
172,173,173,Patrick Sheehan,51,72.15,513,711
173,174,174,Bryce Molder,69,72.02,695,965
174,175,175,Leif Olson,51,71.97,511,710
175,176,176,Jimmy Walker,74,71.55,737,1030
176,177,177,Tag Ridings,50,71.37,496,695
177,178,178,Jason Day,61,71.21,606,851
178,179,179,Kevin Stadler,65,71.05,643,905
179,180,180,Ricky Barnes,67,70.97,665,937
180,181,181,Scott Sterling,51,70.44,498,707
181,182,182,Derek Fathauer,63,69.44,609,877
182,183,183,Gary Woodland,53,68.16,503,738
183,184,184,Eric Axley,71,67.65,667,986
