,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Robert Garrigus,83,312.0,49299,158
1,2,2,Bubba Watson,73,311.4,45471,146
2,3,3,Dustin Johnson,85,308.3,51792,168
3,4,4,Tag Ridings,50,307.4,27053,88
4,5,5,Gary Woodland,53,307.3,28889,94
5,6,6,Nick Watney,86,305.3,52505,172
6,7,7,J.B. Holmes,74,304.6,45088,148
7,8,8,Ángel Cabrera,55,304.1,32846,108
8,9,9,Troy Matteson,95,301.7,54911,182
9,10,10,Harrison Frazar,93,301.0,53582,178
10,11,11,Charley Hoffman,97,300.8,58363,194
11,12,12,Scott Piercy,85,300.6,48703,162
12,13,13,Phil Mickelson,66,300.1,37818,126
13,T14,T14,Martin Laird,72,299.9,41989,140
14,T14,T14,Davis Love III,89,299.9,52188,174
15,16,16,Anthony Kim,76,299.0,44255,148
16,17,17,Marc Leishman,91,298.6,51951,174
17,T18,T18,Sergio Garcia,59,298.5,34630,116
18,T18,T18,Andres Romero,58,298.5,34024,114
19,T18,T18,Charles Warren,63,298.5,34024,114
20,21,21,Tiger Woods,64,298.4,36997,124
21,22,22,Bill Haas,91,298.3,51902,174
22,23,23,Matt Jones,56,298.0,29797,100
23,24,24,Fred Couples,54,297.5,32125,108
24,25,25,Lucas Glover,93,297.4,55322,186
25,T26,T26,Daniel Chopra,89,297.1,52888,178
26,T26,T26,Ryan Palmer,78,297.1,46350,156
27,28,28,Hunter Mahan,94,297.0,54648,184
28,29,29,John Merrick,91,296.9,49288,166
29,T30,T30,Leif Olson,51,296.5,27869,94
30,T30,T30,John Rollins,92,296.5,52179,176
31,T30,T30,Kevin Streelman,97,296.5,55157,186
32,T33,T33,Jonathan Byrd,89,295.9,50307,170
33,T33,T33,Ryan Moore,89,295.9,50299,170
34,35,35,Steve Marino,98,295.7,55584,188
35,36,36,Jason Day,61,295.3,31307,106
36,37,37,Adam Scott,53,294.9,30667,104
37,38,38,Nicholas Thompson,96,294.8,55421,188
38,39,39,Stewart Cink,79,294.7,43025,146
39,40,40,John Senden,100,294.2,58836,200
40,T41,T41,Jeff Overton,92,293.9,51724,176
41,T41,T41,Vijay Singh,71,293.9,40556,138
42,43,43,Michael Letzig,96,293.8,54051,184
43,44,44,J.J. Henry,97,293.7,54627,186
44,45,45,Ted Purdy,101,293.6,54601,186
45,46,46,Sean O'Hair,80,293.3,44579,152
46,47,47,Rory Sabbatini,81,293.2,46911,160
47,T48,T48,Robert Allenby,71,293.1,41040,140
48,T48,T48,Kenny Perry,92,293.1,53339,182
49,T50,T50,Peter Tomasulo,61,293.0,32232,110
50,T50,T50,Camilo Villegas,76,293.0,42778,146
51,52,52,Matt Bettencourt,98,292.9,57409,196
52,T53,T53,David Duval,56,292.7,32784,112
53,T53,T53,Charles Howell III,99,292.7,53268,182
54,55,55,Ricky Barnes,67,292.6,34522,118
55,56,56,Bo Van Pelt,100,292.5,53825,184
56,57,57,Bill Lunde,83,292.4,47361,162
57,58,58,Retief Goosen,74,292.3,42679,146
58,T59,T59,Tim Herron,87,292.1,50819,174
