,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,Darron Stiles,52,2.715,288.624,106.319,33,3.3810000000000002
1,2,2,Chez Reavie,81,2.676,282.591,105.59100000000001,75,3.576
2,3,3,Vijay Singh,71,2.667,301.27299999999997,112.98100000000001,61,3.489
3,T4,T4,Jeff Maggert,79,2.659,287.72900000000004,108.225,72,3.0869999999999997
4,T4,T4,Nick O'Hern,90,2.659,278.13,104.617,87,3.161
5,6,6,K.J. Choi,65,2.657,287.832,108.31299999999999,58,3.549
6,T7,T7,Parker McLachlin,71,2.6519999999999997,290.438,109.522,63,3.445
7,T7,T7,David Toms,98,2.6519999999999997,285.572,107.7,83,3.305
8,9,9,Geoff Ogilvy,78,2.647,300.496,113.50399999999999,69,3.4939999999999998
9,T10,T10,Anthony Kim,76,2.645,306.768,115.979,63,3.3539999999999996
10,T10,T10,Webb Simpson,94,2.645,291.957,110.37700000000001,76,3.03
11,12,12,Carl Pettersson,86,2.6439999999999997,291.60200000000003,110.274,78,3.4339999999999997
12,13,13,Kenny Perry,92,2.642,295.247,111.77,81,3.477
13,14,14,John Mallinger,90,2.64,280.608,106.275,75,3.082
14,15,15,Greg Kraft,51,2.638,276.488,104.79,41,3.2560000000000002
15,T16,T16,Cliff Kresge,78,2.636,282.944,107.336,67,3.1830000000000003
16,T16,T16,Heath Slocum,95,2.636,285.868,108.46700000000001,82,3.0439999999999996
17,T18,T18,Ernie Els,70,2.634,299.069,113.535,53,3.551
18,T18,T18,Hunter Mahan,94,2.634,298.009,113.119,69,3.263
19,T18,T18,Joe Ogilvie,85,2.634,289.38599999999997,109.85600000000001,71,3.0039999999999996
20,T18,T18,Ryan Palmer,78,2.634,298.111,113.162,68,3.181
21,T22,T22,Jason Gore,74,2.633,292.612,111.13,57,3.0460000000000003
22,T22,T22,Mark Wilson,99,2.633,281.455,106.90799999999999,81,3.1460000000000004
23,24,24,Camilo Villegas,76,2.6319999999999997,299.367,113.74799999999999,59,3.418
24,25,25,Ian Poulter,59,2.6310000000000002,288.777,109.75200000000001,50,3.1439999999999997
25,T26,T26,Zach Johnson,94,2.63,282.95,107.574,92,3.4960000000000004
26,T26,T26,Justin Leonard,95,2.63,284.645,108.213,88,3.49
27,28,28,Brian Gay,96,2.6289999999999996,271.197,103.152,91,3.488
28,T29,T29,David Mathis,82,2.627,285.836,108.789,69,2.98
29,T29,T29,D.A. Points,99,2.627,284.387,108.238,85,3.0669999999999997
30,T29,T29,Peter Tomasulo,61,2.627,297.914,113.412,43,3.05
31,32,32,Brian Davis,103,2.625,281.414,107.22,96,3.0460000000000003
32,33,33,Glen Day,79,2.6239999999999997,272.19,103.727,63,3.1069999999999998
33,T34,T34,Steve Marino,98,2.622,295.233,112.603,88,3.043
34,T34,T34,Tom Pernice Jr.,82,2.622,282.972,107.926,76,3.102
35,T34,T34,Brandt Snedeker,81,2.622,280.546,106.993,62,3.036
36,T34,T34,Kirk Triplett,60,2.622,281.216,107.26299999999999,53,3.008
