,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Charley Hoffman,97,467,Valero Texas Open,3,1,625
1,2,2,Steve Dartnall,2,438,Valero Texas Open,2,11,625
2,3,3,Leif Olson,51,437,Valero Texas Open,1,11,625
3,4,4,Dustin Johnson,85,430,Mercedes-Benz Championship,2,12,656
4,5,5,Steve Allan,37,422,Legends Reno-Tahoe Open,2,8,660
5,6,6,Tag Ridings,50,420,Valero Texas Open,2,11,625
6,7,7,Charles Howell III,99,418,World Golf Championships-Bridgestone Invitational,4,16,36
7,8,8,Greg Owen,97,417,Valero Texas Open,2,11,625
8,9,9,Andres Romero,58,416,Legends Reno-Tahoe Open,2,14,660
9,10,10,Geoff Ogilvy,78,415,Mercedes-Benz Championship,2,17,656
10,11,11,Ernie Els,70,414,Mercedes-Benz Championship,2,12,656
11,12,12,Camilo Villegas,76,413,Mercedes-Benz Championship,2,12,656
12,T13,T13,Daniel Chopra,89,412,Mercedes-Benz Championship,2,17,656
13,T13,T13,Sean O'Hair,80,412,Mercedes-Benz Championship,1,17,656
14,T13,T13,Kevin Stadler,65,412,Valero Texas Open,1,11,625
15,T13,T13,Jarrod Lyle,65,412,Valero Texas Open,1,1,625
16,17,4,Dustin Johnson,85,411,Valero Texas Open,1,1,625
17,T18,T13,Daniel Chopra,89,409,Mercedes-Benz Championship,2,12,656
18,T18,T18,Sergio Garcia,59,409,World Golf Championships-Bridgestone Invitational,3,16,36
19,T18,T18,J.B. Holmes,74,409,Mercedes-Benz Championship,1,12,656
20,T21,T21,Davis Love III,89,408,Mercedes-Benz Championship,1,18,656
21,T21,T21,Bill Haas,91,408,Valero Texas Open,2,11,625
22,T21,9,Andres Romero,58,408,Mercedes-Benz Championship,2,12,656
23,T24,11,Ernie Els,70,407,Mercedes-Benz Championship,1,12,656
24,T24,T24,Adam Scott,53,407,Mercedes-Benz Championship,1,12,656
25,T24,T24,Y.E. Yang,83,407,World Golf Championships-Bridgestone Invitational,4,16,36
26,27,4,Dustin Johnson,85,406,Mercedes-Benz Championship,2,17,656
27,28,T18,J.B. Holmes,74,405,Mercedes-Benz Championship,2,18,656
28,T29,T21,Davis Love III,89,404,Mercedes-Benz Championship,1,17,656
29,T29,1,Charley Hoffman,97,404,Valero Texas Open,2,11,625
30,T29,T29,Johnson Wagner,81,404,Mercedes-Benz Championship,2,7,656
31,T32,4,Dustin Johnson,85,403,Valero Texas Open,2,11,625
32,T32,T32,Bobby Gates,4,403,Valero Texas Open,2,11,625
33,T34,T34,Phil Mickelson,66,402,World Golf Championships-CA Championship,3,2,8
34,T34,10,Geoff Ogilvy,78,402,Mercedes-Benz Championship,2,7,656
35,T34,T34,Bill Lunde,83,402,Valero Texas Open,2,11,625
36,T34,T34,Matt Jones,56,402,Valero Texas Open,2,1,625
37,T34,T18,J.B. Holmes,74,402,Mercedes-Benz Championship,3,6,656
38,T34,T34,Anthony Kim,76,402,Mercedes-Benz Championship,2,12,656
39,T34,T34,Anthony Kim,76,402,Valero Texas Open,2,11,625
40,41,41,Ryuji Imada,85,401,Mercedes-Benz Championship,2,18,656
41,T42,T42,Stewart Cink,79,400,Mercedes-Benz Championship,1,12,656
42,T42,T42,D.J. Trahan,96,400,Mercedes-Benz Championship,1,12,656
43,T42,9,Andres Romero,58,400,Mercedes-Benz Championship,1,12,656
44,T42,9,Andres Romero,58,400,Mercedes-Benz Championship,1,17,656
45,T42,4,Dustin Johnson,85,400,Valero Texas Open,1,11,625
46,T42,T42,Gary Woodland,53,400,Valero Texas Open,2,1,625
47,48,48,Parker McLachlin,71,399,Mercedes-Benz Championship,2,17,656
48,T49,T49,J.L. Lewis,10,398,Valero Texas Open,2,11,625
49,T49,T49,Kenny Perry,92,398,Mercedes-Benz Championship,2,18,656
50,T49,11,Ernie Els,70,398,Mercedes-Benz Championship,1,17,656
51,T49,T18,Sergio Garcia,59,398,World Golf Championships-Bridgestone Invitational,4,16,36
