,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Arron Oberholser,69,89.44,956,855
1,2,2,Jesper Parnevik,88,89.34,1313,1173
2,3,3,K.J. Choi,87,89.33,1218,1088
3,4,4,Brian Gay,107,89.32,1741,1555
4,5,5,Zach Johnson,76,89.28,1073,958
5,6,6,Stewart Cink,91,89.13,1297,1156
6,7,7,Doug LaBelle II,104,89.11,1671,1489
7,8,8,Steve Stricker,81,89.08,1191,1061
8,9,9,Charlie Wi,90,89.07,1500,1336
9,10,10,George McNeill,95,89.04,1442,1284
10,11,11,Tim Clark,66,89.03,939,836
11,12,12,Heath Slocum,101,88.93,1689,1502
12,13,13,Aaron Baddeley,83,88.9,1189,1057
13,14,14,Rory Sabbatini,81,88.88,1133,1007
14,15,15,Chris Tidland,59,88.75,933,828
15,16,16,Brandt Snedeker,105,88.74,1554,1379
16,17,17,Gavin Coles,87,88.7,1407,1248
17,18,18,Hunter Mahan,91,88.49,1329,1176
18,19,19,Craig Lile,77,88.48,1259,1114
19,20,20,Bob Estes,88,88.47,1449,1282
20,21,21,José María Olazábal,52,88.46,676,598
21,22,22,Mark Brooks,53,88.41,759,671
22,23,23,Cliff Kresge,107,88.39,1843,1629
23,24,24,Richard Johnson,93,88.37,1530,1352
24,25,25,John Rollins,102,88.36,1546,1366
25,T26,T26,Stephen Leaney,82,88.22,1367,1206
26,T26,T26,Dean Wilson,92,88.22,1350,1191
27,28,28,Kevin Na,84,88.19,1405,1239
28,29,29,Phil Mickelson,73,88.1,966,851
29,30,30,Michael Sim,52,88.09,915,806
30,31,31,Bob Tway,103,88.05,1607,1415
31,T32,T32,Brian Bateman,55,88.02,818,720
32,T32,T32,Ryuji Imada,104,88.02,1628,1433
33,34,34,Freddie Jacobson,70,88.0,1217,1071
34,35,35,Tom Byrum,50,87.98,757,666
35,36,36,Nathan Green,103,87.97,1588,1397
36,37,37,Daniel Chopra,106,87.96,1719,1512
37,38,38,Ryan Palmer,91,87.9,1488,1308
38,39,39,Chris Stroud,66,87.89,1024,900
39,40,40,Bart Bryant,87,87.85,1350,1186
40,41,41,Tripp Isenhour,86,87.8,1353,1188
41,42,42,Jay Williamson,50,87.77,891,782
42,43,43,Michael Boyd,61,87.75,963,845
43,44,44,Dicky Pride,71,87.73,1108,972
44,45,45,Duffy Waldorf,69,87.7,1089,955
45,T46,T46,Charles Howell III,89,87.68,1209,1060
46,T46,T46,Bryce Molder,56,87.68,885,776
47,48,48,Matt Kuchar,85,87.66,1313,1151
48,49,49,Tag Ridings,52,87.65,818,717
49,50,50,Bo Van Pelt,104,87.63,1787,1566
50,T51,T51,Jim Furyk,84,87.6,1234,1081
51,T51,T51,Nick O'Hern,72,87.6,1024,897
52,53,53,Mathew Goggin,97,87.59,1628,1426
53,54,54,Bubba Watson,80,87.57,1223,1071
54,55,55,Jim Rutledge,59,87.56,868,760
55,56,56,Lucas Glover,98,87.54,1429,1251
56,T57,T57,Steve Elkington,87,87.52,1338,1171
57,T57,T57,Retief Goosen,50,87.52,641,561
58,T59,T59,Stephen Ames,81,87.5,1144,1001
59,T59,T59,Tiger Woods,63,87.5,776,679
60,61,61,David Toms,80,87.49,1159,1014
61,62,62,Rich Barcelo,80,87.47,1285,1124
62,63,63,Ken Duke,112,87.46,1754,1534
63,64,64,Parker McLachlin,83,87.43,1321,1155
64,65,65,Troy Matteson,87,87.42,1407,1230
65,T66,T66,Scott Gutschewski,67,87.41,1064,930
66,T66,T66,Camilo Villegas,82,87.41,1279,1118
67,68,68,Fred Funk,65,87.36,973,850
68,T69,T69,Chris DiMarco,79,87.34,1185,1035
69,T69,T69,Jeff Overton,60,87.34,995,869
70,71,71,Tommy Armour III,81,87.32,1278,1116
71,T72,T72,Sergio Garcia,68,87.29,1015,886
72,T72,T72,Michael Putnam,96,87.29,1487,1298
73,74,74,Kevin Sutherland,85,87.27,1296,1131
74,75,75,Vijay Singh,102,87.23,1535,1339
75,76,76,Trevor Immelman,74,87.22,1025,894
76,77,77,Tim Petrovic,106,87.21,1744,1521
77,78,78,Michael Allen,74,87.17,1177,1026
78,79,79,Ernie Els,59,87.14,809,705
79,80,80,Briny Baird,115,87.13,1942,1692
80,T81,T81,Jeff Quinney,95,87.11,1583,1379
81,T81,T81,Steve Wheatcroft,73,87.11,1140,993
82,83,83,Tom Pernice Jr.,104,87.1,1543,1344
83,84,84,Frank Lickliter II,95,87.09,1549,1349
84,85,85,Jarrod Lyle,77,87.07,1245,1084
85,86,86,Mathias Grönberg,95,87.05,1653,1439
86,87,87,Tom Lehman,62,87.04,926,806
87,88,88,Ryan Armour,107,87.0,1739,1513
88,89,89,Craig Bowden,78,86.98,1252,1089
89,T90,T90,Paul Gow,70,86.95,1065,926
90,T90,T90,Joe Ogilvie,102,86.95,1579,1373
91,T92,T92,Anders Hansen,55,86.93,635,552
92,T92,T92,Kenny Perry,83,86.93,1408,1224
93,T92,T92,Boo Weekley,101,86.93,1446,1257
94,T95,T95,David Branshaw,83,86.92,1422,1236
95,T95,T95,Rod Pampling,92,86.92,1369,1190
96,97,97,Henrik Stenson,52,86.91,657,571
97,98,98,Adam Scott,69,86.87,1013,880
98,99,99,Jeff Maggert,79,86.84,1436,1247
99,100,100,Brett Quigley,79,86.83,1177,1022
100,101,101,Steve Lowery,74,86.79,1279,1110
101,T102,T102,Glen Day,85,86.77,1391,1207
102,T102,T102,Shigeki Maruyama,84,86.77,1481,1285
103,104,104,John Mallinger,96,86.76,1609,1396
