,GIR_Putting_-_10-15_RANK THIS WEEK,GIR_Putting_-_10-15_RANK LAST WEEK,GIR_Putting_-_10-15_PLAYER NAME,GIR_Putting_-_10-15_ROUNDS,GIR_Putting_-_10-15_%,GIR_Putting_-_10-15_ATTEMPTS,GIR_Putting_-_10-15_PUTTS MADE
0,1,1,Justin Rose,63,44.12,68,30
1,2,2,Henrik Stenson,52,41.89,74,31
2,3,3,Steve Allan,63,39.78,93,37
3,4,4,Marco Dawson,73,39.05,105,41
4,5,5,Tom Johnson,74,38.89,108,42
5,6,6,Rocco Mediate,72,38.71,124,48
6,7,7,Brendon de Jonge,76,37.5,128,48
7,8,8,Charley Hoffman,97,37.09,151,56
8,9,9,Andrew Buckle,77,36.51,126,46
9,10,10,Stephen Ames,81,36.36,132,48
10,11,11,K.J. Choi,87,36.07,122,44
11,12,12,Freddie Jacobson,70,35.37,147,52
12,13,13,Chris Riley,59,35.19,108,38
13,14,14,Shigeki Maruyama,84,34.93,146,51
14,15,15,Bob Estes,88,34.9,149,52
15,16,16,Ian Poulter,63,34.25,73,25
16,17,17,Jonathan Byrd,73,34.17,120,41
17,18,18,Kevin Na,84,34.16,161,55
18,19,19,Adam Scott,69,33.91,115,39
19,20,20,Lucas Glover,98,33.81,139,47
20,21,21,Mark Calcavecchia,93,33.79,145,49
21,22,22,Tim Herron,98,33.77,154,52
22,23,23,Luke Donald,69,33.67,98,33
23,24,24,Rich Barcelo,80,33.59,131,44
24,T25,T25,Jarrod Lyle,77,33.33,108,36
25,T25,T25,Jeff Sluman,60,33.33,72,24
26,27,27,Bob Heintz,85,33.08,133,44
27,28,28,Rich Beem,89,33.07,127,42
28,29,29,Woody Austin,95,32.91,158,52
29,30,30,Stephen Leaney,82,32.85,137,45
30,31,31,J.P. Hayes,89,32.64,144,47
31,32,32,Tripp Isenhour,86,32.5,120,39
32,33,33,George McNeill,95,32.39,142,46
33,34,34,Brandt Snedeker,105,32.3,161,52
34,35,35,Vaughn Taylor,91,32.09,134,43
35,36,36,Nick Watney,87,31.9,116,37
36,37,37,Sergio Garcia,68,31.73,104,33
37,38,38,Parker McLachlin,83,31.69,142,45
38,39,39,Nathan Green,103,31.61,174,55
39,40,40,Frank Lickliter II,95,31.55,168,53
40,41,41,Bill Haas,93,31.48,162,51
41,42,42,Brett Quigley,79,31.4,121,38
42,43,43,Justin Leonard,95,31.37,153,48
43,T44,T44,Rory Sabbatini,81,31.34,134,42
44,T44,T44,Paul Stankowski,52,31.34,67,21
45,46,46,Tiger Woods,63,31.31,99,31
