,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Tim Clark,66,27.88,1784,64,22
1,2,2,José María Olazábal,52,28.1,1405,50,23
2,3,3,Kevin Na,84,28.14,2364,84,20
3,4,4,Aaron Baddeley,83,28.26,2261,80,20
4,5,5,Chris Riley,59,28.29,1556,55,22
5,6,6,Brian Gay,107,28.31,2916,103,20
6,7,7,Padraig Harrington,64,28.32,1756,62,22
7,8,8,Shigeki Maruyama,84,28.34,2352,83,23
8,9,9,Rory Sabbatini,81,28.35,2240,79,19
9,10,10,Nathan Green,103,28.4,2812,99,23
10,11,11,Joe Ogilvie,102,28.46,2789,98,22
11,12,12,Jonathan Byrd,73,28.47,2078,73,21
12,T13,T13,Ryuji Imada,104,28.53,2853,100,23
13,T13,T13,Freddie Jacobson,70,28.53,1997,70,24
14,15,15,Brandt Snedeker,105,28.58,2887,101,23
15,16,16,Bob Heintz,85,28.59,2316,81,23
16,17,17,Sergio Garcia,68,28.62,1889,66,24
17,T18,T18,Parker McLachlin,83,28.63,2262,79,24
18,T18,T18,Tim Petrovic,106,28.63,3035,106,21
19,20,20,Steve Stricker,81,28.64,2291,80,23
20,21,21,Scott Verplank,82,28.67,2322,81,23
21,22,22,Zach Johnson,76,28.71,2153,75,23
22,23,23,Daniel Chopra,106,28.74,3046,106,24
23,24,24,Tag Ridings,52,28.76,1438,50,23
24,25,25,Craig Lile,77,28.77,2158,75,23
25,T26,T26,Rich Barcelo,80,28.79,2246,78,23
26,T26,T26,Marco Dawson,73,28.79,2044,71,23
27,T28,T28,Gavin Coles,87,28.8,2390,83,22
28,T28,T28,Phil Mickelson,73,28.8,2045,71,23
29,T30,T30,Bob Estes,88,28.81,2535,88,21
30,T30,T30,Paul Goydos,60,28.81,1700,59,22
31,T30,T30,Arron Oberholser,69,28.81,1959,68,24
32,T33,T33,Geoff Ogilvy,84,28.82,2248,78,22
33,T33,T33,Jesper Parnevik,88,28.82,2421,84,24
34,T33,T33,Heath Slocum,101,28.82,2911,101,24
35,T36,T36,José Coceres,50,28.83,1326,46,23
36,T36,T36,Tom Pernice Jr.,104,28.83,2998,104,23
37,T36,T36,David Toms,80,28.83,2220,77,23
38,39,39,K.J. Choi,87,28.84,2451,85,22
39,40,40,Steve Elkington,87,28.87,2396,83,20
40,T41,T41,Ian Poulter,63,28.88,1733,60,24
41,T41,T41,Michael Sim,52,28.88,1502,52,23
42,43,43,Mark Hensby,81,28.89,2340,81,23
43,44,44,Corey Pavin,81,28.91,2342,81,24
44,T45,T45,Charley Hoffman,97,28.92,2805,97,23
45,T45,T45,John Mallinger,96,28.92,2776,96,24
46,T45,T45,Charlie Wi,90,28.92,2545,88,24
47,T48,T48,Justin Rose,63,28.93,1707,59,20
48,T48,T48,Tiger Woods,63,28.93,1736,60,24
49,50,50,Mike Weir,82,28.94,2344,81,24
50,51,51,Ernie Els,59,28.95,1679,58,23
51,T52,T52,J.P. Hayes,89,28.96,2577,89,23
52,T52,T52,Tripp Isenhour,86,28.96,2375,82,23
53,T52,T52,Jay Williamson,50,28.96,1448,50,22
54,T52,T52,Dean Wilson,92,28.96,2664,92,23
55,56,56,John Rollins,102,28.97,2926,101,22
56,57,57,Craig Kanada,109,28.98,3043,105,23
57,T58,T58,Mark Calcavecchia,93,29.0,2581,89,23
58,T58,T58,Retief Goosen,50,29.0,1392,48,23
59,T58,T58,Bryce Molder,56,29.0,1566,54,23
60,T61,T61,Ken Duke,112,29.01,3249,112,23
61,T61,T61,Cliff Kresge,107,29.01,3104,107,23
62,T61,T61,Dicky Pride,71,29.01,1944,67,24
63,T64,T64,Luke Donald,69,29.03,1945,67,25
64,T64,T64,Bo Van Pelt,104,29.03,3019,104,23
65,T66,T66,Chris DiMarco,79,29.04,2236,77,23
66,T66,T66,Matt Kuchar,85,29.04,2352,81,24
67,T68,T68,Craig Bowden,78,29.05,2208,76,24
68,T68,T68,Brian Davis,101,29.05,2934,101,22
69,T68,T68,Vijay Singh,102,29.05,2905,100,25
70,T71,T71,Rocco Mediate,72,29.06,2092,72,23
71,T71,T71,Bob Tway,103,29.06,2877,99,24
72,T73,T73,Eric Axley,107,29.08,3112,107,22
73,T73,T73,George McNeill,95,29.08,2646,91,23
74,T75,T75,Carl Pettersson,111,29.1,3201,110,23
75,T75,T75,Vaughn Taylor,91,29.1,2532,87,23
76,77,77,Stuart Appleby,74,29.12,2126,73,25
77,T78,T78,Todd Hamilton,76,29.13,2214,76,22
78,T78,T78,Justin Leonard,95,29.13,2767,95,22
79,T78,T78,Nick O'Hern,72,29.13,1981,68,23
80,81,81,Lucas Glover,98,29.14,2827,97,24
81,T82,T82,Ryan Moore,92,29.15,2682,92,23
82,T82,T82,Chris Tidland,59,29.15,1603,55,23
83,T84,T84,Brian Bateman,55,29.16,1487,51,21
84,T84,T84,Jeff Quinney,95,29.16,2770,95,23
85,T86,T86,Michael Boyd,61,29.18,1663,57,25
86,T86,T86,Stewart Cink,91,29.18,2568,88,25
87,T86,T86,Jarrod Lyle,77,29.18,2130,73,22
88,T89,T89,Woody Austin,95,29.19,2773,95,23
89,T89,T89,Anthony Kim,93,29.19,2715,93,24
90,T89,T89,Ryan Palmer,91,29.19,2656,91,24
91,92,92,Mathias Grönberg,95,29.2,2774,95,22
92,93,93,Andrew Buckle,77,29.23,2192,75,24
93,94,94,Bart Bryant,87,29.24,2515,86,22
94,T95,T95,Glen Day,85,29.25,2369,81,23
95,T95,T95,Jason Schultz,63,29.25,1726,59,23
96,97,97,Frank Lickliter II,95,29.29,2783,95,22
97,T98,T98,Bubba Dickerson,51,29.3,1377,47,26
98,T98,T98,Doug LaBelle II,104,29.3,2930,100,25
99,100,100,Steve Allan,63,29.32,1730,59,24
100,T101,T101,Michael Allen,74,29.33,2053,70,23
101,T101,T101,Alex Cejka,80,29.33,2288,78,22
102,T101,T101,Henrik Stenson,52,29.33,1349,46,22
103,T104,T104,Stephen Ames,81,29.34,2259,77,24
104,T104,T104,Jerry Kelly,101,29.34,2846,97,23
105,T104,T104,Adam Scott,69,29.34,1995,68,25
106,107,107,Pat Perez,84,29.35,2348,80,23
107,108,108,Jeff Overton,60,29.36,1703,58,25
108,T109,T109,Jeff Maggert,79,29.38,2321,79,24
109,T109,T109,Camilo Villegas,82,29.38,2409,82,23
110,T111,T111,Ryan Armour,107,29.39,3027,103,24
111,T111,T111,Troy Matteson,87,29.39,2557,87,24
112,T111,T111,Chris Stroud,66,29.39,1881,64,23
113,114,114,Sean O'Hair,98,29.4,2881,98,24
114,115,115,Steve Wheatcroft,73,29.41,2029,69,24
115,T116,T116,Steve Flesch,100,29.42,2942,100,25
