,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Arron Oberholser,69,64.81,216,140
1,2,2,Doug LaBelle II,104,63.89,360,230
2,3,3,Tim Clark,66,63.79,232,148
3,4,4,Chris Tidland,59,63.0,227,143
4,5,5,Kevin Na,84,62.9,345,217
5,6,6,K.J. Choi,87,62.36,271,169
6,7,7,Frank Lickliter II,95,61.52,369,227
7,8,8,Brian Gay,107,61.33,375,230
8,9,9,Craig Lile,77,61.28,297,182
9,10,10,John Rollins,102,61.22,343,210
10,11,11,Stewart Cink,91,61.11,288,176
11,12,12,Cliff Kresge,107,60.95,420,256
12,13,13,Bob Estes,88,60.75,321,195
13,T14,T14,José María Olazábal,52,60.63,160,97
14,T14,T14,David Toms,80,60.63,287,174
15,16,16,Hunter Mahan,91,60.59,307,186
16,17,17,Tim Petrovic,106,60.57,388,235
17,18,18,Zach Johnson,76,60.5,238,144
18,19,19,George McNeill,95,60.49,324,196
19,20,20,Paul Goydos,60,60.44,225,136
20,21,21,Ryuji Imada,104,60.41,389,235
21,22,22,Aaron Baddeley,83,60.39,255,154
22,23,23,Gavin Coles,87,60.38,313,189
23,24,24,Jesper Parnevik,88,60.27,292,176
24,25,25,Rory Sabbatini,81,60.15,261,157
25,26,26,Tripp Isenhour,86,59.82,331,198
26,T27,T27,Nathan Green,103,59.73,365,218
27,T27,T27,Chris Riley,59,59.73,221,132
28,29,29,Brandt Snedeker,105,59.67,362,216
29,30,30,Brian Bateman,55,59.59,193,115
30,31,31,Craig Bowden,78,59.57,329,196
31,32,32,Parker McLachlin,83,59.43,318,189
32,33,33,Lucas Glover,98,59.38,320,190
33,34,34,Phil Mickelson,73,59.35,214,127
34,35,35,Stephen Leaney,82,59.06,298,176
35,36,36,Ryan Palmer,91,59.03,349,206
36,37,37,Bo Van Pelt,104,58.93,431,254
37,38,38,Charlie Wi,90,58.79,313,184
38,T39,T39,Rod Pampling,92,58.65,312,183
39,T39,T39,Dicky Pride,71,58.65,266,156
40,41,41,Woody Austin,95,58.48,395,231
41,42,42,Mathew Goggin,97,58.47,354,207
42,43,43,Chris DiMarco,79,58.46,272,159
43,44,44,John Daly,59,58.44,231,135
44,45,45,Jason Dufner,100,58.21,390,227
45,46,46,Briny Baird,115,58.2,433,252
46,47,47,Mathias Grönberg,95,58.17,404,235
47,48,48,Sean O'Hair,98,58.16,380,221
48,49,49,Bart Bryant,87,58.13,289,168
49,50,50,Jay Williamson,50,58.1,210,122
50,51,51,Jeff Overton,60,57.98,238,138
51,52,52,Michael Sim,52,57.89,209,121
52,53,53,John Mallinger,96,57.88,368,213
53,54,54,Richard Johnson,93,57.87,356,206
54,55,55,Stephen Ames,81,57.84,268,155
55,T56,T56,Mark Brooks,53,57.76,161,93
56,T56,T56,Dean Wilson,92,57.76,303,175
57,58,58,Tom Pernice Jr.,104,57.7,357,206
58,59,59,Andrew Buckle,77,57.69,312,180
59,60,60,Steve Elkington,87,57.65,307,177
60,61,61,Steve Stricker,81,57.52,266,153
61,62,62,Matt Kuchar,85,57.44,289,166
62,63,63,Tom Byrum,50,57.23,159,91
63,64,64,Joe Ogilvie,102,57.22,381,218
64,65,65,Boo Weekley,101,57.19,320,183
65,T66,T66,Rich Barcelo,80,57.14,301,172
66,T66,T66,Trevor Immelman,74,57.14,224,128
67,T66,T66,Bryce Molder,56,57.14,196,112
68,T66,T66,Steve Wheatcroft,73,57.14,273,156
69,70,70,Troy Matteson,87,57.0,300,171
70,71,71,Padraig Harrington,64,56.99,193,110
71,T72,T72,Glen Day,85,56.96,309,176
72,T72,T72,Paul Gow,70,56.96,230,131
73,74,74,Carl Pettersson,111,56.94,425,242
74,75,75,Kevin Sutherland,85,56.88,276,157
75,76,76,Justin Rose,63,56.82,176,100
76,77,77,Steve Allan,63,56.79,243,138
77,78,78,Paul Stankowski,52,56.76,185,105
78,79,79,Fred Funk,65,56.7,224,127
79,80,80,Kenny Perry,83,56.67,330,187
80,81,81,D.J. Brigman,67,56.65,233,132
81,82,82,Tag Ridings,52,56.61,189,107
82,T83,T83,Chris Stroud,66,56.6,212,120
83,T83,T83,Camilo Villegas,82,56.6,265,150
84,85,85,Mark Wilson,87,56.59,334,189
85,86,86,Bubba Watson,80,56.58,281,159
86,87,87,Pat Perez,84,56.52,299,169
87,88,88,Jeff Maggert,79,56.51,338,191
88,89,89,Charles Howell III,89,56.34,284,160
89,90,90,Ryan Armour,107,56.32,380,214
90,91,91,Heath Slocum,101,56.3,341,192
91,92,92,Steve Lowery,74,56.29,286,161
92,93,93,Daniel Chopra,106,56.27,375,211
93,94,94,John Senden,97,56.2,347,195
94,95,95,Freddie Jacobson,70,56.13,269,151
95,96,96,Anthony Kim,93,56.09,353,198
96,97,97,Bob Tway,103,56.07,346,194
97,98,98,Kent Jones,97,56.04,389,218
98,99,99,Mark Hensby,81,56.0,325,182
99,100,100,Ryan Moore,92,55.99,309,173
100,101,101,Jason Gore,86,55.98,368,206
101,102,102,Tim Herron,98,55.87,358,200
102,103,103,Michael Putnam,96,55.86,324,181
103,104,104,Peter Lonard,85,55.84,317,177
104,105,105,Brian Davis,101,55.81,396,221
105,106,106,Billy Mayfair,98,55.74,357,199
106,107,107,Luke Donald,69,55.71,219,122
107,108,108,Billy Andrade,88,55.62,329,183
108,109,109,Jonathan Byrd,73,55.6,277,154
109,110,110,Corey Pavin,81,55.56,324,180
110,111,111,Tommy Armour III,81,55.51,263,146
111,112,112,Robert Allenby,90,55.37,307,170
112,113,113,Steve Marino,106,55.31,405,224
113,114,114,Adam Scott,69,55.23,239,132
114,115,115,Brendon de Jonge,76,55.22,297,164
115,116,116,Tom Lehman,62,55.21,192,106
116,117,117,Steve Flesch,100,55.19,395,218
117,118,118,Matt Hendrix,63,55.17,232,128
118,119,119,Vijay Singh,102,55.16,339,187
119,120,120,Duffy Waldorf,69,55.13,234,129
120,121,121,Joey Sindelar,75,55.12,254,140
121,122,122,Jeff Quinney,95,55.11,352,194
122,123,123,Rich Beem,89,55.1,314,173
123,124,124,Craig Kanada,109,55.04,407,224
124,125,125,Jeff Brehaut,59,55.0,220,121
125,126,126,Mark Calcavecchia,93,54.93,355,195
126,127,127,Vaughn Taylor,91,54.84,341,187
127,128,128,Marco Dawson,73,54.7,287,157
128,129,129,Charles Warren,101,54.66,386,211
129,130,130,Jaco Van Zyl,51,54.64,194,106
130,131,131,Tiger Woods,63,54.55,176,96
131,132,132,Cameron Beckman,96,54.5,367,200
132,133,133,Michael Allen,74,54.36,241,131
133,134,134,Robert Garrigus,95,54.3,372,202
134,135,135,Tom Johnson,74,54.26,282,153
135,136,136,Craig Barlow,52,54.25,212,115
136,137,137,Eric Axley,107,54.18,419,227
137,138,138,Jim Furyk,84,54.15,253,137
138,139,139,Scott Gutschewski,67,54.13,242,131
139,140,140,Ken Duke,112,54.11,377,204
140,141,141,Bill Haas,93,54.05,370,200
141,142,142,Charley Hoffman,97,53.87,362,195
142,143,143,Stuart Appleby,74,53.82,249,134
143,144,144,Jim Rutledge,59,53.71,175,94
144,T145,T145,Alex Cejka,80,53.7,324,174
145,T145,T145,Nick O'Hern,72,53.7,216,116
146,147,147,Jarrod Lyle,77,53.68,272,146
147,148,148,Michael Boyd,61,53.66,205,110
148,149,149,Justin Leonard,95,53.4,324,173
149,150,150,Lee Janzen,66,53.39,221,118
150,151,151,Will MacKenzie,100,53.37,401,214
151,152,152,Shigeki Maruyama,84,53.28,351,187
152,153,153,Shaun Micheel,91,53.26,276,147
153,154,154,Darron Stiles,65,53.25,231,123
154,155,155,Jason Bohn,57,53.18,220,117
155,156,156,Kirk Triplett,77,53.14,303,161
156,157,157,John Merrick,92,53.1,339,180
157,158,158,Bob Heintz,85,53.05,311,165
158,159,159,Todd Hamilton,76,53.02,281,149
159,160,160,Ted Purdy,102,53.01,332,176
160,161,161,Kevin Stadler,95,52.99,351,186
161,162,162,Johnson Wagner,97,52.94,357,189
162,163,163,José Coceres,50,52.72,184,97
163,164,164,Scott Verplank,82,52.65,264,139
164,T165,T165,Jerry Kelly,101,52.57,331,174
165,T165,T165,Brett Quigley,79,52.57,253,133
166,167,167,Rocco Mediate,72,52.4,292,153
167,168,168,Chris Couch,76,52.36,296,155
168,169,169,Ernie Els,59,52.07,169,88
169,170,170,Henrik Stenson,52,52.0,150,78
170,T171,T171,D.J. Trahan,99,51.99,402,209
171,T171,T171,Nick Watney,87,51.99,327,170
172,173,173,Ben Curtis,80,51.89,264,137
173,174,174,Jeff Gove,103,51.84,407,211
174,175,175,Harrison Frazar,88,51.72,319,165
175,176,176,Geoff Ogilvy,84,51.47,272,140
176,177,177,Daisuke Maruyama,86,51.42,352,181
177,178,178,Joe Durant,88,51.38,290,149
178,179,179,J.J. Henry,86,51.33,300,154
179,180,180,Kyle Reifers,71,51.15,260,133
180,181,181,Davis Love III,66,51.07,233,119
181,182,182,Bubba Dickerson,51,51.04,192,98
182,183,183,Mike Weir,82,50.95,263,134
183,184,184,Jason Schultz,63,50.91,220,112
184,185,185,Robert Gamez,88,50.8,313,159
185,186,186,Brett Wetterich,88,50.61,330,167
186,187,187,Ian Poulter,63,50.57,176,89
187,188,188,J.B. Holmes,71,50.56,269,136
188,189,189,J.P. Hayes,89,50.45,337,170
189,T190,T190,David Branshaw,83,50.0,302,151
190,T190,T190,Retief Goosen,50,50.0,132,66
191,T190,T190,Anders Hansen,55,50.0,144,72
192,193,193,Jeff Sluman,60,48.91,184,90
193,194,194,Chad Campbell,96,48.29,321,155
194,195,195,Sergio Garcia,68,48.15,216,104
195,196,196,Greg Owen,81,45.81,310,142
