,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Jesper Parnevik,88,"86' 11""",78242,75,"4' 10""","157' 4"""
1,2,2,Tim Clark,66,"84' 8""",52844,52,"4' 9""","154' 2"""
2,3,3,Henrik Stenson,52,"82' 4""",35569,36,"4' 7""","138' 6"""
3,4,4,Dicky Pride,71,"81' 4""",59515,61,"4' 7""","167' 4"""
4,5,5,Jonathan Byrd,73,"80' 11""",60220,62,"4' 7""","156' 7"""
5,6,6,Paul Goydos,60,"80' 8""",45478,47,"4' 6""","136' 11"""
6,7,7,Tiger Woods,63,"80' 7""",41597,43,"4' 6""","164' 1"""
7,8,8,Tag Ridings,52,"80' 6""",43482,45,"4' 6""","159' 7"""
8,9,9,Sean O'Hair,98,"80' 5""",80059,83,"4' 6""","157' 0"""
9,10,10,Frank Lickliter II,95,"80' 4""",80986,84,"4' 6""","156' 9"""
10,11,11,Ryan Moore,92,"80' 1""",71097,74,"4' 6""","153' 0"""
11,12,12,Zach Johnson,76,"79' 4""",57116,60,"4' 6""","165' 11"""
12,13,13,Joe Ogilvie,102,"79' 3""",82773,87,"4' 6""","133' 8"""
13,14,14,Kevin Na,84,"78' 9""",72770,77,"4' 5""","158' 1"""
14,15,15,Mark Calcavecchia,93,"78' 7""",68823,73,"4' 5""","152' 5"""
15,16,16,Fred Funk,65,"78' 4""",49807,53,"4' 5""","149' 9"""
16,T17,T17,Rich Barcelo,80,"78' 1""",65582,70,"4' 5""","144' 5"""
17,T17,T17,Robert Garrigus,95,"78' 1""",80574,86,"4' 5""","216' 11"""
18,T19,T19,Jason Gore,86,"77' 11""",72944,78,"4' 4""","134' 2"""
19,T19,T19,Craig Lile,77,"77' 11""",64513,69,"4' 4""","133' 7"""
20,21,21,Vaughn Taylor,91,"77' 10""",67218,72,"4' 4""","134' 8"""
21,T22,T22,Ryan Armour,107,"77' 8""",86665,93,"4' 4""","135' 11"""
22,T22,T22,Parker McLachlin,83,"77' 8""",68066,73,"4' 5""","133' 8"""
23,24,24,Dean Wilson,92,"77' 7""",68907,74,"4' 4""","133' 1"""
24,25,25,Freddie Jacobson,70,"77' 5""",63168,68,"4' 4""","150' 6"""
25,26,26,Rory Sabbatini,81,"77' 2""",57406,62,"4' 5""","148' 9"""
26,T27,T27,Brian Davis,101,"76' 10""",81126,88,"4' 4""","130' 1"""
27,T27,T27,Jason Dufner,100,"76' 10""",80194,87,"4' 4""","154' 11"""
28,T29,T29,Ryan Palmer,91,"76' 9""",74602,81,"4' 4""","149' 10"""
29,T29,T29,Carl Pettersson,111,"76' 9""",83782,91,"4' 4""","146' 7"""
30,31,31,Craig Bowden,78,"76' 8""",61665,67,"4' 4""","122' 9"""
31,T32,T32,Justin Leonard,95,"76' 7""",74429,81,"4' 4""","152' 11"""
32,T32,T32,Tom Pernice Jr.,104,"76' 7""",77189,84,"4' 4""","172' 7"""
33,T32,T32,Tim Petrovic,106,"76' 7""",86392,94,"4' 4""","166' 11"""
34,T35,T35,Ryuji Imada,104,"76' 6""",81745,89,"4' 3""","122' 10"""
35,T35,T35,Arron Oberholser,69,"76' 6""",47729,52,"4' 3""","128' 3"""
36,T35,T35,Pat Perez,84,"76' 6""",58727,64,"4' 4""","163' 4"""
37,T38,T38,Luke Donald,69,"76' 5""",45832,50,"4' 3""","142' 8"""
38,T38,T38,Jeff Overton,60,"76' 5""",49528,54,"4' 4""","157' 11"""
39,T38,T38,Jeff Quinney,95,"76' 5""",77919,85,"4' 4""","171' 8"""
40,T41,T41,Nathan Green,103,"76' 4""",78797,86,"4' 3""","168' 6"""
41,T41,T41,Will MacKenzie,100,"76' 4""",82449,90,"4' 4""","140' 7"""
42,T43,T43,George McNeill,95,"76' 3""",73181,80,"4' 3""","153' 6"""
43,T43,T43,Chris Riley,59,"76' 3""",46689,51,"4' 3""","125' 2"""
44,T45,T45,Rich Beem,89,"76' 2""",63985,70,"4' 3""","129' 7"""
45,T45,T45,Padraig Harrington,64,"76' 2""",42041,46,"4' 3""","150' 6"""
46,T45,T45,Mark Hensby,81,"76' 2""",64923,71,"4' 4""","152' 11"""
47,T45,T45,Rod Pampling,92,"76' 2""",66704,73,"4' 3""","157' 9"""
48,49,49,Steve Allan,63,"76' 1""",50207,55,"4' 3""","144' 4"""
49,50,50,Shigeki Maruyama,84,"76' 0""",72951,80,"4' 3""","135' 0"""
50,51,51,Woody Austin,95,"75' 11""",76544,84,"4' 3""","156' 2"""
51,52,52,Daniel Chopra,106,"75' 10""",86462,95,"4' 3""","145' 9"""
52,53,53,David Toms,80,"75' 9""",56362,62,"4' 3""","159' 9"""
53,T54,T54,Jarrod Lyle,77,"75' 8""",60837,67,"4' 3""","144' 6"""
54,T54,T54,Jeff Maggert,79,"75' 8""",69948,77,"4' 3""","157' 11"""
55,T56,T56,Scott Gutschewski,67,"75' 7""",52587,58,"4' 3""","146' 0"""
56,T56,T56,Richard Johnson,93,"75' 7""",75246,83,"4' 3""","143' 0"""
57,T58,T58,Bob Estes,88,"75' 6""",72504,80,"4' 3""","135' 7"""
58,T58,T58,Kent Jones,97,"75' 6""",79746,88,"4' 3""","185' 0"""
59,T58,T58,Michael Putnam,96,"75' 6""",71611,79,"4' 3""","146' 9"""
60,T61,T61,Steve Lowery,74,"75' 5""",62466,69,"4' 3""","132' 4"""
61,T61,T61,Brandt Snedeker,105,"75' 5""",76949,85,"4' 3""","138' 2"""
62,T63,T63,Andrew Buckle,77,"75' 4""",60558,67,"4' 3""","138' 11"""
63,T63,T63,John Mallinger,96,"75' 4""",78617,87,"4' 3""","151' 6"""
64,T65,T65,Briny Baird,115,"75' 3""",94800,105,"4' 3""","144' 10"""
65,T65,T65,D.J. Brigman,67,"75' 3""",48741,54,"4' 3""","121' 5"""
66,T65,T65,Gavin Coles,87,"75' 3""",69538,77,"4' 3""","153' 7"""
67,68,68,Tommy Armour III,81,"75' 2""",61303,68,"4' 2""","179' 0"""
68,T69,T69,Brian Gay,107,"75' 1""",87376,97,"4' 3""","145' 2"""
69,T69,T69,Troy Matteson,87,"75' 1""",68450,76,"4' 3""","148' 2"""
70,T71,T71,Stewart Cink,91,"74' 11""",63864,71,"4' 3""","135' 3"""
71,T71,T71,Steve Elkington,87,"74' 11""",64721,72,"4' 3""","176' 6"""
72,T73,T73,Bart Bryant,87,"74' 10""",66438,74,"4' 3""","152' 7"""
73,T73,T73,K.J. Choi,87,"74' 10""",60196,67,"4' 3""","132' 5"""
74,T73,T73,John Daly,59,"74' 10""",43986,49,"4' 2""","191' 7"""
75,T73,T73,Billy Mayfair,98,"74' 10""",73626,82,"4' 3""","151' 3"""
76,T73,T73,Jason Schultz,63,"74' 10""",47611,53,"4' 3""","126' 0"""
77,78,78,Stephen Ames,81,"74' 9""",54693,61,"4' 2""","122' 3"""
78,T79,T79,Lee Janzen,66,"74' 8""",46584,52,"4' 2""","149' 9"""
79,T79,T79,Paul Stankowski,52,"74' 8""",37616,42,"4' 2""","131' 2"""
80,T79,T79,Chris Tidland,59,"74' 8""",45704,51,"4' 2""","124' 5"""
81,T82,T82,Eric Axley,107,"74' 6""",83178,93,"4' 2""","144' 9"""
82,T82,T82,Charles Howell III,89,"74' 6""",58973,66,"4' 2""","140' 1"""
83,T82,T82,Steve Wheatcroft,73,"74' 6""",54505,61,"4' 2""","214' 7"""
84,T85,T85,Glen Day,85,"74' 5""",67010,75,"4' 2""","138' 9"""
85,T85,T85,Bob Heintz,85,"74' 5""",64330,72,"4' 2""","150' 9"""
86,T87,T87,Geoff Ogilvy,84,"74' 4""",57084,64,"4' 2""","134' 2"""
