,3-Putt_Avoidance_-_15-20_RANK THIS WEEK,3-Putt_Avoidance_-_15-20_RANK LAST WEEK,3-Putt_Avoidance_-_15-20_PLAYER NAME,3-Putt_Avoidance_-_15-20_ROUNDS,3-Putt_Avoidance_-_15-20_%,3-Putt_Avoidance_-_15-20_TOTAL 3 PUTTS,3-Putt_Avoidance_-_15-20_ATTEMPTS,3-Putt_Avoidance_-_15-20_2 PUTT OR BETTER %
0,T1,T1,Jason Bohn,57,0.0,,106,100.0
1,T1,T1,Michael Boyd,61,0.0,,108,100.0
2,T1,T1,Mark Brooks,53,0.0,,101,100.0
3,T1,T1,Tom Byrum,50,0.0,,96,100.0
4,T1,T1,Ernie Els,59,0.0,,91,100.0
5,T1,T1,Bob Estes,88,0.0,,152,100.0
6,T1,T1,Sergio Garcia,68,0.0,,112,100.0
7,T1,T1,Nathan Green,103,0.0,,146,100.0
8,T1,T1,Freddie Jacobson,70,0.0,,152,100.0
9,T1,T1,Zach Johnson,76,0.0,,130,100.0
10,T1,T1,George McNeill,95,0.0,,162,100.0
11,T1,T1,Nick O'Hern,72,0.0,,95,100.0
12,T1,T1,Geoff Ogilvy,84,0.0,,115,100.0
13,T1,T1,Heath Slocum,101,0.0,,188,100.0
14,T1,T1,Steve Stricker,81,0.0,,111,100.0
15,T1,T1,Chris Tidland,59,0.0,,97,100.0
16,T1,T1,Dean Wilson,92,0.0,,125,100.0
17,18,18,Ryan Palmer,91,0.55,1.0,183,99.4
18,19,19,Charlie Wi,90,0.56,1.0,179,99.4
19,20,20,Bob Tway,103,0.57,1.0,175,99.4
20,21,21,Johnson Wagner,97,0.59,1.0,169,99.4
21,22,22,Doug LaBelle II,104,0.61,1.0,165,99.3
22,T23,T23,Joey Sindelar,75,0.62,1.0,162,99.3
23,T23,T23,D.J. Trahan,99,0.62,1.0,162,99.3
24,T23,T23,Boo Weekley,101,0.62,1.0,161,99.3
25,T26,T26,Glen Day,85,0.66,1.0,151,99.3
26,T26,T26,Tripp Isenhour,86,0.66,1.0,151,99.3
27,28,28,Corey Pavin,81,0.68,1.0,146,99.3
28,29,29,J.J. Henry,86,0.69,1.0,144,99.3
29,30,30,David Toms,80,0.7,1.0,142,99.3
30,T31,T31,Tommy Armour III,81,0.72,1.0,139,99.2
31,T31,T31,Hunter Mahan,91,0.72,1.0,138,99.2
32,33,33,Jim Furyk,84,0.74,1.0,136,99.2
33,34,34,Craig Bowden,78,0.77,1.0,130,99.2
34,T35,T35,Jarrod Lyle,77,0.78,1.0,128,99.2
35,T35,T35,Kyle Reifers,71,0.78,1.0,129,99.2
36,37,37,Kevin Sutherland,85,0.8,1.0,125,99.2
37,T38,T38,Ben Curtis,80,0.81,1.0,123,99.1
38,T38,T38,Craig Lile,77,0.81,1.0,124,99.1
39,T40,T40,Stephen Ames,81,0.83,1.0,121,99.1
40,T40,T40,Jeff Overton,60,0.83,1.0,121,99.1
41,42,42,Aaron Baddeley,83,0.84,1.0,119,99.1
42,43,43,Trevor Immelman,74,0.87,1.0,115,99.1
43,44,44,Mike Weir,82,0.88,1.0,113,99.1
44,T45,T45,Arron Oberholser,69,0.89,1.0,112,99.1
45,T45,T45,Scott Verplank,82,0.89,1.0,112,99.1
46,47,47,Paul Gow,70,0.91,1.0,110,99.0
47,48,48,Chris Stroud,66,0.92,1.0,109,99.0
48,49,49,Lee Janzen,66,0.97,1.0,103,99.0
49,50,50,Tim Clark,66,0.99,1.0,101,99.0
50,51,51,Phil Mickelson,73,1.02,1.0,98,98.9
51,52,52,Todd Hamilton,76,1.04,1.0,96,98.9
52,T53,T53,Stuart Appleby,74,1.06,1.0,94,98.9
53,T53,T53,Ken Duke,112,1.06,2.0,189,98.9
54,T55,T55,Billy Mayfair,98,1.08,2.0,185,98.9
55,T55,T55,Tim Petrovic,106,1.08,2.0,185,98.9
56,T55,T55,Jay Williamson,50,1.08,1.0,93,98.9
57,T58,T58,Luke Donald,69,1.1,1.0,91,98.9
58,T58,T58,Charles Warren,101,1.1,2.0,181,98.9
59,60,60,Chris Riley,59,1.11,1.0,90,98.8
60,T61,T61,Brian Gay,107,1.14,2.0,176,98.8
61,T61,T61,Michael Putnam,96,1.14,2.0,176,98.8
62,63,63,Richard Johnson,93,1.16,2.0,172,98.8
63,64,64,Michael Sim,52,1.18,1.0,85,98.8
64,65,65,Gavin Coles,87,1.21,2.0,165,98.7
65,66,66,Justin Leonard,95,1.22,2.0,164,98.7
66,67,67,Jeff Sluman,60,1.25,1.0,80,98.7
67,T68,T68,Mathew Goggin,97,1.27,2.0,157,98.7
68,T68,T68,Bill Haas,93,1.27,2.0,158,98.7
69,T68,T68,Jeff Maggert,79,1.27,2.0,158,98.7
70,T68,T68,Camilo Villegas,82,1.27,2.0,157,98.7
71,72,72,Shaun Micheel,91,1.29,2.0,155,98.7
72,73,73,Ian Poulter,63,1.3,1.0,77,98.7
73,74,74,Chad Campbell,96,1.31,2.0,153,98.6
74,T75,T75,Brian Bateman,55,1.32,1.0,76,98.6
75,T75,T75,Bubba Watson,80,1.32,2.0,151,98.6
76,T77,T77,John Rollins,102,1.33,2.0,150,98.6
77,T77,T77,Henrik Stenson,52,1.33,1.0,75,98.6
78,T79,T79,Daisuke Maruyama,86,1.34,2.0,149,98.6
79,T79,T79,Jesper Parnevik,88,1.34,2.0,149,98.6
80,81,81,Bart Bryant,87,1.35,2.0,148,98.6
81,82,82,Mark Hensby,81,1.37,2.0,146,98.6
82,83,83,David Branshaw,83,1.38,2.0,145,98.6
83,84,84,Retief Goosen,50,1.39,1.0,72,98.6
84,T85,T85,Briny Baird,115,1.41,3.0,213,98.5
85,T85,T85,Harrison Frazar,88,1.41,2.0,142,98.5
86,T85,T85,Anders Hansen,55,1.41,1.0,71,98.5
87,T88,T88,Chris DiMarco,79,1.45,2.0,138,98.5
88,T88,T88,Stephen Leaney,82,1.45,2.0,138,98.5
89,T90,T90,Shigeki Maruyama,84,1.46,2.0,137,98.5
