,Total_1_Putts_-_15-20_RANK THIS WEEK,Total_1_Putts_-_15-20_RANK LAST WEEK,Total_1_Putts_-_15-20_PLAYER NAME,Total_1_Putts_-_15-20_ROUNDS,Total_1_Putts_-_15-20_TOTAL,Total_1_Putts_-_15-20_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_15-20_PCT OF ALL 1-PUTTS
0,T1,T1,Daniel Chopra,106,46,692,6.6
1,T1,T1,Jesper Parnevik,88,46,558,8.2
2,3,3,Joe Ogilvie,102,45,641,7.0
3,4,4,Billy Mayfair,98,44,542,8.1
4,T5,T5,Sean O'Hair,98,43,596,7.2
5,T5,T5,Carl Pettersson,111,43,672,6.4
6,7,7,Eric Axley,107,42,659,6.4
7,T8,T8,Briny Baird,115,41,702,5.8
8,T8,T8,Steve Flesch,100,41,622,6.6
9,T8,T8,Frank Lickliter II,95,41,594,6.9
10,11,11,Justin Leonard,95,40,590,6.8
11,12,12,John Merrick,92,39,507,7.7
12,13,13,Tim Petrovic,106,38,716,5.3
13,T14,T14,Brian Gay,107,37,740,5.0
14,T14,T14,Will MacKenzie,100,37,609,6.1
15,T14,T14,Steve Marino,106,37,626,5.9
16,T17,T17,Cliff Kresge,107,36,684,5.3
17,T17,T17,Steve Lowery,74,36,462,7.8
18,T17,T17,Parker McLachlin,83,36,535,6.7
19,T17,T17,Ryan Moore,92,36,542,6.6
20,T17,T17,Michael Putnam,96,36,505,7.1
21,T17,T17,Vijay Singh,102,36,592,6.1
22,T17,T17,Heath Slocum,101,36,665,5.4
23,T24,T24,Robert Garrigus,95,35,548,6.4
24,T24,T24,Bob Heintz,85,35,535,6.5
25,T24,T24,Freddie Jacobson,70,35,501,7.0
26,T24,T24,Richard Johnson,93,35,548,6.4
27,T24,T24,Craig Kanada,109,35,654,5.4
28,T24,T24,Charlie Wi,90,35,576,6.1
29,T30,T30,Rich Beem,89,34,493,6.9
30,T30,T30,Jason Dufner,100,34,592,5.7
31,T30,T30,Joey Sindelar,75,34,417,8.2
32,T33,T33,Brian Davis,101,33,606,5.4
33,T33,T33,Bill Haas,93,33,552,6.0
34,T33,T33,Ryuji Imada,104,33,694,4.8
35,T33,T33,Kent Jones,97,33,602,5.5
36,T33,T33,Troy Matteson,87,33,536,6.2
37,T33,T33,Bob Tway,103,33,597,5.5
38,T33,T33,Dean Wilson,92,33,537,6.1
39,T40,T40,Lucas Glover,98,32,545,5.9
40,T40,T40,J.P. Hayes,89,32,577,5.5
41,T40,T40,Tim Herron,98,32,557,5.7
42,T40,T40,George McNeill,95,32,587,5.5
43,T40,T40,Geoff Ogilvy,84,32,471,6.8
44,T45,T45,Woody Austin,95,31,614,5.0
45,T45,T45,Gavin Coles,87,31,549,5.6
46,T45,T45,Charles Howell III,89,31,446,7.0
47,T45,T45,Ryan Palmer,91,31,570,5.4
48,T45,T45,Corey Pavin,81,31,510,6.1
49,T45,T45,Boo Weekley,101,31,529,5.9
50,T51,T51,Bart Bryant,87,30,507,5.9
51,T51,T51,Stewart Cink,91,30,507,5.9
52,T51,T51,Ken Duke,112,30,683,4.4
53,T51,T51,Bob Estes,88,30,603,5.0
54,T51,T51,Jason Gore,86,30,551,5.4
55,T51,T51,Jeff Gove,103,30,569,5.3
56,T51,T51,Charley Hoffman,97,30,599,5.0
57,T51,T51,Anthony Kim,93,30,555,5.4
58,T51,T51,Jeff Maggert,79,30,522,5.7
59,T51,T51,John Mallinger,96,30,644,4.7
60,T51,T51,Daisuke Maruyama,86,30,509,5.9
61,T51,T51,Jeff Quinney,95,30,589,5.1
62,T51,T51,John Rollins,102,30,603,5.0
63,T51,T51,Johnson Wagner,97,30,552,5.4
64,T65,T65,Mathew Goggin,97,29,577,5.0
65,T65,T65,Craig Lile,77,29,507,5.7
66,T65,T65,Shaun Micheel,91,29,462,6.3
67,T65,T65,Rod Pampling,92,29,498,5.8
68,T65,T65,Charles Warren,101,29,601,4.8
69,T70,T70,Michael Allen,74,28,429,6.5
70,T70,T70,Chris Couch,76,28,509,5.5
71,T70,T70,Jarrod Lyle,77,28,486,5.8
72,T70,T70,Pat Perez,84,28,455,6.2
73,T70,T70,David Toms,80,28,458,6.1
74,T75,T75,Cameron Beckman,96,27,560,4.8
75,T75,T75,Jonathan Byrd,73,27,475,5.7
76,T75,T75,Doug LaBelle II,104,27,612,4.4
77,T75,T75,Brandt Snedeker,105,27,629,4.3
78,T75,T75,Bubba Watson,80,27,471,5.7
79,T80,T80,Robert Allenby,90,26,483,5.4
80,T80,T80,Ryan Armour,107,26,633,4.1
81,T80,T80,Rich Barcelo,80,26,524,5.0
82,T80,T80,Mark Calcavecchia,93,26,550,4.7
83,T80,T80,Shigeki Maruyama,84,26,605,4.3
84,T80,T80,Rocco Mediate,72,26,468,5.6
85,T80,T80,Kenny Perry,83,26,500,5.2
