,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Jesper Parnevik,88,"11' 5""",3236.083,284,48,"1"""
1,T2,T2,Tim Clark,66,"11' 3""",2114.167,188,58,"3"""
2,T2,T2,Justin Leonard,95,"11' 3""",2901.833,258,50,"3"""
3,T2,T2,Dicky Pride,71,"11' 3""",2052.167,183,62,"6"""
4,T2,T2,Henrik Stenson,52,"11' 3""",1296.75,115,62,"2"""
5,6,6,Michael Boyd,61,"11' 2""",1635.5,147,57,"1"""
6,T7,T7,Ryan Armour,107,"11' 1""",3413.833,307,55,"2"""
7,T7,T7,Corey Pavin,81,"11' 1""",2163.083,195,57,"5"""
8,T9,T9,Glen Day,85,"11' 0""",2506.083,227,60,"1"""
9,T9,T9,Zach Johnson,76,"11' 0""",2137.667,195,50,"4"""
10,T11,T11,Paul Goydos,60,"10' 11""",1675.9170000000001,153,58,"3"""
11,T11,T11,Parker McLachlin,83,"10' 11""",2415.583,222,66,"2"""
12,T11,T11,Tag Ridings,52,"10' 11""",1726.5,158,50,"5"""
13,14,14,Frank Lickliter II,95,"10' 10""",3269.333,301,77,"2"""
14,T15,T15,Shigeki Maruyama,84,"10' 9""",2645.833,247,68,"6"""
15,T15,T15,Shaun Micheel,91,"10' 9""",2367.25,220,42,"4"""
16,T15,T15,Michael Sim,52,"10' 9""",1700.75,158,48,"3"""
17,T18,T18,Jason Dufner,100,"10' 8""",2858.083,267,55,"1"""
18,T18,T18,Craig Kanada,109,"10' 8""",3065.0,287,57,"4"""
19,T18,T18,Jeff Quinney,95,"10' 8""",3080.0,288,53,"3"""
20,T18,T18,Dean Wilson,92,"10' 8""",2634.417,247,46,"3"""
21,T22,T22,Tommy Armour III,81,"10' 7""",2385.667,226,42,"3"""
22,T22,T22,Joey Sindelar,75,"10' 7""",2181.083,206,53,"2"""
23,T24,T24,Chad Campbell,96,"10' 6""",2449.833,233,45,"5"""
24,T24,T24,Luke Donald,69,"10' 6""",1873.5,178,69,"5"""
25,T24,T24,Sergio Garcia,68,"10' 6""",2032.8329999999999,194,76,"5"""
26,T24,T24,Stephen Leaney,82,"10' 6""",2371.417,226,72,"3"""
27,T24,T24,Charlie Wi,90,"10' 6""",2870.917,274,53,"2"""
28,T29,T29,Gavin Coles,87,"10' 5""",2323.833,223,40,"4"""
29,T29,T29,Ben Curtis,80,"10' 5""",1807.3329999999999,173,100,"1"""
30,T29,T29,Brian Gay,107,"10' 5""",3267.333,314,61,"4"""
31,T29,T29,Richard Johnson,93,"10' 5""",2405.25,230,57,"4"""
32,T29,T29,Jeff Maggert,79,"10' 5""",2623.667,251,54,"1"""
33,T29,T29,John Mallinger,96,"10' 5""",2844.417,272,54,"3"""
34,T29,T29,David Toms,80,"10' 5""",2199.917,211,59,"1"""
35,T36,T36,Michael Allen,74,"10' 4""",2163.417,210,54,"3"""
36,T36,T36,Rich Barcelo,80,"10' 4""",2368.083,230,71,"3"""
37,T36,T36,Mark Brooks,53,"10' 4""",1109.0,107,47,"5"""
38,T36,T36,Bart Bryant,87,"10' 4""",2553.25,248,65,"2"""
39,T36,T36,Brian Davis,101,"10' 4""",3070.167,297,52,"3"""
40,T36,T36,Lee Janzen,66,"10' 4""",1566.5829999999999,151,72,"3"""
41,T36,T36,Craig Lile,77,"10' 4""",2263.167,219,54,"1"""
42,T36,T36,Rod Pampling,92,"10' 4""",2446.167,236,70,"1"""
43,T44,T44,Jonathan Byrd,73,"10' 3""",2406.167,235,45,"4"""
44,T44,T44,Tom Byrum,50,"10' 3""",1178.833,115,43,"3"""
45,T44,T44,Steve Elkington,87,"10' 3""",2348.083,229,75,"2"""
46,T44,T44,Steve Flesch,100,"10' 3""",2843.917,278,58,"2"""
47,T44,T44,Fred Funk,65,"10' 3""",1597.8329999999999,156,60,"2"""
48,T44,T44,Robert Garrigus,95,"10' 3""",3083.333,300,65,"1"""
49,T44,T44,Bob Heintz,85,"10' 3""",2541.583,248,59,"3"""
50,T44,T44,Tim Herron,98,"10' 3""",2717.417,266,55,"2"""
51,T44,T44,Ryan Moore,92,"10' 3""",2647.5,258,56,"4"""
52,T44,T44,Greg Owen,81,"10' 3""",2170.083,212,47,"5"""
53,T44,T44,Tim Petrovic,106,"10' 3""",3351.833,326,58,"1"""
54,T44,T44,Chris Riley,59,"10' 3""",1752.0829999999999,171,45,"5"""
55,T44,T44,Jim Rutledge,59,"10' 3""",1122.917,110,49,"5"""
56,T44,T44,Heath Slocum,101,"10' 3""",3191.333,311,64,"2"""
57,T44,T44,Mark Wilson,87,"10' 3""",2204.083,215,59,"2"""
58,T59,T59,Steve Allan,63,"10' 2""",1985.75,195,45,"3"""
59,T59,T59,Craig Bowden,78,"10' 2""",2265.5,223,51,"5"""
60,T59,T59,Bob Estes,88,"10' 2""",2890.083,284,66,"1"""
61,T59,T59,Paul Gow,70,"10' 2""",1672.0829999999999,165,67,"2"""
62,T59,T59,Billy Mayfair,98,"10' 2""",2788.583,275,57,"4"""
63,T59,T59,Bryce Molder,56,"10' 2""",1370.75,135,39,"2"""
64,T59,T59,Jason Schultz,63,"10' 2""",1571.1670000000001,154,38,"7"""
65,T66,T66,Eric Axley,107,"10' 1""",2767.0,274,57,"2"""
66,T66,T66,Briny Baird,115,"10' 1""",3681.667,365,59,"4"""
67,T66,T66,Rich Beem,89,"10' 1""",2495.5,247,47,"2"""
68,T66,T66,Tripp Isenhour,86,"10' 1""",2110.5,210,50,"3"""
69,T66,T66,Freddie Jacobson,70,"10' 1""",2645.417,262,40,"3"""
70,T66,T66,Tom Lehman,62,"10' 1""",1619.4170000000001,161,62,"2"""
71,T66,T66,Arron Oberholser,69,"10' 1""",1755.25,174,64,"2"""
72,T66,T66,Joe Ogilvie,102,"10' 1""",3019.75,299,42,"3"""
