,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Jesper Parnevik,88,103.33,1021,58,997
1,2,2,Tim Clark,66,101.41,707,29,688
2,3,3,Sergio Garcia,68,101.38,799,28,782
3,4,4,Michael Sim,52,101.13,706,29,685
4,5,5,Zach Johnson,76,101.08,835,30,814
5,6,6,Dicky Pride,71,100.95,842,34,816
6,7,7,Rory Sabbatini,81,100.92,872,30,850
7,8,8,Tiger Woods,63,100.83,600,22,583
8,9,9,Tag Ridings,52,100.79,629,24,610
9,10,10,Brandt Snedeker,105,100.59,1192,36,1163
10,11,11,José María Olazábal,52,100.58,516,18,501
11,T12,T12,Charles Howell III,89,100.54,925,30,900
12,T12,T12,Steve Stricker,81,100.54,925,22,908
13,14,14,Freddie Jacobson,70,100.53,948,33,920
14,15,15,Corey Pavin,81,100.5,1004,38,971
15,16,16,Henrik Stenson,52,100.39,507,16,493
16,17,17,Scott Gutschewski,67,100.36,822,26,799
17,18,18,Richard Johnson,93,100.34,1174,32,1146
18,T19,T19,Paul Goydos,60,100.31,642,28,616
19,T19,T19,Craig Lile,77,100.31,962,33,932
20,T21,T21,Gavin Coles,87,100.27,1094,38,1059
21,T21,T21,George McNeill,95,100.27,1118,33,1088
22,23,23,Charlie Wi,90,100.25,1187,38,1152
23,T24,T24,Ryuji Imada,104,100.24,1239,44,1198
24,T24,T24,Jeff Quinney,95,100.24,1231,49,1185
25,T26,T26,Stewart Cink,91,100.2,1009,31,980
26,T26,T26,Anders Hansen,55,100.2,491,12,480
27,28,28,Dean Wilson,92,100.19,1047,33,1016
28,29,29,Shigeki Maruyama,84,100.18,1130,34,1098
29,30,30,Jeff Overton,60,100.13,757,27,731
30,31,31,Jonathan Byrd,73,100.12,864,34,831
31,32,32,Joe Ogilvie,102,100.08,1198,44,1155
32,T33,T33,Ryan Armour,107,100.0,1359,60,1299
33,T33,T33,Nathan Green,103,100.0,1223,44,1179
34,T35,T35,Brian Gay,107,99.93,1366,40,1325
35,T35,T35,Heath Slocum,101,99.93,1348,37,1310
36,T37,T37,K.J. Choi,87,99.89,947,27,919
37,T37,T37,Ben Curtis,80,99.89,935,32,902
38,T37,T37,Pat Perez,84,99.89,915,34,880
39,T40,T40,Michael Boyd,61,99.87,758,22,735
40,T40,T40,Fred Funk,65,99.87,749,25,723
41,42,42,Daniel Chopra,106,99.85,1344,41,1301
42,T43,T43,Rich Barcelo,80,99.8,984,30,952
43,T43,T43,Vaughn Taylor,91,99.8,1010,38,970
44,45,45,Bo Van Pelt,104,99.78,1356,41,1312
45,T46,T46,Jeff Maggert,79,99.73,1098,39,1056
46,T46,T46,Arron Oberholser,69,99.73,740,23,715
47,48,48,Kevin Na,84,99.72,1060,35,1022
48,49,49,Tripp Isenhour,86,99.71,1022,29,990
49,T50,T50,Mark Hensby,81,99.7,1010,32,975
50,T50,T50,Parker McLachlin,83,99.7,1003,34,966
51,52,52,Tom Pernice Jr.,104,99.66,1186,44,1138
52,53,53,Jason Gore,86,99.64,1096,34,1058
53,54,54,Bart Bryant,87,99.62,1061,39,1018
54,55,55,Steve Elkington,87,99.61,1031,33,994
55,T56,T56,Chris Tidland,59,99.58,706,18,685
56,T56,T56,Bubba Watson,80,99.58,942,26,912
57,T58,T58,Craig Bowden,78,99.57,923,26,893
58,T58,T58,Marco Dawson,73,99.57,922,29,889
59,T60,T60,Ken Duke,112,99.56,1377,41,1330
60,T60,T60,Ryan Palmer,91,99.56,1139,32,1102
61,62,62,Robert Gamez,88,99.54,1097,35,1057
62,63,63,Ernie Els,59,99.53,640,20,617
63,64,64,Bob Tway,103,99.52,1261,34,1221
64,T65,T65,Tommy Armour III,81,99.51,1015,40,970
65,T65,T65,Hunter Mahan,91,99.51,1022,27,990
66,67,67,Aaron Baddeley,83,99.46,934,26,903
67,68,68,Chad Campbell,96,99.44,1073,44,1023
68,69,69,Jay Williamson,50,99.41,681,17,660
69,70,70,Carl Pettersson,111,99.38,1286,42,1236
70,71,71,D.J. Brigman,67,99.35,772,28,739
71,72,72,Craig Kanada,109,99.33,1340,40,1291
72,73,73,Camilo Villegas,82,99.31,1014,39,968
73,74,74,Luke Donald,69,99.3,713,22,686
74,T75,T75,David Branshaw,83,99.29,1120,27,1085
75,T75,T75,J.J. Henry,86,99.29,982,20,955
76,77,77,Mathias Grönberg,95,99.28,1249,36,1204
77,78,78,Chris Stroud,66,99.26,812,26,780
78,T79,T79,Michael Putnam,96,99.23,1163,37,1117
79,T79,T79,Mark Wilson,87,99.23,1038,33,997
80,81,81,Shaun Micheel,91,99.22,1023,36,979
81,82,82,David Toms,80,99.2,872,25,840
82,83,83,Jim Furyk,84,99.18,981,29,944
83,84,84,Tom Byrum,50,99.16,598,18,575
84,85,85,Bob Heintz,85,99.12,1028,29,990
85,T86,T86,Cameron Beckman,96,99.11,1234,40,1183
86,T86,T86,Bob Estes,88,99.11,1128,31,1087
87,88,88,Charley Hoffman,97,99.07,1177,32,1134
88,T89,T89,Stephen Leaney,82,99.06,1069,29,1030
89,T89,T89,Duffy Waldorf,69,99.06,855,21,826
90,91,91,Sean O'Hair,98,99.05,1155,43,1101
91,92,92,Brian Bateman,55,99.04,625,14,605
92,T93,T93,Eric Axley,107,99.02,1321,37,1271
93,T93,T93,Retief Goosen,50,99.02,509,9,495
94,95,95,Troy Matteson,87,99.01,1107,37,1059
95,T96,T96,Davis Love III,66,98.98,781,23,750
96,T96,T96,Bryce Molder,56,98.98,689,18,664
97,98,98,Stephen Ames,81,98.97,876,21,846
98,99,99,Jason Schultz,63,98.96,766,28,730
99,T100,T100,Michael Allen,74,98.93,936,31,895
100,T100,T100,Brendon de Jonge,76,98.93,935,29,896
101,102,102,Kyle Reifers,71,98.91,919,20,889
102,103,103,Justin Leonard,95,98.9,1184,38,1133
103,104,104,Glen Day,85,98.89,1082,39,1031
104,105,105,Rod Pampling,92,98.86,1057,38,1007
105,T106,T106,José Coceres,50,98.84,606,14,585
106,T106,T106,Adam Scott,69,98.84,774,17,748
107,T106,T106,Paul Stankowski,52,98.84,604,20,577
108,T109,T109,Lucas Glover,98,98.83,1109,35,1061
109,T109,T109,Johnson Wagner,97,98.83,1279,36,1228
110,111,111,Phil Mickelson,73,98.8,752,19,724
111,T112,T112,Chris Couch,76,98.79,1074,32,1029
112,T112,T112,Brian Davis,101,98.79,1241,46,1180
113,T112,T112,Kenny Perry,83,98.79,1078,28,1037
114,115,115,Ryan Moore,92,98.78,1069,38,1018
115,116,116,Jarrod Lyle,77,98.77,973,23,938
116,T117,T117,Frank Lickliter II,95,98.73,1180,43,1122
117,T117,T117,Steve Wheatcroft,73,98.73,867,19,837
118,T119,T119,J.P. Hayes,89,98.71,1164,34,1115
119,T119,T119,Jerry Kelly,101,98.71,1087,30,1043
120,T119,T119,Jeff Sluman,60,98.71,620,17,595
121,122,122,Geoff Ogilvy,84,98.7,922,27,883
122,123,123,Steve Marino,106,98.69,1295,29,1249
123,T124,T124,Briny Baird,115,98.67,1509,49,1440
124,T124,T124,Mathew Goggin,97,98.67,1274,38,1219
125,126,126,Mark Brooks,53,98.66,598,12,578
126,T127,T127,Doug LaBelle II,104,98.63,1311,34,1259
127,T127,T127,John Mallinger,96,98.63,1241,41,1183
128,T129,T129,Steve Lowery,74,98.59,993,30,949
129,T129,T129,Brett Quigley,79,98.59,924,22,889
130,T129,T129,John Rollins,102,98.59,1203,30,1156
131,T132,T132,Jeff Brehaut,59,98.57,700,16,674
132,T132,T132,Kent Jones,97,98.57,1261,38,1205
133,134,134,Robert Garrigus,95,98.55,1238,41,1179
134,135,135,Billy Andrade,88,98.53,1158,35,1106
135,T136,T136,Rocco Mediate,72,98.52,947,26,907
136,T136,T136,Charles Warren,101,98.52,1352,43,1289
137,T138,T138,Rich Beem,89,98.5,998,29,954
138,T138,T138,Nick Watney,87,98.5,1002,25,962
139,T140,T140,Will MacKenzie,100,98.47,1309,44,1245
140,T140,T140,Scott Verplank,82,98.47,847,22,812
141,142,142,Jason Bohn,57,98.46,780,23,745
142,143,143,Matt Kuchar,85,98.44,1024,23,985
143,144,144,Kevin Sutherland,85,98.43,1020,30,974
144,145,145,Vijay Singh,102,98.41,1196,25,1152
145,146,146,Andrew Buckle,77,98.4,939,29,895
146,147,147,Nick O'Hern,72,98.39,808,14,781
147,148,148,Cliff Kresge,107,98.38,1423,27,1373
148,149,149,Steve Allan,63,98.32,776,23,740
149,150,150,Todd Hamilton,76,98.28,815,15,786
150,T151,T151,Jim Rutledge,59,98.27,693,15,666
151,T151,T151,Jaco Van Zyl,51,98.27,636,15,610
152,T153,T153,Chris DiMarco,79,98.25,913,21,876
153,T153,T153,Trevor Immelman,74,98.25,801,21,766
154,155,155,Tim Petrovic,106,98.23,1356,46,1286
155,156,156,Tim Herron,98,98.22,1181,27,1133
156,157,157,Bubba Dickerson,51,98.1,631,14,605
