,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Chris Riley,59,1.465,1556,1062
1,2,2,José Coceres,50,1.473,1326,900
2,3,3,Bubba Dickerson,51,1.5,1377,918
3,4,4,Brian Bateman,55,1.5019999999999998,1487,990
4,5,5,Chris Tidland,59,1.5090000000000001,1603,1062
5,T6,T6,Brian Gay,107,1.514,2916,1926
6,T6,T6,Bob Heintz,85,1.514,2316,1530
7,T6,T6,Parker McLachlin,83,1.514,2262,1494
8,T9,T9,Michael Boyd,61,1.515,1663,1098
9,T9,T9,Paul Stankowski,52,1.515,1418,936
10,11,11,Nathan Green,103,1.517,2812,1854
11,12,12,Joe Ogilvie,102,1.5190000000000001,2789,1836
12,13,13,Dicky Pride,71,1.521,1944,1278
13,14,14,Jason Schultz,63,1.5219999999999998,1726,1134
14,15,15,Ryuji Imada,104,1.524,2853,1872
15,T16,T16,Steve Allan,63,1.526,1730,1134
16,T16,T16,Gavin Coles,87,1.526,2390,1566
17,T18,T18,Jesper Parnevik,88,1.528,2421,1584
18,T18,T18,Brandt Snedeker,105,1.528,2887,1890
19,20,20,Steve Elkington,87,1.53,2396,1566
20,21,21,Mark Brooks,53,1.5319999999999998,1462,954
21,T22,T22,Anders Hansen,55,1.534,1519,990
22,T22,T22,Tripp Isenhour,86,1.534,2375,1548
23,24,24,Tag Ridings,52,1.536,1438,936
24,T25,T25,Matt Kuchar,85,1.537,2352,1530
25,T25,T25,Jarrod Lyle,77,1.537,2130,1386
26,27,27,Michael Allen,74,1.541,2053,1332
27,28,28,Mark Calcavecchia,93,1.5419999999999998,2581,1674
28,T29,T29,Fred Funk,65,1.5430000000000001,1805,1170
29,T29,T29,Paul Gow,70,1.5430000000000001,1944,1260
30,31,31,Steve Wheatcroft,73,1.544,2029,1314
31,32,32,Vaughn Taylor,91,1.546,2532,1638
32,33,33,George McNeill,95,1.547,2646,1710
33,34,34,Glen Day,85,1.548,2369,1530
34,T35,T35,Tim Clark,66,1.5490000000000002,1784,1152
35,T35,T35,Scott Gutschewski,67,1.5490000000000002,1868,1206
36,37,37,Craig Kanada,109,1.551,3043,1962
37,38,38,Bob Tway,103,1.5519999999999998,2877,1854
38,T39,T39,Brendon de Jonge,76,1.5530000000000002,2125,1368
39,T39,T39,Pat Perez,84,1.5530000000000002,2348,1512
40,T39,T39,Jeff Sluman,60,1.5530000000000002,1677,1080
41,42,42,Bryce Molder,56,1.554,1566,1008
42,T43,T43,Marco Dawson,73,1.556,2044,1314
43,T43,T43,Shigeki Maruyama,84,1.556,2352,1512
44,45,45,Craig Lile,77,1.557,2158,1386
45,46,46,Rich Barcelo,80,1.56,2246,1440
46,T47,T47,José María Olazábal,52,1.561,1405,900
47,T47,T47,Mark Wilson,87,1.561,2445,1566
48,49,49,Peter Lonard,85,1.5619999999999998,2390,1530
49,50,50,Kevin Na,84,1.5630000000000002,2364,1512
50,T51,T51,D.J. Brigman,67,1.565,1887,1206
51,T51,T51,Jerry Kelly,101,1.565,2846,1818
52,T51,T51,Doug LaBelle II,104,1.565,2930,1872
53,T54,T54,Tim Herron,98,1.568,2766,1764
54,T54,T54,Darron Stiles,65,1.568,1834,1170
55,56,56,Aaron Baddeley,83,1.57,2261,1440
56,T57,T57,Daisuke Maruyama,86,1.571,2432,1548
57,T57,T57,Charlie Wi,90,1.571,2545,1620
58,59,59,Ryan Armour,107,1.5719999999999998,3027,1926
59,T60,T60,Craig Bowden,78,1.5730000000000002,2208,1404
60,T60,T60,Padraig Harrington,64,1.5730000000000002,1756,1116
61,T60,T60,Steve Marino,106,1.5730000000000002,3001,1908
62,T60,T60,Jim Rutledge,59,1.5730000000000002,1671,1062
63,64,64,Rory Sabbatini,81,1.575,2240,1422
64,65,65,Robert Gamez,88,1.5759999999999998,2496,1584
65,T66,T66,Tommy Armour III,81,1.577,2299,1458
66,T66,T66,Jeff Overton,60,1.577,1703,1080
67,68,68,Bill Haas,93,1.579,2643,1674
68,69,69,Jonathan Byrd,73,1.581,2078,1314
69,70,70,Andrew Buckle,77,1.5819999999999999,2192,1386
70,71,71,Chris Stroud,66,1.5830000000000002,1881,1188
71,72,72,Freddie Jacobson,70,1.585,1997,1260
72,73,73,Boo Weekley,101,1.5859999999999999,2884,1818
73,74,74,Cameron Beckman,96,1.587,2742,1728
74,75,75,Alex Cejka,80,1.589,2288,1440
75,76,76,Sergio Garcia,68,1.59,1889,1188
76,T77,T77,Jeff Brehaut,59,1.591,1690,1062
77,T77,T77,Tim Petrovic,106,1.591,3035,1908
78,T77,T77,Steve Stricker,81,1.591,2291,1440
79,T80,T80,Lee Janzen,66,1.5919999999999999,1891,1188
80,T80,T80,Jaco Van Zyl,51,1.5919999999999999,1461,918
81,T82,T82,Ted Purdy,102,1.5930000000000002,2925,1836
82,T82,T82,Scott Verplank,82,1.5930000000000002,2322,1458
83,T84,T84,Tom Johnson,74,1.595,2124,1332
84,T84,T84,Zach Johnson,76,1.595,2153,1350
85,86,86,Daniel Chopra,106,1.5959999999999999,3046,1908
86,87,87,John Merrick,92,1.599,2648,1656
87,T88,T88,Tom Byrum,50,1.6,1440,900
88,T88,T88,Bob Estes,88,1.6,2535,1584
89,T88,T88,Phil Mickelson,73,1.6,2045,1278
90,T88,T88,Arron Oberholser,69,1.6,1959,1224
91,T92,T92,Briny Baird,115,1.601,3314,2070
92,T92,T92,Paul Goydos,60,1.601,1700,1062
93,T92,T92,Geoff Ogilvy,84,1.601,2248,1404
94,T92,T92,Tom Pernice Jr.,104,1.601,2998,1872
95,T92,T92,Heath Slocum,101,1.601,2911,1818
96,T97,T97,K.J. Choi,87,1.6019999999999999,2451,1530
97,T97,T97,David Toms,80,1.6019999999999999,2220,1386
98,99,99,Harrison Frazar,88,1.604,2541,1584
99,T100,T100,Mark Hensby,81,1.605,2340,1458
100,T100,T100,Ian Poulter,63,1.605,1733,1080
101,T100,T100,Michael Sim,52,1.605,1502,936
102,T103,T103,Richard Johnson,93,1.6059999999999999,2689,1674
103,T103,T103,John Mallinger,96,1.6059999999999999,2776,1728
104,T103,T103,Corey Pavin,81,1.6059999999999999,2342,1458
105,T106,T106,Charley Hoffman,97,1.607,2805,1746
106,T106,T106,J.B. Holmes,71,1.607,2054,1278
107,T106,T106,Justin Rose,63,1.607,1707,1062
108,T106,T106,Tiger Woods,63,1.607,1736,1080
109,T110,T110,Ernie Els,59,1.608,1679,1044
110,T110,T110,Matt Hendrix,63,1.608,1823,1134
111,T110,T110,Mike Weir,82,1.608,2344,1458
112,T113,T113,J.P. Hayes,89,1.609,2577,1602
113,T113,T113,John Rollins,102,1.609,2926,1818
114,T113,T113,Jay Williamson,50,1.609,1448,900
115,T113,T113,Dean Wilson,92,1.609,2664,1656
116,T117,T117,Retief Goosen,50,1.611,1392,864
117,T117,T117,Michael Putnam,96,1.611,2783,1728
118,T119,T119,Ken Duke,112,1.6119999999999999,3249,2016
119,T119,T119,Cliff Kresge,107,1.6119999999999999,3104,1926
120,T121,T121,Chris DiMarco,79,1.6130000000000002,2236,1386
121,T121,T121,Luke Donald,69,1.6130000000000002,1945,1206
122,T121,T121,Bo Van Pelt,104,1.6130000000000002,3019,1872
123,T124,T124,Brian Davis,101,1.614,2934,1818
124,T124,T124,Rocco Mediate,72,1.614,2092,1296
125,T124,T124,Vijay Singh,102,1.614,2905,1800
126,127,127,Eric Axley,107,1.6159999999999999,3112,1926
127,128,128,Carl Pettersson,111,1.617,3201,1980
128,T129,T129,Stuart Appleby,74,1.618,2126,1314
129,T129,T129,Todd Hamilton,76,1.618,2214,1368
130,T129,T129,Justin Leonard,95,1.618,2767,1710
131,T129,T129,Nick O'Hern,72,1.618,1981,1224
132,T133,T133,Lucas Glover,98,1.619,2827,1746
133,T133,T133,Kevin Stadler,95,1.619,2769,1710
134,T135,T135,Ryan Moore,92,1.62,2682,1656
135,T135,T135,Jeff Quinney,95,1.62,2770,1710
136,T137,T137,Stewart Cink,91,1.621,2568,1584
137,T137,T137,Ryan Palmer,91,1.621,2656,1638
138,T139,T139,Woody Austin,95,1.6219999999999999,2773,1710
139,T139,T139,Mathias Grönberg,95,1.6219999999999999,2774,1710
140,T139,T139,Anthony Kim,93,1.6219999999999999,2715,1674
141,T139,T139,Kyle Reifers,71,1.6219999999999999,2073,1278
142,143,143,Bart Bryant,87,1.625,2515,1548
143,T144,T144,Stephen Ames,81,1.6269999999999998,2226,1368
