,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Jonathan Byrd,73,33.45,279,834
1,T2,T2,Mark Calcavecchia,93,32.75,336,1026
2,T2,T2,Adam Scott,69,32.75,262,800
3,4,4,John Daly,59,32.2,209,649
4,5,5,Freddie Jacobson,70,32.13,268,834
5,6,6,Tag Ridings,52,32.09,181,564
6,7,7,Kevin Na,84,32.08,299,932
7,8,8,Tiger Woods,63,31.98,245,766
8,9,9,Jesper Parnevik,88,31.84,320,1005
9,10,10,Aaron Baddeley,83,31.8,276,868
10,11,11,Ryuji Imada,104,31.76,357,1124
11,12,12,Phil Mickelson,73,31.6,261,826
12,13,13,Joe Ogilvie,102,31.58,343,1086
13,14,14,Rory Sabbatini,81,31.54,276,875
14,15,15,Vaughn Taylor,91,31.44,315,1002
15,16,16,Justin Rose,63,31.41,218,694
16,T17,T17,Bob Heintz,85,31.38,289,921
17,T17,T17,J.B. Holmes,71,31.38,251,800
18,19,19,Padraig Harrington,64,31.35,211,673
19,20,20,Bubba Watson,80,31.28,294,940
20,21,21,Steve Allan,63,31.24,214,685
21,22,22,Brendon de Jonge,76,31.17,259,831
22,23,23,Geoff Ogilvy,84,31.14,274,880
23,24,24,Charley Hoffman,97,30.91,345,1116
24,25,25,Rich Beem,89,30.87,317,1027
25,26,26,Carl Pettersson,111,30.8,389,1263
26,27,27,Lucas Glover,98,30.74,355,1155
27,28,28,Tim Petrovic,106,30.6,366,1196
28,29,29,Nathan Green,103,30.55,336,1100
29,30,30,Bob Estes,88,30.53,305,999
30,31,31,Robert Garrigus,95,30.51,349,1144
31,32,32,Ernie Els,59,30.46,205,673
32,33,33,Chris Riley,59,30.24,186,615
33,34,34,Jason Gore,86,30.21,306,1013
34,T35,T35,Tim Clark,66,30.16,212,703
35,T35,T35,Sergio Garcia,68,30.16,231,766
36,37,37,Anthony Kim,93,30.1,329,1093
37,38,38,Mathias Grönberg,95,30.09,331,1100
38,39,39,Vijay Singh,102,30.08,358,1190
39,40,40,J.P. Hayes,89,29.92,301,1006
40,41,41,Charles Warren,101,29.83,369,1237
41,42,42,Daniel Chopra,106,29.81,370,1241
42,43,43,Steve Stricker,81,29.74,281,945
43,44,44,Steve Lowery,74,29.69,261,879
44,45,45,Harrison Frazar,88,29.67,292,984
45,46,46,Jay Williamson,50,29.65,177,597
46,47,47,Scott Gutschewski,67,29.58,210,710
47,48,48,Steve Marino,106,29.37,356,1212
48,49,49,Rich Barcelo,80,29.35,260,886
49,50,50,George McNeill,95,29.34,304,1036
50,51,51,Camilo Villegas,82,29.31,284,969
51,T52,T52,Frank Lickliter II,95,29.25,325,1111
52,T52,T52,Brett Wetterich,88,29.25,303,1036
53,54,54,Jarrod Lyle,77,29.23,247,845
54,55,55,Ryan Moore,92,29.22,317,1085
55,56,56,Robert Allenby,90,29.16,319,1094
56,57,57,Craig Barlow,52,29.14,183,628
57,T58,T58,Andrew Buckle,77,29.1,245,842
58,T58,T58,Parker McLachlin,83,29.1,250,859
59,60,60,Will MacKenzie,100,29.09,345,1186
60,T61,T61,Shigeki Maruyama,84,29.03,263,906
61,T61,T61,Troy Matteson,87,29.03,288,992
62,63,63,Tom Pernice Jr.,104,29.0,335,1155
63,64,64,Jeff Quinney,95,28.99,325,1121
64,65,65,Sean O'Hair,98,28.98,342,1180
65,66,66,Bo Van Pelt,104,28.95,359,1240
66,67,67,Paul Stankowski,52,28.94,158,546
67,68,68,Woody Austin,95,28.92,323,1117
68,69,69,Rocco Mediate,72,28.91,242,837
69,T70,T70,Stewart Cink,91,28.87,302,1046
70,T70,T70,Brian Gay,107,28.87,336,1164
71,72,72,Heath Slocum,101,28.8,347,1205
72,73,73,Billy Andrade,88,28.79,296,1028
73,74,74,Bart Bryant,87,28.75,295,1026
74,75,75,Pat Perez,84,28.72,270,940
75,76,76,Chris Couch,76,28.69,251,875
76,77,77,Brian Davis,101,28.66,337,1176
77,78,78,Bill Haas,93,28.63,302,1055
78,79,79,K.J. Choi,87,28.61,285,996
79,80,80,Jeff Overton,60,28.59,205,717
80,T81,T81,Luke Donald,69,28.55,217,760
81,T81,T81,Hunter Mahan,91,28.55,312,1093
82,83,83,Nick Watney,87,28.54,296,1037
83,84,84,Kent Jones,97,28.53,333,1167
84,85,85,Craig Lile,77,28.44,242,851
85,86,86,David Toms,80,28.43,251,883
86,87,87,Charlie Wi,90,28.41,298,1049
87,88,88,Briny Baird,115,28.39,392,1381
88,89,89,Bubba Dickerson,51,28.34,142,501
89,90,90,Marco Dawson,73,28.33,230,812
90,91,91,Cameron Beckman,96,28.29,327,1156
91,92,92,Alex Cejka,80,28.25,274,970
92,93,93,Mike Weir,82,28.2,258,915
93,94,94,Craig Bowden,78,28.15,250,888
94,95,95,Michael Allen,74,28.11,235,836
95,96,96,Jason Bohn,57,28.08,187,666
96,97,97,Darron Stiles,65,28.07,201,716
97,98,98,Ryan Palmer,91,28.05,292,1041
98,T99,T99,Ryan Armour,107,28.01,344,1228
99,T99,T99,John Rollins,102,28.01,323,1153
100,101,101,Paul Goydos,60,27.98,176,629
101,102,102,Kevin Sutherland,85,27.97,280,1001
102,103,103,Jim Furyk,84,27.83,285,1024
103,104,104,Boo Weekley,101,27.81,319,1147
104,105,105,Steve Wheatcroft,73,27.8,221,795
105,106,106,Bob Tway,103,27.76,314,1131
106,T107,T107,Mark Hensby,81,27.74,256,923
107,T107,T107,John Mallinger,96,27.74,301,1085
108,109,109,Tim Herron,98,27.68,302,1091
109,110,110,Dean Wilson,92,27.67,290,1048
110,111,111,Brandt Snedeker,105,27.65,324,1172
111,T112,T112,Ken Duke,112,27.58,363,1316
112,T112,T112,Tom Johnson,74,27.58,230,834
113,T112,T112,John Merrick,92,27.58,302,1095
114,115,115,Michael Sim,52,27.57,166,602
115,116,116,Cliff Kresge,107,27.54,342,1242
116,117,117,Michael Putnam,96,27.5,305,1109
117,118,118,Stuart Appleby,74,27.39,221,807
118,119,119,Jeff Maggert,79,27.36,258,943
119,120,120,Charles Howell III,89,27.32,268,981
120,121,121,Jason Dufner,100,27.29,319,1169
121,122,122,Brett Quigley,79,27.27,237,869
122,123,123,Ian Poulter,63,27.26,181,664
123,124,124,José María Olazábal,52,27.25,133,488
124,125,125,Daisuke Maruyama,86,27.23,260,955
125,T126,T126,Jerry Kelly,101,27.22,307,1128
126,T126,T126,Henrik Stenson,52,27.22,138,507
127,128,128,Arron Oberholser,69,27.2,207,761
128,T129,T129,Craig Kanada,109,27.16,330,1215
129,T129,T129,Johnson Wagner,97,27.16,321,1182
130,131,131,D.J. Brigman,67,27.14,203,748
131,132,132,Steve Flesch,100,27.12,320,1180
132,133,133,Chris Stroud,66,27.11,206,760
133,134,134,Tripp Isenhour,86,27.1,242,893
134,135,135,Scott Verplank,82,27.09,253,934
135,136,136,Steve Elkington,87,27.07,255,942
136,137,137,Robert Gamez,88,27.04,269,995
137,T138,T138,Billy Mayfair,98,26.96,323,1198
138,T138,T138,Duffy Waldorf,69,26.96,224,831
139,T140,T140,Mathew Goggin,97,26.94,323,1199
140,T140,T140,Peter Lonard,85,26.94,253,939
141,142,142,Paul Gow,70,26.92,203,754
142,T143,T143,Glen Day,85,26.89,252,937
143,T143,T143,Dicky Pride,71,26.89,206,766
144,T143,T143,John Senden,97,26.89,330,1227
145,T146,T146,Brian Bateman,55,26.82,151,563
146,T146,T146,J.J. Henry,86,26.82,273,1018
147,T146,T146,Bryce Molder,56,26.82,155,578
148,149,149,Zach Johnson,76,26.81,233,869
149,150,150,Chad Campbell,96,26.8,276,1030
150,151,151,Lee Janzen,66,26.79,198,739
151,152,152,Gavin Coles,87,26.77,250,934
152,153,153,Matt Kuchar,85,26.67,252,945
153,154,154,Eric Axley,107,26.64,313,1175
154,155,155,Justin Leonard,95,26.61,294,1105
155,156,156,Chris Tidland,59,26.59,167,628
156,157,157,Rod Pampling,92,26.57,279,1050
157,158,158,Jason Schultz,63,26.52,175,660
158,159,159,Matt Hendrix,63,26.51,189,713
159,160,160,Tommy Armour III,81,26.5,256,966
160,161,161,Stephen Ames,81,26.49,236,891
161,162,162,Kenny Perry,83,26.44,266,1006
162,163,163,Kirk Triplett,77,26.41,239,905
163,164,164,Greg Owen,81,26.4,255,966
164,165,165,Mark Wilson,87,26.37,255,967
165,166,166,Retief Goosen,50,26.28,133,506
166,167,167,Chris DiMarco,79,26.26,219,834
167,168,168,Ted Purdy,102,26.24,311,1185
168,169,169,Joey Sindelar,75,26.17,235,898
169,170,170,D.J. Trahan,99,26.15,312,1193
170,171,171,Shaun Micheel,91,26.12,273,1045
171,172,172,Davis Love III,66,26.03,195,749
172,173,173,Michael Boyd,61,25.97,168,647
173,174,174,Jeff Brehaut,59,25.94,173,667
174,175,175,Nick O'Hern,72,25.92,191,737
175,176,176,Jeff Gove,103,25.83,335,1297
176,177,177,Corey Pavin,81,25.71,227,883
177,178,178,Kevin Stadler,95,25.54,274,1073
178,179,179,Ben Curtis,80,25.49,222,871
179,180,180,José Coceres,50,25.39,130,512
180,181,181,Tom Lehman,62,25.3,192,759
181,182,182,Kyle Reifers,71,25.22,202,801
182,183,183,Jaco Van Zyl,51,25.0,141,564
183,184,184,Fred Funk,65,24.96,169,677
184,185,185,David Branshaw,83,24.82,240,967
185,186,186,Doug LaBelle II,104,24.65,285,1156
186,187,187,Stephen Leaney,82,24.6,248,1008
187,188,188,Jeff Sluman,60,24.55,151,615
188,189,189,Todd Hamilton,76,24.39,190,779
189,190,190,Joe Durant,88,24.32,261,1073
190,191,191,Anders Hansen,55,24.26,140,577
191,192,192,Trevor Immelman,74,24.19,194,802
192,193,193,Richard Johnson,93,23.56,249,1057
193,194,194,Tom Byrum,50,22.36,125,559
194,195,195,Jim Rutledge,59,21.96,139,633
195,196,196,Mark Brooks,53,21.85,125,572
