,Putting_from_-__20_RANK THIS WEEK,Putting_from_-__20_RANK LAST WEEK,Putting_from_-__20_PLAYER NAME,Putting_from_-__20_ROUNDS,Putting_from_-__20_% MADE,Putting_from_-__20_ATTEMPTS,Putting_from_-__20_PUTTS MADE
0,1,1,Jesper Parnevik,88,11.54,494,57
1,2,2,Tim Clark,66,10.55,275,29
2,3,3,Ryan Armour,107,10.4,577,60
3,4,4,Paul Goydos,60,10.34,261,27
4,5,5,Jonathan Byrd,73,10.3,330,34
5,6,6,Chad Campbell,96,9.89,445,44
6,7,7,Camilo Villegas,82,9.87,395,39
7,8,8,Padraig Harrington,64,9.68,217,21
8,9,9,Vaughn Taylor,91,9.52,399,38
9,T10,T10,Joe Ogilvie,102,9.5,463,44
10,T10,T10,Tom Pernice Jr.,104,9.5,463,44
11,12,12,Sergio Garcia,68,9.46,296,28
12,13,13,Rory Sabbatini,81,9.26,324,30
13,14,14,José María Olazábal,52,9.18,196,18
14,T15,T15,Corey Pavin,81,9.16,404,37
15,T15,T15,Dicky Pride,71,9.16,371,34
16,17,17,Nathan Green,103,9.09,484,44
17,18,18,Brian Davis,101,9.04,498,45
18,T19,T19,Ryuji Imada,104,9.03,487,44
19,T19,T19,Michael Sim,52,9.03,310,28
20,T21,T21,Tommy Armour III,81,8.94,425,38
21,T21,T21,Ben Curtis,80,8.94,358,32
22,23,23,Zach Johnson,76,8.93,336,30
23,24,24,Tag Ridings,52,8.92,269,24
24,25,25,Pat Perez,84,8.89,371,33
25,26,26,Freddie Jacobson,70,8.85,373,33
26,27,27,Jason Schultz,63,8.81,318,28
27,28,28,Sean O'Hair,98,8.79,489,43
28,29,29,Jeff Quinney,95,8.75,537,47
29,T30,T30,Glen Day,85,8.74,446,39
30,T30,T30,Ryan Moore,92,8.74,435,38
31,32,32,Tiger Woods,63,8.73,252,22
32,33,33,Frank Lickliter II,95,8.7,494,43
33,34,34,Ernie Els,59,8.62,232,20
34,35,35,Bart Bryant,87,8.55,456,39
35,36,36,Tim Petrovic,106,8.5,541,46
