,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Mark Hensby,81,"89' 4""",89.333,1,89,89
1,2,2,Steve Wheatcroft,73,"71' 0""",71.0,1,71,71
2,3,3,José María Olazábal,52,"68' 2""",68.167,1,68,68
3,4,4,Chris Stroud,66,"61' 3""",61.25,1,61,61
4,5,5,Steve Stricker,81,"52' 2""",104.333,2,61,43
5,6,6,Tom Byrum,50,"50' 8""",50.667,1,51,51
6,7,7,Richard Johnson,93,"45' 5""",45.417,1,45,45
7,8,8,Tim Petrovic,106,"36' 9""",110.25,3,82,7
8,9,9,Justin Leonard,95,"36' 5""",36.417,1,36,36
9,10,10,Woody Austin,95,"35' 7""",35.583,1,36,36
10,11,11,Tim Clark,66,"34' 11""",104.833,3,60,19
11,12,12,Tiger Woods,63,"34' 4""",205.833,6,70,9
12,13,13,Jeff Gove,103,"33' 2""",165.917,5,68,3
13,14,14,Corey Pavin,81,"31' 10""",31.833000000000002,1,32,32
14,15,15,Billy Andrade,88,"31' 2""",62.25,2,60,2
15,16,16,Davis Love III,66,"30' 10""",61.667,2,55,6
16,17,17,Stewart Cink,91,"30' 8""",153.25,5,55,1
17,18,18,Vaughn Taylor,91,"30' 7""",91.833,3,51,1
18,19,19,Chris Riley,59,"29' 4""",58.583,2,38,21
19,20,20,Charles Warren,101,"28' 3""",225.667,8,56,1
20,T21,T21,K.J. Choi,87,"27' 9""",55.417,2,44,12
21,T21,T21,Anthony Kim,93,"27' 9""",83.25,3,47,11
22,23,23,Ryuji Imada,104,"27' 8""",83.083,3,30,26
23,24,24,Chad Campbell,96,"26' 4""",78.917,3,38,9
24,25,25,Trevor Immelman,74,"26' 1""",52.083,2,46,6
25,26,26,Kevin Na,84,"26' 0""",104.083,4,58,2
26,27,27,Brendon de Jonge,76,"25' 5""",101.667,4,26,24
27,28,28,J.B. Holmes,71,"25' 2""",75.583,3,45,14
28,29,29,Rory Sabbatini,81,"25' 1""",125.25,5,56,6
29,30,30,Jeff Quinney,95,"24' 9""",99.0,4,40,3
30,31,31,Lucas Glover,98,"24' 8""",49.333,2,34,15
31,T32,T32,Stephen Ames,81,"24' 5""",48.833,2,29,20
32,T32,T32,Jonathan Byrd,73,"24' 5""",97.75,4,50,10
33,T34,T34,Sean O'Hair,98,"23' 10""",214.25,9,38,7
34,T34,T34,Geoff Ogilvy,84,"23' 10""",95.25,4,42,11
35,36,36,Bart Bryant,87,"23' 6""",47.0,2,26,21
36,37,37,Fred Funk,65,"23' 5""",46.75,2,38,9
37,38,38,Robert Garrigus,95,"22' 10""",182.583,8,42,6
38,T39,T39,Stuart Appleby,74,"22' 4""",44.667,2,28,17
39,T39,T39,Darron Stiles,65,"22' 4""",134.167,6,62,2
40,41,41,Freddie Jacobson,70,"22' 3""",22.25,1,22,22
41,42,42,John Senden,97,"22' 2""",88.75,4,53,2
42,43,43,Jason Dufner,100,"22' 0""",131.833,6,39,4
43,44,44,Robert Allenby,90,"21' 9""",130.333,6,58,9
44,45,45,Matt Hendrix,63,"21' 7""",86.25,4,36,9
45,46,46,J.P. Hayes,89,"21' 6""",21.5,1,22,22
46,47,47,Rod Pampling,92,"21' 5""",171.333,8,47,5
47,48,48,Scott Gutschewski,67,"21' 3""",85.083,4,29,15
48,49,49,Duffy Waldorf,69,"21' 0""",83.833,4,37,11
49,50,50,Jarrod Lyle,77,"20' 5""",81.583,4,44,8
50,T51,T51,John Daly,59,"19' 11""",119.417,6,60,4
51,T51,T51,Bryce Molder,56,"19' 11""",19.917,1,20,20
52,53,53,J.J. Henry,86,"19' 10""",79.25,4,39,2
53,54,54,Joe Ogilvie,102,"19' 8""",137.667,7,47,5
54,T55,T55,Mark Calcavecchia,93,"19' 4""",96.833,5,53,1
55,T55,T55,Ted Purdy,102,"19' 4""",77.417,4,31,4
56,57,57,Steve Lowery,74,"19' 2""",57.417,3,39,7
57,58,58,Craig Lile,77,"19' 1""",57.25,3,28,13
58,T59,T59,Joe Durant,88,"18' 9""",37.5,2,26,11
59,T59,T59,Kevin Stadler,95,"18' 9""",131.083,7,43,3
60,61,61,Glen Day,85,"18' 8""",37.25,2,22,15
61,62,62,Jeff Brehaut,59,"18' 7""",111.667,6,39,7
62,63,63,Cameron Beckman,96,"18' 6""",55.5,3,47,"7"""
63,T64,T64,Kent Jones,97,"18' 4""",128.417,7,43,2
64,T64,T64,Doug LaBelle II,104,"18' 4""",73.417,4,33,6
65,T64,T64,Parker McLachlin,83,"18' 4""",73.417,4,28,12
66,67,67,Brian Bateman,55,"18' 1""",18.083,1,18,18
67,68,68,Padraig Harrington,64,"17' 11""",17.917,1,18,18
68,69,69,Michael Allen,74,"17' 10""",89.0,5,30,4
69,70,70,Tag Ridings,52,"17' 8""",70.5,4,30,2
70,T71,T71,Sergio Garcia,68,"17' 4""",86.583,5,36,3
71,T71,T71,Ryan Moore,92,"17' 4""",104.167,6,30,11
72,T71,T71,D.J. Trahan,99,"17' 4""",69.25,4,27,5
73,74,74,Anders Hansen,55,"16' 7""",33.167,2,17,16
74,T75,T75,Rich Barcelo,80,"16' 6""",49.583,3,24,11
75,T75,T75,Bo Van Pelt,104,"16' 6""",82.417,5,30,3
76,77,77,Chris Tidland,59,"16' 5""",148.0,9,31,6
77,78,78,Lee Janzen,66,"16' 4""",49.0,3,27,6
78,79,79,Nathan Green,103,"16' 2""",80.917,5,31,6
79,80,80,Jason Bohn,57,"16' 0""",95.917,6,37,2
80,81,81,Jeff Overton,60,"15' 10""",79.0,5,39,2
81,T82,T82,John Merrick,92,"15' 9""",62.917,4,37,3
82,T82,T82,Joey Sindelar,75,"15' 9""",31.5,2,19,12
83,84,84,Boo Weekley,101,"15' 5""",77.25,5,37,3
84,T85,T85,Steve Allan,63,"15' 3""",45.833,3,17,13
85,T85,T85,Frank Lickliter II,95,"15' 3""",45.667,3,32,6
86,T85,T85,Johnson Wagner,97,"15' 3""",60.833,4,38,4
87,T88,T88,Ken Duke,112,"15' 2""",60.667,4,30,4
88,T88,T88,Mark Wilson,87,"15' 2""",45.417,3,24,11
89,90,90,Ernie Els,59,"14' 10""",88.917,6,28,3
90,91,91,John Rollins,102,"14' 9""",73.917,5,22,10
91,T92,T92,Bill Haas,93,"14' 7""",145.583,10,63,5
92,T92,T92,Tom Pernice Jr.,104,"14' 7""",58.333,4,26,7
93,T92,T92,Adam Scott,69,"14' 7""",43.667,3,18,12
94,95,95,Mike Weir,82,"14' 6""",57.917,4,36,4
95,96,96,Dicky Pride,71,"14' 5""",28.75,2,17,12
96,97,97,Michael Putnam,96,"14' 4""",100.333,7,23,7
97,98,98,David Branshaw,83,"14' 3""",71.417,5,43,3
98,T99,T99,Craig Barlow,52,"14' 1""",14.083,1,14,14
99,T99,T99,George McNeill,95,"14' 1""",70.583,5,41,2
100,T99,T99,Heath Slocum,101,"14' 1""",70.417,5,21,3
101,T102,T102,Hunter Mahan,91,"14' 0""",70.083,5,22,5
102,T102,T102,Carl Pettersson,111,"14' 0""",98.0,7,43,2
103,104,104,Peter Lonard,85,"13' 11""",27.833000000000002,2,15,13
104,T105,T105,Shaun Micheel,91,"13' 10""",13.833,1,14,14
105,T105,T105,Michael Sim,52,"13' 10""",13.833,1,14,14
106,107,107,D.J. Brigman,67,"13' 9""",68.583,5,40,1
107,108,108,Kenny Perry,83,"13' 7""",40.667,3,19,8
108,T109,T109,Jim Furyk,84,"13' 6""",27.0,2,15,12
109,T109,T109,Will MacKenzie,100,"13' 6""",94.5,7,28,4
110,T109,T109,Bob Tway,103,"13' 6""",27.0,2,26,1
111,T112,T112,Robert Gamez,88,"13' 0""",77.917,6,34,1
112,T112,T112,Zach Johnson,76,"13' 0""",52.083,4,27,4
113,T114,T114,Andrew Buckle,77,"12' 9""",38.333,3,22,8
114,T114,T114,Chris DiMarco,79,"12' 9""",51.0,4,29,3
115,T114,T114,Phil Mickelson,73,"12' 9""",63.583,5,17,7
116,T117,T117,Eric Axley,107,"12' 7""",87.917,7,19,2
117,T117,T117,Briny Baird,115,"12' 7""",37.667,3,19,5
118,T117,T117,Ben Curtis,80,"12' 7""",25.166999999999998,2,19,6
119,120,120,Chris Couch,76,"12' 6""",25.0,2,20,6
120,T121,T121,Jason Gore,86,"12' 4""",61.75,5,21,6
121,T121,T121,Paul Gow,70,"12' 4""",24.583000000000002,2,19,6
122,T123,T123,Steve Flesch,100,"12' 0""",72.083,6,18,9
123,T123,T123,John Mallinger,96,"12' 0""",36.0,3,28,2
124,T123,T123,Vijay Singh,102,"12' 0""",96.0,8,39,1
125,126,126,Jeff Maggert,79,"11' 11""",35.667,3,21,4
126,T127,T127,Greg Owen,81,"11' 10""",83.083,7,29,"9"""
127,T127,T127,Jesper Parnevik,88,"11' 10""",23.666999999999998,2,22,2
128,129,129,Brian Davis,101,"11' 9""",46.833,4,18,1
129,130,130,David Toms,80,"11' 7""",34.75,3,16,8
130,131,131,Charles Howell III,89,"11' 6""",80.5,7,29,3
131,132,132,Tripp Isenhour,86,"11' 5""",68.667,6,53,2
132,T133,T133,Shigeki Maruyama,84,"11' 3""",22.5,2,12,11
133,T133,T133,Jason Schultz,63,"11' 3""",44.833,4,20,7
134,135,135,Harrison Frazar,88,"11' 2""",78.0,7,25,4
135,136,136,Nick Watney,87,"11' 1""",55.333,5,18,6
136,T137,T137,Mathias Grönberg,95,"11' 0""",77.0,7,40,"7"""
137,T137,T137,Troy Matteson,87,"11' 0""",43.833,4,18,3
138,T137,T137,Billy Mayfair,98,"11' 0""",54.917,5,19,2
139,140,140,Kevin Sutherland,85,"10' 8""",32.0,3,15,4
140,141,141,Camilo Villegas,82,"10' 6""",52.333,5,23,2
141,T142,T142,Tommy Armour III,81,"10' 5""",41.5,4,17,3
142,T142,T142,Ryan Armour,107,"10' 5""",20.833000000000002,2,16,5
143,144,144,Daniel Chopra,106,"10' 1""",20.083,2,15,5
144,T145,T145,Jerry Kelly,101,"10' 0""",30.083000000000002,3,20,4
145,T145,T145,Bubba Watson,80,"10' 0""",40.0,4,16,5
146,T147,T147,Rich Beem,89,"9' 11""",49.5,5,23,"6"""
147,T147,T147,Charlie Wi,90,"9' 11""",49.5,5,19,2
148,T149,T149,Bob Heintz,85,"9' 10""",39.333,4,16,4
149,T149,T149,Cliff Kresge,107,"9' 10""",39.25,4,13,7
150,T151,T151,Todd Hamilton,76,"9' 9""",48.833,5,15,8
151,T151,T151,Daisuke Maruyama,86,"9' 9""",78.25,8,17,2
152,153,153,Bob Estes,88,"9' 6""",19.0,2,15,4
153,154,154,Pat Perez,84,"9' 5""",56.5,6,25,4
154,155,155,Charley Hoffman,97,"9' 4""",28.083000000000002,3,11,6
155,156,156,Mathew Goggin,97,"9' 3""",55.583,6,20,2
156,157,157,Stephen Leaney,82,"9' 2""",18.333,2,13,6
157,158,158,Henrik Stenson,52,"9' 1""",9.083,1,9,9
158,159,159,Kyle Reifers,71,"8' 10""",26.416999999999998,3,15,3
159,T160,T160,Ryan Palmer,91,"8' 8""",34.75,4,16,5
160,T160,T160,Paul Stankowski,52,"8' 8""",8.667,1,9,9
161,T160,T160,Scott Verplank,82,"8' 8""",34.5,4,17,1
162,T160,T160,Brett Wetterich,88,"8' 8""",69.25,8,17,5
163,164,164,Matt Kuchar,85,"8' 4""",8.333,1,8,8
164,165,165,Ian Poulter,63,"8' 2""",8.167,1,8,8
165,166,166,Steve Marino,106,"8' 1""",32.167,4,15,2
166,167,167,Tom Lehman,62,"7' 11""",7.917000000000001,1,8,8
167,168,168,Aaron Baddeley,83,"6' 8""",26.666999999999998,4,15,3
168,169,169,Dean Wilson,92,"6' 6""",6.5,1,7,7
169,170,170,Brett Quigley,79,"6' 5""",25.75,4,11,5
170,171,171,Brian Gay,107,"5' 7""",5.582999999999999,1,6,6
171,172,172,Kirk Triplett,77,"5' 4""",16.0,3,7,4
172,173,173,Nick O'Hern,72,"5' 2""",10.333,2,5,5
173,174,174,Jaco Van Zyl,51,"5' 1""",10.083,2,5,5
174,175,175,Marco Dawson,73,"4' 9""",4.75,1,5,5
175,T176,T176,Jeff Sluman,60,"3' 11""",3.917,1,4,4
176,T176,T176,Brandt Snedeker,105,"3' 11""",7.832999999999999,2,6,2
177,178,178,Michael Boyd,61,"3' 3""",3.25,1,3,3
178,179,179,Jim Rutledge,59,"2' 4""",2.333,1,2,2
