,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Ryuji Imada,104,46.06,257,558
1,2,2,Rory Sabbatini,81,45.71,181,396
2,3,3,Tim Clark,66,44.44,144,324
3,4,4,Bob Estes,88,44.25,223,504
4,5,5,Kevin Na,84,44.02,206,468
5,6,6,John Mallinger,96,43.49,227,522
6,7,7,Padraig Harrington,64,43.14,132,306
7,8,8,Rich Beem,89,43.06,217,504
8,9,9,Justin Rose,63,42.96,116,270
9,10,10,Jim Furyk,84,42.93,170,396
10,11,11,Corey Pavin,81,42.67,192,450
11,12,12,Chris Riley,59,42.48,130,306
12,13,13,Steve Allan,63,42.28,137,324
13,14,14,Michael Sim,52,42.16,129,306
14,15,15,Aaron Baddeley,83,41.92,166,396
15,16,16,George McNeill,95,41.67,225,540
16,17,17,José María Olazábal,52,41.48,112,270
17,18,18,Retief Goosen,50,41.45,97,234
18,19,19,Bart Bryant,87,41.44,179,432
19,T20,T20,Jonathan Byrd,73,41.3,171,414
20,T20,T20,Marco Dawson,73,41.3,171,414
21,22,22,Jay Williamson,50,41.27,104,252
22,T23,T23,Arron Oberholser,69,41.23,141,342
23,T23,T23,Jeff Overton,60,41.23,141,342
24,25,25,Heath Slocum,101,41.07,207,504
25,26,26,Jason Gore,86,40.95,199,486
26,27,27,Freddie Jacobson,70,40.83,147,360
27,28,28,Steve Stricker,81,40.66,161,396
28,29,29,Brian Gay,107,40.63,234,576
29,30,30,Joe Ogilvie,102,40.5,226,558
30,31,31,J.P. Hayes,89,40.48,204,504
31,32,32,Paul Goydos,60,40.43,131,324
32,33,33,Ernie Els,59,40.37,109,270
33,34,34,Ryan Moore,92,40.28,203,504
34,35,35,John Rollins,102,40.08,202,504
35,36,36,Nathan Green,103,40.04,209,522
36,T37,T37,Steve Elkington,87,40.0,180,450
37,T37,T37,Will MacKenzie,100,40.0,216,540
38,39,39,Troy Matteson,87,39.96,187,468
39,40,40,Charlie Wi,90,39.92,194,486
40,41,41,Parker McLachlin,83,39.88,201,504
41,42,42,K.J. Choi,87,39.81,172,432
42,43,43,Steve Flesch,100,39.78,222,558
43,44,44,Luke Donald,69,39.77,136,342
44,45,45,Billy Andrade,88,39.71,193,486
45,46,46,Chris DiMarco,79,39.61,164,414
46,47,47,Stewart Cink,91,39.58,171,432
47,48,48,Ian Poulter,63,39.54,121,306
48,49,49,Adam Scott,69,39.51,128,324
49,T50,T50,Frank Lickliter II,95,39.46,206,522
50,T50,T50,Jeff Quinney,95,39.46,206,522
51,52,52,Craig Kanada,109,39.38,241,612
52,53,53,Camilo Villegas,82,39.35,170,432
53,54,54,Dicky Pride,71,39.33,177,450
54,55,55,Jesper Parnevik,88,39.3,191,486
55,56,56,Tim Petrovic,106,39.24,226,576
56,57,57,Scott Verplank,82,39.14,155,396
57,58,58,Justin Leonard,95,39.08,204,522
58,59,59,Shigeki Maruyama,84,39.07,218,558
59,T60,T60,Woody Austin,95,38.89,189,486
60,T60,T60,Tag Ridings,52,38.89,126,324
61,T62,T62,Chris Couch,76,38.7,202,522
62,T62,T62,Bo Van Pelt,104,38.7,209,540
63,64,64,Mark Calcavecchia,93,38.69,195,504
64,65,65,Lucas Glover,98,38.68,188,486
65,66,66,Ben Curtis,80,38.66,167,432
66,67,67,D.J. Trahan,99,38.52,208,540
67,68,68,Bob Heintz,85,38.48,187,486
68,69,69,Rocco Mediate,72,38.38,152,396
69,70,70,David Toms,80,38.36,145,378
70,71,71,Craig Bowden,78,38.22,172,450
71,72,72,Steve Lowery,74,38.13,151,396
72,T73,T73,Paul Gow,70,38.03,178,468
73,T73,T73,Bubba Watson,80,38.03,178,468
74,75,75,Carl Pettersson,111,37.96,205,540
75,76,76,Jason Bohn,57,37.91,116,306
76,T77,T77,Michael Boyd,61,37.83,143,378
77,T77,T77,Zach Johnson,76,37.83,143,378
78,79,79,Steve Marino,106,37.81,211,558
79,80,80,Dean Wilson,92,37.7,190,504
80,T81,T81,Brian Davis,101,37.5,189,504
81,T81,T81,Ted Purdy,102,37.5,216,576
82,83,83,Tom Johnson,74,37.45,182,486
83,T84,T84,Tripp Isenhour,86,37.41,202,540
84,T84,T84,Cliff Kresge,107,37.41,202,540
85,86,86,Matt Kuchar,85,37.39,175,468
86,87,87,Kevin Sutherland,85,37.33,168,450
87,T88,T88,Henrik Stenson,52,37.3,94,252
88,T88,T88,Chris Tidland,59,37.3,141,378
89,90,90,Stuart Appleby,74,37.2,154,414
90,91,91,Kyle Reifers,71,37.18,174,468
91,92,92,Tom Pernice Jr.,104,37.1,207,558
92,T93,T93,Eric Axley,107,37.04,240,648
93,T93,T93,Gavin Coles,87,37.04,180,486
94,95,95,Rich Barcelo,80,36.97,173,468
95,96,96,D.J. Brigman,67,36.87,146,396
96,T97,T97,Cameron Beckman,96,36.78,192,522
97,T97,T97,Mathew Goggin,97,36.78,192,522
98,99,99,Daniel Chopra,106,36.7,218,594
99,T100,T100,Mark Hensby,81,36.67,165,450
100,T100,T100,Phil Mickelson,73,36.67,132,360
