,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,Steve Stricker,81,"48' 11""",733.4169999999999,15
1,2,2,Chris Riley,59,"48' 8""",1459.6670000000001,30
2,3,3,Bryce Molder,56,"47' 5""",1137.5,24
3,4,4,George McNeill,95,"46' 6""",1767.6670000000001,38
4,T5,T5,Michael Boyd,61,"46' 4""",1205.167,26
5,T5,T5,Mathias Grönberg,95,"46' 4""",2642.917,57
6,7,7,Freddie Jacobson,70,"46' 0""",1104.25,24
7,8,8,Jeff Overton,60,"45' 9""",1372.75,30
8,9,9,Jay Williamson,50,"45' 8""",730.0,16
9,10,10,Craig Bowden,78,"44' 11""",1618.25,36
10,T11,T11,Heath Slocum,101,"44' 10""",1345.0829999999999,30
11,T11,T11,Bubba Watson,80,"44' 10""",1884.6670000000001,42
12,T13,T13,Hunter Mahan,91,"44' 6""",1601.0,36
13,T13,T13,Daisuke Maruyama,86,"44' 6""",2313.25,52
14,15,15,Bart Bryant,87,"44' 2""",1765.4170000000001,40
15,T16,T16,Anders Hansen,55,"44' 0""",747.5,17
16,T16,T16,Brett Quigley,79,"44' 0""",1232.333,28
17,18,18,Charlie Wi,90,"43' 11""",1448.4170000000001,33
18,T19,T19,Jim Furyk,84,"43' 8""",1398.1670000000001,32
19,T19,T19,Retief Goosen,50,"43' 8""",567.5830000000001,13
20,T19,T19,Ryuji Imada,104,"43' 8""",1966.0,45
21,T19,T19,Chris Tidland,59,"43' 8""",1178.667,27
22,T23,T23,Parker McLachlin,83,"43' 7""",1874.3329999999999,43
23,T23,T23,Dean Wilson,92,"43' 7""",1351.5829999999999,31
24,T25,T25,David Branshaw,83,"43' 4""",2122.333,49
25,T25,T25,K.J. Choi,87,"43' 4""",1386.1670000000001,32
26,T25,T25,Luke Donald,69,"43' 4""",997.0,23
27,T25,T25,J.B. Holmes,71,"43' 4""",2513.917,58
28,T25,T25,Trevor Immelman,74,"43' 4""",1256.0,29
29,T25,T25,Tom Johnson,74,"43' 4""",2122.333,49
30,31,31,Tim Petrovic,106,"43' 2""",2333.167,54
31,32,32,Steve Marino,106,"43' 1""",2799.167,65
32,T33,T33,Andrew Buckle,77,"43' 0""",2062.583,48
33,T33,T33,Cliff Kresge,107,"43' 0""",2149.083,50
34,T33,T33,Rod Pampling,92,"43' 0""",1891.4170000000001,44
35,T33,T33,Brett Wetterich,88,"43' 0""",2320.25,54
36,T37,T37,Aaron Baddeley,83,"42' 10""",943.1669999999999,22
37,T37,T37,Briny Baird,115,"42' 10""",3256.917,76
38,T37,T37,Ernie Els,59,"42' 10""",941.9169999999999,22
39,T37,T37,Jason Gore,86,"42' 10""",2400.333,56
40,T41,T41,Stephen Ames,81,"42' 9""",1239.333,29
41,T41,T41,Bill Haas,93,"42' 9""",2223.333,52
42,T41,T41,Paul Stankowski,52,"42' 9""",1068.583,25
43,T41,T41,Johnson Wagner,97,"42' 9""",1797.0,42
44,T45,T45,Stewart Cink,91,"42' 8""",1537.3329999999999,36
45,T45,T45,Jarrod Lyle,77,"42' 8""",1620.0,38
46,47,47,Bob Tway,103,"42' 7""",1617.0,38
47,T48,T48,Brian Bateman,55,"42' 6""",1571.75,37
48,T48,T48,Bob Estes,88,"42' 6""",1571.9170000000001,37
49,T48,T48,Steve Wheatcroft,73,"42' 6""",1954.4170000000001,46
50,51,51,Doug LaBelle II,104,"42' 5""",1868.0829999999999,44
51,52,52,Marco Dawson,73,"42' 4""",1270.167,30
52,T53,T53,Tommy Armour III,81,"42' 3""",1521.8329999999999,36
53,T53,T53,Craig Lile,77,"42' 3""",1309.75,31
54,55,55,Davis Love III,66,"42' 2""",1477.25,35
55,T56,T56,Brendon de Jonge,76,"42' 1""",1598.1670000000001,38
56,T56,T56,Zach Johnson,76,"42' 1""",631.3330000000001,15
57,T56,T56,Mike Weir,82,"42' 1""",1513.75,36
58,59,59,Eric Axley,107,"42' 0""",2434.167,58
59,60,60,John Daly,59,"41' 10""",1632.0829999999999,39
60,61,61,Steve Allan,63,"41' 9""",1460.4170000000001,35
61,62,62,Jaco Van Zyl,51,"41' 8""",1499.1670000000001,36
62,63,63,Tom Lehman,62,"41' 7""",1413.0,34
63,T64,T64,Jason Dufner,100,"41' 6""",2821.0,68
64,T64,T64,Justin Leonard,95,"41' 6""",1950.1670000000001,47
65,T64,T64,Dicky Pride,71,"41' 6""",1368.75,33
66,T67,T67,Shigeki Maruyama,84,"41' 5""",1409.4170000000001,34
67,T67,T67,John Merrick,92,"41' 5""",2652.833,64
68,T67,T67,Vijay Singh,102,"41' 5""",1655.5829999999999,40
69,T70,T70,Billy Mayfair,98,"41' 4""",2190.583,53
70,T70,T70,John Senden,97,"41' 4""",2481.917,60
71,T70,T70,Michael Sim,52,"41' 4""",909.3330000000001,22
72,73,73,Mark Brooks,53,"41' 2""",905.5830000000001,22
73,74,74,Stuart Appleby,74,"41' 1""",1315.0,32
74,T75,T75,Billy Andrade,88,"40' 11""",2497.917,61
75,T75,T75,Richard Johnson,93,"40' 11""",1678.4170000000001,41
76,77,77,D.J. Trahan,99,"40' 10""",2651.583,65
77,T78,T78,J.J. Henry,86,"40' 9""",1508.9170000000001,37
78,T78,T78,Anthony Kim,93,"40' 9""",1955.5829999999999,48
79,T78,T78,Matt Kuchar,85,"40' 9""",1303.917,32
80,T78,T78,Jeff Quinney,95,"40' 9""",1915.8329999999999,47
81,T82,T82,Michael Allen,74,"40' 8""",1464.3329999999999,36
82,T82,T82,Jeff Gove,103,"40' 8""",3134.083,77
83,T82,T82,Chris Stroud,66,"40' 8""",1382.0,34
84,T85,T85,Chris Couch,76,"40' 7""",2109.417,52
85,T85,T85,Sean O'Hair,98,"40' 7""",2395.167,59
86,T85,T85,Charles Warren,101,"40' 7""",2962.833,73
87,T88,T88,Ken Duke,112,"40' 6""",1903.25,47
88,T88,T88,Brian Gay,107,"40' 6""",1537.5,38
89,T90,T90,Tom Byrum,50,"40' 5""",970.25,24
90,T90,T90,Steve Flesch,100,"40' 5""",2507.5,62
91,T90,T90,Harrison Frazar,88,"40' 5""",2100.917,52
92,T90,T90,Mathew Goggin,97,"40' 5""",2386.583,59
93,T90,T90,Charles Howell III,89,"40' 5""",1293.417,32
94,T95,T95,Craig Barlow,52,"40' 4""",1289.917,32
95,T95,T95,Jeff Brehaut,59,"40' 4""",1371.1670000000001,34
96,T95,T95,Bubba Dickerson,51,"40' 4""",1130.25,28
97,T95,T95,Lucas Glover,98,"40' 4""",1775.8329999999999,44
98,T95,T95,Tom Pernice Jr.,104,"40' 4""",1735.75,43
99,100,100,John Rollins,102,"40' 2""",2008.6670000000001,50
100,101,101,Jason Bohn,57,"39' 11""",1197.833,30
101,102,102,Paul Gow,70,"39' 10""",1432.8329999999999,36
102,103,103,Robert Allenby,90,"39' 9""",2225.5,56
103,104,104,Pat Perez,84,"39' 8""",1389.5829999999999,35
104,T105,T105,Tim Clark,66,"39' 7""",632.6669999999999,16
105,T105,T105,Phil Mickelson,73,"39' 7""",752.3330000000001,19
106,T105,T105,Tiger Woods,63,"39' 7""",593.1669999999999,15
107,T108,T108,Daniel Chopra,106,"39' 4""",1731.5,44
108,T108,T108,Scott Gutschewski,67,"39' 4""",1456.0,37
109,T108,T108,Kent Jones,97,"39' 4""",2322.417,59
110,T108,T108,Shaun Micheel,91,"39' 4""",1926.5829999999999,49
111,T108,T108,Kyle Reifers,71,"39' 4""",1927.9170000000001,49
112,T108,T108,Adam Scott,69,"39' 4""",1337.4170000000001,34
113,T114,T114,Stephen Leaney,82,"39' 3""",1335.75,34
114,T114,T114,Corey Pavin,81,"39' 3""",1490.6670000000001,38
115,T114,T114,David Toms,80,"39' 3""",1138.583,29
116,117,117,Arron Oberholser,69,"39' 2""",744.4169999999999,19
117,118,118,Jeff Sluman,60,"39' 1""",978.0,25
118,T119,T119,Todd Hamilton,76,"39' 0""",1053.0,27
119,T119,T119,Jesper Parnevik,88,"39' 0""",1286.0,33
120,T119,T119,Henrik Stenson,52,"39' 0""",390.167,10
121,122,122,Glen Day,85,"38' 11""",1517.5829999999999,39
122,T123,T123,Charley Hoffman,97,"38' 10""",1632.25,42
123,T123,T123,Craig Kanada,109,"38' 10""",1904.75,49
124,T123,T123,Michael Putnam,96,"38' 10""",2017.25,52
125,T123,T123,Jason Schultz,63,"38' 10""",1436.8329999999999,37
126,127,127,Ryan Palmer,91,"38' 9""",1667.5829999999999,43
127,T128,T128,Chris DiMarco,79,"38' 8""",1044.5,27
128,T128,T128,J.P. Hayes,89,"38' 8""",1661.4170000000001,43
129,T128,T128,Rocco Mediate,72,"38' 8""",1509.4170000000001,39
130,T128,T128,Joe Ogilvie,102,"38' 8""",1546.5829999999999,40
131,T128,T128,Jim Rutledge,59,"38' 8""",1470.1670000000001,38
132,T128,T128,Brandt Snedeker,105,"38' 8""",1121.667,29
133,T128,T128,Nick Watney,87,"38' 8""",1892.8329999999999,49
134,T135,T135,Kevin Na,84,"38' 6""",1347.0,35
135,T135,T135,Rory Sabbatini,81,"38' 6""",1039.167,27
136,T137,T137,Steve Elkington,87,"38' 5""",1075.25,28
137,T137,T137,Robert Gamez,88,"38' 5""",1536.4170000000001,40
