,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Steve Stricker,81,97.3,37,36
1,2,2,Eric Axley,107,96.88,32,31
2,3,3,J.J. Henry,86,96.77,31,30
3,4,4,Duffy Waldorf,69,94.12,34,32
4,5,5,Rory Sabbatini,81,93.94,33,31
5,6,6,Jeff Brehaut,59,93.75,16,15
6,7,7,Steve Wheatcroft,73,93.1,29,27
7,8,8,Bubba Dickerson,51,92.86,28,26
8,9,9,Carl Pettersson,111,92.45,53,49
9,10,10,José María Olazábal,52,92.31,13,12
10,11,11,K.J. Choi,87,91.89,37,34
11,T12,T12,Scott Gutschewski,67,90.91,22,20
12,T12,T12,Charles Howell III,89,90.91,33,30
13,T12,T12,Nick O'Hern,72,90.91,33,30
14,15,15,Phil Mickelson,73,90.7,43,39
15,16,16,Mark Brooks,53,90.0,20,18
16,17,17,George McNeill,95,89.8,49,44
17,18,18,Michael Boyd,61,89.66,29,26
18,19,19,Sergio Garcia,68,89.47,38,34
19,20,20,Jesper Parnevik,88,89.36,47,42
20,21,21,Kyle Reifers,71,89.29,28,25
21,T22,T22,Zach Johnson,76,89.19,37,33
22,T22,T22,Hunter Mahan,91,89.19,37,33
23,24,24,Bob Tway,103,89.13,46,41
24,25,25,Bob Estes,88,88.89,45,40
25,26,26,Ryan Armour,107,88.68,53,47
26,27,27,Jaco Van Zyl,51,88.46,26,23
27,28,28,Brian Gay,107,88.33,60,53
28,T29,T29,Brian Bateman,55,88.0,25,22
29,T29,T29,Tim Clark,66,88.0,25,22
30,T29,T29,Rocco Mediate,72,88.0,25,22
31,T32,T32,Steve Lowery,74,87.88,33,29
32,T32,T32,Chris Stroud,66,87.88,33,29
33,34,34,Nick Watney,87,87.8,41,36
34,35,35,Tim Petrovic,106,87.72,57,50
35,T36,T36,Tag Ridings,52,87.5,16,14
36,T36,T36,Jim Rutledge,59,87.5,16,14
37,T36,T36,Charlie Wi,90,87.5,32,28
38,39,39,Jerry Kelly,101,87.23,47,41
39,40,40,Boo Weekley,101,87.18,39,34
40,41,41,José Coceres,50,86.96,23,20
41,42,42,Billy Andrade,88,86.84,38,33
42,T43,T43,Aaron Baddeley,83,86.67,45,39
43,T43,T43,Chris Tidland,59,86.67,15,13
44,T43,T43,Jay Williamson,50,86.67,30,26
45,46,46,Vijay Singh,102,86.44,59,51
46,T47,T47,Steve Marino,106,86.27,51,44
47,T47,T47,Kevin Na,84,86.27,51,44
48,49,49,Todd Hamilton,76,86.21,29,25
49,50,50,Craig Lile,77,86.11,36,31
50,T51,T51,Brendon de Jonge,76,86.05,43,37
51,T51,T51,Frank Lickliter II,95,86.05,43,37
52,T53,T53,Anders Hansen,55,85.71,14,12
53,T53,T53,Davis Love III,66,85.71,28,24
54,T53,T53,Jeff Sluman,60,85.71,21,18
55,56,56,Brian Davis,101,85.45,55,47
56,57,57,Rich Beem,89,85.37,41,35
57,T58,T58,Ben Curtis,80,85.29,34,29
58,T58,T58,Brett Quigley,79,85.29,34,29
59,T60,T60,Adam Scott,69,85.19,27,23
60,T60,T60,Vaughn Taylor,91,85.19,54,46
61,62,62,J.P. Hayes,89,85.11,47,40
62,63,63,Jarrod Lyle,77,85.0,40,34
63,T64,T64,Jason Gore,86,84.91,53,45
64,T64,T64,Nathan Green,103,84.91,53,45
65,66,66,Michael Putnam,96,84.78,46,39
66,T67,T67,Joe Durant,88,84.62,39,33
67,T67,T67,Retief Goosen,50,84.62,13,11
68,69,69,Dicky Pride,71,84.38,32,27
69,70,70,John Mallinger,96,84.31,51,43
70,71,71,Luke Donald,69,83.87,31,26
71,72,72,Shigeki Maruyama,84,83.78,37,31
72,73,73,Brandt Snedeker,105,83.72,43,36
73,T74,T74,Bill Haas,93,83.33,42,35
74,T74,T74,Craig Kanada,109,83.33,48,40
75,T74,T74,Pat Perez,84,83.33,42,35
76,T74,T74,Bubba Watson,80,83.33,36,30
77,T74,T74,Tiger Woods,63,83.33,30,25
78,79,79,Brett Wetterich,88,82.98,47,39
79,80,80,Dean Wilson,92,82.93,41,34
80,81,81,Rod Pampling,92,82.86,35,29
81,82,82,Craig Bowden,78,82.76,29,24
82,83,83,Camilo Villegas,82,82.61,46,38
83,T84,T84,Tommy Armour III,81,82.5,40,33
84,T84,T84,Steve Elkington,87,82.5,40,33
85,T86,T86,Jonathan Byrd,73,82.35,34,28
86,T86,T86,Tripp Isenhour,86,82.35,34,28
87,T86,T86,Arron Oberholser,69,82.35,34,28
88,89,89,Steve Allan,63,82.14,28,23
89,90,90,Rich Barcelo,80,82.05,39,32
90,91,91,David Branshaw,83,82.0,50,41
91,92,92,Mathias Grönberg,95,81.82,55,45
92,93,93,Mark Hensby,81,81.58,38,31
93,94,94,Fred Funk,65,81.48,27,22
94,95,95,Cliff Kresge,107,81.36,59,48
95,96,96,Padraig Harrington,64,81.25,32,26
96,T97,T97,Marco Dawson,73,81.08,37,30
97,T97,T97,Matt Kuchar,85,81.08,37,30
98,99,99,Harrison Frazar,88,80.95,42,34
99,100,100,Johnson Wagner,97,80.77,52,42
100,101,101,Ryuji Imada,104,80.7,57,46
101,T102,T102,Chris DiMarco,79,80.65,31,25
102,T102,T102,Ernie Els,59,80.65,31,25
103,T102,T102,Mark Wilson,87,80.65,31,25
104,T105,T105,Richard Johnson,93,80.49,41,33
105,T105,T105,Will MacKenzie,100,80.49,41,33
106,107,107,Charley Hoffman,97,80.43,46,37
107,108,108,Kent Jones,97,80.39,51,41
108,T109,T109,Cameron Beckman,96,80.0,55,44
109,T109,T109,Daniel Chopra,106,80.0,55,44
110,T109,T109,Geoff Ogilvy,84,80.0,45,36
111,T109,T109,Corey Pavin,81,80.0,25,20
112,T109,T109,Michael Sim,52,80.0,20,16
113,T109,T109,D.J. Trahan,99,80.0,60,48
114,115,115,Charles Warren,101,79.69,64,51
115,116,116,Jim Furyk,84,79.55,44,35
116,117,117,Freddie Jacobson,70,79.41,34,27
117,T118,T118,Paul Goydos,60,79.31,29,23
118,T118,T118,Parker McLachlin,83,79.31,29,23
119,T118,T118,Justin Rose,63,79.31,29,23
120,121,121,John Rollins,102,79.25,53,42
121,T122,T122,Chad Campbell,96,79.17,48,38
122,T122,T122,John Senden,97,79.17,48,38
123,T124,T124,Ryan Moore,92,79.07,43,34
124,T124,T124,David Toms,80,79.07,43,34
125,T126,T126,Michael Allen,74,78.79,33,26
126,T126,T126,Gavin Coles,87,78.79,33,26
127,T128,T128,Jeff Gove,103,78.72,47,37
128,T128,T128,Shaun Micheel,91,78.72,47,37
129,T130,T130,Doug LaBelle II,104,78.57,56,44
130,T130,T130,Greg Owen,81,78.57,42,33
131,T130,T130,Ian Poulter,63,78.57,28,22
132,T130,T130,Henrik Stenson,52,78.57,14,11
133,134,134,Ken Duke,112,78.33,60,47
134,T135,T135,Tom Pernice Jr.,104,78.26,46,36
135,T135,T135,Mike Weir,82,78.26,46,36
136,T137,T137,Mathew Goggin,97,77.78,45,35
137,T137,T137,Jason Schultz,63,77.78,27,21
138,139,139,Paul Gow,70,77.42,31,24
139,140,140,Woody Austin,95,77.36,53,41
140,T141,T141,Steve Flesch,100,77.27,44,34
141,T141,T141,Lee Janzen,66,77.27,22,17
142,143,143,Alex Cejka,80,77.19,57,44
143,T144,T144,Stewart Cink,91,77.14,35,27
144,T144,T144,Tom Lehman,62,77.14,35,27
145,T144,T144,Darron Stiles,65,77.14,35,27
146,147,147,Joe Ogilvie,102,77.08,48,37
147,148,148,Heath Slocum,101,77.05,61,47
148,149,149,Kirk Triplett,77,76.74,43,33
149,T150,T150,Mark Calcavecchia,93,76.19,42,32
150,T150,T150,Troy Matteson,87,76.19,42,32
151,T150,T150,Jeff Overton,60,76.19,42,32
152,153,153,Glen Day,85,76.09,46,35
153,154,154,Bo Van Pelt,104,75.93,54,41
154,155,155,Trevor Immelman,74,75.86,29,22
155,156,156,Robert Gamez,88,75.68,37,28
156,T157,T157,Tom Byrum,50,75.0,20,15
157,T157,T157,Chris Couch,76,75.0,28,21
158,T157,T157,Tom Johnson,74,75.0,24,18
159,T157,T157,Peter Lonard,85,75.0,48,36
160,T157,T157,Sean O'Hair,98,75.0,52,39
161,162,162,John Merrick,92,74.58,59,44
162,163,163,Kenny Perry,83,74.36,39,29
163,164,164,J.B. Holmes,71,74.07,54,40
164,T165,T165,Anthony Kim,93,74.0,50,37
165,T165,T165,Ted Purdy,102,74.0,50,37
166,167,167,Jason Bohn,57,73.91,23,17
167,168,168,Stephen Leaney,82,73.68,38,28
168,T169,T169,Andrew Buckle,77,73.53,34,25
169,T169,T169,John Daly,59,73.53,34,25
170,171,171,Tim Herron,98,73.47,49,36
171,172,172,Robert Allenby,90,73.33,45,33
172,173,173,Daisuke Maruyama,86,73.21,56,41
173,174,174,Robert Garrigus,95,72.92,48,35
174,T175,T175,Stuart Appleby,74,72.73,33,24
175,T175,T175,Jeff Maggert,79,72.73,33,24
176,177,177,Jeff Quinney,95,72.34,47,34
177,178,178,D.J. Brigman,67,72.22,18,13
178,179,179,Justin Leonard,95,71.79,39,28
179,T180,T180,Briny Baird,115,71.43,63,45
180,T180,T180,Jason Dufner,100,71.43,49,35
181,T180,T180,Lucas Glover,98,71.43,42,30
182,183,183,Bryce Molder,56,70.83,24,17
183,184,184,Bart Bryant,87,70.45,44,31
184,185,185,Kevin Sutherland,85,70.27,37,26
185,T186,T186,Ryan Palmer,91,70.0,40,28
186,T186,T186,Scott Verplank,82,70.0,40,28
187,188,188,Bob Heintz,85,69.7,33,23
188,189,189,Craig Barlow,52,69.57,23,16
189,190,190,Chris Riley,59,68.75,32,22
190,191,191,Kevin Stadler,95,68.42,38,26
