,Average_Putting_Distance_-_GIR_2_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_2_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_2_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_2_Putts_ROUNDS,Average_Putting_Distance_-_GIR_2_Putts_AVG,Average_Putting_Distance_-_GIR_2_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_2_Putts_TOTAL PUTTS
0,1,1,Chris Tidland,59,"27' 9""",11755.917,424
1,2,2,Jim Rutledge,59,"27' 2""",10991.333,404
2,3,3,K.J. Choi,87,"26' 10""",14863.75,554
3,4,4,Charles Howell III,89,"26' 7""",14498.167,545
4,T5,T5,Gavin Coles,87,"26' 4""",16429.0,624
5,T5,T5,Jesper Parnevik,88,"26' 4""",15942.333,605
6,7,7,Mathew Goggin,97,"26' 3""",20007.0,762
7,T8,T8,Steve Allan,63,"26' 2""",11287.5,431
8,T8,T8,Michael Boyd,61,"26' 2""",10960.0,419
9,10,10,Craig Lile,77,"26' 1""",14126.0,542
10,11,11,Scott Gutschewski,67,"26' 0""",11764.333,453
11,T12,T12,John Senden,97,"25' 11""",19450.833,751
12,T12,T12,Kevin Sutherland,85,"25' 11""",15482.583,597
13,T12,T12,Nick Watney,87,"25' 11""",14928.083,576
14,T15,T15,Tom Byrum,50,"25' 10""",9194.75,356
15,T15,T15,Jeff Quinney,95,"25' 10""",18185.917,704
16,T17,T17,Richard Johnson,93,"25' 9""",18595.833,722
17,T17,T17,Doug LaBelle II,104,"25' 9""",19678.75,763
18,T17,T17,Parker McLachlin,83,"25' 9""",13915.25,541
19,T17,T17,Charlie Wi,90,"25' 9""",17997.167,699
20,T17,T17,Mark Wilson,87,"25' 9""",15645.0,607
21,T22,T22,Michael Putnam,96,"25' 8""",17393.083,678
22,T22,T22,Jason Schultz,63,"25' 8""",10688.667,416
23,T24,T24,J.J. Henry,86,"25' 7""",15233.25,596
24,T24,T24,Stephen Leaney,82,"25' 7""",16911.583,662
25,T24,T24,José María Olazábal,52,"25' 7""",6679.25,261
26,T27,T27,D.J. Brigman,67,"25' 6""",11449.083,449
27,T27,T27,Chris Couch,76,"25' 6""",14862.667,582
28,T27,T27,Bob Estes,88,"25' 6""",15235.75,598
29,T27,T27,Ryuji Imada,104,"25' 6""",16657.833,654
30,T27,T27,Tom Johnson,74,"25' 6""",12633.75,496
31,T27,T27,Michael Sim,52,"25' 6""",10445.583,410
32,T33,T33,Tim Herron,98,"25' 5""",17613.5,692
33,T33,T33,Tim Petrovic,106,"25' 5""",18156.5,714
34,T35,T35,Tripp Isenhour,86,"25' 4""",14299.167,564
35,T35,T35,Dean Wilson,92,"25' 4""",15252.25,603
36,T37,T37,Briny Baird,115,"25' 3""",22604.5,895
37,T37,T37,Rich Barcelo,80,"25' 3""",13301.083,527
38,T37,T37,Andrew Buckle,77,"25' 3""",12884.667,510
39,T37,T37,Ben Curtis,80,"25' 3""",12557.417,497
40,T37,T37,Lucas Glover,98,"25' 3""",16286.417,645
41,T37,T37,Jason Gore,86,"25' 3""",15576.583,616
42,T37,T37,Will MacKenzie,100,"25' 3""",18716.333,742
43,T37,T37,Hunter Mahan,91,"25' 3""",15466.5,612
