,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Ryan Armour,107,37,633,5.8
1,2,2,Briny Baird,115,33,702,4.7
2,T3,T3,Jeff Quinney,95,28,589,4.8
3,T3,T3,Charles Warren,101,28,601,4.7
4,T5,T5,Robert Garrigus,95,27,548,4.9
5,T5,T5,Brian Gay,107,27,740,3.6
6,T5,T5,Jeff Gove,103,27,569,4.7
7,T5,T5,Jesper Parnevik,88,27,558,4.8
8,T5,T5,Tim Petrovic,106,27,716,3.8
9,T10,T10,Justin Leonard,95,26,590,4.4
10,T10,T10,Will MacKenzie,100,26,609,4.3
11,T10,T10,Charlie Wi,90,26,576,4.5
12,T13,T13,Daniel Chopra,106,25,692,3.6
13,T13,T13,Brian Davis,101,25,606,4.1
14,T13,T13,Frank Lickliter II,95,25,594,4.2
15,T13,T13,Joe Ogilvie,102,25,641,3.9
16,T13,T13,Rod Pampling,92,25,498,5.0
17,T13,T13,Heath Slocum,101,25,665,3.8
18,T19,T19,Cameron Beckman,96,24,560,4.3
19,T19,T19,Mathew Goggin,97,24,577,4.2
20,T19,T19,Nathan Green,103,24,658,3.6
21,T19,T19,John Mallinger,96,24,644,3.7
22,T19,T19,Kevin Sutherland,85,24,457,5.3
23,T24,T24,Ken Duke,112,23,683,3.4
24,T24,T24,Ryuji Imada,104,23,694,3.3
25,T24,T24,Zach Johnson,76,23,436,5.3
26,T24,T24,Kent Jones,97,23,602,3.8
27,T24,T24,Sean O'Hair,98,23,596,3.9
28,T24,T24,Tom Pernice Jr.,104,23,634,3.6
29,T24,T24,Michael Putnam,96,23,505,4.6
30,T31,T31,Chad Campbell,96,22,464,4.7
31,T31,T31,Robert Gamez,88,22,481,4.6
32,T31,T31,Mathias Grönberg,95,22,628,3.5
33,T31,T31,Camilo Villegas,82,22,486,4.5
34,T35,T35,Robert Allenby,90,21,483,4.3
35,T35,T35,Bart Bryant,87,21,507,4.1
36,T35,T35,Stewart Cink,91,21,507,4.1
37,T35,T35,Tim Clark,66,21,426,4.9
38,T35,T35,Gavin Coles,87,21,549,3.8
39,T35,T35,Glen Day,85,21,507,4.1
40,T35,T35,Mark Hensby,81,21,526,4.0
41,T35,T35,Charles Howell III,89,21,446,4.7
42,T35,T35,Craig Kanada,109,21,654,3.2
43,T35,T35,Jerry Kelly,101,21,531,4.0
44,T35,T35,Shigeki Maruyama,84,21,605,3.5
45,T35,T35,George McNeill,95,21,587,3.6
