,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Steve Stricker,81,5.28,14,265,94.7
1,2,2,Sergio Garcia,68,5.36,12,224,94.6
2,3,3,Brandt Snedeker,105,5.38,19,353,94.6
3,4,4,Tim Clark,66,5.42,11,203,94.5
4,5,5,José María Olazábal,52,5.44,8,147,94.5
5,6,6,Zach Johnson,76,5.53,14,253,94.4
6,7,7,Nick O'Hern,72,5.66,12,212,94.3
7,8,8,Henrik Stenson,52,6.08,9,148,93.9
8,9,9,Bob Heintz,85,6.14,17,277,93.8
9,10,10,Tiger Woods,63,6.28,12,191,93.7
10,11,11,Kevin Sutherland,85,6.41,22,343,93.5
11,12,12,Jay Williamson,50,6.47,13,201,93.5
12,13,13,Retief Goosen,50,6.52,9,138,93.4
13,14,14,Tag Ridings,52,6.56,12,183,93.4
14,T15,T15,Steve Elkington,87,6.86,21,306,93.1
15,T15,T15,Phil Mickelson,73,6.86,14,204,93.1
16,17,17,Heath Slocum,101,6.91,26,376,93.0
17,18,18,Charlie Wi,90,6.92,27,390,93.0
18,19,19,Dean Wilson,92,7.12,23,323,92.8
19,20,20,Arron Oberholser,69,7.21,16,222,92.7
20,21,21,Ryan Armour,107,7.23,30,415,92.7
21,22,22,Jesper Parnevik,88,7.24,26,359,92.7
22,23,23,Tripp Isenhour,86,7.26,22,303,92.7
23,24,24,Richard Johnson,93,7.36,29,394,92.6
24,25,25,Aaron Baddeley,83,7.45,19,255,92.5
25,26,26,Nathan Green,103,7.47,26,348,92.5
26,27,27,Stephen Leaney,82,7.49,28,374,92.5
27,28,28,Bo Van Pelt,104,7.58,30,396,92.4
28,29,29,Bob Tway,103,7.69,29,377,92.3
29,30,30,Gavin Coles,87,7.74,27,349,92.2
30,31,31,Brian Gay,107,7.75,30,387,92.2
31,32,32,Michael Sim,52,7.79,18,231,92.2
32,33,33,K.J. Choi,87,7.89,25,317,92.1
33,34,34,Freddie Jacobson,70,7.94,22,277,92.0
34,35,35,Craig Lile,77,8.01,25,312,91.9
35,36,36,Chris DiMarco,79,8.06,20,248,91.9
36,37,37,Duffy Waldorf,69,8.12,22,271,91.8
37,38,38,Scott Verplank,82,8.13,17,209,91.8
38,39,39,Chris Tidland,59,8.15,22,270,91.8
39,40,40,Charles Howell III,89,8.23,26,316,91.7
40,T41,T41,Ben Curtis,80,8.33,22,264,91.6
41,T41,T41,Brett Quigley,79,8.33,23,276,91.6
42,43,43,Shigeki Maruyama,84,8.44,27,320,91.5
43,44,44,Glen Day,85,8.55,29,339,91.4
44,45,45,Carl Pettersson,111,8.7,32,368,91.3
45,46,46,Brian Davis,101,8.71,33,379,91.2
46,47,47,Tommy Armour III,81,8.72,28,321,91.2
47,48,48,Stephen Ames,81,8.76,24,274,91.2
48,49,49,Vaughn Taylor,91,8.77,25,285,91.2
49,50,50,Rory Sabbatini,81,8.82,21,238,91.1
