,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Tim Clark,66,44.1,508,1152
1,2,2,Padraig Harrington,64,43.73,488,1116
2,3,3,Kevin Na,84,43.58,659,1512
3,4,4,José María Olazábal,52,42.78,385,900
4,5,5,Jonathan Byrd,73,42.54,559,1314
5,6,6,Aaron Baddeley,83,42.5,612,1440
6,7,7,Rory Sabbatini,81,42.48,604,1422
7,8,8,Tim Petrovic,106,42.03,802,1908
8,9,9,Paul Goydos,60,41.81,444,1062
9,10,10,Shigeki Maruyama,84,41.73,631,1512
10,11,11,Ryuji Imada,104,41.24,772,1872
11,12,12,Chris Riley,59,40.96,435,1062
12,13,13,Freddie Jacobson,70,40.95,516,1260
13,14,14,Nathan Green,103,40.83,757,1854
14,15,15,Steve Stricker,81,40.76,587,1440
15,16,16,Geoff Ogilvy,84,40.67,571,1404
16,17,17,Tom Pernice Jr.,104,40.65,761,1872
17,18,18,Justin Rose,63,40.58,431,1062
18,19,19,Bob Estes,88,40.53,642,1584
19,T20,T20,Brian Gay,107,40.45,779,1926
20,T20,T20,John Mallinger,96,40.45,699,1728
21,22,22,Arron Oberholser,69,40.28,493,1224
22,23,23,Woody Austin,95,40.18,687,1710
23,24,24,Luke Donald,69,40.13,484,1206
24,25,25,Sergio Garcia,68,40.07,476,1188
25,26,26,Daniel Chopra,106,40.04,764,1908
26,27,27,Ryan Moore,92,39.98,662,1656
27,T28,T28,Phil Mickelson,73,39.91,510,1278
28,T28,T28,Ian Poulter,63,39.91,431,1080
29,30,30,Rich Barcelo,80,39.79,573,1440
30,31,31,Zach Johnson,76,39.78,537,1350
31,32,32,Michael Sim,52,39.74,372,936
32,33,33,Mark Hensby,81,39.71,579,1458
33,34,34,J.P. Hayes,89,39.7,636,1602
34,35,35,Stuart Appleby,74,39.65,521,1314
35,36,36,Corey Pavin,81,39.64,578,1458
36,T37,T37,Bob Heintz,85,39.61,606,1530
37,T37,T37,David Toms,80,39.61,549,1386
38,T37,T37,Dean Wilson,92,39.61,656,1656
39,40,40,Retief Goosen,50,39.58,342,864
40,41,41,Ken Duke,112,39.53,797,2016
41,42,42,Mike Weir,82,39.51,576,1458
42,T43,T43,John Rollins,102,39.49,718,1818
43,T43,T43,Heath Slocum,101,39.49,718,1818
44,45,45,Jason Gore,86,39.47,611,1548
45,46,46,Vijay Singh,102,39.44,710,1800
46,T47,T47,Mathias Grönberg,95,39.42,674,1710
47,T47,T47,Tag Ridings,52,39.42,369,936
48,49,49,Ernie Els,59,39.37,411,1044
49,50,50,Carl Pettersson,111,39.34,779,1980
50,51,51,Craig Lile,77,39.32,545,1386
51,T52,T52,Adam Scott,69,39.3,481,1224
52,T52,T52,Scott Verplank,82,39.3,573,1458
53,54,54,K.J. Choi,87,39.22,600,1530
54,55,55,Mark Calcavecchia,93,39.19,656,1674
55,56,56,Justin Leonard,95,39.18,670,1710
56,57,57,Bubba Watson,80,39.17,564,1440
57,58,58,Jesper Parnevik,88,39.14,620,1584
58,59,59,Chris DiMarco,79,39.11,542,1386
59,60,60,Tiger Woods,63,39.07,422,1080
60,61,61,Charley Hoffman,97,39.06,682,1746
61,62,62,Marco Dawson,73,39.04,513,1314
62,63,63,Joe Ogilvie,102,39.0,716,1836
63,T64,T64,Craig Bowden,78,38.89,546,1404
64,T64,T64,Parker McLachlin,83,38.89,581,1494
65,66,66,Lucas Glover,98,38.83,678,1746
66,67,67,Jay Williamson,50,38.78,349,900
67,68,68,Ryan Palmer,91,38.77,635,1638
68,69,69,Brandt Snedeker,105,38.73,732,1890
69,70,70,Steve Flesch,100,38.67,696,1800
70,71,71,Rich Beem,89,38.64,619,1602
71,72,72,Sean O'Hair,98,38.61,681,1764
72,73,73,Jeff Quinney,95,38.6,660,1710
73,74,74,Rocco Mediate,72,38.58,500,1296
74,75,75,Frank Lickliter II,95,38.54,659,1710
75,76,76,Eric Axley,107,38.53,742,1926
76,77,77,Camilo Villegas,82,38.48,568,1476
77,78,78,Anthony Kim,93,38.47,644,1674
78,79,79,Chris Couch,76,38.45,526,1368
79,T80,T80,Gavin Coles,87,38.44,602,1566
80,T80,T80,Troy Matteson,87,38.44,602,1566
81,82,82,Henrik Stenson,52,38.41,318,828
82,83,83,Cliff Kresge,107,38.37,739,1926
83,84,84,Todd Hamilton,76,38.3,524,1368
84,T85,T85,Bart Bryant,87,38.24,592,1548
85,T85,T85,Andrew Buckle,77,38.24,530,1386
86,87,87,John Daly,59,38.04,404,1062
87,88,88,Stewart Cink,91,38.01,602,1584
88,89,89,Vaughn Taylor,91,37.97,622,1638
89,90,90,Charlie Wi,90,37.96,615,1620
90,91,91,Bo Van Pelt,104,37.93,710,1872
91,92,92,George McNeill,95,37.84,647,1710
92,93,93,Nick O'Hern,72,37.83,463,1224
93,94,94,Stephen Ames,81,37.79,517,1368
94,95,95,Steve Lowery,74,37.76,503,1332
95,96,96,Jason Bohn,57,37.72,387,1026
96,97,97,Brian Davis,101,37.68,685,1818
97,98,98,Will MacKenzie,100,37.67,678,1800
98,T99,T99,Ben Curtis,80,37.64,542,1440
99,T99,T99,Dicky Pride,71,37.64,481,1278
100,101,101,Kevin Sutherland,85,37.52,574,1530
101,102,102,Jarrod Lyle,77,37.45,519,1386
102,103,103,Tripp Isenhour,86,37.34,578,1548
103,104,104,Craig Kanada,109,37.31,732,1962
104,T105,T105,Steve Elkington,87,37.29,584,1566
105,T105,T105,Kent Jones,97,37.29,651,1746
106,107,107,Steve Marino,106,37.21,710,1908
107,108,108,Bryce Molder,56,37.2,375,1008
108,109,109,Craig Barlow,52,37.18,348,936
109,110,110,Jason Dufner,100,37.17,669,1800
110,T111,T111,Jerry Kelly,101,37.13,675,1818
111,T111,T111,Jeff Maggert,79,37.13,528,1422
112,113,113,José Coceres,50,37.11,334,900
113,114,114,Alex Cejka,80,37.08,534,1440
114,115,115,Brian Bateman,55,37.07,367,990
115,T116,T116,Billy Andrade,88,37.06,587,1584
116,T116,T116,Jim Furyk,84,37.06,547,1476
117,118,118,Matt Kuchar,85,36.99,566,1530
118,119,119,Hunter Mahan,91,36.94,605,1638
119,120,120,Kirk Triplett,77,36.87,511,1386
120,121,121,Rod Pampling,92,36.79,596,1620
121,122,122,Mathew Goggin,97,36.77,642,1746
122,123,123,Bob Tway,103,36.73,681,1854
123,124,124,Jaco Van Zyl,51,36.71,337,918
124,125,125,D.J. Trahan,99,36.7,654,1782
125,126,126,Nick Watney,87,36.59,573,1566
126,127,127,Harrison Frazar,88,36.55,579,1584
127,128,128,Tim Herron,98,36.51,644,1764
128,129,129,Shaun Micheel,91,36.49,578,1584
129,130,130,Michael Boyd,61,36.43,400,1098
130,131,131,Tom Johnson,74,36.41,485,1332
131,132,132,Brett Quigley,79,36.32,510,1404
132,133,133,Charles Howell III,89,36.3,562,1548
133,134,134,Doug LaBelle II,104,36.16,677,1872
134,135,135,Ryan Armour,107,36.14,696,1926
135,136,136,Jeff Overton,60,36.11,390,1080
136,T137,T137,David Branshaw,83,36.08,539,1494
137,T137,T137,Kenny Perry,83,36.08,539,1494
138,139,139,Pat Perez,84,36.04,545,1512
139,140,140,Steve Wheatcroft,73,36.0,473,1314
140,141,141,J.B. Holmes,71,35.99,460,1278
141,142,142,Jason Schultz,63,35.98,408,1134
142,143,143,Glen Day,85,35.95,550,1530
143,144,144,Robert Allenby,90,35.89,575,1602
144,145,145,Billy Mayfair,98,35.88,633,1764
145,146,146,Charles Warren,101,35.81,651,1818
146,147,147,Chris Tidland,59,35.78,380,1062
147,148,148,Daisuke Maruyama,86,35.72,553,1548
148,149,149,Steve Allan,63,35.71,405,1134
149,150,150,Stephen Leaney,82,35.7,527,1476
150,T151,T151,Jeff Brehaut,59,35.69,379,1062
151,T151,T151,Lee Janzen,66,35.69,424,1188
152,153,153,Mark Wilson,87,35.63,558,1566
153,154,154,Bubba Dickerson,51,35.62,327,918
154,155,155,Robert Garrigus,95,35.61,609,1710
155,156,156,Richard Johnson,93,35.6,596,1674
156,157,157,Duffy Waldorf,69,35.59,442,1242
157,158,158,Briny Baird,115,35.41,733,2070
158,159,159,Johnson Wagner,97,35.4,618,1746
159,160,160,Fred Funk,65,35.38,414,1170
160,161,161,Chris Stroud,66,35.35,420,1188
161,162,162,Paul Gow,70,35.32,445,1260
162,163,163,Bill Haas,93,35.3,591,1674
163,164,164,Brendon de Jonge,76,35.23,482,1368
164,165,165,Peter Lonard,85,35.16,538,1530
165,166,166,Chad Campbell,96,35.12,569,1620
166,167,167,Matt Hendrix,63,35.01,397,1134
167,168,168,Boo Weekley,101,34.98,636,1818
168,169,169,Brett Wetterich,88,34.93,547,1566
169,170,170,Michael Allen,74,34.91,465,1332
170,171,171,Cameron Beckman,96,34.9,603,1728
171,172,172,Kyle Reifers,71,34.82,445,1278
172,173,173,Paul Stankowski,52,34.72,325,936
173,174,174,Joey Sindelar,75,34.52,466,1350
174,175,175,Scott Gutschewski,67,34.49,416,1206
175,176,176,Tom Lehman,62,34.41,384,1116
176,177,177,Trevor Immelman,74,34.31,420,1224
177,178,178,John Senden,97,34.25,598,1746
178,179,179,J.J. Henry,86,34.18,523,1530
179,180,180,Davis Love III,66,34.02,398,1170
180,181,181,Ted Purdy,102,33.82,621,1836
181,182,182,D.J. Brigman,67,33.75,407,1206
