,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
153,154,154,Robert Gamez,88,-0.215,-16.375999999999998,76
154,155,155,Duffy Waldorf,69,-0.21899999999999997,-12.909,59
155,156,156,Lee Janzen,66,-0.226,-11.758,52
156,157,157,Jerry Kelly,101,-0.22699999999999998,-17.007,75
157,158,158,Johnson Wagner,97,-0.22899999999999998,-19.663,86
158,159,159,Scott Verplank,82,-0.23600000000000002,-13.949000000000002,59
159,160,160,Steve Flesch,100,-0.244,-21.980999999999998,90
160,T161,T161,Jeff Brehaut,59,-0.25,-12.27,49
161,T161,T161,John Senden,97,-0.25,-20.969,84
162,T163,T163,Craig Barlow,52,-0.253,-11.149000000000001,44
163,T163,T163,Trevor Immelman,74,-0.253,-13.642999999999999,54
164,165,165,Daisuke Maruyama,86,-0.265,-20.148,76
165,166,166,José Coceres,50,-0.28300000000000003,-11.873,42
166,167,167,Davis Love III,66,-0.29,-15.357000000000001,53
167,T168,T168,Paul Gow,70,-0.294,-16.785,57
168,T168,T168,Mike Weir,82,-0.294,-17.641,60
169,170,170,John Daly,59,-0.297,-14.57,49
170,171,171,Jeff Sluman,60,-0.313,-13.151,42
171,172,172,Kyle Reifers,71,-0.322,-20.313,63
172,173,173,Charles Warren,101,-0.324,-30.135,93
173,174,174,Kenny Perry,83,-0.337,-25.299,75
174,175,175,Matt Hendrix,63,-0.33899999999999997,-18.628,55
175,176,176,Tom Lehman,62,-0.355,-17.371,49
176,177,177,Robert Allenby,90,-0.364,-27.316999999999997,75
177,178,178,Ted Purdy,102,-0.37,-32.178000000000004,87
178,179,179,Tom Johnson,74,-0.37200000000000005,-23.429000000000002,63
179,180,180,David Branshaw,83,-0.382,-28.675,75
180,181,181,John Merrick,92,-0.409,-33.164,81
181,182,182,Jaco Van Zyl,51,-0.418,-18.386,44
182,183,183,Jim Rutledge,59,-0.425,-19.531,46
183,184,184,Harrison Frazar,88,-0.439,-32.06,73
184,185,185,Chad Campbell,96,-0.47700000000000004,-34.843,73
185,186,186,Alex Cejka,80,-0.479,-35.455,74
186,187,187,Brett Wetterich,88,-0.5329999999999999,-37.315,70
187,T188,T188,J.B. Holmes,71,-0.5589999999999999,-35.772,64
188,T188,T188,D.J. Trahan,99,-0.5589999999999999,-50.275,90
189,190,190,Kirk Triplett,77,-0.595,-40.454,68
190,191,191,Bubba Dickerson,51,-0.66,-28.372,43
191,192,192,Kevin Stadler,95,-0.75,-58.488,78
192,193,193,Jeff Gove,103,-0.774,-72.786,94
193,194,194,Greg Owen,81,-0.848,-59.382,70
194,195,195,Joe Durant,88,-0.9009999999999999,-65.779,73
195,196,196,Darron Stiles,65,-1.0170000000000001,-53.911,53
