,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
0,1,1,Tim Clark,66,10.34,203,21
1,2,2,Zach Johnson,76,9.8,255,25
2,3,3,Sergio Garcia,68,8.93,224,20
3,4,4,Ryan Armour,107,8.92,415,37
4,5,5,Tag Ridings,52,8.2,183,15
5,6,6,Michael Sim,52,8.19,232,19
6,7,7,Joe Ogilvie,102,7.89,342,27
7,8,8,Ernie Els,59,7.82,179,14
8,9,9,Mark Hensby,81,7.81,269,21
9,10,10,Dicky Pride,71,7.64,275,21
10,11,11,Michael Allen,74,7.63,262,20
11,12,12,Ben Curtis,80,7.58,264,20
12,13,13,Jesper Parnevik,88,7.52,359,27
13,14,14,Henrik Stenson,52,7.43,148,11
14,15,15,Rod Pampling,92,7.37,339,25
15,16,16,Camilo Villegas,82,7.36,299,22
16,17,17,Justin Leonard,95,7.3,356,26
17,18,18,Chad Campbell,96,7.23,318,23
18,T19,T19,Robert Garrigus,95,7.22,388,28
19,T19,T19,Frank Lickliter II,95,7.22,360,26
20,21,21,Robert Gamez,88,7.14,308,22
21,22,22,Mark Calcavecchia,93,7.09,268,19
22,23,23,Kevin Sutherland,85,7.0,343,24
23,24,24,Brian Gay,107,6.98,387,27
24,25,25,Jeff Quinney,95,6.95,403,28
25,26,26,Charlie Wi,90,6.91,391,27
26,27,27,John Mallinger,96,6.9,348,24
27,T28,T28,Nathan Green,103,6.88,349,24
28,T28,T28,Jerry Kelly,101,6.88,320,22
29,30,30,Jonathan Byrd,73,6.85,248,17
30,31,31,Shigeki Maruyama,84,6.83,322,22
31,T32,T32,Tommy Armour III,81,6.81,323,22
32,T32,T32,Tiger Woods,63,6.81,191,13
33,34,34,José María Olazábal,52,6.76,148,10
34,T35,T35,D.J. Brigman,67,6.75,252,17
35,T35,T35,Tim Petrovic,106,6.75,400,27
36,37,37,Tom Pernice Jr.,104,6.69,344,23
37,T38,T38,Stewart Cink,91,6.67,315,21
38,T38,T38,Luke Donald,69,6.67,225,15
39,T40,T40,Daniel Chopra,106,6.65,376,25
40,T40,T40,Charles Howell III,89,6.65,316,21
41,T40,T40,Heath Slocum,101,6.65,376,25
42,43,43,Charles Warren,101,6.62,423,28
43,44,44,Brian Davis,101,6.58,380,25
44,45,45,Chris Stroud,66,6.53,245,16
45,46,46,Ryan Moore,92,6.52,322,21
46,47,47,Sean O'Hair,98,6.5,369,24
47,48,48,Lee Janzen,66,6.49,231,15
48,49,49,Briny Baird,115,6.45,512,33
49,50,50,Brendon de Jonge,76,6.42,265,17
50,51,51,Craig Lile,77,6.39,313,20
51,52,52,Bubba Dickerson,51,6.37,157,10
52,53,53,Paul Stankowski,52,6.35,189,12
53,54,54,Kevin Na,84,6.33,316,20
54,55,55,Bubba Watson,80,6.32,269,17
55,56,56,Greg Owen,81,6.31,301,19
56,57,57,Rory Sabbatini,81,6.3,238,15
57,T58,T58,K.J. Choi,87,6.29,318,20
58,T58,T58,Padraig Harrington,64,6.29,159,10
59,T60,T60,Cameron Beckman,96,6.27,383,24
60,T60,T60,George McNeill,95,6.27,335,21
61,T62,T62,Paul Goydos,60,6.25,192,12
62,T62,T62,Scott Gutschewski,67,6.25,256,16
63,64,64,Will MacKenzie,100,6.24,417,26
64,T65,T65,Robert Allenby,90,6.23,353,22
65,T65,T65,Bart Bryant,87,6.23,337,21
66,T67,T67,Ryuji Imada,104,6.22,370,23
67,T67,T67,Scott Verplank,82,6.22,209,13
68,69,69,Glen Day,85,6.19,339,21
69,70,70,Pat Perez,84,6.18,259,16
70,71,71,J.P. Hayes,89,6.16,341,21
71,72,72,Ken Duke,112,6.08,378,23
72,73,73,Joe Durant,88,6.06,330,20
73,T74,T74,Rich Barcelo,80,6.04,298,18
74,T74,T74,Chris Couch,76,6.04,331,20
