,3_Putts_per_Round_RANK THIS WEEK,3_Putts_per_Round_RANK LAST WEEK,3_Putts_per_Round_PLAYER NAME,3_Putts_per_Round_ROUNDS,3_Putts_per_Round_AVG,3_Putts_per_Round_TOTAL 3+ PUTTS,3_Putts_per_Round_TOTAL ROUNDS
0,1,1,John Daly,59,0.07,4,59
1,T2,T2,Kevin Na,84,0.06,5,84
2,T2,T2,Kirk Triplett,77,0.06,5,77
3,T2,T2,Nick Watney,87,0.06,5,87
4,T5,T5,J.B. Holmes,71,0.04,3,71
5,T5,T5,Trevor Immelman,74,0.04,3,68
6,T5,T5,Rod Pampling,92,0.04,4,90
7,T5,T5,John Senden,97,0.04,4,97
8,T5,T5,Camilo Villegas,82,0.04,3,82
9,T10,T10,Stuart Appleby,74,0.03,2,73
10,T10,T10,Woody Austin,95,0.03,3,95
11,T10,T10,Rich Beem,89,0.03,3,89
12,T10,T10,Jonathan Byrd,73,0.03,2,73
13,T10,T10,Mark Calcavecchia,93,0.03,3,93
14,T10,T10,Joe Durant,88,0.03,3,87
15,T10,T10,Fred Funk,65,0.03,2,65
16,T10,T10,Paul Goydos,60,0.03,2,59
17,T10,T10,Nathan Green,103,0.03,3,103
18,T10,T10,J.P. Hayes,89,0.03,3,89
19,T10,T10,Ryan Moore,92,0.03,3,92
20,T10,T10,Arron Oberholser,69,0.03,2,68
21,T10,T10,Geoff Ogilvy,84,0.03,2,78
22,T10,T10,Dicky Pride,71,0.03,2,71
23,T10,T10,Joey Sindelar,75,0.03,2,75
24,T10,T10,D.J. Trahan,99,0.03,3,99
25,T26,T26,Steve Allan,63,0.02,1,63
26,T26,T26,Robert Allenby,90,0.02,2,89
27,T26,T26,Briny Baird,115,0.02,2,115
28,T26,T26,Craig Barlow,52,0.02,1,52
29,T26,T26,David Branshaw,83,0.02,2,83
30,T26,T26,Jeff Brehaut,59,0.02,1,59
31,T26,T26,José Coceres,50,0.02,1,50
32,T26,T26,Jason Dufner,100,0.02,2,100
33,T26,T26,Harrison Frazar,88,0.02,2,88
34,T26,T26,Lucas Glover,98,0.02,2,97
35,T26,T26,Mathew Goggin,97,0.02,2,97
36,T26,T26,Mathias Grönberg,95,0.02,2,95
37,T26,T26,Mark Hensby,81,0.02,2,81
38,T26,T26,Lee Janzen,66,0.02,1,66
39,T26,T26,Kent Jones,97,0.02,2,97
40,T26,T26,Peter Lonard,85,0.02,2,85
41,T26,T26,Davis Love III,66,0.02,1,65
42,T26,T26,Joe Ogilvie,102,0.02,2,102
43,T26,T26,Pat Perez,84,0.02,2,84
44,T26,T26,Tim Petrovic,106,0.02,2,106
45,T26,T26,Ian Poulter,63,0.02,1,60
46,T26,T26,Jeff Quinney,95,0.02,2,95
47,T26,T26,Chris Riley,59,0.02,1,59
48,T26,T26,Vijay Singh,102,0.02,2,100
49,T26,T26,Jeff Sluman,60,0.02,1,60
50,T26,T26,Henrik Stenson,52,0.02,1,46
51,T26,T26,Chris Stroud,66,0.02,1,66
52,T26,T26,Bo Van Pelt,104,0.02,2,104
53,T26,T26,Charles Warren,101,0.02,2,101
54,T26,T26,Brett Wetterich,88,0.02,2,87
55,T56,T56,Ryan Armour,107,0.01,1,107
56,T56,T56,Eric Axley,107,0.01,1,107
57,T56,T56,Aaron Baddeley,83,0.01,1,80
58,T56,T56,Craig Bowden,78,0.01,1,78
59,T56,T56,Bart Bryant,87,0.01,1,86
60,T56,T56,Andrew Buckle,77,0.01,1,77
61,T56,T56,Chad Campbell,96,0.01,1,90
62,T56,T56,Daniel Chopra,106,0.01,1,106
63,T56,T56,Stewart Cink,91,0.01,1,88
64,T56,T56,Gavin Coles,87,0.01,1,87
65,T56,T56,Chris Couch,76,0.01,1,76
66,T56,T56,Luke Donald,69,0.01,1,67
67,T56,T56,Steve Elkington,87,0.01,1,87
68,T56,T56,Steve Flesch,100,0.01,1,100
69,T56,T56,Robert Gamez,88,0.01,1,88
70,T56,T56,Robert Garrigus,95,0.01,1,95
71,T56,T56,Jason Gore,86,0.01,1,86
72,T56,T56,Todd Hamilton,76,0.01,1,76
