,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Tim Clark,66,10.58,189,20
1,2,2,Sergio Garcia,68,9.48,211,20
2,3,3,Zach Johnson,76,9.24,238,22
3,4,4,Tag Ridings,52,9.2,163,15
4,5,5,Michael Sim,52,8.53,211,18
5,6,6,Ryan Armour,107,8.36,371,31
6,7,7,Rod Pampling,92,7.81,320,25
7,8,8,Michael Allen,74,7.79,244,19
8,9,9,Mark Hensby,81,7.72,246,19
9,10,10,Ernie Els,59,7.69,169,13
10,11,11,Chad Campbell,96,7.67,287,22
11,12,12,Joe Ogilvie,102,7.47,308,23
12,13,13,Camilo Villegas,82,7.39,284,21
13,14,14,Tiger Woods,63,7.3,178,13
14,15,15,Charlie Wi,90,7.24,359,26
15,16,16,Dicky Pride,71,7.23,249,18
16,17,17,Chris Stroud,66,7.17,223,16
17,18,18,Robert Garrigus,95,7.14,350,25
18,19,19,John Mallinger,96,7.08,325,23
19,T20,T20,Jonathan Byrd,73,7.02,228,16
20,T20,T20,Mark Calcavecchia,93,7.02,242,17
21,T20,T20,Brendon de Jonge,76,7.02,242,17
22,23,23,Greg Owen,81,6.93,274,19
23,24,24,Jeff Quinney,95,6.9,377,26
24,25,25,Jesper Parnevik,88,6.89,334,23
25,26,26,Henrik Stenson,52,6.87,131,9
26,27,27,Luke Donald,69,6.86,204,14
27,28,28,Tom Pernice Jr.,104,6.81,323,22
28,29,29,Briny Baird,115,6.78,487,33
29,30,30,Bart Bryant,87,6.75,311,21
30,31,31,Tim Petrovic,106,6.72,372,25
31,32,32,Padraig Harrington,64,6.67,150,10
32,33,33,Frank Lickliter II,95,6.65,331,22
33,34,34,George McNeill,95,6.6,303,20
34,35,35,Justin Leonard,95,6.59,334,22
35,36,36,Charles Warren,101,6.58,395,26
36,37,37,Charles Howell III,89,6.53,291,19
37,38,38,Kevin Na,84,6.51,292,19
38,39,39,Kevin Sutherland,85,6.48,324,21
39,40,40,Brian Gay,107,6.46,356,23
40,41,41,Jeff Gove,103,6.41,421,27
41,T42,T42,Arron Oberholser,69,6.4,203,13
42,T42,T42,Paul Stankowski,52,6.4,172,11
43,44,44,Daniel Chopra,106,6.34,347,22
44,45,45,Jerry Kelly,101,6.27,303,19
45,T46,T46,Brian Davis,101,6.25,352,22
46,T46,T46,Nathan Green,103,6.25,320,20
47,48,48,Shigeki Maruyama,84,6.23,289,18
48,49,49,Bubba Dickerson,51,6.21,145,9
49,50,50,Robert Allenby,90,6.19,323,20
50,51,51,Robert Gamez,88,6.18,275,17
51,T52,T52,Billy Andrade,88,6.17,324,20
52,T52,T52,Rory Sabbatini,81,6.17,227,14
53,T54,T54,Ben Curtis,80,6.15,244,15
54,T54,T54,Pat Perez,84,6.15,244,15
55,T54,T54,Vaughn Taylor,91,6.15,260,16
56,57,57,Craig Lile,77,6.14,293,18
57,T58,T58,D.J. Brigman,67,6.11,229,14
58,T58,T58,J.P. Hayes,89,6.11,311,19
59,60,60,Scott Gutschewski,67,6.09,230,14
60,61,61,Steve Stricker,81,6.05,248,15
61,62,62,Ryan Moore,92,6.02,299,18
62,63,63,K.J. Choi,87,5.98,301,18
63,64,64,Heath Slocum,101,5.97,352,21
64,65,65,José María Olazábal,52,5.93,135,8
65,66,66,Tom Byrum,50,5.91,186,11
66,67,67,Ryuji Imada,104,5.87,341,20
67,68,68,Chris Couch,76,5.86,290,17
68,69,69,Stewart Cink,91,5.82,292,17
69,T70,T70,Glen Day,85,5.81,310,18
70,T70,T70,Ken Duke,112,5.81,344,20
71,72,72,Cameron Beckman,96,5.8,362,21
72,73,73,David Toms,80,5.78,225,13
73,T74,T74,Parker McLachlin,83,5.76,295,17
74,T74,T74,Scott Verplank,82,5.76,191,11
75,T76,T76,Tommy Armour III,81,5.74,296,17
76,T76,T76,Lee Janzen,66,5.74,209,12
77,78,78,Aaron Baddeley,83,5.73,227,13
78,79,79,Michael Putnam,96,5.67,353,20
79,80,80,Gavin Coles,87,5.61,321,18
80,81,81,Will MacKenzie,100,5.58,394,22
81,T82,T82,Kent Jones,97,5.56,360,20
82,T82,T82,Dean Wilson,92,5.56,288,16
83,84,84,Geoff Ogilvy,84,5.51,254,14
84,T85,T85,Jason Bohn,57,5.48,219,12
85,T85,T85,Brett Wetterich,88,5.48,292,16
86,T87,T87,Craig Bowden,78,5.45,257,14
87,T87,T87,Bob Estes,88,5.45,312,17
88,T87,T87,Paul Goydos,60,5.45,165,9
89,90,90,Mathew Goggin,97,5.44,423,23
90,91,91,Troy Matteson,87,5.42,295,16
91,92,92,Bob Heintz,85,5.41,259,14
92,93,93,Matt Hendrix,63,5.37,205,11
93,94,94,Corey Pavin,81,5.36,280,15
94,95,95,Jason Dufner,100,5.35,355,19
95,96,96,Sean O'Hair,98,5.28,341,18
96,T97,T97,John Daly,59,5.26,190,10
97,T97,T97,Mathias Grönberg,95,5.26,361,19
98,T97,T97,Jeff Maggert,79,5.26,304,16
99,T97,T97,Rocco Mediate,72,5.26,228,12
100,101,101,Joe Durant,88,5.25,305,16
101,102,102,Joey Sindelar,75,5.24,286,15
102,103,103,Davis Love III,66,5.22,230,12
103,T104,T104,Jeff Overton,60,5.21,211,11
104,T104,T104,Johnson Wagner,97,5.21,365,19
105,106,106,Bo Van Pelt,104,5.18,367,19
106,107,107,Craig Kanada,109,5.16,368,19
