,Total_1_Putts_-_10-15_RANK THIS WEEK,Total_1_Putts_-_10-15_RANK LAST WEEK,Total_1_Putts_-_10-15_PLAYER NAME,Total_1_Putts_-_10-15_ROUNDS,Total_1_Putts_-_10-15_TOTAL,Total_1_Putts_-_10-15_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_10-15_PCT OF ALL 1-PUTTS
0,1,1,Briny Baird,115,85,702,12.1
1,T2,T2,Eric Axley,107,83,659,12.6
2,T2,T2,Ken Duke,112,83,683,12.2
3,T4,T4,Brian Gay,107,80,740,10.8
4,T4,T4,Tim Petrovic,106,80,716,11.2
5,6,6,Nathan Green,103,79,658,12.0
6,T7,T7,Frank Lickliter II,95,78,594,13.1
7,T7,T7,Steve Marino,106,78,626,12.5
8,T9,T9,Daniel Chopra,106,77,692,11.1
9,T9,T9,Bob Estes,88,77,603,12.8
10,T9,T9,Kevin Na,84,77,617,12.5
11,T9,T9,Ryan Palmer,91,77,570,13.5
12,T9,T9,Heath Slocum,101,77,665,11.6
13,T9,T9,Bob Tway,103,77,597,12.9
14,T9,T9,Bo Van Pelt,104,77,657,11.7
15,T16,T16,Robert Gamez,88,76,481,15.8
16,T16,T16,Brandt Snedeker,105,76,629,12.1
17,T18,T18,Robert Garrigus,95,75,548,13.7
18,T18,T18,Charley Hoffman,97,75,599,12.5
19,T18,T18,George McNeill,95,75,587,12.8
20,T21,T21,Ryuji Imada,104,74,694,10.7
21,T21,T21,John Mallinger,96,74,644,11.5
22,T23,T23,Ryan Armour,107,73,633,11.5
23,T23,T23,Woody Austin,95,73,614,11.9
24,T23,T23,Shigeki Maruyama,84,73,605,12.1
25,T23,T23,Tom Pernice Jr.,104,73,634,11.5
26,T27,T27,Craig Kanada,109,72,654,11.0
27,T27,T27,Cliff Kresge,107,72,684,10.5
28,T27,T27,John Senden,97,72,524,13.7
29,T30,T30,Mark Calcavecchia,93,71,550,12.9
30,T30,T30,Will MacKenzie,100,71,609,11.7
31,T30,T30,Billy Mayfair,98,71,542,13.1
32,T30,T30,Joe Ogilvie,102,71,641,11.1
33,T30,T30,Dean Wilson,92,71,537,13.2
34,T35,T35,Ted Purdy,102,70,554,12.6
35,T35,T35,Boo Weekley,101,70,529,13.2
36,T37,T37,Justin Leonard,95,69,590,11.7
37,T37,T37,Jeff Quinney,95,69,589,11.7
38,T39,T39,Brendon de Jonge,76,68,448,15.2
