,Career_Money_Leaders_RANK THIS WEEK,Career_Money_Leaders_RANK LAST WEEK,Career_Money_Leaders_PLAYER NAME,Career_Money_Leaders_MONEY
0,1,1,Tiger Woods,"$26,191,227"
1,2,2,Davis Love III,"$17,994,690"
2,3,3,Phil Mickelson,"$17,837,998"
3,4,4,David Duval,"$15,312,553"
4,5,5,Scott Hoch,"$14,553,202"
5,6,6,Vijay Singh,"$14,524,452"
6,7,7,Nick Price,"$14,477,425"
7,8,8,Hal Sutton,"$13,885,946"
8,9,9,Mark Calcavecchia,"$13,409,349"
9,10,10,Greg Norman,"$13,344,142"
10,11,11,Fred Couples,"$12,681,268"
11,12,12,Tom Lehman,"$12,088,396"
12,13,13,Mark O'Meara,"$12,025,198"
13,14,14,Ernie Els,"$12,016,635"
14,15,15,Payne Stewart,"$11,737,008"
15,16,16,Paul Azinger,"$11,687,965"
16,17,17,Jim Furyk,"$11,493,593"
17,18,18,Justin Leonard,"$10,919,999"
18,19,19,Tom Kite,"$10,865,959"
19,20,20,Jeff Sluman,"$10,634,572"
20,21,21,Loren Roberts,"$9,866,485"
21,22,22,Brad Faxon,"$9,777,678"
22,23,23,Tom Watson,"$9,593,631"
23,24,24,Corey Pavin,"$9,536,170"
24,25,25,David Toms,"$9,412,686"
25,26,26,John Cook,"$9,381,679"
26,27,27,Jeff Maggert,"$9,272,821"
27,28,28,John Huston,"$9,267,529"
28,29,29,Lee Janzen,"$9,002,576"
29,30,30,Steve Elkington,"$8,780,272"
30,31,31,Craig Stadler,"$8,502,884"
31,32,32,Bob Estes,"$8,481,255"
32,33,33,Jay Haas,"$8,433,856"
33,34,34,Bob Tway,"$8,388,384"
34,35,35,Fred Funk,"$8,387,851"
35,36,36,Jesper Parnevik,"$8,311,970"
36,37,37,Billy Mayfair,"$8,273,562"
37,38,38,Scott Verplank,"$7,757,523"
38,39,39,Kenny Perry,"$7,628,415"
39,40,40,Curtis Strange,"$7,583,744"
40,41,41,David Frost,"$7,491,392"
41,42,42,Kirk Triplett,"$7,439,256"
42,43,43,Steve Pate,"$7,393,536"
43,44,44,Rocco Mediate,"$7,230,798"
44,45,45,Mark Brooks,"$7,155,021"
45,46,46,Ben Crenshaw,"$7,091,166"
46,47,47,Mike Weir,"$7,082,144"
47,48,48,Stewart Cink,"$6,978,220"
48,49,49,Chris Perry,"$6,866,671"
49,50,50,Larry Mize,"$6,866,366"
50,51,51,Andrew Magee,"$6,837,432"
51,52,52,Billy Andrade,"$6,783,158"
52,53,53,Duffy Waldorf,"$6,580,748"
53,54,54,Steve Lowery,"$6,535,290"
54,55,55,Bruce Lietzke,"$6,474,794"
55,56,56,Steve Stricker,"$6,451,844"
56,57,57,Lanny Wadkins,"$6,355,681"
57,58,58,Scott Simpson,"$6,351,463"
58,59,59,Chip Beck,"$6,199,550"
59,60,60,Bill Glasson,"$6,132,054"
60,61,61,Joey Sindelar,"$5,969,691"
61,62,62,Hale Irwin,"$5,966,031"
62,63,63,Stuart Appleby,"$5,892,274"
