,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Tiger Woods,19,"$299,356","$5,687,777"
1,2,2,Phil Mickelson,23,"$191,473","$4,403,882"
2,3,3,Niclas Fasth,3,"$181,472","$544,417"
3,4,4,Sergio Garcia,18,"$161,035","$2,898,634"
4,5,5,Davis Love III,20,"$158,473","$3,169,463"
5,6,6,David Duval,20,"$140,088","$2,801,760"
6,7,7,David Toms,28,"$135,414","$3,791,595"
7,8,8,Vijay Singh,26,"$132,339","$3,440,828"
8,9,9,Ernie Els,19,"$122,971","$2,336,455"
9,10,10,Mike Weir,23,"$120,779","$2,777,936"
10,11,11,Scott Hoch,24,"$119,804","$2,875,319"
11,12,12,Retief Goosen,10,"$112,698","$1,126,985"
12,13,13,Bob Estes,26,"$107,518","$2,795,476"
13,14,14,Scott Verplank,26,"$107,053","$2,783,401"
14,15,15,Bernhard Langer,17,"$106,491","$1,810,362"
15,16,16,Jim Furyk,24,"$105,863","$2,540,734"
16,17,17,Joe Durant,25,"$95,267","$2,381,683"
17,18,18,Toshi Izawa,5,"$93,836","$469,180"
18,19,19,Michael Allen,1,"$91,733","$91,733"
19,20,20,Chris DiMarco,29,"$89,489","$2,595,201"
20,21,21,Mark Calcavecchia,23,"$86,590","$1,991,575"
21,22,22,Chad Campbell,3,"$86,400","$259,200"
22,23,23,Steve Stricker,20,"$83,811","$1,676,228"
23,24,24,Tom Lehman,23,"$82,941","$1,907,659"
24,25,25,Robert Allenby,29,"$79,621","$2,309,028"
25,26,26,José Coceres,19,"$79,099","$1,502,888"
26,27,27,Paul Azinger,20,"$75,456","$1,509,130"
27,28,28,Brad Faxon,26,"$75,054","$1,951,411"
28,29,29,Scott McCarron,25,"$71,740","$1,793,506"
29,30,30,Rocco Mediate,21,"$70,211","$1,474,434"
30,31,31,Kenny Perry,26,"$68,694","$1,786,066"
31,32,32,Frank Lickliter II,29,"$66,962","$1,941,910"
32,33,33,Hal Sutton,26,"$66,305","$1,723,946"
33,34,34,Nick Price,20,"$64,337","$1,286,755"
34,35,35,Charles Howell III,24,"$63,359","$1,520,632"
35,36,36,Jesper Parnevik,25,"$62,968","$1,574,207"
36,37,37,Steve Lowery,28,"$62,100","$1,738,819"
37,38,38,Jaxon Brigman,1,"$61,500","$61,500"
38,39,39,Jeff Sluman,30,"$61,398","$1,841,951"
39,40,40,Stewart Cink,29,"$60,104","$1,743,028"
40,41,41,Justin Leonard,30,"$59,461","$1,783,842"
41,42,42,Billy Mayfair,29,"$59,172","$1,716,002"
42,T43,T43,Alex Cejka,1,"$57,310","$57,310"
43,T43,T43,Raphael Jacquelin,1,"$57,310","$57,310"
44,T43,T43,Des Smyth,1,"$57,310","$57,310"
45,46,46,Kirk Triplett,26,"$53,392","$1,388,201"
46,47,47,Shigeki Maruyama,27,"$53,387","$1,441,454"
47,48,48,Matt Kuchar,11,"$52,060","$572,669"
48,49,49,Kevin Sutherland,30,"$50,785","$1,523,572"
49,50,50,David Gossett,15,"$49,875","$748,126"
50,51,51,Billy Andrade,27,"$48,631","$1,313,046"
51,52,52,Jerry Kelly,31,"$48,116","$1,491,606"
52,53,53,Darren Clarke,7,"$47,267","$330,869"
53,54,54,Brett Quigley,21,"$45,568","$956,933"
54,55,55,Ian Woosnam,5,"$45,175","$225,878"
55,56,56,Rory Sabbatini,23,"$45,156","$1,038,589"
56,57,57,Greg Owen,1,"$43,630","$43,630"
57,58,58,Shingo Katayama,6,"$42,447","$254,685"
58,59,59,Tom Kite,5,"$42,250","$211,252"
59,60,60,Ángel Cabrera,8,"$42,138","$337,104"
60,61,61,Dudley Hart,25,"$41,428","$1,035,710"
61,62,62,John Cook,25,"$40,911","$1,022,778"
62,63,63,Brian Gay,32,"$40,605","$1,299,361"
63,64,64,Tom Pernice Jr.,33,"$39,962","$1,318,761"
64,65,65,Chris Riley,30,"$39,940","$1,198,224"
65,66,66,Joel Edwards,30,"$39,784","$1,193,528"
66,67,67,Robert Damron,27,"$39,229","$1,059,187"
67,68,68,Bob Tway,29,"$38,684","$1,121,858"
68,69,69,J.J. Henry,28,"$38,351","$1,073,846"
69,70,70,Steve Flesch,32,"$37,735","$1,207,551"
70,71,71,Fred Funk,33,"$37,484","$1,237,004"
71,72,72,Cameron Beckman,29,"$36,942","$1,071,342"
72,73,73,Barry Lane,1,"$35,762","$35,762"
73,74,74,Stuart Appleby,29,"$34,638","$1,004,528"
74,75,75,Mark Brooks,27,"$33,312","$899,443"
75,76,76,Trevor Dodds,2,"$33,182","$66,365"
76,77,77,John Daly,25,"$33,156","$828,913"
77,78,78,Tim Herron,29,"$32,601","$945,440"
78,79,79,Dennis Paulson,25,"$32,444","$811,105"
79,80,80,Harrison Frazar,25,"$31,698","$792,455"
80,81,81,Lee Janzen,29,"$31,228","$905,628"
81,82,82,Chris Smith,30,"$31,093","$932,810"
82,83,83,Miguel Angel Jiménez,15,"$30,963","$464,457"
83,T84,T84,Justin Rose,1,"$30,755","$30,755"
84,T84,T84,Nicolas Vanhootegem,1,"$30,755","$30,755"
85,86,86,José María Olazábal,15,"$30,578","$458,677"
86,87,87,Bryce Molder,7,"$30,157","$211,105"
87,88,88,Brian Watts,16,"$28,580","$457,293"
88,89,89,Brent Geiberger,25,"$28,447","$711,193"
89,90,90,Matt Gogel,26,"$28,068","$729,783"
90,91,91,K.J. Choi,29,"$27,597","$800,326"
91,92,92,Paul Stankowski,27,"$27,540","$743,603"
92,93,93,"David Berganio, Jr.",25,"$27,403","$685,082"
93,94,94,Olin Browne,30,"$27,187","$815,636"
94,95,95,J.P. Hayes,23,"$27,085","$622,963"
95,96,96,Jay Haas,21,"$26,911","$565,140"
96,97,97,Padraig Harrington,9,"$26,713","$240,425"
97,98,98,Jeff Maggert,27,"$26,429","$713,606"
98,99,99,Joey Sindelar,25,"$26,194","$654,863"
99,100,100,Briny Baird,31,"$26,193","$812,000"
100,101,101,Greg Chalmers,27,"$25,635","$692,169"
101,102,102,Glen Day,28,"$25,563","$715,779"
102,103,103,Brandel Chamblee,23,"$25,308","$582,085"
103,104,104,John Huston,20,"$25,262","$505,252"
104,105,105,Phil Blackmar,2,"$24,650","$49,300"
105,106,106,Loren Roberts,25,"$23,362","$584,071"
106,107,107,Greg Norman,11,"$23,300","$256,310"
107,108,108,Scott Simpson,22,"$23,296","$512,530"
108,109,109,David Peoples,31,"$22,988","$712,656"
109,110,110,Craig Parry,22,"$22,905","$503,923"
110,111,111,Geoff Ogilvy,23,"$22,840","$525,337"
111,112,112,Skip Kendall,33,"$22,839","$753,701"
112,113,113,Mikko Ilonen,4,"$22,798","$91,194"
113,114,114,Paul Gow,27,"$22,532","$608,382"
114,115,115,Stephen Ames,26,"$22,094","$574,451"
115,116,116,Chris Perry,26,"$21,861","$568,391"
116,117,117,Steve Elkington,20,"$21,859","$437,199"
117,118,118,Bob May,25,"$21,397","$534,936"
118,119,119,Michael Campbell,10,"$21,319","$213,191"
119,120,120,Mark O'Meara,21,"$20,886","$438,620"
120,121,121,Toru Taniguchi,9,"$20,879","$187,913"
121,122,122,Corey Pavin,22,"$20,836","$458,400"
122,123,123,Garrett Willis,33,"$20,728","$684,037"
123,124,124,Jonathan Kaye,33,"$20,703","$683,210"
124,125,125,Tony Carolan,1,"$20,697","$20,697"
125,126,126,Fred Couples,19,"$20,314","$385,983"
126,127,127,Mike Sposa,29,"$19,872","$576,311"
127,128,128,Len Mattiace,30,"$19,759","$592,780"
128,129,129,Richard Green,1,"$19,311","$19,311"
