,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Tiger Woods,22,"$6,846,111"
1,2,2,Phil Mickelson,23,"$4,403,883"
2,3,4,Vijay Singh,28,"$3,975,829"
3,4,3,David Toms,30,"$3,952,845"
4,5,5,Davis Love III,21,"$3,304,463"
5,6,8,Scott Hoch,26,"$3,235,319"
6,7,6,David Duval,22,"$3,106,344"
7,8,7,Sergio Garcia,19,"$2,946,135"
8,9,12,Scott Verplank,27,"$2,913,401"
9,10,9,Ernie Els,20,"$2,836,456"
10,11,10,Mike Weir,24,"$2,825,436"
11,12,11,Bob Estes,26,"$2,795,477"
12,13,14,Jim Furyk,25,"$2,673,234"
13,14,13,Chris DiMarco,29,"$2,595,201"
14,15,15,Joe Durant,27,"$2,494,184"
15,16,16,Robert Allenby,29,"$2,309,029"
16,17,18,Mark Calcavecchia,25,"$2,221,576"
17,18,17,Brad Faxon,27,"$2,176,412"
18,19,19,Frank Lickliter II,30,"$2,081,911"
19,20,24,Bernhard Langer,18,"$2,030,363"
20,21,20,Scott McCarron,26,"$2,018,506"
21,22,21,Tom Lehman,24,"$1,957,660"
22,23,22,Jeff Sluman,31,"$1,908,202"
23,24,23,Stewart Cink,30,"$1,825,528"
24,25,32,Jesper Parnevik,28,"$1,806,708"
25,26,25,Kenny Perry,26,"$1,786,066"
26,27,26,Justin Leonard,30,"$1,783,842"
27,28,27,Steve Lowery,28,"$1,738,820"
28,29,28,Hal Sutton,26,"$1,723,946"
29,30,29,Billy Mayfair,29,"$1,716,002"
30,31,30,Retief Goosen,11,"$1,676,985"
31,32,31,Steve Stricker,20,"$1,676,229"
32,33,33,José Coceres,19,"$1,527,888"
33,34,34,Kevin Sutherland,30,"$1,523,573"
34,35,35,Charles Howell III,24,"$1,520,632"
35,36,36,Paul Azinger,20,"$1,509,130"
36,37,37,Jerry Kelly,31,"$1,491,607"
37,38,38,Rocco Mediate,21,"$1,474,435"
38,39,39,Shigeki Maruyama,28,"$1,466,455"
39,40,40,Kirk Triplett,26,"$1,388,202"
40,41,41,Tom Pernice Jr.,33,"$1,318,762"
41,42,42,Billy Andrade,27,"$1,313,047"
42,43,43,Greg Norman,13,"$1,306,310"
43,44,44,Brian Gay,32,"$1,299,361"
44,45,45,Nick Price,20,"$1,286,756"
45,46,46,Fred Funk,33,"$1,237,004"
46,47,47,Steve Flesch,33,"$1,227,552"
47,48,48,Chris Riley,30,"$1,198,225"
48,49,49,Joel Edwards,30,"$1,193,528"
49,50,50,Bob Tway,29,"$1,121,858"
50,51,51,John Cook,26,"$1,080,278"
51,52,52,J.J. Henry,28,"$1,073,847"
52,53,53,Cameron Beckman,29,"$1,071,343"
53,54,54,Robert Damron,27,"$1,059,187"
54,55,55,Rory Sabbatini,23,"$1,038,590"
55,56,56,Dudley Hart,25,"$1,035,710"
56,57,57,Stuart Appleby,29,"$1,004,528"
57,58,58,Lee Janzen,30,"$988,128"
58,59,59,John Daly,26,"$968,914"
59,60,60,Brett Quigley,21,"$956,934"
60,61,61,Tim Herron,29,"$945,441"
61,62,62,Chris Smith,30,"$932,810"
62,63,63,Mark Brooks,27,"$899,444"
63,64,64,Olin Browne,31,"$881,886"
64,65,77,Darren Clarke,8,"$835,870"
65,66,65,Briny Baird,31,"$812,001"
66,67,66,Dennis Paulson,25,"$811,105"
67,68,67,K.J. Choi,29,"$800,326"
68,69,68,Harrison Frazar,25,"$792,456"
69,70,69,Skip Kendall,34,"$783,701"
70,71,70,Jeff Maggert,28,"$776,107"
71,72,71,David Gossett,15,"$748,126"
72,73,72,Paul Stankowski,27,"$743,603"
73,74,73,Matt Gogel,26,"$729,783"
74,75,74,Glen Day,28,"$715,780"
75,76,75,David Peoples,31,"$712,657"
76,77,76,Brent Geiberger,25,"$711,194"
77,78,78,Greg Chalmers,27,"$692,170"
78,79,79,"David Berganio, Jr.",25,"$685,082"
79,80,80,Garrett Willis,33,"$684,038"
80,81,81,Esteban Toledo,36,"$683,751"
81,82,82,Jonathan Kaye,33,"$683,210"
82,83,116,Fred Couples,21,"$665,984"
83,84,129,Mark O'Meara,22,"$658,620"
84,85,83,Neal Lancaster,36,"$657,580"
85,86,84,Joey Sindelar,25,"$654,864"
86,87,85,Niclas Fasth,4,"$629,418"
87,88,86,J.P. Hayes,23,"$622,964"
88,89,87,Jay Haas,22,"$620,141"
89,90,88,Paul Gow,27,"$608,382"
90,91,89,Pierre Fulke,8,"$604,630"
91,92,90,Len Mattiace,30,"$592,781"
92,93,91,Jerry Smith,31,"$592,030"
93,94,92,Toru Taniguchi,9,"$587,914"
94,95,93,Loren Roberts,25,"$584,072"
95,96,94,Brandel Chamblee,23,"$582,086"
96,97,95,Mike Sposa,29,"$576,312"
97,98,96,Stephen Ames,26,"$574,451"
98,99,97,Edward Fryatt,31,"$572,820"
99,100,98,Matt Kuchar,11,"$572,669"
100,101,99,Chris Perry,26,"$568,391"
101,102,100,Carlos Franco,29,"$563,165"
102,103,101,Per-Ulrik Johansson,30,"$562,988"
103,104,102,John Huston,21,"$562,752"
104,105,140,Colin Montgomerie,9,"$552,762"
105,106,103,Toshi Izawa,6,"$544,180"
106,107,104,Grant Waite,28,"$539,227"
107,108,105,Bob May,25,"$534,936"
108,109,106,Geoff Ogilvy,23,"$525,338"
109,110,107,Corey Pavin,23,"$513,401"
110,111,108,Scott Simpson,22,"$512,530"
111,112,109,Miguel Angel Jiménez,16,"$511,957"
112,113,110,J.L. Lewis,31,"$508,618"
113,114,111,Carl Paulson,31,"$508,208"
114,115,149,Padraig Harrington,11,"$505,676"
115,116,112,David Frost,27,"$504,376"
116,117,113,Craig Parry,22,"$503,923"
117,118,114,Greg Kraft,33,"$503,605"
118,119,115,Steve Elkington,21,"$487,200"
119,120,117,Michael Campbell,11,"$484,525"
120,121,118,Kaname Yokoo,27,"$477,989"
121,122,119,Duffy Waldorf,28,"$477,461"
122,123,120,Jay Williamson,35,"$476,031"
123,124,155,Thomas Bjørn,9,"$468,363"
124,125,121,Frank Nobilo,28,"$462,650"
125,126,122,Rich Beem,31,"$460,565"
126,127,123,José María Olazábal,15,"$458,678"
127,128,124,Brian Watts,16,"$457,293"
128,129,125,Craig Perks,30,"$457,127"
129,130,126,Dan Forsman,25,"$456,194"
130,131,127,Ian Leggatt,31,"$442,195"
131,132,128,Larry Mize,24,"$440,179"
132,133,130,Jay Don Blake,31,"$436,576"
133,134,131,Glen Hnatiuk,31,"$434,524"
134,135,132,Brad Elder,36,"$421,967"
135,136,133,Pete Jordan,37,"$421,088"
136,137,134,Scott Dunlap,28,"$420,777"
137,138,135,Craig Barlow,23,"$414,139"
138,139,136,Michael Muehr,32,"$409,250"
139,140,137,Brandt Jobe,30,"$407,065"
140,141,138,Woody Austin,34,"$406,352"
141,142,139,Bradley Hughes,34,"$406,258"
142,143,141,Spike McRoy,32,"$401,654"
143,144,142,Tom Byrum,28,"$391,925"
144,145,143,Bob Burns,30,"$388,046"
145,146,144,Russ Cochran,25,"$387,556"
146,147,145,Shaun Micheel,35,"$376,095"
147,148,146,Paul Goydos,30,"$375,557"
148,149,147,Ángel Cabrera,9,"$372,105"
149,150,148,Lee Porter,31,"$371,462"
150,151,150,John Riegger,28,"$367,221"
151,152,151,Brent Schwarzrock,21,"$347,336"
152,153,152,Joe Ogilvie,35,"$347,189"
153,154,153,Jim Carter,28,"$345,926"
154,155,154,Franklin Langham,22,"$332,538"
155,156,156,Ted Tryba,34,"$312,049"
156,157,157,Mark Wiebe,24,"$308,792"
157,158,158,Tommy Tolles,32,"$308,644"
158,159,159,Blaine McCallister,29,"$305,589"
159,160,160,Tripp Isenhour,32,"$299,452"
160,161,161,Gabriel Hjertstedt,31,"$296,273"
161,162,162,David Morland IV,30,"$283,877"
162,163,163,Mathew Goggin,34,"$283,165"
163,164,164,Jim McGovern,22,"$275,494"
164,165,165,Robin Freeman,35,"$273,543"
165,166,166,Steve Pate,30,"$271,967"
166,167,167,Ronnie Black,17,"$271,686"
167,168,168,Joe Ozaki,17,"$271,202"
168,169,169,Danny Ellis,28,"$267,487"
169,170,170,Steve Jones,25,"$264,456"
170,171,171,Tommy Armour III,33,"$263,091"
171,172,172,Craig Stadler,20,"$262,323"
172,173,173,Chad Campbell,3,"$259,200"
173,174,174,Shingo Katayama,6,"$254,685"
174,175,175,Jean Van de Velde,17,"$247,014"
175,176,176,Fulton Allem,21,"$241,680"
176,177,177,Michael Clark II,30,"$236,991"
177,178,178,Gary Nicklaus,35,"$234,893"
178,179,179,Ian Woosnam,5,"$225,878"
179,180,180,Cliff Kresge,32,"$220,649"
180,181,181,Jeff Hart,29,"$219,386"
181,182,241,Lee Westwood,7,"$218,071"
182,183,182,Nick Faldo,13,"$215,961"
183,184,183,Jimmy Green,33,"$213,942"
184,185,184,Tom Scherrer,28,"$212,091"
185,186,185,Tom Kite,5,"$211,252"
186,187,186,Bryce Molder,7,"$211,105"
187,188,187,Dicky Pride,28,"$210,022"
188,189,188,Kevin Johnson,32,"$205,242"
189,190,189,Ben Bates,19,"$201,191"
190,191,190,Jeff Brehaut,27,"$200,046"
191,192,191,Robert Gamez,23,"$197,525"
192,193,192,Willie Wood,16,"$196,113"
193,194,193,Chris Tidland,30,"$195,738"
194,195,194,Ben Ferguson,30,"$187,970"
195,196,195,Steve Allan,32,"$181,686"
196,197,196,Jason Gore,30,"$180,451"
197,198,197,Bill Glasson,26,"$180,441"
198,199,198,Andrew Magee,31,"$175,108"
199,200,199,Marco Dawson,20,"$172,738"
200,201,200,David Smail,4,"$169,992"
201,202,201,Brian Wilson,32,"$169,440"
202,203,202,Phil Tataurangi,13,"$166,581"
203,204,203,Brian Henninger,29,"$160,814"
204,205,204,Soren Hansen,2,"$158,333"
205,206,205,Ian Poulter,3,"$158,000"
206,207,206,Mark Hensby,30,"$155,629"
207,208,207,Paul McGinley,5,"$152,829"
208,209,208,Donnie Hammond,14,"$152,698"
209,210,209,Nick O'Hern,4,"$150,000"
210,211,210,Curtis Strange,11,"$148,632"
211,212,211,Andrew Coltart,4,"$144,317"
212,213,212,Brad Fabel,11,"$140,940"
213,214,213,Phillip Price,7,"$138,406"
214,215,214,Andrew McLardy,27,"$134,160"
215,216,215,Emanuele Canonica,19,"$132,869"
216,217,216,Craig Kanada,28,"$132,163"
217,218,217,Peter Jacobsen,18,"$130,547"
218,219,218,Brian Claar,9,"$129,519"
219,220,219,Michael Allen,2,"$116,734"
220,221,220,Peter Lonard,8,"$116,172"
221,222,221,Adam Scott,7,"$112,776"
222,223,222,Kent Jones,29,"$112,308"
223,224,223,Barry Cheesman,16,"$109,635"
224,225,224,Hunter Haas,30,"$109,110"
225,226,225,Luke Donald,8,"$105,747"
226,227,226,Notah Begay III,12,"$100,538"
227,228,227,D.A. Weibring,10,"$99,843"
228,229,228,Jeremy Anderson,28,"$99,464"
229,230,229,Raphael Jacquelin,2,"$92,310"
230,231,230,Mark McNulty,4,"$92,000"
231,232,231,Mikko Ilonen,4,"$91,194"
232,233,232,Mike Hulbert,20,"$90,499"
233,234,233,Hidemichi Tanaka,8,"$90,363"
234,235,234,"Dave Stockton, Jr.",21,"$90,132"
235,236,235,Eduardo Romero,7,"$89,374"
236,237,236,Raymond Floyd,3,"$82,500"
237,238,237,Doug Barron,26,"$81,837"
238,239,238,Doug Dunakey,33,"$81,793"
239,240,239,Mike Springer,10,"$81,141"
240,241,240,Richie Coughlan,26,"$80,222"
241,242,242,Bart Bryant,10,"$73,884"
242,243,243,Paul Lawrie,6,"$69,312"
243,244,244,Trevor Dodds,3,"$66,366"
244,245,245,Keith Clearwater,23,"$66,178"
245,246,246,Paul Casey,4,"$66,080"
246,247,247,Jaxon Brigman,2,"$61,500"
247,248,248,Alex Cejka,2,"$61,310"
248,249,249,Kelly Grunewald,27,"$59,244"
249,250,250,Gary Orr,4,"$58,863"
250,251,251,Des Smyth,1,"$57,310"
