,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,19,7.01,"$5,687,773","$81,097,864"
1,2,2,Phil Mickelson,23,4.74,"$4,403,881","$92,997,864"
2,3,3,Niclas Fasth,3,4.15,"$610,417","$14,697,864"
3,4,4,Sergio Garcia,18,3.76,"$2,898,633","$76,997,864"
4,5,5,Davis Love III,20,3.75,"$3,169,462","$84,497,864"
5,6,6,David Duval,20,3.37,"$2,801,758","$83,197,864"
6,7,7,David Toms,28,3.31,"$3,791,593","$114,497,864"
7,8,8,Vijay Singh,26,3.15,"$3,440,826","$109,297,864"
8,9,9,Scott Hoch,24,2.96,"$2,875,318","$97,097,864"
9,10,10,Mike Weir,23,2.87,"$2,777,933","$96,797,864"
10,11,11,Ernie Els,19,2.78,"$2,336,454","$84,097,864"
11,12,12,Bob Estes,26,2.68,"$2,795,474","$104,497,864"
12,13,13,Jim Furyk,24,2.57,"$2,540,732","$98,997,864"
13,14,14,Scott Verplank,26,2.56,"$2,783,398","$108,597,864"
14,15,15,Retief Goosen,10,2.55,"$1,176,985","$46,197,864"
15,16,16,Bernhard Langer,17,2.47,"$1,810,361","$73,397,864"
16,17,17,Chad Campbell,3,2.4,"$259,200","$10,800,000"
17,18,18,Joe Durant,25,2.36,"$2,381,682","$101,097,864"
18,19,19,Toshi Izawa,5,2.31,"$519,180","$22,500,000"
19,20,20,Chris DiMarco,29,2.2,"$2,595,196","$118,097,864"
20,21,21,Mark Calcavecchia,23,2.11,"$1,991,573","$94,597,864"
21,22,22,Jaxon Brigman,1,2.05,"$61,500","$3,000,000"
22,23,23,Darren Clarke,7,2.03,"$705,869","$34,797,864"
23,24,24,Tom Lehman,23,2.0,"$1,907,659","$95,597,864"
24,25,25,José Coceres,19,1.98,"$1,527,887","$77,297,864"
25,26,26,Steve Stricker,20,1.97,"$1,676,228","$84,897,864"
26,27,27,Robert Allenby,29,1.93,"$2,309,026","$119,397,864"
27,T28,T28,Paul Azinger,20,1.88,"$1,509,127","$80,200,000"
28,T28,T28,Scott McCarron,25,1.88,"$1,793,503","$95,400,000"
