,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
116,T113,T113,Tom Byrum,27,1,,,
117,T113,T113,Chad Campbell,3,1,,1.0,
118,T113,T113,Michael Campbell,10,1,,,
119,T113,T113,Emanuele Canonica,19,1,,,
120,T113,T113,Greg Chalmers,27,1,,,
121,T113,T113,Barry Cheesman,16,1,,,
122,T113,T113,Brian Claar,8,1,,,
123,T113,T113,Michael Clark II,30,1,,,
124,T113,T113,Russ Cochran,24,1,,,
125,T113,T113,Andrew Coltart,3,1,,,
126,T113,T113,Robert Damron,27,1,1.0,,
127,T113,T113,Trevor Dodds,2,1,,,
128,T113,T113,Danny Ellis,27,1,,,
129,T113,T113,Brad Fabel,10,1,,,
130,T113,T113,Nick Faldo,13,1,,,
131,T113,T113,Niclas Fasth,3,1,,1.0,
132,T113,T113,Ben Ferguson,30,1,,,
133,T113,T113,David Frost,27,1,,,
134,T113,T113,Pierre Fulke,8,1,,1.0,
135,T113,T113,Mathew Goggin,33,1,,,
136,T113,T113,Jimmy Green,33,1,,,
137,T113,T113,Padraig Harrington,9,1,,,
138,T113,T113,Mark Hensby,29,1,,,
139,T113,T113,Gabriel Hjertstedt,30,1,,,
140,T113,T113,Glen Hnatiuk,31,1,,,
141,T113,T113,John Huston,20,1,,,
142,T113,T113,Mikko Ilonen,4,1,,,
143,T113,T113,Tripp Isenhour,31,1,,,
144,T113,T113,Pete Jordan,36,1,,,1.0
145,T113,T113,Shingo Katayama,6,1,,,
146,T113,T113,Jonathan Kaye,33,1,,,1.0
147,T113,T113,Skip Kendall,33,1,,,
148,T113,T113,Tom Kite,5,1,,,
149,T113,T113,Cliff Kresge,31,1,,,
150,T113,T113,Franklin Langham,22,1,,,
151,T113,T113,J.L. Lewis,31,1,,,
152,T113,T113,Blaine McCallister,28,1,,,
153,T113,T113,Mark McNulty,3,1,,,
154,T113,T113,Spike McRoy,31,1,,,1.0
155,T113,T113,Larry Mize,24,1,,1.0,
156,T113,T113,Bryce Molder,7,1,,,1.0
157,T113,T113,Colin Montgomerie,7,1,,,
158,T113,T113,David Morland IV,29,1,,,
159,T113,T113,Frank Nobilo,28,1,,,
160,T113,T113,Greg Norman,11,1,,,
161,T113,T113,Nick O'Hern,4,1,,,
162,T113,T113,Mark O'Meara,21,1,,,
163,T113,T113,Joe Ozaki,17,1,,,
164,T113,T113,Craig Parry,22,1,,,
165,T113,T113,Steve Pate,30,1,,,
166,T113,T113,Corey Pavin,22,1,,,
167,T113,T113,Lee Porter,30,1,,,
168,T113,T113,Dicky Pride,27,1,,,
169,T113,T113,Scott Simpson,22,1,,1.0,
170,T113,T113,Craig Stadler,19,1,,,
171,T113,T113,Curtis Strange,11,1,,,
172,T113,T113,Esteban Toledo,36,1,,,1.0
173,T113,T113,Tommy Tolles,31,1,,,
174,T113,T113,Jean Van de Velde,17,1,,,
175,T113,T113,Duffy Waldorf,27,1,,,
176,T113,T113,Garrett Willis,33,1,1.0,,
177,T113,T113,Ian Woosnam,5,1,,,1.0
