,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Tiger Woods,19,"$5,687,777",5.0
1,2,2,Phil Mickelson,23,"$4,403,883",2.0
2,3,3,David Toms,28,"$3,791,595",3.0
3,4,4,Vijay Singh,26,"$3,440,829",
4,5,5,Davis Love III,20,"$3,169,463",1.0
5,6,6,Sergio Garcia,18,"$2,898,635",2.0
6,7,7,Scott Hoch,24,"$2,875,319",2.0
7,8,8,David Duval,20,"$2,801,760",1.0
8,9,9,Bob Estes,26,"$2,795,477",2.0
9,10,10,Scott Verplank,26,"$2,783,401",1.0
10,11,11,Mike Weir,23,"$2,777,936",1.0
11,12,12,Chris DiMarco,29,"$2,595,201",1.0
12,13,13,Jim Furyk,24,"$2,540,734",1.0
13,14,14,Joe Durant,25,"$2,381,684",2.0
14,15,15,Ernie Els,19,"$2,336,456",
15,16,16,Robert Allenby,29,"$2,309,029",2.0
16,17,17,Mark Calcavecchia,23,"$1,991,576",1.0
17,18,18,Brad Faxon,26,"$1,951,412",1.0
18,19,19,Frank Lickliter II,29,"$1,941,911",1.0
19,20,20,Tom Lehman,23,"$1,907,660",
20,21,21,Jeff Sluman,30,"$1,841,952",1.0
21,22,22,Bernhard Langer,17,"$1,810,363",
22,23,23,Scott McCarron,25,"$1,793,506",1.0
23,24,24,Kenny Perry,26,"$1,786,066",1.0
24,25,25,Justin Leonard,30,"$1,783,842",1.0
25,26,26,Stewart Cink,29,"$1,743,028",
26,27,27,Steve Lowery,28,"$1,738,820",
27,28,28,Hal Sutton,26,"$1,723,946",1.0
28,29,29,Billy Mayfair,29,"$1,716,002",
29,30,30,Steve Stricker,20,"$1,676,229",1.0
30,31,31,Jesper Parnevik,25,"$1,574,208",1.0
31,32,32,Kevin Sutherland,30,"$1,523,573",
32,33,33,Paul Azinger,20,"$1,509,130",
33,34,34,José Coceres,19,"$1,502,888",2.0
34,35,35,Jerry Kelly,31,"$1,491,607",
35,36,36,Rocco Mediate,21,"$1,474,435",
36,37,37,Shigeki Maruyama,27,"$1,441,455",1.0
37,38,38,Kirk Triplett,26,"$1,388,202",
38,39,39,Tom Pernice Jr.,33,"$1,318,762",1.0
39,40,40,Billy Andrade,27,"$1,313,047",
40,41,41,Brian Gay,32,"$1,299,361",
41,42,42,Nick Price,20,"$1,286,756",
42,43,43,Fred Funk,33,"$1,237,004",
43,44,44,Steve Flesch,32,"$1,207,552",
44,45,45,Chris Riley,30,"$1,198,225",
45,46,46,Joel Edwards,30,"$1,193,528",1.0
46,47,47,Retief Goosen,10,"$1,126,985",1.0
47,48,48,Bob Tway,29,"$1,121,858",
48,49,49,J.J. Henry,28,"$1,073,847",
49,50,50,Cameron Beckman,29,"$1,071,343",1.0
50,51,51,Robert Damron,27,"$1,059,187",1.0
51,52,52,Rory Sabbatini,23,"$1,038,590",
52,53,53,Dudley Hart,25,"$1,035,710",
53,54,54,John Cook,25,"$1,022,778",1.0
54,55,55,Stuart Appleby,29,"$1,004,528",
55,56,56,Brett Quigley,21,"$956,934",
56,57,57,Tim Herron,29,"$945,441",
57,58,58,Chris Smith,30,"$932,810",
58,59,59,Lee Janzen,29,"$905,628",
59,60,60,Mark Brooks,27,"$899,444",
60,61,61,John Daly,25,"$828,914",
61,62,62,Olin Browne,30,"$815,636",
62,63,63,Briny Baird,31,"$812,001",
63,64,64,Dennis Paulson,25,"$811,105",
64,65,65,K.J. Choi,29,"$800,326",
65,66,66,Harrison Frazar,25,"$792,456",
66,67,67,Skip Kendall,33,"$753,701",
67,68,68,David Gossett,15,"$748,126",1.0
68,69,69,Paul Stankowski,27,"$743,603",
69,70,70,Matt Gogel,26,"$729,783",
70,71,71,Glen Day,28,"$715,780",
71,72,72,Jeff Maggert,27,"$713,607",
72,73,73,David Peoples,31,"$712,657",
73,74,74,Brent Geiberger,25,"$711,194",
74,75,75,Greg Chalmers,27,"$692,170",
75,76,76,"David Berganio, Jr.",25,"$685,082",
76,77,77,Garrett Willis,33,"$684,038",1.0
77,78,78,Esteban Toledo,36,"$683,751",
78,79,79,Jonathan Kaye,33,"$683,210",
79,80,80,Neal Lancaster,36,"$657,580",
80,81,81,Joey Sindelar,25,"$654,864",
81,82,82,J.P. Hayes,23,"$622,964",
82,83,83,Paul Gow,27,"$608,382",
83,84,84,Len Mattiace,30,"$592,781",
84,85,85,Jerry Smith,31,"$592,030",
85,86,86,Loren Roberts,25,"$584,072",
86,87,87,Brandel Chamblee,23,"$582,086",
87,88,88,Mike Sposa,29,"$576,312",
88,89,89,Stephen Ames,26,"$574,451",
89,90,90,Edward Fryatt,31,"$572,820",
90,91,91,Chris Perry,26,"$568,391",
91,92,92,Jay Haas,21,"$565,141",
92,93,93,Grant Waite,28,"$539,227",
93,94,94,Bob May,25,"$534,936",
94,95,95,Geoff Ogilvy,23,"$525,338",
95,96,96,Scott Simpson,22,"$512,530",
96,97,97,Per-Ulrik Johansson,29,"$510,488",
97,98,98,J.L. Lewis,31,"$508,618",
98,99,99,Carl Paulson,31,"$508,208",
99,100,100,John Huston,20,"$505,252",
100,101,101,David Frost,27,"$504,376",
101,102,102,Craig Parry,22,"$503,923",
102,103,103,Greg Kraft,33,"$503,605",
103,104,104,Carlos Franco,27,"$486,665",
104,105,105,Kaname Yokoo,27,"$477,989",
105,106,106,Jay Williamson,35,"$476,031",
106,107,107,Miguel Angel Jiménez,15,"$464,457",
107,108,108,Frank Nobilo,28,"$462,650",
108,109,109,Rich Beem,31,"$460,565",
109,110,110,José María Olazábal,15,"$458,678",
110,111,111,Corey Pavin,22,"$458,401",
111,112,112,Brian Watts,16,"$457,293",
112,113,113,Craig Perks,30,"$457,127",
113,114,114,Dan Forsman,25,"$456,194",
114,115,115,Larry Mize,24,"$440,179",
115,116,116,Mark O'Meara,21,"$438,620",
116,117,117,Steve Elkington,20,"$437,200",
117,118,118,Jay Don Blake,31,"$436,576",
118,119,119,Glen Hnatiuk,31,"$434,524",
119,120,120,Duffy Waldorf,27,"$427,461",
120,121,121,Scott Dunlap,28,"$420,777",
121,122,122,Craig Barlow,23,"$414,139",
122,123,123,Michael Muehr,32,"$409,250",
123,124,124,Brandt Jobe,30,"$407,065",
124,125,125,Woody Austin,34,"$406,352",
125,126,126,Bradley Hughes,33,"$406,258",
126,127,127,Spike McRoy,31,"$401,654",
127,128,128,Brad Elder,35,"$396,967",
128,129,129,Tom Byrum,27,"$391,925",
129,130,130,Pete Jordan,36,"$386,088",
130,131,131,Fred Couples,19,"$385,984",
131,132,132,Paul Goydos,29,"$375,557",
132,133,133,Ian Leggatt,29,"$368,862",
133,134,134,Russ Cochran,24,"$362,556",
134,135,135,Bob Burns,29,"$353,046",
135,136,136,Shaun Micheel,34,"$351,095",
136,137,137,Lee Porter,30,"$346,462",
137,138,138,Jim Carter,28,"$345,926",
138,139,139,Joe Ogilvie,34,"$343,189",
139,140,140,John Riegger,27,"$342,221",
140,141,141,Franklin Langham,22,"$332,538",
141,142,142,Brent Schwarzrock,20,"$322,336",
142,143,143,Mark Wiebe,24,"$308,792",
143,144,144,Ted Tryba,33,"$308,049",
144,145,145,Tommy Tolles,31,"$304,644",
145,146,146,Tripp Isenhour,31,"$299,452",
146,147,147,Gabriel Hjertstedt,30,"$296,273",
147,148,148,Mathew Goggin,33,"$283,165",
148,149,149,Blaine McCallister,28,"$280,589",
149,150,150,David Morland IV,29,"$279,877",
150,151,151,Steve Pate,30,"$271,967",
151,152,152,Ronnie Black,17,"$271,686",
152,153,153,Jim McGovern,21,"$271,494",
153,154,154,Joe Ozaki,17,"$271,202",
154,155,155,Steve Jones,25,"$264,456",
155,156,156,Greg Norman,11,"$256,310",
156,157,157,Robin Freeman,34,"$248,543",
157,158,158,Jean Van de Velde,17,"$247,014",
158,159,159,Danny Ellis,27,"$242,487",
159,160,160,Fulton Allem,21,"$241,680",
160,161,161,Tommy Armour III,32,"$238,091",
161,162,162,Michael Clark II,30,"$236,991",
