,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Jim Furyk,89,91.14,1185,1080
1,2,2,Steve Stricker,64,90.23,921,831
2,3,3,Richard Johnson,94,89.26,1518,1355
3,4,4,Rod Pampling,89,89.24,1143,1020
4,5,5,Aaron Baddeley,78,89.23,1226,1094
5,6,6,Brett Quigley,109,89.15,1678,1496
6,7,7,Stewart Cink,93,88.97,1297,1154
7,8,8,K.J. Choi,93,88.81,1439,1278
8,9,9,Larry Mize,53,88.76,747,663
9,10,10,Dean Wilson,115,88.69,1654,1467
10,11,11,Harrison Frazar,95,88.67,1368,1213
11,12,12,Daniel Chopra,110,88.65,1621,1437
12,13,13,John Cook,67,88.63,1003,889
13,14,14,Scott Verplank,88,88.52,1237,1095
14,15,15,J.J. Henry,96,88.51,1401,1240
15,16,16,Dudley Hart,83,88.43,1296,1146
16,17,17,Bob Estes,85,88.41,1363,1205
17,18,18,Ryan Moore,68,88.37,1058,935
18,19,19,Nathan Green,108,88.36,1701,1503
19,20,20,Tiger Woods,55,88.35,661,584
20,T21,T21,Ben Crane,85,88.31,1078,952
21,T21,T21,Brian Gay,107,88.31,1796,1586
22,23,23,Jesper Parnevik,84,88.25,1328,1172
23,24,24,Eric Axley,91,88.23,1453,1282
24,25,25,Brian Bateman,69,88.21,1077,950
25,T26,T26,David Branshaw,98,88.16,1588,1400
26,T26,T26,Shaun Micheel,96,88.16,1436,1266
27,28,28,Padraig Harrington,54,88.15,717,632
28,29,29,Trevor Immelman,86,88.11,1346,1186
29,30,30,John Rollins,93,88.08,1393,1227
30,T31,T31,Robert Allenby,79,88.07,1090,960
31,T31,T31,Stephen Ames,63,88.07,788,694
32,T33,T33,Billy Mayfair,94,88.06,1415,1246
33,T33,T33,Tom Pernice Jr.,108,88.06,1575,1387
34,35,35,Paul Azinger,87,88.02,1469,1293
35,T36,T36,David Howell,52,88.0,550,484
36,T36,T36,Jeff Sluman,101,88.0,1525,1342
37,T38,T38,Jeff Gove,91,87.98,1514,1332
38,T38,T38,Geoff Ogilvy,76,87.98,957,842
39,T40,T40,Charles Howell III,96,87.97,1463,1287
40,T40,T40,Kevin Sutherland,100,87.97,1604,1411
41,42,42,Brad Faxon,78,87.93,1334,1173
42,43,43,Jimmy Walker,60,87.92,1035,910
43,44,44,José María Olazábal,62,87.91,703,618
44,45,45,Justin Leonard,83,87.86,1211,1064
45,46,46,Vance Veazey,59,87.84,995,874
46,T47,T47,Freddie Jacobson,56,87.82,977,858
47,T47,T47,Patrick Sheehan,104,87.82,1601,1406
48,49,49,Chris Smith,67,87.77,1055,926
49,50,50,Tag Ridings,103,87.76,1642,1441
50,T51,T51,Marco Dawson,87,87.73,1418,1244
51,T51,T51,Ryuji Imada,105,87.73,1605,1408
52,T53,T53,Bart Bryant,87,87.64,1319,1156
53,T53,T53,Ryan Hietala,61,87.64,963,844
54,55,55,Carl Pettersson,95,87.61,1356,1188
55,56,56,Vijay Singh,103,87.59,1555,1362
56,57,57,Ian Leggatt,80,87.57,1303,1141
57,58,58,Bernhard Langer,77,87.56,1085,950
58,59,59,Todd Fischer,101,87.55,1646,1441
59,T60,T60,Chris DiMarco,83,87.54,1132,991
60,T60,T60,Frank Lickliter II,99,87.54,1557,1363
61,T62,T62,Olin Browne,108,87.47,1572,1375
62,T62,T62,Ben Curtis,86,87.47,1229,1075
63,T62,T62,Joe Ogilvie,95,87.47,1445,1264
64,T65,T65,Michael Allen,84,87.46,1324,1158
65,T65,T65,Ryan Palmer,101,87.46,1507,1318
66,67,67,Skip Kendall,72,87.44,1107,968
67,68,68,Danny Ellis,68,87.43,1106,967
68,69,69,Bubba Watson,83,87.42,1343,1174
69,70,70,J.L. Lewis,57,87.38,935,817
70,71,71,Duffy Waldorf,96,87.37,1520,1328
71,T72,T72,Zach Johnson,98,87.35,1423,1243
72,T72,T72,Charles Warren,93,87.35,1510,1319
73,T74,T74,D.A. Points,82,87.32,1317,1150
74,T74,T74,Mike Sposa,68,87.32,1088,950
75,T74,T74,Bo Van Pelt,102,87.32,1656,1446
76,77,77,Greg Chalmers,71,87.26,1060,925
77,T78,T78,Stuart Appleby,83,87.24,1176,1026
78,T78,T78,Stephen Leaney,84,87.24,1419,1238
79,T80,T80,Tommy Armour III,65,87.23,987,861
80,T80,T80,Luke Donald,66,87.23,791,690
81,T80,T80,Phil Mickelson,74,87.23,877,765
82,T83,T83,Fred Funk,106,87.22,1581,1379
83,T83,T83,Daisuke Maruyama,83,87.22,1307,1140
84,T83,T83,Paul Stankowski,70,87.22,1174,1024
85,86,86,Jeff Brehaut,100,87.19,1600,1395
86,T87,T87,Henrik Bjornstad,97,87.17,1652,1440
87,T87,T87,Mark Brooks,90,87.17,1395,1216
88,89,89,Lucas Glover,105,87.15,1595,1390
89,90,90,Jon Mills,68,87.13,1018,887
90,91,91,Greg Kraft,79,87.11,1241,1081
91,92,92,"John Engler, Jr.",69,87.09,1170,1019
92,93,93,Steve Jones,83,87.05,1274,1109
93,94,94,Charley Hoffman,100,87.04,1651,1437
94,T95,T95,Ernie Els,69,87.03,879,765
95,T95,T95,Retief Goosen,68,87.03,856,745
96,97,97,John Senden,96,87.0,1469,1278
97,98,98,Bill Haas,99,86.97,1665,1448
98,99,99,Corey Pavin,74,86.96,1051,914
99,100,100,Chad Campbell,91,86.95,1241,1079
100,101,101,Arron Oberholser,82,86.93,1155,1004
101,T102,T102,Greg Owen,79,86.92,1170,1017
102,T102,T102,Hidemichi Tanaka,74,86.92,1208,1050
103,104,104,Tim Clark,80,86.91,1085,943
104,T105,T105,Kirk Triplett,58,86.9,916,796
105,T105,T105,Ron Whittaker,81,86.9,1328,1154
106,107,107,Jerry Kelly,100,86.89,1549,1346
107,T108,T108,Jonathan Byrd,66,86.88,991,861
108,T108,T108,Jason Schultz,77,86.88,1204,1046
109,110,110,Peter Lonard,77,86.79,1257,1091
110,111,111,Tjaart van der Walt,60,86.78,976,847
111,112,112,Scott Gutschewski,53,86.75,845,733
112,T113,T113,Kris Cox,83,86.74,1357,1177
