,GIR_Putting_-_20-25_RANK THIS WEEK,GIR_Putting_-_20-25_RANK LAST WEEK,GIR_Putting_-_20-25_PLAYER NAME,GIR_Putting_-_20-25_ROUNDS,GIR_Putting_-_20-25_%,GIR_Putting_-_20-25_ATTEMPTS,GIR_Putting_-_20-25_PUTTS MADE
0,1,1,José María Olazábal,62,20.93,43,9
1,2,2,Aaron Baddeley,78,20.78,77,16
2,3,3,Jeff Sluman,101,20.56,107,22
3,4,4,Mark O'Meara,52,20.41,49,10
4,5,5,Tom Pernice Jr.,108,20.33,123,25
5,T6,T6,Stuart Appleby,83,19.7,66,13
6,T6,T6,Jonathan Byrd,66,19.7,66,13
7,T6,T6,John Cook,67,19.7,66,13
8,9,9,Chris Riley,86,19.18,73,14
9,10,10,Stewart Cink,93,19.0,100,19
10,11,11,Stephen Ames,63,18.97,58,11
11,12,12,David Howell,52,18.92,37,7
12,13,13,Brent Geiberger,99,18.69,107,20
13,T14,T14,Shigeki Maruyama,94,18.52,108,20
14,T14,T14,Adam Scott,70,18.52,81,15
15,T16,T16,John Daly,51,18.18,44,8
16,T16,T16,Mark Wilson,79,18.18,110,20
17,T18,T18,J.P. Hayes,55,18.0,50,9
18,T18,T18,D.J. Trahan,92,18.0,100,18
19,20,20,Hidemichi Tanaka,74,17.95,78,14
20,21,21,Ian Poulter,53,17.78,45,8
21,22,22,J.B. Holmes,81,17.65,68,12
22,23,23,Tim Petrovic,95,17.59,108,19
23,T24,T24,Marco Dawson,87,17.39,115,20
24,T24,T24,Ryan Palmer,101,17.39,92,16
25,26,26,Michael Connell,51,17.31,52,9
26,27,27,Brad Faxon,78,17.2,93,16
27,28,28,Ben Crane,85,16.92,65,11
28,29,29,Brett Quigley,109,16.91,136,23
29,30,30,Steve Stricker,64,16.9,71,12
30,T31,T31,Ben Curtis,86,16.67,84,14
31,T31,T31,Todd Hamilton,72,16.67,54,9
32,33,33,Vaughn Taylor,88,16.48,91,15
33,34,34,Davis Love III,85,16.44,73,12
34,35,35,Geoff Ogilvy,76,16.36,55,9
35,36,36,Fred Couples,52,16.22,37,6
36,T37,T37,Thomas Levet,53,16.0,75,12
37,T37,T37,Tiger Woods,55,16.0,50,8
38,39,39,Heath Slocum,96,15.97,119,19
39,T40,T40,Kris Cox,83,15.96,94,15
40,T40,T40,Arron Oberholser,82,15.96,94,15
41,42,42,Woody Austin,107,15.93,113,18
42,43,43,Daisuke Maruyama,83,15.79,95,15
43,44,44,Brian Gay,107,15.75,127,20
44,45,45,Nathan Green,108,15.52,116,18
45,46,46,Steve Elkington,52,15.38,78,12
46,47,47,Dean Wilson,115,15.32,124,19
47,T48,T48,Robert Allenby,79,15.28,72,11
48,T48,T48,David Duval,71,15.28,72,11
49,50,50,Vance Veazey,59,15.19,79,12
50,51,51,Jeff Brehaut,100,15.0,100,15
51,52,52,Mathias Grönberg,92,14.95,107,16
52,53,53,Jon Mills,68,14.93,67,10
53,54,54,Ted Purdy,103,14.66,116,17
54,55,55,Chris Smith,67,14.63,82,12
55,56,56,Steve Lowery,99,14.0,100,14
56,57,57,Rory Sabbatini,84,13.95,86,12
57,58,58,Stephen Leaney,84,13.86,101,14
58,59,59,Harrison Frazar,95,13.83,94,13
59,T60,T60,Trevor Immelman,86,13.79,116,16
60,T60,T60,Steve Jones,83,13.79,87,12
61,T62,T62,Tom Lehman,70,13.7,73,10
62,T62,T62,Len Mattiace,59,13.7,73,10
63,64,64,Bernhard Langer,77,13.64,66,9
64,65,65,Brandt Jobe,91,13.41,82,11
65,T66,T66,Olin Browne,108,13.4,97,13
66,T66,T66,D.A. Points,82,13.4,97,13
67,68,68,K.J. Choi,93,13.33,105,14
68,69,69,Paul Stankowski,70,13.25,83,11
69,70,70,Fred Funk,106,13.24,136,18
70,71,71,Robert Garrigus,85,13.19,91,12
71,72,72,Richard Johnson,94,13.16,114,15
72,73,73,Retief Goosen,68,13.04,69,9
73,74,74,Luke Donald,66,12.96,54,7
74,75,75,Rod Pampling,89,12.94,85,11
75,76,76,Steve Flesch,119,12.93,147,19
76,77,77,Mike Weir,88,12.86,70,9
77,78,78,Troy Matteson,101,12.8,125,16
78,79,79,"Wes Short, Jr.",96,12.77,94,12
79,80,80,Roger Tambellini,64,12.73,55,7
80,81,81,Hunter Mahan,98,12.69,134,17
81,82,82,Billy Mayfair,94,12.62,103,13
82,83,83,Patrick Sheehan,104,12.61,111,14
83,T84,T84,Jim Furyk,89,12.5,120,15
84,T84,T84,Robert Gamez,94,12.5,112,14
85,T84,T84,Larry Mize,53,12.5,48,6
86,87,87,Charley Hoffman,100,12.39,113,14
87,T88,T88,Bob Estes,85,12.38,105,13
88,T88,T88,Duffy Waldorf,96,12.38,105,13
89,90,90,Paul Azinger,87,12.37,97,12
90,91,91,Rich Beem,85,12.35,81,10
91,92,92,Ryuji Imada,105,12.3,122,15
92,93,93,Nick Watney,97,12.24,98,12
93,94,94,Corey Pavin,74,12.2,82,10
94,95,95,Greg Chalmers,71,12.16,74,9
95,96,96,Michael Allen,84,12.09,91,11
96,97,97,Jimmy Walker,60,12.0,50,6
97,T98,T98,Tim Clark,80,11.9,84,10
98,T98,T98,Danny Ellis,68,11.9,84,10
99,100,100,Sean O'Hair,100,11.88,101,12
100,101,101,J.L. Lewis,57,11.86,59,7
101,102,102,Ryan Moore,68,11.76,68,8
102,103,103,Carl Pettersson,95,11.69,77,9
103,104,104,Brett Wetterich,82,11.58,95,11
104,105,105,Ryan Hietala,61,11.54,52,6
105,106,106,Mathew Goggin,72,11.39,79,9
106,107,107,David McKenzie,82,11.34,97,11
107,108,108,Alex Aragon,63,11.29,62,7
108,109,109,David Toms,76,11.22,98,11
109,110,110,J.J. Henry,96,11.11,108,12
110,111,111,Camilo Villegas,95,11.01,109,12
111,112,112,Briny Baird,81,10.99,91,10
112,113,113,Chris DiMarco,83,10.98,82,9
113,T114,T114,Phil Mickelson,74,10.96,73,8
114,T114,T114,Bob Tway,81,10.96,73,8
115,116,116,Frank Lickliter II,99,10.91,110,12
116,117,117,Bob May,65,10.81,74,8
117,118,118,Freddie Jacobson,56,10.77,65,7
118,119,119,Todd Fischer,101,10.48,124,13
119,T120,T120,Greg Kraft,79,10.47,86,9
120,T120,T120,Mike Sposa,68,10.47,86,9
121,122,122,Mark Brooks,90,10.38,106,11
122,123,123,Kenny Perry,73,10.34,87,9
123,124,124,Bill Haas,99,10.28,107,11
124,125,125,Jeff Maggert,81,10.23,88,9
125,126,126,Ernie Els,69,10.2,49,5
126,T127,T127,Kent Jones,103,10.1,99,10
127,T127,T127,Vijay Singh,103,10.1,99,10
128,129,129,Shane Bertsch,104,10.09,109,11
129,T130,T130,Eric Axley,91,10.0,90,9
130,T130,T130,Tim Herron,82,10.0,80,8
131,T130,T130,Peter Lonard,77,10.0,80,8
132,T130,T130,Jesper Parnevik,84,10.0,100,10
133,T130,T130,Justin Rose,98,10.0,100,10
134,135,135,Henrik Bjornstad,97,9.84,122,12
135,136,136,Brian Davis,92,9.8,102,10
136,137,137,Lee Janzen,79,9.76,82,8
137,138,138,Carlos Franco,86,9.73,113,11
138,139,139,Brian Bateman,69,9.72,72,7
139,140,140,Greg Owen,79,9.64,83,8
140,141,141,Mark Calcavecchia,94,9.57,94,9
141,142,142,Arjun Atwal,97,9.52,84,8
142,143,143,Paul Goydos,72,9.47,95,9
143,144,144,Tommy Armour III,65,9.46,74,7
144,T145,T145,Pat Perez,50,9.43,53,5
145,T145,T145,Tag Ridings,103,9.43,106,10
146,T145,T145,Kirk Triplett,58,9.43,53,5
147,148,148,Kevin Sutherland,100,9.26,108,10
148,149,149,John Huston,74,9.21,76,7
149,150,150,Doug Barron,74,9.2,87,8
150,151,151,Joe Ogilvie,95,9.18,98,9
151,152,152,Bubba Dickerson,98,9.17,120,11
152,T153,T153,Alex Cejka,93,9.09,121,11
153,T153,T153,Tjaart van der Walt,60,9.09,66,6
154,155,155,Shaun Micheel,96,9.01,111,10
155,156,156,Scott Verplank,88,8.89,90,8
156,T157,T157,Jeff Overton,95,8.82,102,9
157,T157,T157,John Rollins,93,8.82,102,9
158,T159,T159,Craig Barlow,77,8.7,92,8
159,T159,T159,David Branshaw,98,8.7,115,10
160,161,161,Zach Johnson,98,8.6,93,8
161,162,162,Chris Couch,75,8.57,70,6
162,163,163,Jerry Kelly,100,8.55,117,10
163,T164,T164,Lucas Glover,105,8.33,108,9
164,T164,T164,Charles Howell III,96,8.33,108,9
165,T164,T164,Omar Uresti,61,8.33,84,7
166,T167,T167,Jason Bohn,104,8.16,98,8
