,Putting_from_-_20-25_RANK THIS WEEK,Putting_from_-_20-25_RANK LAST WEEK,Putting_from_-_20-25_PLAYER NAME,Putting_from_-_20-25_ROUNDS,Putting_from_-_20-25_% MADE,Putting_from_-_20-25_ATTEMPTS,Putting_from_-_20-25_PUTTS MADE
0,1,1,José María Olazábal,62,26.53,49,13
1,2,2,Stuart Appleby,83,20.93,86,18
2,3,3,Tom Pernice Jr.,108,20.42,142,29
3,4,4,Chris Riley,86,20.24,84,17
4,5,5,Shigeki Maruyama,94,19.83,116,23
5,T6,T6,J.P. Hayes,55,19.67,61,12
6,T6,T6,Mark O'Meara,52,19.67,61,12
7,T6,T6,Jeff Sluman,101,19.67,122,24
8,9,9,Aaron Baddeley,78,19.54,87,17
9,10,10,John Cook,67,19.51,82,16
10,11,11,Jonathan Byrd,66,19.44,72,14
11,12,12,Ben Crane,85,19.23,78,15
12,13,13,Dean Wilson,115,19.18,146,28
13,14,14,Ben Curtis,86,19.15,94,18
14,T15,T15,Stephen Ames,63,19.12,68,13
15,T15,T15,Todd Hamilton,72,19.12,68,13
16,17,17,John Daly,51,18.87,53,10
17,18,18,Stewart Cink,93,18.58,113,21
18,19,19,Davis Love III,85,18.29,82,15
19,20,20,Adam Scott,70,18.28,93,17
20,21,21,Brian Gay,107,18.25,137,25
21,T22,T22,Michael Connell,51,18.18,55,10
22,T22,T22,Ryan Palmer,101,18.18,110,20
23,T24,T24,Brent Geiberger,99,17.95,117,21
24,T24,T24,Jon Mills,68,17.95,78,14
25,26,26,Brett Quigley,109,17.83,157,28
26,27,27,David Howell,52,17.39,46,8
27,28,28,Thomas Levet,53,17.28,81,14
28,29,29,Marco Dawson,87,17.21,122,21
29,30,30,J.B. Holmes,81,17.05,88,15
30,31,31,Ian Poulter,53,16.98,53,9
31,32,32,"Wes Short, Jr.",96,16.95,118,20
32,33,33,Hidemichi Tanaka,74,16.83,101,17
33,34,34,Heath Slocum,96,16.79,137,23
34,T35,T35,Richard Johnson,94,16.67,132,22
35,T35,T35,Daisuke Maruyama,83,16.67,108,18
36,T35,T35,Tim Petrovic,95,16.67,126,21
37,T35,T35,D.J. Trahan,92,16.67,120,20
38,39,39,Steve Stricker,64,16.46,79,13
39,40,40,Nathan Green,108,16.43,140,23
40,41,41,Woody Austin,107,16.42,134,22
41,42,42,Ryan Moore,68,16.25,80,13
42,43,43,Vaughn Taylor,88,16.19,105,17
43,44,44,Brad Faxon,78,16.07,112,18
44,45,45,Mark Wilson,79,15.97,119,19
45,46,46,Fred Couples,52,15.91,44,7
46,47,47,Kris Cox,83,15.65,115,18
47,48,48,Len Mattiace,59,15.56,90,14
48,49,49,Jeff Brehaut,100,15.45,123,19
49,50,50,Steve Jones,83,15.38,104,16
50,51,51,Arron Oberholser,82,15.31,98,15
51,52,52,Robert Allenby,79,15.29,85,13
52,T53,T53,Chris Smith,67,15.22,92,14
53,T53,T53,Vance Veazey,59,15.22,92,14
54,55,55,Tiger Woods,55,15.09,53,8
55,56,56,Steve Elkington,52,14.94,87,13
56,57,57,Troy Matteson,101,14.84,155,23
57,58,58,Tom Lehman,70,14.46,83,12
58,59,59,J.J. Henry,96,14.41,118,17
59,60,60,Ted Purdy,103,14.39,132,19
60,T61,T61,David Duval,71,14.29,84,12
61,T61,T61,Harrison Frazar,95,14.29,112,16
62,T61,T61,Trevor Immelman,86,14.29,133,19
63,T61,T61,Larry Mize,53,14.29,56,8
64,T61,T61,Geoff Ogilvy,76,14.29,70,10
65,T61,T61,D.A. Points,82,14.29,112,16
66,67,67,Rod Pampling,89,14.14,99,14
67,68,68,Mathias Grönberg,92,14.06,128,18
68,T69,T69,Rory Sabbatini,84,13.98,93,13
69,T69,T69,Paul Stankowski,70,13.98,93,13
70,71,71,David McKenzie,82,13.89,108,15
71,72,72,Nick Watney,97,13.79,116,16
