,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Phil Mickelson,74,35.66,302,847
1,2,2,Tiger Woods,55,35.26,244,692
2,3,3,Daniel Chopra,110,34.75,424,1220
3,4,4,Vaughn Taylor,88,34.26,346,1010
4,5,5,Jonathan Byrd,66,33.09,273,825
5,6,6,David Howell,52,32.88,168,511
6,7,7,Harrison Frazar,95,32.7,342,1046
7,8,8,J.P. Hayes,55,32.6,207,635
8,9,9,Ben Crane,85,32.28,287,889
9,10,10,Brett Wetterich,82,32.23,322,999
10,11,11,Lucas Glover,105,32.02,390,1218
11,12,12,Charley Hoffman,100,31.94,374,1171
12,13,13,Michael Allen,84,31.86,302,948
13,14,14,Vijay Singh,103,31.77,387,1218
14,T15,T15,Tag Ridings,103,31.72,348,1097
15,T15,T15,Justin Rose,98,31.72,368,1160
16,T15,T15,Nick Watney,97,31.72,354,1116
17,18,18,Tom Pernice Jr.,108,31.7,382,1205
18,19,19,J.B. Holmes,81,31.56,285,903
19,T20,T20,Stuart Appleby,83,31.53,279,885
20,T20,T20,Davis Love III,85,31.53,286,907
21,22,22,John Daly,51,31.47,169,537
22,23,23,Geoff Ogilvy,76,31.44,249,792
23,T24,T24,Robert Garrigus,85,31.43,303,964
24,T24,T24,David Toms,76,31.43,258,821
25,26,26,Aaron Baddeley,78,31.36,249,794
26,27,27,Nathan Green,108,31.32,369,1178
27,28,28,Padraig Harrington,54,31.18,183,587
28,29,29,Eric Axley,91,31.14,327,1050
29,T30,T30,Robert Allenby,79,31.09,291,936
30,T30,T30,Bo Van Pelt,102,31.09,378,1216
31,32,32,Hunter Mahan,98,31.06,369,1188
32,33,33,Brian Gay,107,31.05,377,1214
33,T34,T34,Stewart Cink,93,30.99,318,1026
34,T34,T34,Joe Ogilvie,95,30.99,330,1065
35,36,36,Ryan Palmer,101,30.93,352,1138
36,37,37,David Duval,71,30.91,230,744
37,38,38,Jesper Parnevik,84,30.9,300,971
38,39,39,Shigeki Maruyama,94,30.86,325,1053
39,40,40,Marco Dawson,87,30.74,312,1015
40,T41,T41,John Rollins,93,30.73,331,1077
41,T41,T41,Mike Weir,88,30.73,311,1012
42,T43,T43,Tim Clark,80,30.66,287,936
43,T43,T43,Bubba Watson,83,30.66,290,946
44,45,45,Rod Pampling,89,30.65,289,943
45,46,46,Lee Janzen,79,30.58,274,896
46,T47,T47,"Wes Short, Jr.",96,30.56,331,1083
47,T47,T47,Steve Stricker,64,30.56,231,756
48,49,49,Camilo Villegas,95,30.55,333,1090
49,50,50,Craig Barlow,77,30.54,262,858
50,51,51,Chris Couch,75,30.53,272,891
51,T52,T52,Mark Calcavecchia,94,30.51,317,1039
52,T52,T52,Ernie Els,69,30.51,223,731
53,54,54,Woody Austin,107,30.49,368,1207
54,55,55,Jim Furyk,89,30.47,340,1116
55,56,56,Sergio Garcia,59,30.43,203,667
56,57,57,Stephen Ames,63,30.41,225,740
57,58,58,Adam Scott,70,30.39,255,839
58,59,59,D.A. Points,82,30.35,275,906
59,60,60,Luke Donald,66,30.29,226,746
60,61,61,Shane Bertsch,104,30.28,354,1169
61,62,62,Ryan Moore,68,30.27,224,740
62,63,63,Retief Goosen,68,30.26,213,704
63,64,64,John Huston,74,30.24,244,807
64,65,65,Rory Sabbatini,84,30.18,290,961
65,66,66,Trevor Immelman,86,30.06,321,1068
66,67,67,Pat Perez,50,30.05,174,579
67,68,68,Chris Riley,86,30.03,276,919
68,69,69,Vance Veazey,59,30.02,196,653
69,T70,T70,Tommy Armour III,65,29.97,223,744
70,T70,T70,Jason Gore,86,29.97,285,951
71,72,72,Scott Verplank,88,29.9,305,1020
72,T73,T73,Alex Aragon,63,29.89,194,649
73,T73,T73,Bubba Dickerson,98,29.89,338,1131
74,75,75,Frank Lickliter II,99,29.87,354,1185
75,76,76,Mark Wilson,79,29.85,277,928
76,77,77,Sean O'Hair,100,29.74,339,1140
77,78,78,Carl Pettersson,95,29.62,308,1040
78,79,79,Freddie Jacobson,56,29.61,191,645
79,T80,T80,Kent Jones,103,29.54,350,1185
80,T80,T80,Jeff Sluman,101,29.54,350,1185
81,82,82,Bill Haas,99,29.39,325,1106
82,83,83,Jeff Brehaut,100,29.35,341,1162
83,84,84,Alex Cejka,93,29.33,325,1108
84,85,85,Arjun Atwal,97,29.32,319,1088
