,Putting_from_3-5_RANK THIS WEEK,Putting_from_3-5_RANK LAST WEEK,Putting_from_3-5_PLAYER NAME,Putting_from_3-5_ROUNDS,Putting_from_3-5_% MADE,Putting_from_3-5_ATTEMPTS,Putting_from_3-5_PUTTS MADE
0,1,1,Stewart Cink,93,94.06,219,206
1,2,2,Geoff Ogilvy,76,93.75,192,180
2,3,3,Steve Stricker,64,92.68,164,152
3,4,4,Jimmy Walker,60,92.35,183,169
4,5,5,J.J. Henry,96,92.27,233,215
5,6,6,Ian Poulter,53,92.17,166,153
6,7,7,Robert Allenby,79,92.07,227,209
7,8,8,Ben Crane,85,92.02,238,219
8,9,9,Richard Johnson,94,91.92,297,273
9,10,10,Ryan Palmer,101,91.89,296,272
10,11,11,Ryan Moore,68,91.85,233,214
11,12,12,Harrison Frazar,95,91.27,275,251
12,13,13,Vance Veazey,59,91.13,203,185
13,14,14,K.J. Choi,93,91.04,268,244
14,15,15,Jesper Parnevik,84,90.67,268,243
15,16,16,David Howell,52,90.57,106,96
16,17,17,Scott Gutschewski,53,90.36,166,150
17,18,18,Brett Quigley,109,90.31,320,289
18,19,19,Daniel Chopra,110,90.27,298,269
19,20,20,J.L. Lewis,57,90.26,195,176
20,21,21,Heath Slocum,96,90.25,277,250
21,22,22,Henrik Bjornstad,97,90.09,343,309
22,T23,T23,Jeff Maggert,81,90.08,252,227
23,T23,T23,José María Olazábal,62,90.08,121,109
24,25,25,Trevor Immelman,86,90.04,241,217
25,26,26,Fred Funk,106,90.03,321,289
26,27,27,Arron Oberholser,82,90.0,230,207
27,28,28,John Cook,67,89.76,166,149
28,T29,T29,Danny Ellis,68,89.71,204,183
29,T29,T29,Larry Mize,53,89.71,136,122
30,31,31,Shaun Micheel,96,89.68,281,252
31,32,32,Padraig Harrington,54,89.47,133,119
32,T33,T33,Todd Fischer,101,89.4,283,253
33,T33,T33,Retief Goosen,68,89.4,151,135
34,T33,T33,Justin Rose,98,89.4,302,270
35,36,36,Brian Gay,107,89.39,311,278
36,37,37,Nathan Green,108,89.31,346,309
37,38,38,Dean Wilson,115,89.29,336,300
38,39,39,Brad Faxon,78,89.26,242,216
39,40,40,Bart Bryant,87,89.22,232,207
40,T41,T41,Jason Gore,86,89.2,250,223
41,T41,T41,Bo Van Pelt,102,89.2,352,314
42,T43,T43,Michael Allen,84,89.16,249,222
43,T43,T43,Phil Mickelson,74,89.16,166,148
44,45,45,Paul Azinger,87,89.13,276,246
45,46,46,Bill Haas,99,88.99,327,291
46,47,47,Carl Pettersson,95,88.98,254,226
47,48,48,Stephen Leaney,84,88.94,226,201
48,49,49,Shigeki Maruyama,94,88.93,262,233
49,T50,T50,Ernie Els,69,88.89,162,144
50,T50,T50,Tag Ridings,103,88.89,306,272
51,52,52,Jeff Brehaut,100,88.85,305,271
52,53,53,Jim Furyk,89,88.83,206,183
53,54,54,Ryan Hietala,61,88.82,170,151
54,55,55,David Toms,76,88.79,214,190
55,56,56,Brian Davis,92,88.77,276,245
56,57,57,Tom Lehman,70,88.73,142,126
57,58,58,Tiger Woods,55,88.62,123,109
58,59,59,Freddie Jacobson,56,88.61,202,179
59,60,60,Stuart Appleby,83,88.51,235,208
60,61,61,Duffy Waldorf,96,88.5,287,254
61,62,62,John Rollins,93,88.49,252,223
62,63,63,Mathias Grönberg,92,88.44,294,260
63,64,64,J.P. Hayes,55,88.42,190,168
64,T65,T65,Stephen Ames,63,88.41,164,145
65,T65,T65,Mark Calcavecchia,94,88.41,328,290
66,T67,T67,Justin Leonard,83,88.31,231,204
67,T67,T67,Hunter Mahan,98,88.31,308,272
68,T67,T67,Jeff Overton,95,88.31,308,272
69,T70,T70,Kris Cox,83,88.24,289,255
70,T70,T70,Chris Smith,67,88.24,204,180
71,72,72,Olin Browne,108,88.15,287,253
72,73,73,Mark O'Meara,52,88.14,118,104
