,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Aaron Baddeley,78,1.5530000000000002,2125,1368
1,2,2,Brian Gay,107,1.558,3001,1926
2,3,3,Daniel Chopra,110,1.567,3019,1926
3,4,4,Steve Stricker,64,1.57,1752,1116
4,5,5,Paul Azinger,87,1.577,2469,1566
5,6,6,Rod Pampling,89,1.58,2389,1512
6,7,7,Ben Crane,85,1.581,2277,1440
7,8,8,Michael Allen,84,1.5819999999999999,2392,1512
8,9,9,Brad Faxon,78,1.5830000000000002,2223,1404
9,T10,T10,Luke Donald,66,1.5859999999999999,1798,1134
10,T10,T10,Harrison Frazar,95,1.5859999999999999,2598,1638
11,12,12,Nathan Green,108,1.587,2970,1872
12,T13,T13,Doug Barron,74,1.588,2086,1314
13,T13,T13,Todd Fischer,101,1.588,2830,1782
14,T13,T13,Shigeki Maruyama,94,1.588,2629,1656
15,T13,T13,Jesper Parnevik,84,1.588,2401,1512
16,17,17,Chris Riley,86,1.589,2346,1476
17,T18,T18,Stuart Appleby,83,1.59,2233,1404
18,T18,T18,Greg Chalmers,71,1.59,1918,1206
19,T20,T20,Marco Dawson,87,1.5930000000000002,2494,1566
20,T20,T20,Vaughn Taylor,88,1.5930000000000002,2523,1584
21,T22,T22,Ryan Moore,68,1.594,1865,1170
22,T22,T22,Mark O'Meara,52,1.594,1435,900
23,T24,T24,Shane Bertsch,104,1.595,2928,1836
24,T24,T24,Ernie Els,69,1.595,1838,1152
25,T24,T24,Joe Ogilvie,95,1.595,2612,1638
26,T27,T27,Woody Austin,107,1.5959999999999999,3073,1926
27,T27,T27,Scott Verplank,88,1.5959999999999999,2470,1548
28,T29,T29,Stewart Cink,93,1.597,2530,1584
29,T29,T29,Len Mattiace,59,1.597,1696,1062
30,T31,T31,Freddie Jacobson,56,1.599,1612,1008
31,T31,T31,Tag Ridings,103,1.599,2879,1800
32,T31,T31,Kirk Triplett,58,1.599,1612,1008
33,T34,T34,Eric Axley,91,1.6,2563,1602
34,T34,T34,Ryan Palmer,101,1.6,2851,1782
35,T36,T36,Danny Ellis,68,1.6019999999999999,1846,1152
36,T36,T36,J.P. Hayes,55,1.6019999999999999,1586,990
37,T36,T36,Carl Pettersson,95,1.6019999999999999,2682,1674
38,T36,T36,Dean Wilson,115,1.6019999999999999,3200,1998
39,T40,T40,Olin Browne,108,1.6030000000000002,3001,1872
40,T40,T40,Jim Furyk,89,1.6030000000000002,2539,1584
41,T42,T42,David Duval,71,1.604,1992,1242
42,T42,T42,Steve Flesch,119,1.604,3321,2070
43,T42,T42,Ryuji Imada,105,1.604,2945,1836
44,T42,T42,Justin Leonard,83,1.604,2281,1422
45,T46,T46,David Howell,52,1.605,1300,810
46,T46,T46,Tom Pernice Jr.,108,1.605,3004,1872
47,T46,T46,Vijay Singh,103,1.605,2889,1800
48,T49,T49,Dudley Hart,83,1.6059999999999999,2400,1494
49,T49,T49,John Huston,74,1.6059999999999999,2082,1296
50,T49,T49,Phil Mickelson,74,1.6059999999999999,1995,1242
51,T49,T49,Corey Pavin,74,1.6059999999999999,2024,1260
52,T49,T49,Rory Sabbatini,84,1.6059999999999999,2400,1494
53,T54,T54,Arjun Atwal,97,1.607,2748,1710
54,T54,T54,Robert Damron,91,1.607,2633,1638
55,T54,T54,Geoff Ogilvy,76,1.607,2025,1260
56,T54,T54,Vance Veazey,59,1.607,1707,1062
57,T58,T58,Charley Hoffman,100,1.608,2836,1764
58,T58,T58,Richard Johnson,94,1.608,2720,1692
59,T58,T58,Greg Kraft,79,1.608,2171,1350
60,T58,T58,Stephen Leaney,84,1.608,2432,1512
