,Average_Putting_Distance_-_GIR_1_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_1_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_1_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_1_Putts_ROUNDS,Average_Putting_Distance_-_GIR_1_Putts_AVG,Average_Putting_Distance_-_GIR_1_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_1_Putts_TOTAL PUTTS
0,1,1,Corey Pavin,74,"13' 4""",1922.4170000000001,144
1,2,2,Brent Geiberger,99,"12' 11""",3438.167,267
2,3,3,Chris Smith,67,"12' 9""",2172.25,170
3,T4,T4,Richard Johnson,94,"12' 6""",3266.917,261
4,T4,T4,Chris Riley,86,"12' 6""",2669.917,214
5,T6,T6,Larry Mize,53,"12' 4""",1247.417,101
6,T6,T6,Mark O'Meara,52,"12' 4""",1198.917,97
7,T6,T6,Hidemichi Tanaka,74,"12' 4""",1770.3329999999999,144
8,9,9,Tom Pernice Jr.,108,"12' 2""",3669.583,302
9,10,10,David McKenzie,82,"12' 1""",2597.75,215
10,T11,T11,Aaron Baddeley,78,"12' 0""",2274.167,190
11,T11,T11,Ben Curtis,86,"12' 0""",2385.667,199
12,13,13,Brandt Jobe,91,"11' 11""",2470.167,208
13,14,14,Brett Quigley,109,"11' 10""",3714.167,313
14,T15,T15,Brad Faxon,78,"11' 9""",2298.25,195
15,T15,T15,Mark Wilson,79,"11' 9""",2898.917,246
16,T17,T17,David Duval,71,"11' 8""",1830.5829999999999,157
17,T17,T17,Ted Purdy,103,"11' 8""",2947.583,252
18,T19,T19,John Cook,67,"11' 7""",1900.3329999999999,164
19,T19,T19,Steve Elkington,52,"11' 7""",1477.6670000000001,128
20,T19,T19,Jason Schultz,77,"11' 7""",1898.9170000000001,164
21,T19,T19,Bob Tway,81,"11' 7""",2211.25,191
22,T23,T23,Ben Crane,85,"11' 6""",2305.5,200
23,T23,T23,Mathew Goggin,72,"11' 6""",1946.9170000000001,169
24,T23,T23,Dudley Hart,83,"11' 6""",2332.917,203
25,T26,T26,Davis Love III,85,"11' 5""",2136.333,187
26,T26,T26,Len Mattiace,59,"11' 5""",1746.0,153
27,T28,T28,Craig Barlow,77,"11' 4""",2109.917,186
28,T28,T28,Stewart Cink,93,"11' 4""",2750.333,243
29,T28,T28,Charles Howell III,96,"11' 4""",2372.417,209
30,T28,T28,Tom Lehman,70,"11' 4""",1442.6670000000001,127
31,T28,T28,Paul Stankowski,70,"11' 4""",1984.0829999999999,175
32,T28,T28,Dean Wilson,115,"11' 4""",3419.833,301
33,T34,T34,James Driscoll,80,"11' 3""",2368.75,210
34,T34,T34,Jeff Maggert,81,"11' 3""",2133.333,189
35,T34,T34,José María Olazábal,62,"11' 3""",1361.0829999999999,121
36,T34,T34,Tim Petrovic,95,"11' 3""",2488.667,222
37,T38,T38,Chad Campbell,91,"11' 2""",2168.583,194
38,T38,T38,J.J. Henry,96,"11' 2""",2606.0,233
39,T38,T38,Freddie Jacobson,56,"11' 2""",1910.8329999999999,171
40,T38,T38,Troy Matteson,101,"11' 2""",2665.25,238
41,T38,T38,Heath Slocum,96,"11' 2""",2723.083,243
42,T38,T38,Mike Sposa,68,"11' 2""",1835.3329999999999,164
43,T44,T44,Jonathan Byrd,66,"11' 1""",2079.0,188
44,T44,T44,K.J. Choi,93,"11' 1""",2580.5,233
45,T44,T44,"John Engler, Jr.",69,"11' 1""",1768.75,159
46,T44,T44,Brian Gay,107,"11' 1""",3581.333,324
47,T44,T44,Kent Jones,103,"11' 1""",3279.583,295
48,T44,T44,Vance Veazey,59,"11' 1""",1722.5,155
49,T44,T44,Duffy Waldorf,96,"11' 1""",2600.167,234
50,T51,T51,Briny Baird,81,"11' 0""",2557.417,232
51,T51,T51,Olin Browne,108,"11' 0""",2992.417,273
52,T51,T51,Jim Furyk,89,"11' 0""",2765.833,251
53,T51,T51,Nathan Green,108,"11' 0""",3377.583,308
54,T51,T51,Jerry Kelly,100,"11' 0""",2839.333,258
55,T51,T51,Geoff Ogilvy,76,"11' 0""",1760.3329999999999,160
56,T51,T51,Ryan Palmer,101,"11' 0""",2646.75,240
57,T51,T51,D.A. Points,82,"11' 0""",2301.167,209
58,T51,T51,Kevin Sutherland,100,"11' 0""",2757.0,250
59,T60,T60,Arjun Atwal,97,"10' 11""",2747.583,252
60,T60,T60,Marco Dawson,87,"10' 11""",2709.833,249
61,T60,T60,Todd Fischer,101,"10' 11""",3026.0,278
62,T60,T60,Steve Flesch,119,"10' 11""",3387.083,310
63,T60,T60,Mathias Grönberg,92,"10' 11""",2558.333,234
64,T60,T60,J.L. Lewis,57,"10' 11""",1345.5829999999999,123
65,T60,T60,Jon Mills,68,"10' 11""",1294.917,119
66,T60,T60,Arron Oberholser,82,"10' 11""",2265.083,207
67,T60,T60,Jerry Smith,94,"10' 11""",2926.833,269
68,T60,T60,Vaughn Taylor,88,"10' 11""",3121.083,285
69,T60,T60,Ron Whittaker,81,"10' 11""",2289.667,209
70,T71,T71,Carlos Franco,86,"10' 10""",2450.25,226
71,T71,T71,John Huston,74,"10' 10""",2068.583,191
72,T71,T71,Bernhard Langer,77,"10' 10""",2015.3329999999999,186
73,T71,T71,Stephen Leaney,84,"10' 10""",2710.5,251
74,T71,T71,Hunter Mahan,98,"10' 10""",3103.417,287
75,T71,T71,Shigeki Maruyama,94,"10' 10""",2825.5,260
76,T71,T71,Tjaart van der Walt,60,"10' 10""",1536.9170000000001,142
77,T71,T71,Tiger Woods,55,"10' 10""",1603.8329999999999,148
78,T79,T79,Zach Johnson,98,"10' 9""",2586.833,241
79,T79,T79,Steve Jones,83,"10' 9""",1971.1670000000001,183
80,T79,T79,Billy Mayfair,94,"10' 9""",2362.083,219
81,T79,T79,David Toms,76,"10' 9""",2310.833,215
82,T79,T79,D.J. Trahan,92,"10' 9""",2449.5,227
83,T84,T84,Danny Ellis,68,"10' 8""",1899.3329999999999,178
84,T84,T84,Bob Estes,85,"10' 8""",2468.5,232
85,T84,T84,J.B. Holmes,81,"10' 8""",2149.917,201
86,T84,T84,Carl Pettersson,95,"10' 8""",2472.75,231
87,T84,T84,John Senden,96,"10' 8""",2599.083,243
88,T89,T89,Billy Andrade,78,"10' 7""",1857.9170000000001,175
