,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
0,1,1,Brian Gay,107,7.77,831,107
1,2,2,Aaron Baddeley,78,7.76,590,76
2,3,3,Doug Barron,74,7.71,563,73
3,4,4,Daniel Chopra,110,7.64,817,107
4,5,5,Shigeki Maruyama,94,7.6,699,92
5,6,6,Nathan Green,108,7.58,788,104
6,T7,T7,Paul Azinger,87,7.51,653,87
7,T7,T7,Len Mattiace,59,7.51,443,59
8,9,9,J.P. Hayes,55,7.49,412,55
9,T10,T10,Mark O'Meara,52,7.48,374,50
10,T10,T10,Tom Pernice Jr.,108,7.48,778,104
11,12,12,Brad Faxon,78,7.46,582,78
12,13,13,Greg Chalmers,71,7.45,499,67
13,14,14,Michael Allen,84,7.44,625,84
14,T15,T15,David Howell,52,7.42,334,45
15,T15,T15,Joe Ogilvie,95,7.42,675,91
16,T15,T15,Steve Stricker,64,7.42,460,62
17,18,18,Vaughn Taylor,88,7.4,651,88
18,T19,T19,Stewart Cink,93,7.39,650,88
19,T19,T19,Chris Riley,86,7.39,606,82
20,21,21,Rod Pampling,89,7.38,620,84
21,22,22,Woody Austin,107,7.36,787,107
22,23,23,Harrison Frazar,95,7.34,668,91
23,24,24,Tag Ridings,103,7.33,733,100
24,25,25,David Duval,71,7.32,505,69
25,T26,T26,Alex Aragon,63,7.31,446,61
26,T26,T26,Ben Crane,85,7.31,585,80
27,T28,T28,John Huston,74,7.28,524,72
28,T28,T28,Scott Verplank,88,7.28,626,86
29,30,30,Shane Bertsch,104,7.27,742,102
30,31,31,Jesper Parnevik,84,7.26,610,84
31,T32,T32,Tim Clark,80,7.25,573,79
32,T32,T32,Luke Donald,66,7.25,457,63
33,T32,T32,Todd Fischer,101,7.25,718,99
34,35,35,Marco Dawson,87,7.24,630,87
35,36,36,Danny Ellis,68,7.23,463,64
36,37,37,Dean Wilson,115,7.22,801,111
37,38,38,Vijay Singh,103,7.21,721,100
38,T39,T39,John Daly,51,7.2,353,49
39,T39,T39,Padraig Harrington,54,7.2,360,50
40,T39,T39,Geoff Ogilvy,76,7.2,504,70
41,T39,T39,Carl Pettersson,95,7.2,670,93
42,T43,T43,Dudley Hart,83,7.19,597,83
43,T43,T43,Phil Mickelson,74,7.19,496,69
44,T43,T43,D.A. Points,82,7.19,575,80
45,T43,T43,Mike Weir,88,7.19,611,85
46,T47,T47,Eric Axley,91,7.18,639,89
47,T47,T47,Robert Damron,91,7.18,653,91
48,T47,T47,Freddie Jacobson,56,7.18,402,56
49,T47,T47,Ryan Moore,68,7.18,467,65
50,T47,T47,Rory Sabbatini,84,7.18,596,83
51,T47,T47,Kirk Triplett,58,7.18,402,56
52,53,53,Lee Janzen,79,7.16,566,79
53,T54,T54,Stuart Appleby,83,7.14,557,78
54,T54,T54,Steve Flesch,119,7.14,821,115
55,56,56,Stephen Leaney,84,7.13,599,84
56,57,57,David Toms,76,7.12,491,69
57,58,58,Nick Watney,97,7.11,675,95
58,T59,T59,Stephen Ames,63,7.1,440,62
59,T59,T59,Olin Browne,108,7.1,738,104
60,T61,T61,Tommy Armour III,65,7.09,461,65
61,T61,T61,John Cook,67,7.09,475,67
62,T61,T61,Brent Geiberger,99,7.09,688,97
63,T61,T61,Kent Jones,103,7.09,716,101
64,T61,T61,Tim Petrovic,95,7.09,645,91
65,T61,T61,Mike Sposa,68,7.09,461,65
66,T67,T67,Arjun Atwal,97,7.08,673,95
67,T67,T67,Jonathan Byrd,66,7.08,467,66
68,T67,T67,Mark Calcavecchia,94,7.08,658,93
69,T67,T67,Ryan Palmer,101,7.08,701,99
70,T71,T71,Todd Hamilton,72,7.07,509,72
71,T71,T71,J.L. Lewis,57,7.07,403,57
72,T71,T71,Brett Quigley,109,7.07,742,105
73,T74,T74,James Driscoll,80,7.06,565,80
74,T74,T74,Richard Johnson,94,7.06,664,94
75,T76,T76,Henrik Bjornstad,97,7.04,669,95
76,T76,T76,Frank Lickliter II,99,7.04,683,97
77,T76,T76,Tjaart van der Walt,60,7.04,401,57
78,T79,T79,Bernhard Langer,77,7.03,506,72
79,T79,T79,Vance Veazey,59,7.03,415,59
80,81,81,Jeff Sluman,101,7.02,709,101
81,T82,T82,Charley Hoffman,100,7.01,687,98
82,T82,T82,Skip Kendall,72,7.01,505,72
83,T82,T82,Justin Leonard,83,7.01,554,79
84,T82,T82,David McKenzie,82,7.01,561,80
85,T86,T86,Robert Allenby,79,7.0,539,77
86,T86,T86,Chris DiMarco,83,7.0,546,78
87,T86,T86,Ernie Els,69,7.0,448,64
88,T86,T86,Ryuji Imada,105,7.0,714,102
89,T86,T86,Davis Love III,85,7.0,532,76
90,T91,T91,Jason Gore,86,6.99,587,84
91,T91,T91,Greg Kraft,79,6.99,524,75
