,Putting_from_4-8_RANK THIS WEEK,Putting_from_4-8_RANK LAST WEEK,Putting_from_4-8_PLAYER NAME,Putting_from_4-8_ROUNDS,Putting_from_4-8_% MADE,Putting_from_4-8_ATTEMPTS,Putting_from_4-8_PUTTS MADE
0,1,1,Steve Stricker,64,78.53,191,150
1,2,2,Jim Furyk,89,77.02,235,181
2,3,3,Stewart Cink,93,76.63,291,223
3,4,4,Richard Johnson,94,75.07,365,274
4,5,5,Aaron Baddeley,78,74.82,282,211
5,6,6,Ryan Moore,68,74.73,281,210
6,7,7,David Howell,52,74.47,141,105
7,8,8,Brad Faxon,78,74.13,317,235
8,9,9,Harrison Frazar,95,74.02,331,245
9,10,10,K.J. Choi,93,73.82,317,234
10,11,11,Geoff Ogilvy,76,73.81,210,155
11,12,12,Padraig Harrington,54,73.68,171,126
12,13,13,Brett Quigley,109,73.54,393,289
13,14,14,Brian Bateman,69,73.44,241,177
14,15,15,Ryan Palmer,101,73.02,341,249
15,16,16,Billy Mayfair,94,72.93,314,229
16,17,17,Larry Mize,53,72.84,162,118
17,18,18,Tjaart van der Walt,60,72.69,227,165
18,19,19,Paul Azinger,87,72.65,340,247
19,20,20,Ben Crane,85,72.47,247,179
20,21,21,John Senden,96,72.34,329,238
21,22,22,Stephen Ames,63,72.2,205,148
22,23,23,Eric Axley,91,72.14,341,246
23,24,24,Brian Gay,107,72.09,412,297
24,T25,T25,Daniel Chopra,110,71.89,370,266
25,T25,T25,Dean Wilson,115,71.89,370,266
26,27,27,Freddie Jacobson,56,71.88,224,161
27,28,28,Robert Allenby,79,71.83,252,181
28,29,29,Ted Purdy,103,71.79,351,252
29,T30,T30,Tommy Armour III,65,71.67,233,167
30,T30,T30,Todd Fischer,101,71.67,353,253
31,32,32,Vance Veazey,59,71.6,243,174
32,33,33,Michael Allen,84,71.57,306,219
33,34,34,Rod Pampling,89,71.54,260,186
34,35,35,Ian Poulter,53,71.5,193,138
35,36,36,Tim Clark,80,71.43,273,195
36,37,37,Jon Mills,68,71.29,202,144
37,38,38,"John Engler, Jr.",69,71.21,264,188
38,39,39,Jason Gore,86,71.12,322,229
39,40,40,Hunter Mahan,98,71.07,401,285
40,41,41,Danny Ellis,68,71.04,259,184
41,42,42,Shaun Micheel,96,71.03,321,228
42,43,43,Skip Kendall,72,70.97,248,176
43,44,44,Jeff Brehaut,100,70.96,365,259
44,45,45,Greg Owen,79,70.93,258,183
45,46,46,Carl Pettersson,95,70.79,315,223
46,47,47,Olin Browne,108,70.77,366,259
47,48,48,Greg Chalmers,71,70.73,287,203
48,49,49,Jesper Parnevik,84,70.69,331,234
49,50,50,Joe Ogilvie,95,70.62,354,250
50,51,51,Kris Cox,83,70.52,346,244
51,52,52,Doug Barron,74,70.48,315,222
52,53,53,Phil Mickelson,74,70.41,196,138
53,54,54,Lucas Glover,105,70.39,385,271
54,55,55,Charles Howell III,96,70.31,320,225
55,56,56,J.J. Henry,96,70.25,279,196
56,57,57,Scott Verplank,88,70.23,262,184
57,58,58,Luke Donald,66,70.16,191,134
58,59,59,Nathan Green,108,70.15,402,282
59,60,60,Peter Lonard,77,70.03,287,201
60,61,61,David McKenzie,82,70.0,310,217
61,62,62,Bart Bryant,87,69.93,286,200
62,63,63,Fred Funk,106,69.92,379,265
63,64,64,Chris DiMarco,83,69.85,262,183
64,65,65,Ben Curtis,86,69.82,275,192
65,66,66,Bob Estes,85,69.81,308,215
66,T67,T67,Charley Hoffman,100,69.79,384,268
67,T67,T67,D.J. Trahan,92,69.79,331,231
68,69,69,Tag Ridings,103,69.77,387,270
69,70,70,Justin Leonard,83,69.7,264,184
70,T71,T71,Mike Sposa,68,69.69,287,200
71,T71,T71,Jimmy Walker,60,69.69,254,177
72,73,73,Bo Van Pelt,102,69.57,391,272
73,74,74,Tom Pernice Jr.,108,69.48,367,255
74,75,75,Shigeki Maruyama,94,69.44,373,259
75,76,76,Stuart Appleby,83,69.43,265,184
76,77,77,Brett Wetterich,82,69.33,326,226
77,78,78,Ron Whittaker,81,69.31,290,201
78,T79,T79,John Cook,67,69.27,218,151
79,T79,T79,Kent Jones,103,69.27,410,284
80,81,81,Mark O'Meara,52,69.18,159,110
81,82,82,Jeff Overton,95,68.95,380,262
82,83,83,J.L. Lewis,57,68.88,241,166
83,84,84,Steve Lowery,99,68.78,362,249
84,T85,T85,Jeff Maggert,81,68.77,317,218
85,T85,T85,D.A. Points,82,68.77,301,207
86,87,87,Chris Smith,67,68.62,239,164
87,88,88,Dudley Hart,83,68.59,277,190
88,89,89,Robert Damron,91,68.44,339,232
89,90,90,Greg Kraft,79,68.4,269,184
90,91,91,Marco Dawson,87,68.39,310,212
91,92,92,Nick Watney,97,68.38,351,240
92,93,93,Ryuji Imada,105,68.31,385,263
93,94,94,Mike Weir,88,68.21,302,206
94,95,95,Rory Sabbatini,84,68.2,305,208
95,96,96,Jeff Sluman,101,68.17,333,227
96,97,97,Bernhard Langer,77,68.15,248,169
97,98,98,Kevin Sutherland,100,68.12,367,250
98,T99,T99,Daisuke Maruyama,83,68.11,301,205
99,T99,T99,John Rollins,93,68.11,301,205
100,101,101,Ian Leggatt,80,68.08,307,209
101,102,102,Henrik Bjornstad,97,68.06,382,260
102,103,103,Troy Matteson,101,68.03,391,266
103,104,104,Jeff Gove,91,67.99,328,223
104,105,105,Corey Pavin,74,67.97,231,157
105,106,106,Ryan Hietala,61,67.96,206,140
106,107,107,Steve Flesch,119,67.93,421,286
107,T108,T108,Woody Austin,107,67.91,402,273
108,T108,T108,James Driscoll,80,67.91,349,237
109,110,110,J.B. Holmes,81,67.83,286,194
110,111,111,Davis Love III,85,67.82,261,177
111,112,112,David Duval,71,67.81,233,158
112,113,113,Ernie Els,69,67.79,208,141
113,114,114,Charles Warren,93,67.71,350,237
114,T115,T115,Will MacKenzie,91,67.66,337,228
115,T115,T115,Vaughn Taylor,88,67.66,337,228
116,117,117,Duffy Waldorf,96,67.61,318,215
117,118,118,Bill Haas,99,67.53,385,260
118,119,119,Patrick Sheehan,104,67.52,351,237
119,120,120,David Branshaw,98,67.48,326,220
120,T121,T121,Jason Bohn,104,67.46,378,255
121,T121,T121,Robert Gamez,94,67.46,378,255
122,T123,T123,Vijay Singh,103,67.45,341,230
123,T123,T123,Hidemichi Tanaka,74,67.45,255,172
124,125,125,Joey Sindelar,90,67.43,307,207
125,126,126,Frank Lickliter II,99,67.35,392,264
126,127,127,Mark Calcavecchia,94,67.28,382,257
127,128,128,Jerry Smith,94,67.27,330,222
128,129,129,Mark Brooks,90,67.24,293,197
129,130,130,Retief Goosen,68,67.14,213,143
130,T131,T131,Arron Oberholser,82,67.13,286,192
131,T131,T131,Mark Wilson,79,67.13,289,194
132,133,133,Trevor Immelman,86,67.12,292,196
133,134,134,Sean O'Hair,100,67.04,361,242
134,T135,T135,Chad Campbell,91,67.0,297,199
135,T135,T135,Brandt Jobe,91,67.0,300,201
136,137,137,Stephen Leaney,84,66.99,309,207
137,138,138,Arjun Atwal,97,66.86,350,234
138,139,139,J.P. Hayes,55,66.8,247,165
139,T140,T140,Steve Jones,83,66.67,282,188
140,T140,T140,Len Mattiace,59,66.67,219,146
141,T140,T140,José María Olazábal,62,66.67,144,96
142,T140,T140,Kirk Triplett,58,66.67,216,144
143,144,144,Joe Durant,101,66.59,437,291
144,T145,T145,Zach Johnson,98,66.56,308,205
145,T145,T145,Bubba Watson,83,66.56,320,213
146,147,147,Jason Schultz,77,66.42,265,176
147,T148,T148,Alex Aragon,63,66.4,247,164
148,T148,T148,David Toms,76,66.4,253,168
149,150,150,Jerry Kelly,100,66.38,345,229
150,151,151,Scott Gutschewski,53,66.32,190,126
151,152,152,Paul Goydos,72,66.31,279,185
152,153,153,Jonathan Byrd,66,66.25,240,159
153,154,154,Tiger Woods,55,66.24,157,104
154,155,155,Bob Tway,81,66.19,278,184
155,156,156,Mathias Grönberg,92,66.18,343,227
156,157,157,Matt Hansen,68,66.16,263,174
157,158,158,Pat Perez,50,66.06,221,146
158,159,159,Bubba Dickerson,98,65.96,379,250
159,160,160,Kenny Perry,73,65.87,252,166
160,161,161,Shane Bertsch,104,65.79,380,250
161,162,162,Michael Connell,51,65.76,184,121
162,163,163,Justin Rose,98,65.68,370,243
163,164,164,Paul Stankowski,70,65.66,265,174
164,165,165,Chris Couch,75,65.45,301,197
165,166,166,Tim Petrovic,95,65.17,356,232
166,167,167,"Wes Short, Jr.",96,64.98,414,269
167,168,168,Brent Geiberger,99,64.61,356,230
168,169,169,Tim Herron,82,64.54,282,182
169,T170,T170,Lee Janzen,79,64.44,284,183
170,T170,T170,Adam Scott,70,64.44,225,145
171,172,172,Craig Barlow,77,64.26,263,169
172,173,173,Todd Hamilton,72,64.12,262,168
173,T174,T174,John Daly,51,63.89,216,138
174,T174,T174,John Huston,74,63.89,288,184
175,176,176,Fred Couples,52,63.77,138,88
176,177,177,Briny Baird,81,63.7,292,186
177,178,178,Roger Tambellini,64,63.46,208,132
178,179,179,Nicholas Thompson,96,63.27,373,236
179,180,180,Brian Davis,92,63.24,370,234
180,181,181,Alex Cejka,93,63.17,353,223
181,182,182,Robert Garrigus,85,63.08,325,205
182,183,183,Sergio Garcia,59,63.07,176,111
183,184,184,Bob May,65,63.04,230,145
184,185,185,Thomas Levet,53,62.98,208,131
185,186,186,Billy Andrade,78,62.7,244,153
186,187,187,Rich Beem,85,62.64,265,166
187,188,188,Omar Uresti,61,62.56,219,137
188,189,189,Jonathan Kaye,95,62.54,339,212
189,190,190,Steve Elkington,52,62.43,189,118
190,191,191,Heath Slocum,96,62.39,335,209
191,192,192,Tom Lehman,70,62.14,206,128
192,193,193,Chris Riley,86,62.02,287,178
193,194,194,Camilo Villegas,95,61.86,333,206
194,195,195,Mathew Goggin,72,61.81,254,157
195,196,196,Carlos Franco,86,61.28,328,201
