,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Ben Crane,85,0.8490000000000001,51.778,61
1,2,2,Stewart Cink,93,0.789,57.589,73
2,3,3,Rod Pampling,89,0.759,49.332,65
3,4,4,Jim Furyk,89,0.743,50.538999999999994,68
4,5,5,Brad Faxon,78,0.726,53.012,73
5,6,6,Richard Johnson,94,0.725,61.593,85
6,7,7,Jesper Parnevik,84,0.6990000000000001,51.007,73
7,8,8,Dean Wilson,115,0.6609999999999999,61.488,93
8,9,9,Brett Quigley,109,0.642,60.365,94
9,10,10,David Howell,52,0.637,19.096,30
10,11,11,Steve Stricker,64,0.614,31.92,52
11,12,12,Aaron Baddeley,78,0.595,40.446,68
12,13,13,Daniel Chopra,110,0.585,52.636,90
13,14,14,Nathan Green,108,0.5770000000000001,54.263000000000005,94
14,15,15,Len Mattiace,59,0.556,28.89,52
15,16,16,Brian Gay,107,0.5479999999999999,54.848,100
16,17,17,Tom Pernice Jr.,108,0.541,47.062,87
17,18,18,Luke Donald,66,0.532,22.873,43
18,19,19,Geoff Ogilvy,76,0.473,24.601,52
19,20,20,Stephen Ames,63,0.462,20.307000000000002,44
20,21,21,Tiger Woods,55,0.461,17.042,37
21,22,22,Michael Allen,84,0.414,29.776999999999997,72
22,23,23,Mark O'Meara,52,0.413,14.864,36
23,24,24,José María Olazábal,62,0.375,14.64,39
24,25,25,Vaughn Taylor,88,0.366,28.148000000000003,77
25,26,26,Vance Veazey,59,0.364,19.654,54
26,27,27,Larry Mize,53,0.363,14.872,41
27,28,28,Carl Pettersson,95,0.361,27.089000000000002,75
28,29,29,Brent Geiberger,99,0.36,32.400999999999996,90
29,30,30,Stephen Leaney,84,0.34700000000000003,26.747,77
30,31,31,David Toms,76,0.33799999999999997,20.968000000000004,62
31,32,32,Tag Ridings,103,0.327,29.47,90
32,33,33,Freddie Jacobson,56,0.319,17.225,54
33,34,34,Paul Azinger,87,0.315,25.184,80
34,35,35,Bernhard Langer,77,0.3,17.698,59
35,36,36,Kent Jones,103,0.299,26.333000000000002,88
36,T37,T37,Todd Fischer,101,0.297,26.718000000000004,90
37,T37,T37,Ryan Moore,68,0.297,17.24,58
38,39,39,Mark Wilson,79,0.26899999999999996,19.349,72
39,40,40,Phil Mickelson,74,0.268,12.573,47
40,T41,T41,Greg Chalmers,71,0.266,15.18,57
41,T41,T41,Davis Love III,85,0.266,15.181,57
42,43,43,K.J. Choi,93,0.255,20.157,79
43,44,44,Olin Browne,108,0.248,21.314,86
44,45,45,David McKenzie,82,0.24600000000000002,16.942,69
45,46,46,Corey Pavin,74,0.226,12.863,57
46,47,47,Jimmy Walker,60,0.223,12.498,56
47,48,48,Jonathan Byrd,66,0.221,11.924000000000001,54
48,T49,T49,Stuart Appleby,83,0.22,14.100999999999999,64
49,T49,T49,Tim Clark,80,0.22,12.758,58
50,51,51,Marco Dawson,87,0.21899999999999997,16.896,77
51,T52,T52,Eric Axley,91,0.214,16.919,79
52,T52,T52,Danny Ellis,68,0.214,12.863,60
53,T52,T52,Harrison Frazar,95,0.214,16.032,75
54,55,55,J.J. Henry,96,0.196,15.112,77
55,56,56,Ian Poulter,53,0.19399999999999998,8.161,42
56,57,57,Arjun Atwal,97,0.19,15.575,82
57,58,58,Robert Allenby,79,0.188,11.272,60
58,T59,T59,Greg Kraft,79,0.18100000000000002,12.127,67
59,T59,T59,Chris Smith,67,0.18100000000000002,10.687999999999999,59
60,61,61,John Cook,67,0.18,9.876,55
61,62,62,Arron Oberholser,82,0.16699999999999998,10.380999999999998,62
62,63,63,Shigeki Maruyama,94,0.162,12.978,80
63,64,64,David Duval,71,0.157,8.331,53
64,65,65,Ted Purdy,103,0.145,11.622,80
65,66,66,Frank Lickliter II,99,0.14,11.865,85
66,T67,T67,Lucas Glover,105,0.138,11.844000000000001,86
67,T67,T67,Jeff Sluman,101,0.138,11.427,83
68,69,69,Shaun Micheel,96,0.133,10.399000000000001,78
69,70,70,Tommy Armour III,65,0.13,6.8629999999999995,53
70,71,71,Retief Goosen,68,0.129,5.912000000000001,46
71,72,72,Brandt Jobe,91,0.125,8.719,70
72,73,73,Charley Hoffman,100,0.12300000000000001,10.959000000000001,89
73,74,74,Chris Riley,86,0.122,8.408,69
74,75,75,Tim Petrovic,95,0.12,9.92,83
75,76,76,Charles Howell III,96,0.11,8.713,79
76,77,77,Steve Flesch,119,0.10800000000000001,11.104000000000001,103
77,78,78,Ron Whittaker,81,0.105,7.425,71
78,79,79,Billy Mayfair,94,0.10300000000000001,7.905,77
79,T80,T80,D.A. Points,82,0.102,7.274,71
80,T80,T80,John Rollins,93,0.102,7.766,76
81,82,82,Skip Kendall,72,0.1,5.915,59
82,83,83,Fred Funk,106,0.096,8.135,85
83,84,84,J.L. Lewis,57,0.086,4.2860000000000005,50
84,T85,T85,Doug Barron,74,0.084,5.604,67
85,T85,T85,Duffy Waldorf,96,0.084,6.867000000000001,82
86,T87,T87,Ryan Palmer,101,0.081,6.672000000000001,82
87,T87,T87,Scott Verplank,88,0.081,5.505,68
88,T89,T89,Shane Bertsch,104,0.077,6.901,90
89,T89,T89,Ben Curtis,86,0.077,5.126,67
90,91,91,Henrik Bjornstad,97,0.071,6.29,89
91,T92,T92,Jason Gore,86,0.065,4.715,72
92,T92,T92,Hunter Mahan,98,0.065,5.742999999999999,89
93,94,94,James Driscoll,80,0.064,4.8389999999999995,76
94,95,95,Kevin Sutherland,100,0.063,5.48,87
95,96,96,Jason Schultz,77,0.06,3.873,65
96,97,97,Kirk Triplett,58,0.059000000000000004,2.907,49
97,98,98,Trevor Immelman,86,0.057999999999999996,4.243,73
98,99,99,Vijay Singh,103,0.055,4.638,84
99,100,100,Bo Van Pelt,102,0.047,4.247,90
100,101,101,Zach Johnson,98,0.045,3.45,77
101,102,102,Tjaart van der Walt,60,0.043,2.251,52
102,103,103,J.P. Hayes,55,0.038,1.905,50
103,104,104,Chris DiMarco,83,0.033,2.0269999999999997,61
104,105,105,Ryuji Imada,105,0.032,2.77,87
105,106,106,Joe Ogilvie,95,0.023,1.8119999999999998,78
106,107,107,Brian Bateman,69,0.022000000000000002,1.2770000000000001,59
107,108,108,Bob Estes,85,0.017,1.307,75
108,109,109,Jerry Kelly,100,0.01,0.8390000000000001,84
109,110,110,Mike Sposa,68,0.002,0.096,58
110,111,111,"John Engler, Jr.",69,-0.001,-0.044000000000000004,63
111,112,112,Briny Baird,81,-0.005,-0.368,70
112,113,113,Ernie Els,69,-0.006999999999999999,-0.332,47
113,114,114,Alex Aragon,63,-0.011000000000000001,-0.615,54
114,T115,T115,Dudley Hart,83,-0.013999999999999999,-0.968,71
115,T115,T115,Troy Matteson,101,-0.013999999999999999,-1.213,88
116,117,117,Justin Rose,98,-0.021,-1.8019999999999998,86
117,118,118,Nick Watney,97,-0.022000000000000002,-1.923,86
118,119,119,Mike Weir,88,-0.035,-2.181,63
119,T120,T120,Ryan Hietala,61,-0.036000000000000004,-1.817,51
120,T120,T120,Steve Jones,83,-0.036000000000000004,-2.4530000000000003,69
121,122,122,Bob Tway,81,-0.047,-3.162,67
122,123,123,Justin Leonard,83,-0.051,-3.2960000000000003,65
123,124,124,John Senden,96,-0.053,-4.178999999999999,79
124,125,125,Jeff Overton,95,-0.057,-4.985,87
125,126,126,Jason Bohn,104,-0.07400000000000001,-6.558,89
126,127,127,Woody Austin,107,-0.078,-7.221,93
127,128,128,Rich Beem,85,-0.084,-5.435,65
128,129,129,Chad Campbell,91,-0.086,-5.749,67
129,130,130,Padraig Harrington,54,-0.092,-3.503,38
130,131,131,Hidemichi Tanaka,74,-0.099,-6.433,65
131,132,132,Tom Lehman,70,-0.109,-5.136,47
132,133,133,John Huston,74,-0.111,-7.225,65
133,134,134,Steve Lowery,99,-0.11800000000000001,-9.771,83
134,135,135,Sergio Garcia,59,-0.12300000000000001,-4.802,39
135,136,136,Adam Scott,70,-0.13,-6.607,51
136,137,137,Paul Stankowski,70,-0.134,-8.45,63
137,138,138,Kris Cox,83,-0.136,-9.812000000000001,72
138,139,139,Bart Bryant,87,-0.138,-9.828,71
139,140,140,Rory Sabbatini,84,-0.14400000000000002,-9.237,64
140,T141,T141,Jerry Smith,94,-0.161,-13.519,84
141,T141,T141,Brett Wetterich,82,-0.161,-11.749,73
142,143,143,Todd Hamilton,72,-0.16399999999999998,-9.195,56
143,144,144,Jeff Maggert,81,-0.168,-11.44,68
144,145,145,Sean O'Hair,100,-0.17,-12.908,76
145,146,146,Ian Leggatt,80,-0.172,-12.057,70
146,147,147,David Branshaw,98,-0.17300000000000001,-15.052,87
147,148,148,D.J. Trahan,92,-0.179,-13.622,76
148,149,149,Daisuke Maruyama,83,-0.182,-12.708,70
149,150,150,Jeff Brehaut,100,-0.184,-15.607999999999999,85
150,151,151,Robert Gamez,94,-0.19399999999999998,-15.875,82
