,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Simon Dyson,8,"81' 0""",World Golf Championships-American Express Championship,3,8
1,2,2,Nick Watney,97,"80' 2""",Shell Houston Open,4,11
2,3,3,Charl Schwartzel,28,"78' 9""",World Golf Championships-American Express Championship,3,18
3,4,4,Lee Westwood,42,"77' 11""",Bay Hill Invitational Presented by MasterCard,4,17
4,5,5,Bill Haas,99,"75' 1""",Canadian Open,2,5
5,6,6,Bernhard Langer,77,"74' 11""",Chrysler Classic of Greensboro,4,8
6,7,7,Steve Flesch,119,"74' 6""",BellSouth Classic,3,8
7,8,8,Woody Austin,107,"74' 3""",Buick Open,1,5
8,9,9,Jerry Kelly,100,"73' 3""",Sony Open in Hawaii,4,2
9,10,10,Brent Geiberger,99,"73' 2""",Booz Allen Classic,1,12
10,T11,11,Jay Haas,25,"71' 5""",the Memorial Tournament,4,12
11,T11,12,Pat Perez,50,"71' 5""",Reno-Tahoe Open,3,8
12,13,13,Brandt Jobe,91,"70' 10""",Bay Hill Invitational Presented by MasterCard,4,8
13,14,14,Chris Smith,67,"70' 9""",Shell Houston Open,4,18
14,15,15,Eric Axley,91,"70' 8""",Deutsche Bank Championship,2,13
15,16,16,David Branshaw,98,"70' 4""",Deutsche Bank Championship,2,1
16,17,17,Rod Pampling,89,"70' 1""",Chrysler Championship,2,15
17,18,18,Charles Howell III,96,"69' 5""",The Honda Classic,2,13
18,19,19,Fred Funk,106,"69' 3""",Bank of America Colonial,2,3
19,20,20,Shigeki Maruyama,94,"69' 0""",Deutsche Bank Championship,1,15
20,21,21,Jerry Smith,94,"68' 3""",The Honda Classic,2,1
21,T22,22,Charley Hoffman,100,"67' 3""",Shell Houston Open,4,5
22,T22,23,John Senden,96,"67' 3""",Cialis Western Open,4,3
23,T22,24,J.B. Holmes,81,"67' 3""",Buick Open,1,7
24,T25,26,Kent Jones,103,"67' 1""",FedEx St. Jude Classic,1,14
25,T25,25,Aaron Baddeley,78,"67' 1""",FBR Open,2,3
26,27,27,Mathew Goggin,72,"66' 8""",Buick Open,2,6
27,28,28,Troy Matteson,101,"66' 6""",Reno-Tahoe Open,1,4
28,29,29,Jeff Brehaut,100,"66' 1""",BellSouth Classic,1,4
29,30,30,Sergio Garcia,59,"66' 0""",Bay Hill Invitational Presented by MasterCard,2,7
30,31,21,Jerry Smith,94,"65' 7""",84 LUMBER Classic,1,2
31,32,32,David Duval,71,"65' 3""",Wachovia Championship,2,15
32,33,33,Joey Sindelar,90,"65' 0""",Wachovia Championship,4,12
33,T34,35,Larry Mize,53,"64' 10""",BellSouth Classic,2,9
34,T34,34,Justin Rose,98,"64' 10""",Nissan Open,4,18
35,T34,36,Michael Connell,51,"64' 10""",Deutsche Bank Championship,1,12
36,37,37,Daniel Chopra,110,"64' 8""",Ford Championship at Doral,3,18
37,38,38,Jonathan Byrd,66,"64' 3""",BellSouth Classic,2,17
38,T39,33,Joey Sindelar,90,"63' 9""",Frys.com Open,4,17
39,T39,39,Richard Johnson,94,"63' 9""",EDS Byron Nelson Championship,3,17
40,41,9,Jerry Kelly,100,"63' 8""",Valero Texas Open,1,14
41,42,42,Scott Verplank,88,"63' 3""",Buick Open,3,17
42,43,43,Brett Quigley,109,"63' 2""",Chrysler Classic of Greensboro,3,13
43,44,44,"Wes Short, Jr.",96,"62' 8""",FBR Open,2,17
44,45,45,Tom Pernice Jr.,108,"62' 7""",Canadian Open,1,8
45,46,46,Corey Pavin,74,"62' 2""",Booz Allen Classic,2,8
46,T47,48,J.P. Hayes,55,"62' 1""",Valero Texas Open,2,14
47,T47,47,K.J. Choi,93,"62' 1""",Bank of America Colonial,4,4
