,2-Putts_per_Round_RANK THIS WEEK,2-Putts_per_Round_RANK LAST WEEK,2-Putts_per_Round_PLAYER NAME,2-Putts_per_Round_ROUNDS,2-Putts_per_Round_AVG,2-Putts_per_Round_TOTAL 2 PUTTS,2-Putts_per_Round_TOTAL ROUNDS
0,1,1,Bart Bryant,87,11.09,954,86
1,2,2,Kenny Perry,73,11.01,793,72
2,3,3,Jeff Gove,91,11.0,957,87
3,4,4,Tom Lehman,70,10.95,657,60
4,5,5,Heath Slocum,96,10.9,1014,93
5,6,6,J.J. Henry,96,10.89,1013,93
6,7,7,John Senden,96,10.86,1010,93
7,8,8,Shaun Micheel,96,10.85,1009,93
8,9,9,Chris Smith,67,10.84,726,67
9,T10,T10,Chris Couch,75,10.75,806,75
10,T10,T10,Scott Gutschewski,53,10.75,548,51
11,T10,T10,Will MacKenzie,91,10.75,946,88
12,T10,T10,Ron Whittaker,81,10.75,849,79
13,T14,T14,Brandt Jobe,91,10.72,943,88
14,T14,T14,Jonathan Kaye,95,10.72,986,92
15,T14,T14,Joey Sindelar,90,10.72,965,90
16,17,17,Jon Mills,68,10.71,707,66
17,18,18,Charles Howell III,96,10.69,994,93
18,19,19,K.J. Choi,93,10.68,983,92
19,20,20,Joe Durant,101,10.67,1078,101
20,21,21,Roger Tambellini,64,10.66,650,61
21,22,22,Bob May,65,10.65,660,62
22,T23,T23,Briny Baird,81,10.64,819,77
23,T23,T23,Mathew Goggin,72,10.64,745,70
24,T23,T23,Duffy Waldorf,96,10.64,979,92
25,26,26,Zach Johnson,98,10.63,935,88
26,27,27,Mark Brooks,90,10.62,945,89
27,T28,T28,Sergio Garcia,59,10.6,583,55
28,T28,T28,Kevin Sutherland,100,10.6,1018,96
29,T30,T30,Jeff Maggert,81,10.59,858,81
30,T30,T30,Charles Warren,93,10.59,953,90
31,32,32,Arron Oberholser,82,10.58,836,79
32,T33,T33,David Branshaw,98,10.57,1036,98
33,T33,T33,Steve Elkington,52,10.57,539,51
34,T35,T35,Alex Cejka,93,10.56,961,91
35,T35,T35,Ben Curtis,86,10.56,908,86
36,37,37,Craig Barlow,77,10.55,770,73
37,38,38,Jeff Brehaut,100,10.54,1012,96
38,39,39,Paul Stankowski,70,10.53,737,70
39,T40,T40,Trevor Immelman,86,10.51,904,86
40,T40,T40,Troy Matteson,101,10.51,1062,101
41,42,42,Ted Purdy,103,10.5,1060,101
42,T43,T43,Ryan Hietala,61,10.49,619,59
43,T43,T43,Jason Schultz,77,10.49,787,75
44,T43,T43,Bubba Watson,83,10.49,829,79
45,T46,T46,Bob Estes,85,10.47,890,85
46,T46,T46,Ian Leggatt,80,10.47,796,76
47,T46,T46,Thomas Levet,53,10.47,534,51
48,T46,T46,Larry Mize,53,10.47,534,51
49,T50,T50,Michael Connell,51,10.46,502,48
50,T50,T50,Mathias Grönberg,92,10.46,931,89
51,T50,T50,Billy Mayfair,94,10.46,983,94
52,T50,T50,Brett Wetterich,82,10.46,858,82
53,54,54,Rich Beem,85,10.45,867,83
54,T55,T55,Jim Furyk,89,10.44,919,88
55,T55,T55,John Rollins,93,10.44,950,91
56,T55,T55,Nicholas Thompson,96,10.44,971,93
57,T55,T55,Vance Veazey,59,10.44,616,59
58,T59,T59,Chad Campbell,91,10.43,907,87
59,T59,T59,Hunter Mahan,98,10.43,1022,98
60,T59,T59,Jimmy Walker,60,10.43,605,58
61,T62,T62,"John Engler, Jr.",69,10.42,698,67
62,T62,T62,Carlos Franco,86,10.42,896,86
63,T62,T62,Greg Owen,79,10.42,802,77
64,T62,T62,Hidemichi Tanaka,74,10.42,761,73
65,T66,T66,José María Olazábal,62,10.41,604,58
66,T66,T66,Omar Uresti,61,10.41,614,59
67,T68,T68,Bubba Dickerson,98,10.4,998,96
68,T68,T68,Fred Funk,106,10.4,1092,105
69,T68,T68,Tim Herron,82,10.4,842,81
70,T68,T68,Richard Johnson,94,10.4,978,94
71,T68,T68,Skip Kendall,72,10.4,749,72
72,T68,T68,Steve Lowery,99,10.4,1009,97
73,T68,T68,Tiger Woods,55,10.4,541,52
74,T75,T75,Fred Couples,52,10.38,519,50
75,T75,T75,Lucas Glover,105,10.38,1048,101
76,T75,T75,Peter Lonard,77,10.38,789,76
77,78,78,Brian Bateman,69,10.37,674,65
78,79,79,Jerry Kelly,100,10.36,1036,100
79,80,80,Bill Haas,99,10.35,994,96
80,81,81,Sean O'Hair,100,10.34,1013,98
81,T82,T82,Bob Tway,81,10.33,806,78
82,T82,T82,Mark Wilson,79,10.33,785,76
83,T84,T84,Jason Bohn,104,10.32,1073,104
84,T84,T84,Chris DiMarco,83,10.32,805,78
85,T84,T84,Retief Goosen,68,10.32,619,60
86,T84,T84,Greg Kraft,79,10.32,774,75
87,T84,T84,Daisuke Maruyama,83,10.32,815,79
88,T84,T84,Justin Rose,98,10.32,980,95
89,T90,T90,Robert Allenby,79,10.31,794,77
90,T90,T90,Ian Poulter,53,10.31,536,52
91,T92,T92,Ernie Els,69,10.3,659,64
92,T92,T92,Ryuji Imada,105,10.3,1051,102
93,T92,T92,Stephen Leaney,84,10.3,865,84
94,T92,T92,Justin Leonard,83,10.3,814,79
95,T92,T92,Jeff Sluman,101,10.3,1040,101
96,T97,T97,Jeff Overton,95,10.29,957,93
97,T97,T97,Jesper Parnevik,84,10.29,864,84
98,T99,T99,Kris Cox,83,10.28,833,81
99,T99,T99,Steve Jones,83,10.28,843,82
100,T99,T99,Patrick Sheehan,104,10.28,1028,100
101,T102,T102,Billy Andrade,78,10.26,759,74
102,T102,T102,Frank Lickliter II,99,10.26,995,97
103,104,104,David McKenzie,82,10.25,820,80
104,T105,T105,Brent Geiberger,99,10.24,993,97
105,T105,T105,Paul Goydos,72,10.24,737,72
106,T105,T105,Bernhard Langer,77,10.24,737,72
107,T105,T105,Brett Quigley,109,10.24,1075,105
108,109,109,Phil Mickelson,74,10.23,706,69
109,T110,T110,Bo Van Pelt,102,10.22,1042,102
110,T110,T110,Camilo Villegas,95,10.22,950,93
111,T112,T112,Eric Axley,91,10.21,909,89
112,T112,T112,Henrik Bjornstad,97,10.21,970,95
113,T112,T112,Robert Gamez,94,10.21,960,94
114,T112,T112,Davis Love III,85,10.21,776,76
115,116,116,Corey Pavin,74,10.2,714,70
116,T117,T117,Robert Garrigus,85,10.19,846,83
117,T117,T117,Charley Hoffman,100,10.19,999,98
118,T117,T117,D.J. Trahan,92,10.19,917,90
119,T120,T120,Stephen Ames,63,10.18,631,62
120,T120,T120,Tommy Armour III,65,10.18,662,65
121,T120,T120,Jerry Smith,94,10.18,937,92
122,T123,T123,John Cook,67,10.15,680,67
123,T123,T123,Steve Flesch,119,10.15,1167,115
124,T123,T123,Kent Jones,103,10.15,1025,101
125,T123,T123,Ryan Moore,68,10.15,660,65
126,127,127,Tjaart van der Walt,60,10.14,578,57
