,Putting_from_4_RANK THIS WEEK,Putting_from_4_RANK LAST WEEK,Putting_from_4_PLAYER NAME,Putting_from_4_ROUNDS,Putting_from_4_% MADE,Putting_from_4_ATTEMPTS,Putting_from_4_PUTTS MADE
0,1,1,Stephen Ames,63,98.82,85,84
1,2,2,Tiger Woods,55,98.51,67,66
2,3,3,Ryan Palmer,101,97.14,175,170
3,4,4,Jimmy Walker,60,97.12,104,101
4,5,5,Ryan Moore,68,96.88,128,124
5,6,6,Jesper Parnevik,84,96.62,148,143
6,7,7,Trevor Immelman,86,96.05,152,146
7,8,8,Richard Johnson,94,95.98,174,167
8,9,9,Geoff Ogilvy,76,95.97,124,119
9,10,10,Stewart Cink,93,95.83,120,115
10,11,11,J.J. Henry,96,95.74,141,135
11,12,12,Phil Mickelson,74,95.56,90,86
12,13,13,Robert Allenby,79,95.42,131,125
13,14,14,Zach Johnson,98,95.24,147,140
14,15,15,John Cook,67,95.0,100,95
15,16,16,Danny Ellis,68,94.92,118,112
16,17,17,Fred Funk,106,94.85,194,184
17,18,18,Paul Azinger,87,94.74,152,144
18,T19,T19,Nathan Green,108,94.69,226,214
19,T19,T19,J.L. Lewis,57,94.69,113,107
20,21,21,Ben Curtis,86,94.56,147,139
21,22,22,K.J. Choi,93,94.51,164,155
22,T23,T23,Harrison Frazar,95,94.48,163,154
23,T23,T23,Shigeki Maruyama,94,94.48,145,137
24,25,25,Rory Sabbatini,84,94.27,157,148
25,26,26,Jason Schultz,77,94.24,139,131
26,27,27,J.P. Hayes,55,94.23,104,98
27,T28,T28,Scott Gutschewski,53,94.17,103,97
28,T28,T28,Steve Stricker,64,94.17,103,97
29,30,30,Brian Gay,107,94.12,187,176
30,31,31,Brandt Jobe,91,94.08,152,143
31,32,32,Brent Geiberger,99,94.05,168,158
32,33,33,David Howell,52,93.94,66,62
33,34,34,Stephen Leaney,84,93.89,131,123
34,35,35,Bart Bryant,87,93.84,146,137
35,36,36,Ben Crane,85,93.83,162,152
36,37,37,Daisuke Maruyama,83,93.75,128,120
37,38,38,Kris Cox,83,93.71,159,149
38,T39,T39,Heath Slocum,96,93.64,173,162
39,T39,T39,Paul Stankowski,70,93.64,110,103
40,41,41,David Branshaw,98,93.51,154,144
41,42,42,Shane Bertsch,104,93.44,183,171
42,43,43,Bill Haas,99,93.43,198,185
43,44,44,Steve Jones,83,93.41,167,156
44,45,45,Brett Quigley,109,93.16,190,177
45,T46,T46,Michael Allen,84,93.15,146,136
46,T46,T46,Sergio Garcia,59,93.15,73,68
47,48,48,John Daly,51,93.1,87,81
48,49,49,Charles Warren,93,93.06,144,134
49,50,50,John Rollins,93,93.04,158,147
50,51,51,Lucas Glover,105,92.98,171,159
51,52,52,Bernhard Langer,77,92.92,113,105
52,T53,T53,Larry Mize,53,92.86,70,65
53,T53,T53,Mark O'Meara,52,92.86,70,65
54,T53,T53,Scott Verplank,88,92.86,126,117
55,56,56,Brian Bateman,69,92.8,125,116
56,57,57,Sean O'Hair,100,92.78,180,167
57,58,58,Mathias Grönberg,92,92.74,179,166
58,59,59,Bubba Watson,83,92.62,122,113
59,T60,T60,Marco Dawson,87,92.57,148,137
60,T60,T60,Shaun Micheel,96,92.57,175,162
61,T60,T60,Duffy Waldorf,96,92.57,175,162
62,T63,T63,Doug Barron,74,92.54,134,124
63,T63,T63,Justin Leonard,83,92.54,134,124
64,65,65,Vijay Singh,103,92.49,173,160
65,66,66,Henrik Bjornstad,97,92.48,226,209
66,67,67,Ernie Els,69,92.47,93,86
67,68,68,Ryan Hietala,61,92.45,106,98
68,69,69,Jeff Maggert,81,92.41,158,146
69,70,70,Todd Fischer,101,92.35,170,157
70,T71,T71,Jonathan Byrd,66,92.31,130,120
71,T71,T71,José María Olazábal,62,92.31,78,72
72,T71,T71,Ian Poulter,53,92.31,104,96
73,74,74,Greg Chalmers,71,92.24,116,107
74,75,75,Luke Donald,66,92.21,77,71
75,76,76,Daniel Chopra,110,92.18,179,165
76,77,77,Arron Oberholser,82,92.14,140,129
77,78,78,Carl Pettersson,95,92.11,152,140
78,79,79,Retief Goosen,68,91.95,87,80
79,80,80,Vaughn Taylor,88,91.93,161,148
80,81,81,Chad Campbell,91,91.91,136,125
81,82,82,Mark Calcavecchia,94,91.89,185,170
82,83,83,Chris Smith,67,91.8,122,112
83,T84,T84,Kenny Perry,73,91.74,121,111
84,T84,T84,Vance Veazey,59,91.74,121,111
85,T86,T86,Aaron Baddeley,78,91.73,133,122
86,T86,T86,Mike Sposa,68,91.73,133,122
87,T88,T88,John Huston,74,91.67,156,143
88,T88,T88,Freddie Jacobson,56,91.67,120,110
89,T88,T88,Mike Weir,88,91.67,108,99
90,91,91,Tag Ridings,103,91.62,191,175
91,92,92,Brian Davis,92,91.57,166,152
92,93,93,Briny Baird,81,91.47,129,118
93,94,94,Kevin Sutherland,100,91.38,174,159
94,95,95,Brad Faxon,78,91.34,127,116
95,96,96,Jason Bohn,104,91.3,161,147
96,97,97,Jeff Brehaut,100,91.26,183,167
97,98,98,Stuart Appleby,83,91.25,160,146
98,99,99,Todd Hamilton,72,91.2,125,114
99,100,100,David Duval,71,91.18,102,93
100,101,101,Bob Tway,81,91.15,113,103
101,102,102,Dudley Hart,83,91.14,158,144
102,103,103,Rod Pampling,89,91.13,124,113
103,104,104,Hunter Mahan,98,91.12,169,154
104,105,105,Bo Van Pelt,102,91.08,213,194
105,106,106,Troy Matteson,101,91.05,190,173
106,107,107,David Toms,76,91.03,145,132
107,T108,T108,Jason Gore,86,91.02,167,152
108,T108,T108,Tom Pernice Jr.,108,91.02,167,152
109,110,110,Dean Wilson,115,90.95,199,181
110,T111,T111,Ryuji Imada,105,90.91,176,160
111,T111,T111,D.A. Points,82,90.91,143,130
112,T111,T111,Ron Whittaker,81,90.91,165,150
113,114,114,Justin Rose,98,90.86,186,169
114,T115,T115,Jerry Kelly,100,90.85,164,149
115,T115,T115,Billy Mayfair,94,90.85,164,149
116,117,117,Greg Kraft,79,90.83,120,109
117,118,118,Jeff Sluman,101,90.73,151,137
118,119,119,Woody Austin,107,90.72,194,176
119,T120,T120,Rich Beem,85,90.7,129,117
120,T120,T120,Jonathan Kaye,95,90.7,172,156
121,122,122,Ian Leggatt,80,90.68,118,107
122,123,123,Olin Browne,108,90.66,182,165
123,124,124,Tom Lehman,70,90.59,85,77
124,125,125,Charley Hoffman,100,90.57,159,144
125,126,126,Brett Wetterich,82,90.54,148,134
126,127,127,Steve Elkington,52,90.52,116,105
127,128,128,Hidemichi Tanaka,74,90.45,157,142
128,129,129,Patrick Sheehan,104,90.42,167,151
129,130,130,David McKenzie,82,90.4,125,113
130,T131,T131,Chris Couch,75,90.28,144,130
131,T131,T131,"John Engler, Jr.",69,90.28,144,130
132,133,133,Joe Ogilvie,95,90.26,154,139
133,134,134,Padraig Harrington,54,90.24,82,74
134,135,135,Frank Lickliter II,99,90.17,173,156
135,136,136,Fred Couples,52,90.16,61,55
