,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Brian Gay,107,43.15,831,1926
1,2,2,Aaron Baddeley,78,43.13,590,1368
2,3,3,Doug Barron,74,42.85,563,1314
3,4,4,Daniel Chopra,110,42.42,817,1926
4,5,5,Shigeki Maruyama,94,42.21,699,1656
5,6,6,Nathan Green,108,42.09,788,1872
6,7,7,Len Mattiace,59,41.71,443,1062
7,8,8,Paul Azinger,87,41.7,653,1566
8,9,9,J.P. Hayes,55,41.62,412,990
9,T10,T10,Mark O'Meara,52,41.56,374,900
10,T10,T10,Tom Pernice Jr.,108,41.56,778,1872
11,12,12,Brad Faxon,78,41.45,582,1404
12,13,13,Greg Chalmers,71,41.38,499,1206
13,14,14,Michael Allen,84,41.34,625,1512
14,15,15,David Howell,52,41.23,334,810
15,16,16,Steve Stricker,64,41.22,460,1116
16,17,17,Joe Ogilvie,95,41.21,675,1638
17,18,18,Vaughn Taylor,88,41.1,651,1584
18,19,19,Chris Riley,86,41.06,606,1476
19,20,20,Stewart Cink,93,41.04,650,1584
20,21,21,Rod Pampling,89,41.01,620,1512
21,22,22,Woody Austin,107,40.86,787,1926
22,23,23,Harrison Frazar,95,40.78,668,1638
23,24,24,Tag Ridings,103,40.72,733,1800
24,25,25,David Duval,71,40.66,505,1242
25,26,26,Ben Crane,85,40.63,585,1440
26,27,27,Alex Aragon,63,40.62,446,1098
27,28,28,Scott Verplank,88,40.44,626,1548
28,29,29,John Huston,74,40.43,524,1296
29,30,30,Shane Bertsch,104,40.41,742,1836
30,31,31,Jesper Parnevik,84,40.34,610,1512
31,T32,T32,Tim Clark,80,40.3,573,1422
32,T32,T32,Luke Donald,66,40.3,457,1134
33,34,34,Todd Fischer,101,40.29,718,1782
34,35,35,Marco Dawson,87,40.23,630,1566
35,36,36,Danny Ellis,68,40.19,463,1152
36,37,37,Dean Wilson,115,40.09,801,1998
37,38,38,Vijay Singh,103,40.06,721,1800
38,T39,T39,John Daly,51,40.02,353,882
39,T39,T39,Carl Pettersson,95,40.02,670,1674
40,T41,T41,Padraig Harrington,54,40.0,360,900
41,T41,T41,Geoff Ogilvy,76,40.0,504,1260
42,43,43,Dudley Hart,83,39.96,597,1494
43,44,44,Phil Mickelson,74,39.94,496,1242
44,T45,T45,D.A. Points,82,39.93,575,1440
45,T45,T45,Mike Weir,88,39.93,611,1530
46,47,47,Ryan Moore,68,39.91,467,1170
47,T48,T48,Eric Axley,91,39.89,639,1602
48,T48,T48,Rory Sabbatini,84,39.89,596,1494
49,T50,T50,Freddie Jacobson,56,39.88,402,1008
50,T50,T50,Kirk Triplett,58,39.88,402,1008
51,52,52,Robert Damron,91,39.87,653,1638
52,53,53,Lee Janzen,79,39.8,566,1422
53,54,54,Stuart Appleby,83,39.67,557,1404
54,55,55,Steve Flesch,119,39.66,821,2070
55,56,56,Stephen Leaney,84,39.62,599,1512
56,57,57,David Toms,76,39.53,491,1242
57,58,58,Nick Watney,97,39.47,675,1710
58,59,59,Stephen Ames,63,39.43,440,1116
59,60,60,Olin Browne,108,39.42,738,1872
60,T61,T61,Tommy Armour III,65,39.4,461,1170
61,T61,T61,Brent Geiberger,99,39.4,688,1746
62,T61,T61,Mike Sposa,68,39.4,461,1170
63,64,64,John Cook,67,39.39,475,1206
64,T65,T65,Kent Jones,103,39.38,716,1818
65,T65,T65,Tim Petrovic,95,39.38,645,1638
66,67,67,Arjun Atwal,97,39.36,673,1710
67,68,68,Ryan Palmer,101,39.34,701,1782
68,T69,T69,Jonathan Byrd,66,39.31,467,1188
69,T69,T69,Mark Calcavecchia,94,39.31,658,1674
70,71,71,J.L. Lewis,57,39.28,403,1026
71,72,72,Todd Hamilton,72,39.27,509,1296
72,73,73,Brett Quigley,109,39.26,742,1890
73,T74,T74,James Driscoll,80,39.24,565,1440
74,T74,T74,Richard Johnson,94,39.24,664,1692
75,T76,T76,Henrik Bjornstad,97,39.12,669,1710
76,T76,T76,Frank Lickliter II,99,39.12,683,1746
77,T78,T78,Tjaart van der Walt,60,39.08,401,1026
78,T78,T78,Vance Veazey,59,39.08,415,1062
79,80,80,Bernhard Langer,77,39.04,506,1296
80,81,81,Jeff Sluman,101,39.0,709,1818
81,82,82,Skip Kendall,72,38.97,505,1296
82,T83,T83,Justin Leonard,83,38.96,554,1422
83,T83,T83,David McKenzie,82,38.96,561,1440
84,85,85,Charley Hoffman,100,38.95,687,1764
85,T86,T86,Robert Allenby,79,38.89,539,1386
86,T86,T86,Chris DiMarco,83,38.89,546,1404
87,T86,T86,Ernie Els,69,38.89,448,1152
88,T86,T86,Ryuji Imada,105,38.89,714,1836
89,T86,T86,Davis Love III,85,38.89,532,1368
90,T91,T91,Jason Gore,86,38.82,587,1512
91,T91,T91,Bob Tway,81,38.82,545,1404
92,93,93,Greg Kraft,79,38.81,524,1350
93,94,94,Retief Goosen,68,38.8,419,1080
94,95,95,Jimmy Walker,60,38.79,405,1044
95,96,96,Justin Rose,98,38.77,663,1710
96,97,97,Jim Furyk,89,38.76,614,1584
97,98,98,Mark Wilson,79,38.74,530,1368
98,99,99,Corey Pavin,74,38.73,488,1260
99,100,100,Ian Poulter,53,38.68,362,936
100,101,101,Billy Andrade,78,38.66,515,1332
101,102,102,Jerry Smith,94,38.65,640,1656
102,103,103,Larry Mize,53,38.56,354,918
103,104,104,Jeff Overton,95,38.53,645,1674
104,105,105,Brian Davis,92,38.52,624,1620
105,106,106,Patrick Sheehan,104,38.5,693,1800
106,107,107,Bill Haas,99,38.48,665,1728
107,108,108,Camilo Villegas,95,38.47,644,1674
108,109,109,José María Olazábal,62,38.41,401,1044
109,110,110,Robert Gamez,94,38.36,649,1692
110,111,111,Pat Perez,50,38.33,345,900
111,T112,T112,"Wes Short, Jr.",96,38.24,647,1692
112,T112,T112,Bo Van Pelt,102,38.24,702,1836
113,114,114,Fred Funk,106,38.15,721,1890
114,115,115,Steve Jones,83,38.14,563,1476
115,116,116,Kris Cox,83,38.13,556,1458
116,117,117,Paul Goydos,72,38.12,494,1296
117,118,118,Hidemichi Tanaka,74,38.05,500,1314
118,119,119,Bob Estes,85,38.04,582,1530
119,120,120,D.J. Trahan,92,38.02,616,1620
120,121,121,Lucas Glover,105,38.01,691,1818
121,122,122,Steve Lowery,99,37.97,663,1746
122,123,123,"John Engler, Jr.",69,37.89,457,1206
123,124,124,Adam Scott,70,37.83,463,1224
124,125,125,J.B. Holmes,81,37.81,524,1386
125,126,126,Trevor Immelman,86,37.79,585,1548
126,127,127,Ryan Hietala,61,37.76,401,1062
127,128,128,John Rollins,93,37.73,618,1638
128,T129,T129,Jerry Kelly,100,37.72,679,1800
129,T129,T129,Ian Leggatt,80,37.72,516,1368
130,131,131,Tiger Woods,55,37.71,353,936
131,T132,T132,Jason Bohn,104,37.66,705,1872
132,T132,T132,Ben Curtis,86,37.66,583,1548
133,134,134,Zach Johnson,98,37.63,596,1584
134,135,135,Sean O'Hair,100,37.59,663,1764
135,136,136,Peter Lonard,77,37.57,514,1368
136,137,137,Daisuke Maruyama,83,37.55,534,1422
137,138,138,Tim Herron,82,37.52,547,1458
138,139,139,Jason Schultz,77,37.48,506,1350
139,140,140,Billy Mayfair,94,37.41,633,1692
140,141,141,Brett Wetterich,82,37.4,552,1476
141,142,142,Chad Campbell,91,37.36,585,1566
142,143,143,Robert Garrigus,85,37.35,558,1494
143,144,144,Arron Oberholser,82,37.34,531,1422
144,145,145,Mark Brooks,90,37.27,597,1602
145,146,146,Brian Bateman,69,37.26,436,1170
146,147,147,Bubba Watson,83,37.2,529,1422
147,148,148,Omar Uresti,61,37.19,395,1062
148,149,149,Bubba Dickerson,98,37.15,642,1728
149,150,150,Matt Hansen,68,37.12,441,1188
150,151,151,Rich Beem,85,37.08,554,1494
151,152,152,Kevin Sutherland,100,37.04,640,1728
152,153,153,Greg Owen,79,37.01,513,1386
153,154,154,Jeff Brehaut,100,36.98,639,1728
154,155,155,Hunter Mahan,98,36.96,652,1764
155,156,156,Troy Matteson,101,36.91,671,1818
156,157,157,Duffy Waldorf,96,36.9,611,1656
157,158,158,Alex Cejka,93,36.87,604,1638
158,159,159,Mathias Grönberg,92,36.83,590,1602
159,160,160,David Branshaw,98,36.79,649,1764
160,161,161,Ron Whittaker,81,36.71,522,1422
161,162,162,Paul Stankowski,70,36.67,462,1260
162,163,163,Joe Durant,101,36.58,665,1818
163,164,164,K.J. Choi,93,36.53,605,1656
164,165,165,Scott Gutschewski,53,36.49,335,918
165,166,166,Shaun Micheel,96,36.44,610,1674
166,167,167,Craig Barlow,77,36.38,478,1314
167,168,168,Bob May,65,36.29,405,1116
168,169,169,Jeff Maggert,81,36.28,529,1458
169,170,170,Carlos Franco,86,36.24,561,1548
170,171,171,Michael Connell,51,36.23,313,864
171,172,172,Briny Baird,81,36.22,502,1386
172,173,173,Joey Sindelar,90,36.17,586,1620
173,T174,T174,Fred Couples,52,36.11,325,900
174,T174,T174,Brandt Jobe,91,36.11,572,1584
175,176,176,Ted Purdy,103,36.08,656,1818
176,177,177,Charles Warren,93,35.93,582,1620
177,178,178,Sergio Garcia,59,35.86,355,990
178,179,179,Steve Elkington,52,35.84,329,918
179,180,180,Charles Howell III,96,35.78,599,1674
180,181,181,Jon Mills,68,35.77,425,1188
181,182,182,Thomas Levet,53,35.62,327,918
182,183,183,Nicholas Thompson,96,35.54,595,1674
183,184,184,Heath Slocum,96,35.48,594,1674
184,185,185,J.J. Henry,96,35.42,593,1674
185,186,186,Chris Couch,75,35.33,477,1350
186,187,187,Mathew Goggin,72,35.32,445,1260
187,188,188,Jonathan Kaye,95,35.08,581,1656
188,189,189,Roger Tambellini,64,34.97,384,1098
189,190,190,John Senden,96,34.95,585,1674
190,191,191,Will MacKenzie,91,34.79,551,1584
191,192,192,Tom Lehman,70,34.63,374,1080
192,193,193,Chris Smith,67,34.58,417,1206
193,194,194,Bart Bryant,87,34.5,534,1548
194,195,195,Jeff Gove,91,34.16,535,1566
195,196,196,Kenny Perry,73,33.8,438,1296
