,3-Putts_per_Round_RANK THIS WEEK,3-Putts_per_Round_RANK LAST WEEK,3-Putts_per_Round_PLAYER NAME,3-Putts_per_Round_ROUNDS,3-Putts_per_Round_AVG,3-Putts_per_Round_TOTAL 3 PUTTS,3-Putts_per_Round_TOTAL ROUNDS
0,1,1,Matt Hansen,68,1.06,70,66
1,T2,T2,"Wes Short, Jr.",96,0.95,89,94
2,T2,T2,Nicholas Thompson,96,0.95,88,93
3,T4,T4,Fred Couples,52,0.92,46,50
4,T4,T4,J.B. Holmes,81,0.92,71,77
5,6,6,Thomas Levet,53,0.86,44,51
6,7,7,Michael Connell,51,0.85,41,48
7,8,8,Roger Tambellini,64,0.84,51,61
8,9,9,Mark Calcavecchia,94,0.83,77,93
9,10,10,Carlos Franco,86,0.81,70,86
10,11,11,Mathew Goggin,72,0.8,56,70
11,T12,T12,John Daly,51,0.78,38,49
12,T12,T12,James Driscoll,80,0.78,62,80
13,14,14,Jason Gore,86,0.77,65,84
14,T15,T15,J.P. Hayes,55,0.76,42,55
15,T15,T15,Chris Smith,67,0.76,51,67
16,17,17,John Huston,74,0.75,54,72
17,T18,T18,Adam Scott,70,0.74,50,68
18,T18,T18,Mike Sposa,68,0.74,48,65
19,T20,T20,Robert Garrigus,85,0.72,60,83
20,T20,T20,Jonathan Kaye,95,0.72,66,92
21,T22,T22,Sergio Garcia,59,0.71,39,55
22,T22,T22,Hunter Mahan,98,0.71,70,98
23,T22,T22,Ted Purdy,103,0.71,72,101
24,T25,T25,Lee Janzen,79,0.7,55,79
25,T25,T25,Will MacKenzie,91,0.7,62,88
26,T25,T25,Tjaart van der Walt,60,0.7,40,57
27,T28,T28,Steve Elkington,52,0.69,35,51
28,T28,T28,Sean O'Hair,100,0.69,68,98
29,T28,T28,Kenny Perry,73,0.69,50,72
30,T28,T28,Paul Stankowski,70,0.69,48,70
31,T32,T32,Brian Davis,92,0.68,61,90
32,T32,T32,J.L. Lewis,57,0.68,39,57
33,T34,T34,Woody Austin,107,0.67,72,107
34,T34,T34,Doug Barron,74,0.67,49,73
35,T34,T34,Joey Sindelar,90,0.67,60,90
36,T34,T34,Jerry Smith,94,0.67,62,92
37,T34,T34,Nick Watney,97,0.67,64,95
38,T39,T39,Alex Aragon,63,0.66,40,61
39,T39,T39,Rich Beem,85,0.66,55,83
40,T39,T39,Tim Clark,80,0.66,52,79
41,T39,T39,Jeff Gove,91,0.66,57,87
42,T39,T39,Dudley Hart,83,0.66,55,83
43,T39,T39,Greg Owen,79,0.66,51,77
44,T39,T39,Pat Perez,50,0.66,33,50
45,T46,T46,Charles Howell III,96,0.65,60,93
46,T46,T46,Tom Lehman,70,0.65,39,60
47,T46,T46,Camilo Villegas,95,0.65,60,93
48,T49,T49,Chad Campbell,91,0.64,56,87
49,T49,T49,John Cook,67,0.64,43,67
50,T49,T49,Chris Couch,75,0.64,48,75
51,T49,T49,Peter Lonard,77,0.64,49,76
52,T53,T53,Robert Gamez,94,0.63,59,94
53,T53,T53,Steve Jones,83,0.63,52,82
54,T53,T53,D.J. Trahan,92,0.63,57,90
55,T53,T53,Bo Van Pelt,102,0.63,64,102
56,T57,T57,Brian Bateman,69,0.62,40,65
57,T57,T57,David Branshaw,98,0.62,61,98
58,T57,T57,Robert Damron,91,0.62,56,91
59,T57,T57,Tim Herron,82,0.62,50,81
60,T57,T57,David Howell,52,0.62,28,45
61,T57,T57,Tom Pernice Jr.,108,0.62,64,104
62,T57,T57,Carl Pettersson,95,0.62,58,93
63,T64,T64,Jeff Brehaut,100,0.61,59,96
64,T64,T64,Bubba Dickerson,98,0.61,59,96
65,T64,T64,Joe Durant,101,0.61,62,101
66,T64,T64,Paul Goydos,72,0.61,44,72
67,T64,T64,Omar Uresti,61,0.61,36,59
68,T64,T64,Bubba Watson,83,0.61,48,79
69,T70,T70,Briny Baird,81,0.6,46,77
70,T70,T70,Mathias Grönberg,92,0.6,53,89
71,T70,T70,Kent Jones,103,0.6,61,101
72,T70,T70,Troy Matteson,101,0.6,61,101
73,T70,T70,Tiger Woods,55,0.6,31,52
74,T75,T75,Billy Andrade,78,0.59,44,74
75,T75,T75,Henrik Bjornstad,97,0.59,56,95
76,T75,T75,Jonathan Byrd,66,0.59,39,66
77,T75,T75,Daisuke Maruyama,83,0.59,47,79
78,T75,T75,Len Mattiace,59,0.59,35,59
79,T75,T75,Charles Warren,93,0.59,53,90
80,T81,T81,Jason Bohn,104,0.58,60,104
81,T81,T81,David Duval,71,0.58,40,69
82,T81,T81,Nathan Green,108,0.58,60,104
83,T81,T81,Todd Hamilton,72,0.58,42,72
84,T81,T81,Jon Mills,68,0.58,38,66
85,T81,T81,John Senden,96,0.58,54,93
86,T81,T81,Mike Weir,88,0.58,49,85
87,T88,T88,"John Engler, Jr.",69,0.57,38,67
88,T88,T88,Jason Schultz,77,0.57,43,75
89,T88,T88,David Toms,76,0.57,39,69
90,T88,T88,Kirk Triplett,58,0.57,32,56
91,T92,T92,Kris Cox,83,0.56,45,81
92,T92,T92,Padraig Harrington,54,0.56,28,50
93,T92,T92,Bernhard Langer,77,0.56,40,72
94,T92,T92,Arron Oberholser,82,0.56,44,79
95,T92,T92,Tim Petrovic,95,0.56,51,91
96,T92,T92,Tag Ridings,103,0.56,56,100
97,T98,T98,Craig Barlow,77,0.55,40,73
98,T98,T98,Bob May,65,0.55,34,62
99,T98,T98,Billy Mayfair,94,0.55,52,94
100,T98,T98,Rory Sabbatini,84,0.55,46,83
101,T98,T98,Brett Wetterich,82,0.55,45,82
102,T103,T103,Tommy Armour III,65,0.54,35,65
103,T103,T103,Alex Cejka,93,0.54,49,91
104,T103,T103,Fred Funk,106,0.54,57,105
105,T103,T103,Jerry Kelly,100,0.54,54,100
106,T103,T103,David McKenzie,82,0.54,43,80
