,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Aaron Baddeley,78,27.96,2125,76,22
1,2,2,Brian Gay,107,28.05,3001,107,23
2,3,3,Daniel Chopra,110,28.21,3019,107,22
3,4,4,Steve Stricker,64,28.26,1752,62,23
4,5,5,Paul Azinger,87,28.38,2469,87,24
5,6,6,Rod Pampling,89,28.44,2389,84,23
6,7,7,Ben Crane,85,28.46,2277,80,22
7,8,8,Michael Allen,84,28.48,2392,84,23
8,9,9,Brad Faxon,78,28.5,2223,78,22
9,10,10,Luke Donald,66,28.54,1798,63,24
10,11,11,Harrison Frazar,95,28.55,2598,91,23
11,12,12,Nathan Green,108,28.56,2970,104,22
12,T13,T13,Doug Barron,74,28.58,2086,73,22
13,T13,T13,Shigeki Maruyama,94,28.58,2629,92,22
14,T13,T13,Jesper Parnevik,84,28.58,2401,84,23
15,16,16,Todd Fischer,101,28.59,2830,99,23
16,17,17,Chris Riley,86,28.61,2346,82,21
17,T18,T18,Stuart Appleby,83,28.63,2233,78,22
18,T18,T18,Greg Chalmers,71,28.63,1918,67,23
19,T20,T20,Marco Dawson,87,28.67,2494,87,23
20,T20,T20,Vaughn Taylor,88,28.67,2523,88,21
21,22,22,Ryan Moore,68,28.69,1865,65,24
22,T23,T23,Mark O'Meara,52,28.7,1435,50,24
23,T23,T23,Joe Ogilvie,95,28.7,2612,91,23
24,25,25,Shane Bertsch,104,28.71,2928,102,21
25,T26,T26,Woody Austin,107,28.72,3073,107,22
26,T26,T26,Ernie Els,69,28.72,1838,64,23
27,T26,T26,Scott Verplank,88,28.72,2470,86,23
28,T29,T29,Stewart Cink,93,28.75,2530,88,22
29,T29,T29,Len Mattiace,59,28.75,1696,59,23
30,T31,T31,Freddie Jacobson,56,28.79,1612,56,23
31,T31,T31,Tag Ridings,103,28.79,2879,100,24
32,T31,T31,Kirk Triplett,58,28.79,1612,56,23
33,T34,T34,Eric Axley,91,28.8,2563,89,22
34,T34,T34,Ryan Palmer,101,28.8,2851,99,23
35,36,36,Dean Wilson,115,28.83,3200,111,22
36,T37,T37,Danny Ellis,68,28.84,1846,64,24
37,T37,T37,J.P. Hayes,55,28.84,1586,55,23
38,T37,T37,Carl Pettersson,95,28.84,2682,93,22
39,40,40,Jim Furyk,89,28.85,2539,88,22
40,41,41,Olin Browne,108,28.86,3001,104,21
41,T42,T42,David Duval,71,28.87,1992,69,24
42,T42,T42,Ryuji Imada,105,28.87,2945,102,21
43,T42,T42,Justin Leonard,83,28.87,2281,79,22
44,T45,T45,Steve Flesch,119,28.88,3321,115,22
45,T45,T45,Tom Pernice Jr.,108,28.88,3004,104,22
46,T47,T47,David Howell,52,28.89,1300,45,22
47,T47,T47,Vijay Singh,103,28.89,2889,100,21
48,T49,T49,Phil Mickelson,74,28.91,1995,69,24
49,T49,T49,Corey Pavin,74,28.91,2024,70,24
50,T51,T51,Dudley Hart,83,28.92,2400,83,23
51,T51,T51,John Huston,74,28.92,2082,72,23
52,T51,T51,Rory Sabbatini,84,28.92,2400,83,24
53,T54,T54,Arjun Atwal,97,28.93,2748,95,23
54,T54,T54,Robert Damron,91,28.93,2633,91,24
55,T54,T54,Geoff Ogilvy,76,28.93,2025,70,24
56,T54,T54,Vance Veazey,59,28.93,1707,59,22
57,T58,T58,Charley Hoffman,100,28.94,2836,98,24
58,T58,T58,Richard Johnson,94,28.94,2720,94,23
59,T60,T60,Greg Kraft,79,28.95,2171,75,23
60,T60,T60,Stephen Leaney,84,28.95,2432,84,22
61,T60,T60,D.A. Points,82,28.95,2316,80,24
62,63,63,Brent Geiberger,99,28.96,2809,97,25
63,64,64,Retief Goosen,68,28.98,1739,60,21
64,65,65,Patrick Sheehan,104,28.99,2899,100,20
65,T66,T66,Davis Love III,85,29.0,2204,76,24
66,T66,T66,Justin Rose,98,29.0,2755,95,24
67,T68,T68,Todd Hamilton,72,29.01,2089,72,22
68,T68,T68,Tim Petrovic,95,29.01,2640,91,24
69,T68,T68,David Toms,76,29.01,2002,69,22
70,T71,T71,Tim Clark,80,29.03,2293,79,24
71,T71,T71,Jimmy Walker,60,29.03,1684,58,24
72,T73,T73,Bill Haas,99,29.04,2788,96,23
73,T73,T73,Padraig Harrington,54,29.04,1452,50,25
74,T73,T73,Frank Lickliter II,99,29.04,2817,97,23
75,T73,T73,Pat Perez,50,29.04,1452,50,22
76,T77,T77,Stephen Ames,63,29.05,1801,62,23
77,T77,T77,Jeff Sluman,101,29.05,2934,101,23
78,T79,T79,Jonathan Byrd,66,29.06,1918,66,24
79,T79,T79,Ian Poulter,53,29.06,1511,52,23
80,T79,T79,Mike Weir,88,29.06,2470,85,23
81,T82,T82,Tommy Armour III,65,29.08,1890,65,23
82,T82,T82,Bob Tway,81,29.08,2268,78,23
83,T82,T82,Nick Watney,97,29.08,2763,95,22
84,T85,T85,Robert Allenby,79,29.1,2241,77,22
85,T85,T85,José María Olazábal,62,29.1,1688,58,24
86,87,87,Steve Lowery,99,29.14,2827,97,22
87,T88,T88,Lucas Glover,105,29.15,2944,101,22
88,T88,T88,Skip Kendall,72,29.15,2099,72,23
89,T88,T88,John Rollins,93,29.15,2653,91,25
90,91,91,Bob Estes,85,29.16,2479,85,20
91,T92,T92,Paul Goydos,72,29.17,2100,72,21
92,T92,T92,Jerry Kelly,100,29.17,2917,100,21
93,T92,T92,Bernhard Langer,77,29.17,2100,72,23
94,T95,T95,Jason Bohn,104,29.18,3035,104,22
95,T95,T95,Larry Mize,53,29.18,1488,51,24
96,T95,T95,Jeff Overton,95,29.18,2714,93,24
97,T98,T98,David McKenzie,82,29.19,2335,80,23
98,T98,T98,Brett Quigley,109,29.19,3065,105,23
99,T100,T100,Alex Aragon,63,29.2,1781,61,25
100,T100,T100,Kent Jones,103,29.2,2949,101,24
101,102,102,Brian Davis,92,29.21,2629,90,23
102,103,103,Chris DiMarco,83,29.22,2279,78,24
103,T104,T104,Lee Janzen,79,29.23,2309,79,24
104,T104,T104,J.L. Lewis,57,29.23,1666,57,25
105,T104,T104,Daisuke Maruyama,83,29.23,2309,79,23
106,107,107,Bo Van Pelt,102,29.24,2982,102,22
107,T108,T108,Robert Gamez,94,29.26,2750,94,24
108,T108,T108,Trevor Immelman,86,29.26,2516,86,24
109,T108,T108,Hidemichi Tanaka,74,29.26,2136,73,25
110,T108,T108,D.J. Trahan,92,29.26,2633,90,23
111,112,112,Mark Brooks,90,29.27,2605,89,25
112,T113,T113,Robert Garrigus,85,29.28,2430,83,25
113,T113,T113,Ian Leggatt,80,29.28,2225,76,23
114,T113,T113,Adam Scott,70,29.28,1991,68,24
115,T113,T113,Mark Wilson,79,29.28,2225,76,23
116,T117,T117,Brian Bateman,69,29.29,1904,65,22
117,T117,T117,Camilo Villegas,95,29.29,2724,93,24
118,T119,T119,Kris Cox,83,29.3,2373,81,22
119,T119,T119,Brett Wetterich,82,29.3,2403,82,22
120,T121,T121,Billy Andrade,78,29.31,2169,74,24
121,T121,T121,John Cook,67,29.31,1964,67,24
122,T123,T123,Henrik Bjornstad,97,29.32,2785,95,24
123,T123,T123,Bubba Dickerson,98,29.32,2815,96,25
124,T123,T123,Zach Johnson,98,29.32,2580,88,23
125,T126,T126,Fred Funk,106,29.33,3080,105,23
126,T126,T126,Steve Jones,83,29.33,2405,82,22
127,T126,T126,Jeff Maggert,81,29.33,2376,81,21
128,129,129,Omar Uresti,61,29.34,1731,59,24
129,130,130,Jerry Smith,94,29.35,2700,92,23
130,T131,T131,"John Engler, Jr.",69,29.36,1967,67,23
131,T131,T131,Ryan Hietala,61,29.36,1732,59,24
132,T131,T131,Billy Mayfair,94,29.36,2760,94,24
133,T134,T134,Mark Calcavecchia,94,29.37,2731,93,22
134,T134,T134,John Daly,51,29.37,1439,49,23
135,T134,T134,Mike Sposa,68,29.37,1909,65,24
136,137,137,Tiger Woods,55,29.38,1528,52,25
137,T138,T138,James Driscoll,80,29.39,2351,80,24
138,T138,T138,Mathias Grönberg,92,29.39,2616,89,23
139,T140,T140,Craig Barlow,77,29.41,2147,73,24
140,T140,T140,Charles Warren,93,29.41,2647,90,24
141,142,142,Tjaart van der Walt,60,29.42,1677,57,23
142,143,143,Tim Herron,82,29.44,2385,81,24
143,144,144,Jason Schultz,77,29.45,2209,75,24
144,145,145,Alex Cejka,93,29.46,2681,91,21
145,T146,T146,Bob May,65,29.47,1827,62,24
146,T146,T146,Duffy Waldorf,96,29.47,2711,92,21
147,T148,T148,Ben Curtis,86,29.5,2537,86,24
148,T148,T148,Jason Gore,86,29.5,2478,84,23
149,T148,T148,Kevin Sutherland,100,29.5,2832,96,23
150,T151,T151,Chad Campbell,91,29.51,2567,87,23
151,T151,T151,K.J. Choi,93,29.51,2715,92,24
152,T151,T151,Peter Lonard,77,29.51,2243,76,24
153,154,154,Troy Matteson,101,29.52,2982,101,24
154,T155,T155,Scott Gutschewski,53,29.53,1506,51,23
155,T155,T155,Shaun Micheel,96,29.53,2746,93,24
156,T157,T157,Sean O'Hair,100,29.56,2897,98,22
157,T157,T157,Arron Oberholser,82,29.56,2335,79,22
158,T157,T157,Bubba Watson,83,29.56,2335,79,24
159,160,160,Heath Slocum,96,29.58,2751,93,24
160,161,161,Brandt Jobe,91,29.59,2604,88,24
161,162,162,Rich Beem,85,29.6,2457,83,23
162,163,163,Ron Whittaker,81,29.63,2341,79,25
163,T164,T164,Briny Baird,81,29.64,2282,77,24
164,T164,T164,Greg Owen,79,29.64,2282,77,24
165,T166,T166,Hunter Mahan,98,29.65,2906,98,23
166,T166,T166,Jon Mills,68,29.65,1957,66,25
167,168,168,Ted Purdy,103,29.66,2996,101,21
168,T169,T169,David Branshaw,98,29.67,2908,98,23
169,T169,T169,Jeff Brehaut,100,29.67,2848,96,24
170,171,171,J.J. Henry,96,29.69,2761,93,22
171,172,172,"Wes Short, Jr.",96,29.7,2792,94,23
172,173,173,Paul Stankowski,70,29.71,2080,70,25
173,T174,T174,J.B. Holmes,81,29.75,2291,77,23
174,T174,T174,Charles Howell III,96,29.75,2767,93,25
175,176,176,Sergio Garcia,59,29.78,1638,55,23
176,177,177,Joe Durant,101,29.81,3011,101,22
177,178,178,Chris Couch,75,29.83,2237,75,24
178,179,179,John Senden,96,29.84,2775,93,23
179,180,180,Steve Elkington,52,29.88,1524,51,21
180,181,181,Carlos Franco,86,29.9,2571,86,24
181,182,182,Will MacKenzie,91,29.97,2637,88,25
182,183,183,Jonathan Kaye,95,29.99,2759,92,25
183,T184,T184,Michael Connell,51,30.0,1440,48,26
184,T184,T184,Joey Sindelar,90,30.0,2700,90,24
185,186,186,Fred Couples,52,30.02,1501,50,25
186,187,187,Bart Bryant,87,30.06,2585,86,26
187,188,188,Tom Lehman,70,30.08,1805,60,23
188,189,189,Thomas Levet,53,30.1,1535,51,24
189,190,190,Jeff Gove,91,30.11,2620,87,23
190,191,191,Nicholas Thompson,96,30.12,2801,93,25
191,192,192,Matt Hansen,68,30.15,1990,66,25
192,193,193,Mathew Goggin,72,30.16,2111,70,25
193,T194,T194,Chris Smith,67,30.18,2022,67,24
194,T194,T194,Roger Tambellini,64,30.18,1841,61,23
195,196,196,Kenny Perry,73,30.19,2174,72,23
