,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Steve Flesch,119,383,737,52.0
1,2,2,Brian Gay,107,380,777,48.9
2,3,3,Woody Austin,107,358,688,52.0
3,4,4,Daniel Chopra,110,348,690,50.4
4,5,5,Nathan Green,108,344,714,48.2
5,T6,T6,Bill Haas,99,342,608,56.3
6,T6,T6,Dean Wilson,115,342,683,50.1
7,T8,T8,Henrik Bjornstad,97,334,629,53.1
8,T8,T8,Patrick Sheehan,104,334,602,55.5
9,T8,T8,Vijay Singh,103,334,617,54.1
10,T11,T11,Todd Fischer,101,332,657,50.5
11,T11,T11,Tag Ridings,103,332,658,50.5
12,13,13,Tom Pernice Jr.,108,331,662,50.0
13,14,14,Joe Durant,101,330,631,52.3
14,15,15,Shane Bertsch,104,329,647,50.9
15,16,16,Nick Watney,97,322,612,52.6
16,T17,T17,Ryuji Imada,105,319,614,52.0
17,T17,T17,Brett Quigley,109,319,675,47.3
18,19,19,Charley Hoffman,100,317,624,50.8
19,20,20,Bo Van Pelt,102,314,619,50.7
20,21,21,Jason Bohn,104,313,606,51.7
21,22,22,Steve Lowery,99,312,576,54.2
22,23,23,Robert Damron,91,311,589,52.8
23,24,24,Brent Geiberger,99,310,636,48.7
24,25,25,Justin Rose,98,309,600,51.5
25,26,26,Camilo Villegas,95,306,574,53.3
26,27,27,Paul Azinger,87,305,587,52.0
27,28,28,Mark Calcavecchia,94,304,567,53.6
28,29,29,Marco Dawson,87,303,567,53.4
29,30,30,Kevin Sutherland,100,302,583,51.8
30,31,31,Jerry Smith,94,301,585,51.5
31,32,32,Frank Lickliter II,99,298,603,49.4
32,T33,T33,Lucas Glover,105,297,597,49.7
33,T33,T33,Jonathan Kaye,95,297,538,55.2
34,T33,T33,Jeff Sluman,101,297,592,50.2
35,T36,T36,Arjun Atwal,97,296,592,50.0
36,T36,T36,Shigeki Maruyama,94,296,604,49.0
37,38,38,Jeff Overton,95,295,606,48.7
38,39,39,Harrison Frazar,95,294,562,52.3
39,40,40,Ryan Palmer,101,293,573,51.1
40,T41,T41,Olin Browne,108,292,621,47.0
41,T41,T41,Joe Ogilvie,95,292,578,50.5
42,T41,T41,Tim Petrovic,95,292,589,49.6
43,T41,T41,Duffy Waldorf,96,292,554,52.7
44,45,45,Kent Jones,103,290,631,46.0
45,T46,T46,Fred Funk,106,287,592,48.5
46,T46,T46,Hunter Mahan,98,287,600,47.8
47,T46,T46,"Wes Short, Jr.",96,287,586,49.0
48,49,49,Eric Axley,91,286,573,49.9
49,50,50,Brian Davis,92,285,552,51.6
50,T51,T51,Mark Brooks,90,284,496,57.3
51,T51,T51,Bubba Dickerson,98,284,569,49.9
52,T51,T51,Vaughn Taylor,88,284,579,49.1
53,T54,T54,Mathias Grönberg,92,283,534,53.0
54,T54,T54,Stephen Leaney,84,283,554,51.1
55,T56,T56,Alex Cejka,93,282,533,52.9
56,T56,T56,Jerry Kelly,100,282,574,49.1
57,T58,T58,Troy Matteson,101,281,583,48.2
58,T58,T58,D.A. Points,82,281,515,54.6
59,T60,T60,David Branshaw,98,280,573,48.9
60,T60,T60,Robert Gamez,94,280,568,49.3
