,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,Brent Geiberger,99,"51' 7""",2268.833,44
1,2,2,Geoff Ogilvy,76,"49' 4""",1380.6670000000001,28
2,3,3,Luke Donald,66,"49' 2""",1081.5,22
3,4,4,Scott Verplank,88,"47' 5""",1279.917,27
4,5,5,Paul Stankowski,70,"47' 0""",1879.9170000000001,40
5,6,6,David Branshaw,98,"46' 10""",2714.75,58
6,7,7,Steve Stricker,64,"46' 3""",462.667,10
7,8,8,Heath Slocum,96,"46' 1""",1843.8329999999999,40
8,9,9,Chris Smith,67,"45' 5""",2181.167,48
9,10,10,Ryuji Imada,105,"45' 4""",1721.5,38
10,11,11,Bernhard Langer,77,"45' 2""",1446.5,32
11,12,12,Daniel Chopra,110,"45' 1""",1398.5829999999999,31
12,13,13,Trevor Immelman,86,"45' 0""",1619.5,36
13,14,14,Stuart Appleby,83,"44' 11""",1258.25,28
14,T15,T15,Marco Dawson,87,"44' 7""",1425.4170000000001,32
15,T15,T15,Kevin Sutherland,100,"44' 7""",2139.667,48
16,17,17,Tom Lehman,70,"44' 5""",1243.5,28
17,18,18,Bart Bryant,87,"44' 3""",1727.3329999999999,39
18,19,19,Mike Sposa,68,"44' 2""",1723.1670000000001,39
19,T20,T20,Retief Goosen,68,"44' 0""",659.5,15
20,T20,T20,Justin Rose,98,"44' 0""",1759.4170000000001,40
21,22,22,Eric Axley,91,"43' 9""",1269.75,29
22,23,23,José María Olazábal,62,"43' 3""",648.8330000000001,15
23,T24,T24,Jason Bohn,104,"43' 2""",2287.833,53
24,T24,T24,John Cook,67,"43' 2""",1468.3329999999999,34
25,T26,T26,"John Engler, Jr.",69,"43' 0""",1462.5,34
26,T26,T26,Joey Sindelar,90,"43' 0""",2234.167,52
27,28,28,Olin Browne,108,"42' 11""",1759.75,41
28,29,29,Greg Chalmers,71,"42' 10""",1327.9170000000001,31
29,30,30,Bill Haas,99,"42' 9""",1710.75,40
30,T31,T31,Robert Allenby,79,"42' 8""",1151.167,27
31,T31,T31,John Rollins,93,"42' 8""",1621.1670000000001,38
32,T33,T33,Stewart Cink,93,"42' 7""",1150.25,27
33,T33,T33,Steve Lowery,99,"42' 7""",1787.6670000000001,42
34,T35,T35,Phil Mickelson,74,"42' 5""",848.5830000000001,20
35,T35,T35,Arron Oberholser,82,"42' 5""",1611.4170000000001,38
36,37,37,Jon Mills,68,"42' 4""",1227.75,29
37,38,38,Bob Estes,85,"42' 3""",1477.3329999999999,35
38,T39,T39,Paul Azinger,87,"42' 2""",1266.167,30
39,T39,T39,Zach Johnson,98,"42' 2""",1180.167,28
40,T39,T39,Len Mattiace,59,"42' 2""",1348.6670000000001,32
41,T42,T42,Shaun Micheel,96,"42' 1""",1261.833,30
42,T42,T42,Carl Pettersson,95,"42' 1""",1936.25,46
43,T44,T44,John Daly,51,"42' 0""",1470.6670000000001,35
44,T44,T44,Vaughn Taylor,88,"42' 0""",1679.8329999999999,40
45,T44,T44,Jimmy Walker,60,"42' 0""",965.5,23
