,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
96,T97,T97,Brent Geiberger,99,1.778,2016,1134,28.04,112
97,T97,T97,Bernhard Langer,77,1.778,1513,851,28.94,89
98,T97,T97,Mark O'Meara,52,1.778,951,535,27.66,189
99,T100,T100,Justin Leonard,83,1.7790000000000001,1603,901,26.34,149
100,T100,T100,Brett Quigley,109,1.7790000000000001,2281,1282,29.04,T31
101,T102,T102,Jerry Smith,94,1.78,1962,1102,28.79,T55
102,T102,T102,D.J. Trahan,92,1.78,1846,1037,29.03,137
103,T102,T102,Camilo Villegas,95,1.78,1945,1093,30.55,T102
104,T105,T105,Doug Barron,74,1.781,1414,794,28.59,185
105,T105,T105,Robert Damron,91,1.781,1854,1041,27.87,146
106,T105,T105,Jerry Kelly,100,1.781,2152,1208,28.46,46
107,T105,T105,Rory Sabbatini,84,1.781,1717,964,30.18,T122
108,T109,T109,Steve Lowery,99,1.7819999999999998,2037,1143,28.33,T92
109,T109,T109,"Wes Short, Jr.",96,1.7819999999999998,1935,1086,30.56,130
110,T111,T111,Kris Cox,83,1.7830000000000001,1726,968,28.66,63
111,T111,T111,Dudley Hart,83,1.7830000000000001,1699,953,28.99,141
112,T111,T111,Daisuke Maruyama,83,1.7830000000000001,1680,942,28.5,T68
113,T114,T114,Joe Durant,101,1.785,2264,1268,28.67,6
114,T114,T114,Fred Funk,106,1.785,2238,1254,27.1,65
115,T114,T114,Bob May,65,1.785,1376,771,27.86,13
116,117,117,Bill Haas,99,1.786,1982,1110,29.39,T127
117,T118,T118,Alex Aragon,63,1.787,1160,649,29.89,190
118,T118,T118,Rich Beem,85,1.787,1767,989,29.25,70
119,T118,T118,Jeff Brehaut,100,1.787,2078,1163,29.35,41
120,T121,T121,Billy Andrade,78,1.788,1582,885,27.7,62
121,T121,T121,Robert Gamez,94,1.788,1961,1097,27.67,115
122,T121,T121,J.J. Henry,96,1.788,2040,1141,28.12,22
123,T121,T121,Patrick Sheehan,104,1.788,2056,1150,26.92,T139
124,T121,T121,Nick Watney,97,1.788,1999,1118,31.72,96
125,T126,T126,David Branshaw,98,1.7890000000000001,2199,1229,27.17,7
126,T126,T126,John Cook,67,1.7890000000000001,1431,800,27.07,67
127,T126,T126,Jeff Maggert,81,1.7890000000000001,1705,953,27.5,98
128,T129,T129,John Daly,51,1.79,961,537,31.47,184
129,T129,T129,Brian Davis,92,1.79,1896,1059,28.34,97
130,T129,T129,Brandt Jobe,91,1.79,1906,1065,28.02,42
131,T132,T132,Mark Calcavecchia,94,1.7919999999999998,1862,1039,30.51,177
132,T132,T132,K.J. Choi,93,1.7919999999999998,2021,1128,27.53,23
133,T132,T132,Robert Garrigus,85,1.7919999999999998,1731,966,31.43,119
134,T132,T132,Todd Hamilton,72,1.7919999999999998,1321,737,27.38,196
135,T132,T132,Heath Slocum,96,1.7919999999999998,2034,1135,27.84,34
136,T132,T132,Ron Whittaker,81,1.7919999999999998,1683,939,26.2,T75
