,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Ben Crane,85,"84' 0""",61510,61,"4' 9""","134' 7"""
1,2,2,Tom Pernice Jr.,108,"82' 6""",86095,87,"4' 7""","156' 8"""
2,3,3,Richard Johnson,94,"82' 5""",84073,85,"4' 7""","154' 8"""
3,4,4,Chris Smith,67,"82' 2""",57192,58,"4' 7""","200' 9"""
4,5,5,David Howell,52,"82' 1""",29536,30,"4' 7""","152' 1"""
5,6,6,Brett Quigley,109,"81' 9""",91234,93,"4' 7""","142' 9"""
6,7,7,Kent Jones,103,"81' 7""",86171,88,"4' 7""","183' 6"""
7,8,8,J.P. Hayes,55,"81' 5""",47850,49,"4' 7""","122' 10"""
8,T9,T9,Mark O'Meara,52,"80' 10""",34923,36,"4' 6""","167' 5"""
9,T9,T9,Vaughn Taylor,88,"80' 10""",74655,77,"4' 7""","183' 8"""
10,11,11,David McKenzie,82,"80' 9""",66875,69,"4' 6""","155' 3"""
11,12,12,David Duval,71,"80' 5""",51163,53,"4' 6""","160' 4"""
12,13,13,Tiger Woods,55,"80' 0""",35538,37,"4' 6""","149' 2"""
13,T14,T14,Stewart Cink,93,"79' 8""",69801,73,"4' 6""","142' 7"""
14,T14,T14,Davis Love III,85,"79' 8""",54508,57,"4' 6""","156' 1"""
15,16,16,Dean Wilson,115,"79' 7""",88781,93,"4' 6""","151' 6"""
16,T17,T17,Ben Curtis,86,"79' 2""",62715,66,"4' 5""","145' 11"""
17,T17,T17,Brad Faxon,78,"79' 2""",69370,73,"4' 5""","145' 0"""
18,T19,T19,Brent Geiberger,99,"79' 1""",84455,89,"4' 5""","240' 4"""
19,T19,T19,Chris Riley,86,"79' 1""",65448,69,"4' 5""","165' 2"""
20,T21,T21,Jonathan Byrd,66,"79' 0""",51176,54,"4' 5""","147' 3"""
21,T21,T21,Mark Wilson,79,"79' 0""",68286,72,"4' 5""","154' 11"""
22,23,23,Nathan Green,108,"78' 10""",88891,94,"4' 5""","148' 6"""
23,24,24,Brian Gay,107,"78' 8""",93450,99,"4' 5""","160' 3"""
24,T25,T25,Stephen Ames,63,"78' 6""",41460,44,"4' 5""","149' 9"""
25,T25,T25,David Toms,76,"78' 6""",58388,62,"4' 5""","157' 2"""
26,27,27,Ian Poulter,53,"78' 5""",39542,42,"4' 5""","170' 0"""
27,T28,T28,Freddie Jacobson,56,"78' 2""",50672,54,"4' 5""","196' 3"""
28,T28,T28,Rod Pampling,89,"78' 2""",60945,65,"4' 5""","138' 0"""
29,30,30,Daniel Chopra,110,"77' 11""",83214,89,"4' 5""","159' 9"""
30,31,31,Len Mattiace,59,"77' 9""",48539,52,"4' 4""","157' 1"""
31,32,32,Arjun Atwal,97,"77' 7""",76361,82,"4' 5""","151' 5"""
32,33,33,Tim Clark,80,"77' 6""",53922,58,"4' 4""","139' 8"""
33,34,34,Shigeki Maruyama,94,"77' 5""",74283,80,"4' 4""","128' 1"""
34,T35,T35,Craig Barlow,77,"77' 4""",52921,57,"4' 5""","152' 2"""
35,T35,T35,Ryan Moore,68,"77' 4""",53795,58,"4' 4""","151' 8"""
36,37,37,Ted Purdy,103,"77' 3""",74125,80,"4' 4""","163' 10"""
37,T38,T38,Robert Allenby,79,"77' 2""",54641,59,"4' 4""","160' 8"""
38,T38,T38,J.B. Holmes,81,"77' 2""",57419,62,"4' 4""","173' 8"""
