,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,T1,T1,Billy Andrade,78,2,39
1,T1,T1,Aaron Baddeley,78,2,20
2,T1,T1,Rich Beem,85,2,39
3,T1,T1,Mark Calcavecchia,94,2,66
4,T1,T1,Tim Clark,80,2,38
5,T1,T1,Danny Ellis,68,2,26
6,T1,T1,J.B. Holmes,81,2,58
7,T1,T1,Rod Pampling,89,2,28
8,T1,T1,Ian Poulter,53,2,23
9,T1,T1,John Senden,96,2,50
10,T1,T1,Jerry Smith,94,2,59
11,T1,T1,Roger Tambellini,64,2,45
12,T1,T1,Camilo Villegas,95,2,48
13,T1,T1,Mike Weir,88,2,36
14,T1,T1,Mark Wilson,79,2,39
15,T16,T16,Michael Allen,84,1,26
16,T16,T16,Robert Allenby,79,1,27
17,T16,T16,Stephen Ames,63,1,23
18,T16,T16,Tommy Armour III,65,1,28
19,T16,T16,Arjun Atwal,97,1,44
20,T16,T16,Paul Azinger,87,1,31
21,T16,T16,Henrik Bjornstad,97,1,54
22,T16,T16,Jason Bohn,104,1,54
23,T16,T16,David Branshaw,98,1,59
24,T16,T16,Jeff Brehaut,100,1,53
25,T16,T16,Mark Brooks,90,1,33
26,T16,T16,Bart Bryant,87,1,39
27,T16,T16,Greg Chalmers,71,1,31
28,T16,T16,Michael Connell,51,1,32
29,T16,T16,Chris Couch,75,1,45
30,T16,T16,Ben Crane,85,1,24
31,T16,T16,John Daly,51,1,37
32,T16,T16,Robert Damron,91,1,49
33,T16,T16,Brian Davis,92,1,55
34,T16,T16,Marco Dawson,87,1,32
35,T16,T16,Chris DiMarco,83,1,32
36,T16,T16,James Driscoll,80,1,63
37,T16,T16,Steve Elkington,52,1,37
38,T16,T16,Ernie Els,69,1,20
39,T16,T16,"John Engler, Jr.",69,1,34
40,T16,T16,Bob Estes,85,1,35
41,T16,T16,Brad Faxon,78,1,30
42,T16,T16,Todd Fischer,101,1,35
43,T16,T16,Carlos Franco,86,1,59
44,T16,T16,Mathew Goggin,72,1,50
45,T16,T16,Jeff Gove,91,1,50
46,T16,T16,Dudley Hart,83,1,49
47,T16,T16,Lee Janzen,79,1,47
48,T16,T16,Steve Jones,83,1,41
49,T16,T16,Kent Jones,103,1,49
50,T16,T16,Skip Kendall,72,1,25
51,T16,T16,Davis Love III,85,1,26
52,T16,T16,Steve Lowery,99,1,44
53,T16,T16,Jeff Maggert,81,1,37
54,T16,T16,Hunter Mahan,98,1,58
55,T16,T16,Shigeki Maruyama,94,1,39
56,T16,T16,Daisuke Maruyama,83,1,41
57,T16,T16,David McKenzie,82,1,42
58,T16,T16,Ryan Moore,68,1,23
59,T16,T16,Sean O'Hair,100,1,54
60,T16,T16,Geoff Ogilvy,76,1,28
61,T16,T16,Jeff Overton,95,1,47
62,T16,T16,Greg Owen,79,1,45
63,T16,T16,Ryan Palmer,101,1,43
64,T16,T16,Corey Pavin,74,1,25
65,T16,T16,Pat Perez,50,1,29
66,T16,T16,Tim Petrovic,95,1,44
67,T16,T16,Tag Ridings,103,1,47
68,T16,T16,Rory Sabbatini,84,1,39
69,T16,T16,Jason Schultz,77,1,36
70,T16,T16,Adam Scott,70,1,34
71,T16,T16,Vijay Singh,103,1,47
72,T16,T16,Kevin Sutherland,100,1,48
73,T16,T16,D.J. Trahan,92,1,47
74,T16,T16,Kirk Triplett,58,1,26
75,T16,T16,Omar Uresti,61,1,35
76,T16,T16,Tjaart van der Walt,60,1,37
77,T16,T16,Bo Van Pelt,102,1,58
78,T16,T16,Scott Verplank,88,1,27
79,T16,T16,Nick Watney,97,1,65
