,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
124,T125,T125,Bob Estes,85,4.78,314,15
125,T125,T125,Sean O'Hair,100,4.78,314,15
126,T125,T125,Mike Weir,88,4.78,230,11
127,128,128,Bill Haas,99,4.76,336,16
128,129,129,Danny Ellis,68,4.72,212,10
129,130,130,Bernhard Langer,77,4.7,234,11
130,131,131,Tag Ridings,103,4.69,320,15
131,132,132,Ryan Moore,68,4.68,235,11
132,T133,T133,Brian Davis,92,4.67,300,14
133,T133,T133,Jesper Parnevik,84,4.67,300,14
134,135,135,Billy Mayfair,94,4.66,365,17
135,136,136,Lucas Glover,105,4.65,344,16
136,137,137,Bart Bryant,87,4.64,302,14
137,138,138,David Branshaw,98,4.62,368,17
138,139,139,Jimmy Walker,60,4.6,239,11
139,140,140,Camilo Villegas,95,4.59,305,14
140,141,141,Nick Watney,97,4.58,371,17
141,T142,T142,Tim Clark,80,4.57,219,10
142,T142,T142,Scott Gutschewski,53,4.57,175,8
143,144,144,Eric Axley,91,4.56,285,13
144,145,145,Charles Warren,93,4.52,354,16
145,T146,T146,Stuart Appleby,83,4.51,244,11
146,T146,T146,Jeff Brehaut,100,4.51,377,17
147,148,148,Phil Mickelson,74,4.46,157,7
148,T149,T149,Bubba Dickerson,98,4.42,317,14
149,T149,T149,Jeff Gove,91,4.42,362,16
150,151,151,Jon Mills,68,4.41,227,10
151,152,152,Jonathan Kaye,95,4.4,386,17
152,153,153,Michael Allen,84,4.38,251,11
153,154,154,Alex Cejka,93,4.31,255,11
154,155,155,Robert Damron,91,4.3,302,13
155,156,156,Jason Bohn,104,4.29,373,16
156,157,157,Shaun Micheel,96,4.22,332,14
157,158,158,Patrick Sheehan,104,4.2,333,14
158,T159,T159,Doug Barron,74,4.15,241,10
159,T159,T159,Mark Calcavecchia,94,4.15,313,13
160,T159,T159,Justin Leonard,83,4.15,241,10
161,T162,T162,Greg Owen,79,4.14,266,11
162,T162,T162,Nicholas Thompson,96,4.14,314,13
163,164,164,Matt Hansen,68,4.12,243,10
164,165,165,John Daly,51,4.11,146,6
165,166,166,Woody Austin,107,4.09,318,13
166,167,167,Ian Leggatt,80,4.07,246,10
167,168,168,Steve Lowery,99,4.05,346,14
168,169,169,Mark Brooks,90,4.03,273,11
169,T170,T170,Tommy Armour III,65,4.0,200,8
170,T170,T170,Jason Gore,86,4.0,275,11
171,172,172,Robert Garrigus,85,3.89,257,10
172,173,173,Kenny Perry,73,3.86,233,9
173,174,174,Brett Wetterich,82,3.82,262,10
174,175,175,Bubba Watson,83,3.81,289,11
175,176,176,Scott Verplank,88,3.78,238,9
176,T177,T177,Fred Couples,52,3.68,136,5
177,T177,T177,Bob May,65,3.68,190,7
178,179,179,Charley Hoffman,100,3.67,354,13
179,180,180,Jeff Sluman,101,3.56,309,11
180,181,181,Brian Bateman,69,3.45,232,8
