,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,T1,T1,David Howell,52,44.44,96,216
1,T1,T1,Steve Stricker,64,44.44,128,288
2,3,3,Nathan Green,108,44.06,230,522
3,4,4,Daniel Chopra,110,43.75,252,576
4,5,5,Doug Barron,74,43.62,212,486
5,6,6,Mark O'Meara,52,43.46,133,306
6,7,7,Ryan Moore,68,43.39,164,378
7,8,8,Lucas Glover,105,43.3,226,522
8,T9,T9,Aaron Baddeley,78,43.06,186,432
9,T9,T9,Harrison Frazar,95,43.06,217,504
10,11,11,David Duval,71,42.51,176,414
11,12,12,Brian Gay,107,42.47,237,558
12,13,13,John Huston,74,42.36,183,432
13,14,14,Robert Damron,91,42.29,236,558
14,15,15,Greg Chalmers,71,42.18,205,486
15,16,16,Skip Kendall,72,42.17,167,396
16,17,17,Olin Browne,108,42.15,220,522
17,18,18,Ernie Els,69,42.01,121,288
18,19,19,Paul Azinger,87,41.95,219,522
19,20,20,Tim Clark,80,41.8,158,378
20,21,21,Alex Aragon,63,41.78,188,450
21,T22,T22,Padraig Harrington,54,41.67,105,252
22,T22,T22,Bob Tway,81,41.67,180,432
23,24,24,D.A. Points,82,41.56,202,486
24,25,25,Mike Weir,88,41.55,172,414
25,26,26,Davis Love III,85,41.53,157,378
26,T27,T27,Phil Mickelson,74,41.5,127,306
27,T27,T27,Kirk Triplett,58,41.5,127,306
28,29,29,Hidemichi Tanaka,74,41.48,224,540
29,30,30,Ben Crane,85,41.44,179,432
30,31,31,Danny Ellis,68,41.41,164,396
31,32,32,Peter Lonard,77,41.27,156,378
32,33,33,Dean Wilson,115,41.25,245,594
33,34,34,Vijay Singh,103,41.24,193,468
34,35,35,Len Mattiace,59,41.16,163,396
35,36,36,Brent Geiberger,99,41.0,214,522
36,T37,T37,Stewart Cink,93,40.97,177,432
37,T37,T37,Jesper Parnevik,84,40.97,177,432
38,39,39,Marco Dawson,87,40.95,199,486
39,40,40,Geoff Ogilvy,76,40.94,140,342
40,41,41,Kent Jones,103,40.86,228,558
41,42,42,Jim Furyk,89,40.82,169,414
42,43,43,Brad Faxon,78,40.81,191,468
43,44,44,Jeff Sluman,101,40.8,213,522
44,T45,T45,Fred Funk,106,40.67,205,504
45,T45,T45,Lee Janzen,79,40.67,205,504
46,T45,T45,Bubba Watson,83,40.67,183,450
47,48,48,Rod Pampling,89,40.66,161,396
48,49,49,Retief Goosen,68,40.63,117,288
49,50,50,Chris Riley,86,40.6,190,468
50,T51,T51,David Toms,76,40.56,146,360
51,T51,T51,Jimmy Walker,60,40.56,146,360
52,53,53,Bo Van Pelt,102,40.48,204,504
53,54,54,Shane Bertsch,104,40.45,233,576
54,55,55,Rory Sabbatini,84,40.34,167,414
55,56,56,Shigeki Maruyama,94,40.23,210,522
56,57,57,Zach Johnson,98,40.22,181,450
57,58,58,Vaughn Taylor,88,40.17,188,468
58,59,59,Woody Austin,107,40.14,224,558
59,60,60,Arjun Atwal,97,40.1,231,576
60,61,61,Robert Allenby,79,39.95,151,378
61,62,62,John Rollins,93,39.92,194,486
62,T63,T63,Billy Andrade,78,39.86,165,414
63,T63,T63,Mark Wilson,79,39.86,165,414
64,65,65,Michael Allen,84,39.78,179,450
65,66,66,Jonathan Byrd,66,39.72,143,360
66,67,67,Dudley Hart,83,39.71,193,486
67,68,68,Todd Hamilton,72,39.51,192,486
68,69,69,Nick Watney,97,39.48,199,504
69,70,70,Billy Mayfair,94,39.46,206,522
70,71,71,Bob May,65,39.44,142,360
71,72,72,Jason Gore,86,39.29,198,504
72,73,73,Henrik Bjornstad,97,39.26,212,540
73,74,74,Pat Perez,50,39.24,113,288
74,T75,T75,Luke Donald,66,39.22,120,306
